"year","month","fleet","gender","partition","Nsamp","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20","M21","M22","M23","M24","M25","M26","M27","M28","M29","M30","M31","M32","M33","M34","M35","M36","M37","M38","M39","M40","M41","M42","M43","M44","M45","M46","M47"
2003,"Enter Month","Enter Fleet",3,0,605,0,0,0,0,0,0,0,0,0,0.0536451595172782,0.0268225797586391,0.147657251995919,0.0804677392759174,0.0985933353491036,0.115830964293832,0.0937011722378158,0,0,0,0.0209001639849562,0.0395676747151738,0.0178155541381262,0.0770766007170875,0.164002522283364,0.150624168870233,1.66116779920975,0.217489586762934,0.14109103809646,0.269323679792695,0.709207312710562,0.680138905110708,0.199392974779995,0.587908016723574,0.31797127950688,0.491838932143203,0.54462335201074,39.718705949947,0,0,0,0,0,0,0,0,0,0,0.13400398887833,0.160826568636969,0.210123236311521,0.126100115298711,0.418301903659238,0.0190293727054152,0.0442121556007196,0,0,0,0.0199392974779995,0.0744364135873691,0.0805915803887884,0.0815419072265646,0.113496427570348,0.170205117596095,0.475772963089042,0.283188614599659,0.311981234189289,0.430833570314867,0.598389717723594,0.920958049604707,0.366372953606853,0.553596123706416,1.770892781825,1.7861436831292,44.2234985093414
2004,"Enter Month","Enter Fleet",3,0,461,0,0,0,0,0,0,0,0.0655312752344415,0.131062550468883,0.131062550468883,0.0271889905279583,0.0627391703994053,0.307273708373211,0.595764991046812,0.822031358816085,0.909929723054056,0.875798283342557,0.599528131257847,0.16560236954412,0,0.0325251475474641,0,0,0.0398457257715027,0,0.0820540017880361,0.0449913057545976,0.592755083884449,0.324356065906742,0.239316357214935,0.102427594490061,1.097911281731,1.6561749470574,0.547455224832805,1.37335559999126,0.520514286955413,43.8811357152968,0,0,0,0,0,0,0,0,0.0655312752344415,0.0267291856147129,0.0860137691001297,0.391944363121492,0.606933410386957,0.62261215292216,0.377100529507708,0.425894300893552,1.19277024534646,0.405587258902655,0.153816843609882,0.37639569697622,0,0,0,0.0340921142912873,0,0.0792588719206759,0.319019908887236,0.286815414766114,0.662463928758311,0.491153323218835,0.268169115521084,0.310301765729518,0.256556016429314,0.603448573149728,1.65139842101783,3.9476823079593,31.1299797659777
2005,"Enter Month","Enter Fleet",3,0,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0220918757060348,0,0,0,0,0,0,0.0797877124253152,0.184143459434894,0.120744448156458,0.11268858894885,0.831562228992837,1.44606009917917,2.79834986369613,1.18805569034826,1.47532682877765,0.816571790069649,0.436167710974994,2.77436916598864,1.06586959713062,1.35694841383503,3.33649313657363,1.40899113311533,33.3928846206406,0,0,0,0,0,0,0,0,0,0,0,0,0.0603388526647758,0,0.0490693263416218,0,0.292300210436796,0,0,0,0.0488290521647585,0.198653350004357,0.443038885005013,0.477938709194395,1.02807647139484,1.54981516074659,1.01466116318665,0.826576539822925,1.34877909182168,0.781161383254432,0.859056936536949,2.609130612275,0.685739163626281,3.47025657644605,1.31660317829794,1.58556929312038,28.5072996796645
2006,"Enter Month","Enter Fleet",3,0,493,0,0,0,0,0,0,0,0,0,0,0,0.0325382993796413,0,0,0,0,0,0,0,0,0.0372001712568106,0,0,0,0,0,0.194693948935644,0.0524388452885478,0.190011467545313,0,0.473581881039334,0.168437429167679,0.105957629066767,0.54254955588354,0.93133977787314,1.64442068946159,42.143515499034,0,0,0,0,0,0,0,0,0,0,0,0,0.0589308419344732,0.0281525949788384,0,0,0.0374680949279123,0,0,0,0,0.0640337573933022,0,0,0,0,0.0524388452885478,0.0822772984440106,0.110825596075553,0.148203009145554,0.379577769606335,0.573183536247043,0.872796394786106,0.79052734014736,1.12180465470801,1.21655483051746,47.9465402418675
2007,"Enter Month","Enter Fleet",3,0,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119242450337657,0,0.064210396763497,0.0987954580566502,0.555539966237126,0.144851864771397,0.170347262519555,0.205318713691624,0.403752086426168,0.446159959202296,0.221103690384396,0.248942764447292,0,0,0.261490934121602,0.0654329090033466,0.232258322790485,50.8038017977011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0499139712435984,0.0571603650383543,0,0,0.359443935557009,0.152611333651271,0.0697655430554559,0.372049113574111,0.0900035047462296,0,0,0,0.268357272297752,0.556737141435735,0.775294459175471,43.2074147837708
2008,"Enter Month","Enter Fleet",3,0,527,0,0,0,0,0,0,0.606311899198657,0,0.258828222437266,0.169544963316738,0.951563729908834,1.17468241552667,2.96314760732919,3.07350627346499,4.40690715859442,1.24585350627095,0.0374999266927433,0.107844307926199,0,0,0,0,0,0,0,0,0,0.328530249957968,0.108735790737092,0,1.2203771876329,0.181423030064693,0.202580051703492,1.09162697998646,0.326326655122592,0.934920624756176,33.3918321842622,0,0,0,0,0,0,0.606311899198657,0,0.399889682141176,0.370021868952278,0.951563729908834,1.17468241552667,2.73139346673683,3.36076463610739,4.21132085232286,1.20179416565935,0.0472913891095178,0,0,0,0,0,0.055993909791231,0,0.118240755354641,0,0.0490441106950439,0,0.757276979565833,0,0.0901904370513315,0.0473678718886465,0.757276979565833,0.0864236082729103,1.1287490775978,0.129026441756854,28.9433329579061
2009,"Enter Month","Enter Fleet",3,0,573,0,0,0,0,0,0,0,0,0,0.0352582169251866,0.320717416544833,0,0.108607348124128,0.0814376435212707,0.0173507866707035,0.032568460151219,0.288148956393614,0.0122076004383501,0.267180673642643,0.298742920569041,0.261674712663331,1.09819319265305,7.63087865013421,7.16441800068249,7.62864775412594,3.86435170374444,7.16155369147607,5.4270275447037,4.32284459220346,0.764726576396762,0.488757806273409,0.517835217775738,0.0691749915348942,0.326729167249653,0,0,6.97650887108448,0,0,0,0,0,0,0,0,0,0.00990825579127861,0,0,0.308883586282257,0.450823576860274,0.305499743064317,0.37720093436955,0,0.00813669172734638,0.16423047364404,0.173125907043911,0.546283140978385,4.62485328661889,8.3699195080435,5.14139379265161,1.9215226557787,1.11969200484437,1.474536483575,1.67612942433377,4.28988304547209,0.755592123908367,0.364737615807292,0.218132814554341,0,0.0850166556006838,0.294408104246781,0.0818857072454983,12.0726619718751
2010,"Enter Month","Enter Fleet",3,0,622,0,0,0,0,0,0,0,0,0,0.0219778186649814,0.257519596563722,1.66257442993917,1.06706350732683,2.38652786656598,2.0165013786042,0.49719661903183,0.381812375346558,0.0578775106629635,0.0407195000963213,0,0,0,0,0.103046789123787,0.119029476925644,0.292329981480661,0.0860221754924438,0.262354327165035,0.617712706642537,1.00762666986061,4.24383855862383,5.27104759150405,5.5708203640346,1.79571859368577,3.71267385920076,7.53921950017747,9.97479091291367,0,0,0,0,0,0,0.0241200960714041,0,0,0.0241200960714041,0.162490118339729,1.57458200840779,1.14495476629944,2.39026062265293,2.10935612067319,0.529213928633274,0.481505944192619,0.038576906623787,0.0407195000963213,0,0,0,0.0265382728407751,0.0436700003424398,0.066456041847117,0.0517911792376965,0.287974017420935,0.600126556660722,1.38954928917775,2.4042259992304,5.79390609716494,4.83146849708042,7.7670052601025,3.48383643582167,3.08886864544936,4.08920508037841,8.56947640954956
2011,"Enter Month","Enter Fleet",3,0,578,0,0,0,0,0,0,0,0,0.0161927054255069,0,0.142979062951535,0.313944717864376,0.186761187042299,0.113884041749793,0.0311091385022053,0.149872263085464,0,0,0,0,0,1.03957700611899,2.24155302137204,1.63762692844253,1.70443180920047,2.87158951943759,2.92122127576602,2.3775790589233,1.38190050380186,1.98534467097466,0.451454754383713,0.105186112747628,0.204921479005553,0.0191540561098514,1.75136805427827,2.2984967040599,23.8263961173136,0,0,0,0,0,0,0,0,0.0161927054255069,0.764470518806704,0.363116101365538,0.31674653450512,0.879614214775764,0.9708809822192,0.878138524872454,0,0.672981068427408,0,0,0.0301619051183241,3.12880492848521,0.354939981630984,1.58962379944816,1.88401396428073,2.18926241495589,3.44309031800519,2.07457068147141,3.45751817807336,0.62646027658816,0.115645563481222,0.78402008639965,0.0343397028851266,0.957915517550706,0.790281797610991,2.06190107014772,4.26071558596422,19.5820493889481
2012,"Enter Month","Enter Fleet",3,0,607,0,0,0,0,0,0,0,0,0.15782878556778,0.15782878556778,0.343566177286912,0.0266498223361872,0.0288485203263369,0.0134376007006184,0.335417471979456,0.188233256180236,0.358666574645229,0.0981817986337888,0.0554198773583957,0.0334963374900245,0.104452345065833,0.529740971339696,0.179862510756842,0.554011792433694,0.256614933990812,0.630383575468915,1.67059644282385,0.926805460771138,0.408313408989246,0.895085444208614,3.87828288398257,3.44966198649509,2.02425459380131,4.50457290784036,2.94358748646014,3.84819619016792,27.0806469400885,0,0,0,0,0,0,0,0,0,0,0.0279052672022408,0.0573247478267031,0,0.0446935033365952,0,0.464524617287149,0.210734434244957,0.163898995053113,0.374085841643727,0,0.0263409695433416,0.0779277333213398,0.0516535427602351,0.701446429416302,1.07142536365246,0.539657650201875,3.06521538575731,1.07162570059917,0.737383538707085,1.84930701613711,1.36196402061961,1.88587184786092,5.7611997618795,2.48057875206977,2.83964600060842,3.72523155796166,15.7277124395521
