"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,60.9409827174349,0,0,0.499820886966204,0,0.25,0.05,"MED MED MED","R1"
1,2,2,66.2398661091363,0,0,0.49977905700522,0,0.25,0.05,"MED MED MED","R1"
1,3,3,61.11163969084,0,0,0.499887514529041,0,0.25,0.05,"MED MED MED","R1"
1,4,4,62.6597650995128,0,0,0.501070299313199,0,0.25,0.05,"MED MED MED","R1"
1,5,5,63.2898491132734,0,0,0.499572034091059,0,0.25,0.05,"MED MED MED","R1"
1,6,6,66.6025430317586,0,0,0.500735592233632,0,0.25,0.05,"MED MED MED","R1"
1,7,7,61.2393200109228,0,0,0.499422348133993,0,0.25,0.05,"MED MED MED","R1"
1,8,8,62.4846770140524,0,0,0.500640860654911,0,0.25,0.05,"MED MED MED","R1"
1,9,9,63.6025159527584,0,0,0.501063577211778,0,0.25,0.05,"MED MED MED","R1"
1,10,10,64.3398806066073,0,0,0.500824996197755,0,0.25,0.05,"MED MED MED","R1"
1,11,11,60.1661498902853,0,0,0.50031072185781,0,0.25,0.05,"MED MED MED","R1"
1,12,12,61.0421553171199,0,0,0.49895859091201,0,0.25,0.05,"MED MED MED","R1"
1,13,13,60.6110442823432,0,0,0.50038468848607,0,0.25,0.05,"MED MED MED","R1"
1,1,1,94.4026734232869,1,1,1.49827099206706,0,0.25,0.186605496863371,"MED MED MED","R1"
1,2,2,106.936798092151,1,1,1.50264276427746,0,0.25,0.186605496863371,"MED MED MED","R1"
1,3,3,94.7955645101175,1,1,1.49958322521466,0,0.25,0.186605496863371,"MED MED MED","R1"
1,4,4,98.3924935518333,1,1,1.49783561860297,0,0.25,0.186605496863371,"MED MED MED","R1"
1,7,7,95.0899830321678,1,1,1.50064058813481,0,0.25,0.186605496863371,"MED MED MED","R1"
1,8,8,97.9827295236812,1,1,1.50132651362444,0,0.25,0.186605496863371,"MED MED MED","R1"
1,10,10,102.362933067759,1,1,1.49851424030672,0,0.25,0.186605496863371,"MED MED MED","R1"
1,11,11,92.6278609538178,1,1,1.50050692414242,0,0.25,0.186605496863371,"MED MED MED","R1"
1,13,13,93.6451157708431,1,1,1.50012556668204,0,0.25,0.186605496863371,"MED MED MED","R1"
