"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
38,12,215.108541391196,51,14,14.4989470670424,"FISHED",0.25660607018508,0.25,1,"MED MED MED","R1"
39,7,221.680170684992,50,12,12.4994864598055,"FISHED",0.231727070454508,0.25,1,"MED MED MED","R1"
42,7,224.217242302504,55,14,14.5001943998463,"FISHED",0.22919334480539,0.25,1,"MED MED MED","R1"
45,3,238.235252704276,52,8,8.50078711900385,"FISHED",0.288223489071243,0.25,1,"MED MED MED","R1"
45,11,238.549856675982,56,12,12.49915530522,"FISHED",0.275840091658756,0.25,1,"MED MED MED","R1"
46,10,168.858542960896,53,8,8.49950254001481,"FISHED",0.22218564376235,0.25,1,"MED MED MED","R1"
47,3,198.843917559865,51,5,5.49914458708038,"FISHED",0.25660607018508,0.25,1,"MED MED MED","R1"
48,4,173.548480461735,52,5,5.49958948153349,"FISHED",0.288223489071243,0.25,1,"MED MED MED","R1"
48,10,227.386109098793,54,7,7.5000711285797,"FISHED",0.271796111483127,0.25,1,"MED MED MED","R1"
48,11,155.9211982387,50,3,3.50089547107856,"FISHED",0.231727070454508,0.25,1,"MED MED MED","R1"
49,2,145.417774601058,51,3,3.50085955012978,"FISHED",0.25660607018508,0.25,1,"MED MED MED","R1"
49,4,231.259657811494,55,7,7.49991595416832,"FISHED",0.22919334480539,0.25,1,"MED MED MED","R1"
49,6,178.042678711132,53,5,5.50064021087232,"FISHED",0.22218564376235,0.25,1,"MED MED MED","R1"
49,9,120.404160047169,50,2,2.49947889465333,"FISHED",0.231727070454508,0.25,1,"MED MED MED","R1"
50,2,93.400181682493,50,1,1.50094649315985,"FISHED",0.231727070454508,0.25,1,"MED MED MED","R1"
50,4,122.067531566094,51,2,2.50021855446251,"FISHED",0.25660607018508,0.25,1,"MED MED MED","R1"
50,6,137.160096372621,52,3,3.50064386530049,"FISHED",0.288223489071243,0.25,1,"MED MED MED","R1"
50,11,98.6754737438161,50,1,1.50002751636548,"FISHED",0.231727070454508,0.25,1,"MED MED MED","R1"
51,1,96.5563832419925,51,1,1.49951888682491,"FISHED",0.25660607018508,0.25,1,"MED MED MED","R1"
51,5,63.720166397664,50,0,0.499370175338513,"FISHED",0.231727070454508,0.25,1,"MED MED MED","R1"
51,6,63.048956972338,50,0,0.499748293696978,"FISHED",0.231727070454508,0.25,1,"MED MED MED","R1"
51,8,138.527164429306,53,3,3.50075613904311,"FISHED",0.22218564376235,0.25,1,"MED MED MED","R1"
51,9,163.24447939063,55,5,5.49935998029285,"FISHED",0.22919334480539,0.25,1,"MED MED MED","R1"
51,10,63.7145874501992,50,0,0.498917543844236,"FISHED",0.231727070454508,0.25,1,"MED MED MED","R1"
