"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
1,1,231.855599726806,2,2,2.50056638688852,"M",0,0.25,1,"MED MED MED","R2"
1,2,50.0928636893599,0,0,0.49920495718179,"M",0,0.25,1,"MED MED MED","R2"
1,3,212.665760372894,2,2,2.49928590119042,"M",0,0.25,1,"MED MED MED","R2"
1,4,49.7106193899255,0,0,0.4996813173151,"M",0,0.25,1,"MED MED MED","R2"
1,5,152.384184835679,1,1,1.49981775272877,"M",0,0.25,1,"MED MED MED","R2"
1,6,158.905832461377,1,1,1.50111760051305,"M",0,0.25,1,"MED MED MED","R2"
1,7,306.590011134781,3,3,3.49985989056125,"M",0,0.25,1,"MED MED MED","R2"
1,8,160.169726202464,1,1,1.50006870198744,"M",0,0.25,1,"MED MED MED","R2"
1,9,155.811199101364,1,1,1.50048638042486,"M",0,0.25,1,"MED MED MED","R2"
1,10,348.786697380093,6,6,6.50066953407127,"M",0,0.25,1,"MED MED MED","R2"
1,11,157.248718714794,1,1,1.49860164349962,"M",0,0.25,1,"MED MED MED","R2"
2,1,48.8831863148089,1,0,0.50078903147663,"M",0,0.25,1,"MED MED MED","R2"
2,2,340.677428829514,8,7,7.49976834080591,"M",0,0.25,1,"MED MED MED","R2"
2,3,327.846770360316,9,8,8.49875788107659,"M",0,0.25,1,"MED MED MED","R2"
2,4,332.197149382148,6,5,5.49938225787496,"M",0,0.25,1,"MED MED MED","R2"
2,5,50.3395429689845,1,0,0.499635467616509,"M",0,0.25,1,"MED MED MED","R2"
2,6,51.1877001334382,1,0,0.500446189514034,"M",0,0.25,1,"MED MED MED","R2"
2,7,401.720227618628,13,12,12.4999569698744,"M",0,0.25,1,"MED MED MED","R2"
2,8,153.593701875933,2,1,1.49995329633098,"M",0,0.25,1,"MED MED MED","R2"
2,9,49.5115465037491,1,0,0.49975948505121,"M",0,0.25,1,"MED MED MED","R2"
2,10,49.1504531705069,1,0,0.49944127205688,"M",0,0.25,1,"MED MED MED","R2"
2,11,49.6419048159129,1,0,0.499754138952757,"M",0,0.25,1,"MED MED MED","R2"
2,12,309.302820849351,5,4,4.49872837912325,"M",0,0.25,1,"MED MED MED","R2"
2,13,219.205268190383,3,2,2.49914818631801,"M",0,0.25,1,"MED MED MED","R2"
2,14,316.640411102561,6,5,5.50105196742251,"M",0,0.25,1,"MED MED MED","R2"
3,1,272.785277335209,5,3,3.49956462644699,"M",0,0.25,1,"MED MED MED","R2"
3,2,222.745937619898,4,2,2.50004885354218,"M",0,0.25,1,"MED MED MED","R2"
3,3,214.163114567548,4,2,2.49901503107075,"M",0,0.25,1,"MED MED MED","R2"
3,4,347.335288359435,7,5,5.49765204130766,"M",0,0.25,1,"MED MED MED","R2"
3,5,277.529945371351,6,4,4.50025708231334,"M",0,0.25,1,"MED MED MED","R2"
3,6,276.026144015831,5,3,3.50096802277216,"M",0,0.25,1,"MED MED MED","R2"
3,7,239.288428067219,4,2,2.50047917934999,"M",0,0.25,1,"MED MED MED","R2"
3,8,50.0197880907819,2,0,0.500472733774912,"M",0,0.25,1,"MED MED MED","R2"
3,9,228.457817206359,4,2,2.50128387489933,"M",0,0.25,1,"MED MED MED","R2"
3,10,269.801391713575,5,3,3.49840809131551,"M",0,0.25,1,"MED MED MED","R2"
3,11,49.7833079497677,2,0,0.497542256125799,"M",0,0.25,1,"MED MED MED","R2"
3,12,321.384174567709,7,5,5.4999964893877,"M",0,0.25,1,"MED MED MED","R2"
3,13,340.634062882656,11,9,9.50016725227296,"M",0,0.25,1,"MED MED MED","R2"
4,1,314.638598386032,7,4,4.4996235876221,"M",0,0.25,1,"MED MED MED","R2"
4,2,48.0079537667817,3,0,0.500298990299689,"M",0,0.25,1,"MED MED MED","R2"
4,3,227.809300256889,5,2,2.49931960421198,"M",0,0.25,1,"MED MED MED","R2"
4,4,235.199191052788,5,2,2.49901067676397,"M",0,0.25,1,"MED MED MED","R2"
4,5,216.292065797079,5,2,2.49985444217987,"M",0,0.25,1,"MED MED MED","R2"
4,6,280.522807829647,6,3,3.49766968937385,"M",0,0.25,1,"MED MED MED","R2"
4,7,348.124068922939,17,14,14.4989062943079,"M",0,0.25,1,"MED MED MED","R2"
4,8,289.513140816618,7,4,4.50243748274581,"M",0,0.25,1,"MED MED MED","R2"
4,9,269.384253987804,6,3,3.50165162240279,"M",0,0.25,1,"MED MED MED","R2"
4,10,155.502116348117,4,1,1.50057812209549,"M",0,0.25,1,"MED MED MED","R2"
4,11,355.052226939799,11,8,8.49936150886573,"M",0,0.25,1,"MED MED MED","R2"
4,12,165.732721845339,4,1,1.49785176411199,"M",0,0.25,1,"MED MED MED","R2"
5,1,161.030567354436,5,1,1.50153320182214,"M",0,0.25,1,"MED MED MED","R2"
5,2,353.905297487911,15,11,11.4997765503515,"M",0,0.25,1,"MED MED MED","R2"
5,3,159.608240307451,5,1,1.49877706521179,"M",0,0.25,1,"MED MED MED","R2"
5,4,162.000524255122,5,1,1.5006271243811,"M",0,0.25,1,"MED MED MED","R2"
5,5,303.739608999037,8,4,4.50057167031969,"M",0,0.25,1,"MED MED MED","R2"
5,6,277.352146131938,7,3,3.50166386494795,"M",0,0.25,1,"MED MED MED","R2"
5,7,156.859449310517,5,1,1.49980088988745,"M",0,0.25,1,"MED MED MED","R2"
5,8,50.8812655815061,4,0,0.499023213733623,"M",0,0.25,1,"MED MED MED","R2"
5,9,291.310273302288,8,4,4.49935157670543,"M",0,0.25,1,"MED MED MED","R2"
5,10,296.283097608978,7,3,3.5011786376715,"M",0,0.25,1,"MED MED MED","R2"
5,11,231.593840111788,6,2,2.49951444623603,"M",0,0.25,1,"MED MED MED","R2"
5,12,276.690824574742,8,4,4.50052387576567,"M",0,0.25,1,"MED MED MED","R2"
5,13,160.295978327685,5,1,1.49903956127248,"M",0,0.25,1,"MED MED MED","R2"
5,14,254.685351337856,7,3,3.50007765659003,"M",0,0.25,1,"MED MED MED","R2"
6,1,157.25620258841,6,1,1.49947952305486,"M",0,0.25,1,"MED MED MED","R2"
6,2,330.388630223033,10,5,5.49814623437221,"M",0,0.25,1,"MED MED MED","R2"
6,3,265.511041509229,8,3,3.49808082613315,"M",0,0.25,1,"MED MED MED","R2"
6,4,49.0668625414168,5,0,0.500470975720061,"M",0,0.25,1,"MED MED MED","R2"
6,5,336.096251191883,11,6,6.50024569004098,"M",0,0.25,1,"MED MED MED","R2"
6,6,156.654961438073,6,1,1.4995340063027,"M",0,0.25,1,"MED MED MED","R2"
6,7,355.156183111563,14,9,9.5010115609689,"M",0,0.25,1,"MED MED MED","R2"
6,8,263.035404822268,8,3,3.50068761480526,"M",0,0.25,1,"MED MED MED","R2"
6,9,214.645240470303,7,2,2.50095252337614,"M",0,0.25,1,"MED MED MED","R2"
6,10,337.94500763053,10,5,5.49955672748741,"M",0,0.25,1,"MED MED MED","R2"
6,11,48.6529108315181,5,0,0.500380497159572,"M",0,0.25,1,"MED MED MED","R2"
6,12,240.008615926802,7,2,2.49876467907693,"M",0,0.25,1,"MED MED MED","R2"
7,1,47.774616162129,6,0,0.499765386561699,"M",0,0.25,1,"MED MED MED","R2"
7,2,336.540822354553,11,5,5.50225631920008,"M",0,0.25,1,"MED MED MED","R2"
7,3,47.8188854187772,6,0,0.499321902706914,"M",0,0.25,1,"MED MED MED","R2"
7,4,52.6164172272023,6,0,0.499778616357574,"M",0,0.25,1,"MED MED MED","R2"
7,5,334.656507638908,13,7,7.50224020938214,"M",0,0.25,1,"MED MED MED","R2"
7,6,51.1351005158787,6,0,0.498549507277782,"M",0,0.25,1,"MED MED MED","R2"
7,7,50.7958845840952,6,0,0.500003790038494,"M",0,0.25,1,"MED MED MED","R2"
7,8,234.60984823713,8,2,2.49928128977381,"M",0,0.25,1,"MED MED MED","R2"
7,9,51.7974583704497,6,0,0.500019259010044,"M",0,0.25,1,"MED MED MED","R2"
7,10,47.660520243283,6,0,0.499882647313723,"M",0,0.25,1,"MED MED MED","R2"
7,11,214.265092767484,8,2,2.49858057615916,"M",0,0.25,1,"MED MED MED","R2"
7,12,276.064013289876,9,3,3.49972251650049,"M",0,0.25,1,"MED MED MED","R2"
8,1,49.3845565858965,7,0,0.498358328120621,"M",0,0.25,1,"MED MED MED","R2"
8,2,47.3874709731604,7,0,0.499448038199092,"M",0,0.25,1,"MED MED MED","R2"
8,3,298.788393523437,12,5,5.49980278802655,"M",0,0.25,1,"MED MED MED","R2"
8,4,157.164851390378,8,1,1.49854262833981,"M",0,0.25,1,"MED MED MED","R2"
8,5,274.833642168201,10,3,3.49913193667598,"M",0,0.25,1,"MED MED MED","R2"
8,6,302.310227493028,11,4,4.50181718629848,"M",0,0.25,1,"MED MED MED","R2"
8,7,333.332379181816,12,5,5.49950351012915,"M",0,0.25,1,"MED MED MED","R2"
8,8,156.663889307038,8,1,1.50059660997088,"M",0,0.25,1,"MED MED MED","R2"
8,9,49.0040341333122,7,0,0.499947622700039,"M",0,0.25,1,"MED MED MED","R2"
8,10,48.8421390280147,7,0,0.500579423329995,"M",0,0.25,1,"MED MED MED","R2"
8,11,159.833551292112,8,1,1.49956928776976,"M",0,0.25,1,"MED MED MED","R2"
9,1,336.179148225984,21,13,13.5016258014437,"M",0,0.25,1,"MED MED MED","R2"
9,2,50.8052765754461,8,0,0.49944933922954,"M",0,0.25,1,"MED MED MED","R2"
9,3,279.276617841062,11,3,3.50002635502,"M",0,0.25,1,"MED MED MED","R2"
9,4,170.79113503054,9,1,1.49838046698874,"M",0,0.25,1,"MED MED MED","R2"
9,5,47.8556247141708,8,0,0.500186172424038,"M",0,0.25,1,"MED MED MED","R2"
9,6,380.438688994805,16,8,8.50044933333382,"M",0,0.25,1,"MED MED MED","R2"
9,7,153.361568433445,9,1,1.50159136242559,"M",0,0.25,1,"MED MED MED","R2"
9,8,310.625760396991,12,4,4.50046037798463,"M",0,0.25,1,"MED MED MED","R2"
9,9,166.443654708101,9,1,1.49824035009829,"M",0,0.25,1,"MED MED MED","R2"
9,10,267.773398924743,11,3,3.49951779560996,"M",0,0.25,1,"MED MED MED","R2"
9,11,158.515771179044,9,1,1.49925246861257,"M",0,0.25,1,"MED MED MED","R2"
9,12,162.04827209043,9,1,1.49891483723539,"M",0,0.25,1,"MED MED MED","R2"
9,13,298.590303721692,12,4,4.4994567271934,"M",0,0.25,1,"MED MED MED","R2"
10,1,328.177102594147,14,5,5.49964776864749,"M",0,0.25,1,"MED MED MED","R2"
10,2,161.467091292054,10,1,1.50109670328339,"M",0,0.25,1,"MED MED MED","R2"
10,3,157.304878106371,10,1,1.49907155569304,"M",0,0.25,1,"MED MED MED","R2"
10,4,325.330811323705,14,5,5.49792831867825,"M",0,0.25,1,"MED MED MED","R2"
10,5,278.459726522858,12,3,3.49989652479538,"M",0,0.25,1,"MED MED MED","R2"
10,6,149.551348442466,10,1,1.49894519294969,"M",0,0.25,1,"MED MED MED","R2"
10,7,274.491054761454,12,3,3.49976600862702,"M",0,0.25,1,"MED MED MED","R2"
10,8,155.80850529553,10,1,1.50049014287863,"M",0,0.25,1,"MED MED MED","R2"
10,9,374.611299380292,15,6,6.50116360466617,"M",0,0.25,1,"MED MED MED","R2"
10,10,229.380728538045,11,2,2.50000010920999,"M",0,0.25,1,"MED MED MED","R2"
10,11,49.3237199536495,9,0,0.50022475198481,"M",0,0.25,1,"MED MED MED","R2"
10,12,155.640709667812,10,1,1.50076314719997,"M",0,0.25,1,"MED MED MED","R2"
10,13,360.595557294122,23,14,14.5012092265831,"M",0,0.25,1,"MED MED MED","R2"
11,1,227.394015049441,12,2,2.4994677752775,"M",0,0.25,1,"MED MED MED","R2"
11,2,47.5201576117316,10,0,0.500197683874239,"M",0,0.25,1,"MED MED MED","R2"
11,3,231.629026012236,12,2,2.49935669701909,"M",0,0.25,1,"MED MED MED","R2"
11,4,218.020946905913,12,2,2.50117189548577,"M",0,0.25,1,"MED MED MED","R2"
11,5,352.700085047788,15,5,5.49990825017767,"M",0,0.25,1,"MED MED MED","R2"
11,6,49.9651652641759,10,0,0.500176601210581,"M",0,0.25,1,"MED MED MED","R2"
11,7,236.748417562612,12,2,2.49867278309792,"M",0,0.25,1,"MED MED MED","R2"
11,8,264.131078266072,13,3,3.4994391833867,"M",0,0.25,1,"MED MED MED","R2"
11,9,154.549434078183,11,1,1.50168819325013,"M",0,0.25,1,"MED MED MED","R2"
11,10,49.3416593016793,10,0,0.49936428785826,"M",0,0.25,1,"MED MED MED","R2"
11,11,233.742301303218,12,2,2.50072336358858,"M",0,0.25,1,"MED MED MED","R2"
11,12,264.478643029337,13,3,3.49844540475884,"M",0,0.25,1,"MED MED MED","R2"
11,13,48.8484337305926,10,0,0.49950929044796,"M",0,0.25,1,"MED MED MED","R2"
12,1,160.288386811848,12,1,1.49989066058113,"M",0,0.25,1,"MED MED MED","R2"
12,2,166.087965414585,12,1,1.50112156976008,"M",0,0.25,1,"MED MED MED","R2"
12,3,49.5548754194913,11,0,0.50022233181198,"M",0,0.25,1,"MED MED MED","R2"
12,4,254.684768821521,14,3,3.49831379317343,"M",0,0.25,1,"MED MED MED","R2"
12,5,307.652098727876,18,7,7.49989363674253,"M",0,0.25,1,"MED MED MED","R2"
12,6,371.562808781477,19,8,8.4990755046099,"M",0,0.25,1,"MED MED MED","R2"
12,7,329.704623354181,18,7,7.50025830127892,"M",0,0.25,1,"MED MED MED","R2"
12,8,152.116942597232,12,1,1.49881053502323,"M",0,0.25,1,"MED MED MED","R2"
12,9,226.067128985981,13,2,2.49995955209997,"M",0,0.25,1,"MED MED MED","R2"
12,10,344.918835423123,19,8,8.50008377961846,"M",0,0.25,1,"MED MED MED","R2"
12,11,264.004541096256,14,3,3.49945471735751,"M",0,0.25,1,"MED MED MED","R2"
12,12,51.4011075969242,11,0,0.500830087756316,"M",0,0.25,1,"MED MED MED","R2"
13,1,47.7254568361833,12,0,0.499141036105069,"M",0,0.25,1,"MED MED MED","R2"
13,2,301.910899140706,16,4,4.5012203661467,"M",0,0.25,1,"MED MED MED","R2"
13,3,330.105598867045,26,14,14.5009236477044,"M",0,0.25,1,"MED MED MED","R2"
13,4,156.586357914172,13,1,1.50131171384791,"M",0,0.25,1,"MED MED MED","R2"
13,5,329.134649883129,19,7,7.50087829854049,"M",0,0.25,1,"MED MED MED","R2"
13,6,233.958029383283,14,2,2.50098724841368,"M",0,0.25,1,"MED MED MED","R2"
13,7,227.557989537539,14,2,2.5007606604978,"M",0,0.25,1,"MED MED MED","R2"
13,8,335.245071952935,19,7,7.50042484500261,"M",0,0.25,1,"MED MED MED","R2"
13,9,48.9312364998479,12,0,0.499506999039457,"M",0,0.25,1,"MED MED MED","R2"
13,10,340.697275130735,21,9,9.49885942614947,"M",0,0.25,1,"MED MED MED","R2"
14,1,50.5044819608204,13,0,0.49954562929629,"M",0,0.25,1,"MED MED MED","R2"
14,2,370.51660646918,24,11,11.5005218262929,"M",0,0.25,1,"MED MED MED","R2"
14,3,293.204453576965,17,4,4.49996151950279,"M",0,0.25,1,"MED MED MED","R2"
14,4,273.530164922522,16,3,3.50024754603743,"M",0,0.25,1,"MED MED MED","R2"
14,5,339.575697603283,22,9,9.50030344154922,"M",0,0.25,1,"MED MED MED","R2"
14,6,50.607324705265,13,0,0.500502620087468,"M",0,0.25,1,"MED MED MED","R2"
14,7,230.20815551188,15,2,2.49987455119032,"M",0,0.25,1,"MED MED MED","R2"
14,8,288.228019992941,16,3,3.49870501856535,"M",0,0.25,1,"MED MED MED","R2"
