"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
39,7,305.287959270108,52,14,14.5003406146423,"FISHED",0.27990196174942,0.25,1,"MED MED MED","R2"
43,12,359.26138890482,56,14,14.500009647253,"FISHED",0.275607572635636,0.25,1,"MED MED MED","R2"
46,7,297.815491086034,53,8,8.50201382576005,"FISHED",0.295875975326635,0.25,1,"MED MED MED","R2"
46,10,328.594569834351,51,6,6.49864609493974,"FISHED",0.27070638819132,0.25,1,"MED MED MED","R2"
46,13,318.394772685684,50,5,5.50013867173543,"FISHED",0.276060006115586,0.25,1,"MED MED MED","R2"
48,3,264.594619626863,50,3,3.50069933653075,"FISHED",0.276060006115586,0.25,1,"MED MED MED","R2"
48,6,265.872850339042,50,3,3.49998916819335,"FISHED",0.276060006115586,0.25,1,"MED MED MED","R2"
48,7,272.794161369653,50,3,3.4983681906468,"FISHED",0.276060006115586,0.25,1,"MED MED MED","R2"
48,11,260.442119825154,50,3,3.49887960183564,"FISHED",0.276060006115586,0.25,1,"MED MED MED","R2"
49,3,287.979711409595,52,4,4.50081753080537,"FISHED",0.27990196174942,0.25,1,"MED MED MED","R2"
49,4,215.542541077064,50,2,2.49943408639307,"FISHED",0.276060006115586,0.25,1,"MED MED MED","R2"
49,6,344.375110630219,56,8,8.50120402189466,"FISHED",0.275607572635636,0.25,1,"MED MED MED","R2"
49,8,257.701125950814,51,3,3.49917661232212,"FISHED",0.27070638819132,0.25,1,"MED MED MED","R2"
49,13,260.025822949493,51,3,3.49859658002598,"FISHED",0.27070638819132,0.25,1,"MED MED MED","R2"
49,14,232.986612680878,50,2,2.50185436104164,"FISHED",0.276060006115586,0.25,1,"MED MED MED","R2"
50,5,331.360605146874,56,7,7.49916981684928,"FISHED",0.275607572635636,0.25,1,"MED MED MED","R2"
50,6,223.961348356742,51,2,2.50098881249094,"FISHED",0.27070638819132,0.25,1,"MED MED MED","R2"
50,8,166.836368927702,50,1,1.49788014394354,"FISHED",0.276060006115586,0.25,1,"MED MED MED","R2"
51,4,221.039100415815,52,2,2.49965254682905,"FISHED",0.27990196174942,0.25,1,"MED MED MED","R2"
51,6,50.7667127512497,50,0,0.499279994532839,"FISHED",0.276060006115586,0.25,1,"MED MED MED","R2"
51,8,223.01635743076,52,2,2.5000065660683,"FISHED",0.27990196174942,0.25,1,"MED MED MED","R2"
51,10,50.703486497172,50,0,0.500183861281108,"FISHED",0.276060006115586,0.25,1,"MED MED MED","R2"
51,11,49.5594683720684,50,0,0.499147967328609,"FISHED",0.276060006115586,0.25,1,"MED MED MED","R2"
51,12,52.1071932631034,50,0,0.498746187405727,"FISHED",0.276060006115586,0.25,1,"MED MED MED","R2"
52,2,304.779980731011,56,5,5.4994277358693,"FISHED",0.275607572635636,0.25,1,"MED MED MED","R2"
52,7,363.438129489129,65,14,14.4996724539865,"FISHED",0.239628206775524,0.25,1,"MED MED MED","R2"
52,10,257.687598356179,55,4,4.49972905736253,"FISHED",0.237734836479649,0.25,1,"MED MED MED","R2"
53,9,227.911969391698,54,2,2.50198897729276,"FISHED",0.232814327254891,0.25,1,"MED MED MED","R2"
54,1,243.155396574458,55,2,2.50032073230199,"FISHED",0.237734836479649,0.25,1,"MED MED MED","R2"
54,2,325.103893541369,61,8,8.50092220094789,"FISHED",0.214667245442979,0.25,1,"MED MED MED","R2"
54,3,230.865999059457,55,2,2.49904228712672,"FISHED",0.237734836479649,0.25,1,"MED MED MED","R2"
54,4,272.066167289911,56,3,3.5000309601768,"FISHED",0.275607572635636,0.25,1,"MED MED MED","R2"
54,5,48.7180463455168,53,0,0.501036423120493,"FISHED",0.295875975326635,0.25,1,"MED MED MED","R2"
54,6,49.4591746477129,53,0,0.500724501392892,"FISHED",0.295875975326635,0.25,1,"MED MED MED","R2"
54,8,152.261568394399,54,1,1.49901727175291,"FISHED",0.232814327254891,0.25,1,"MED MED MED","R2"
54,10,235.337253442798,55,2,2.49714172180241,"FISHED",0.237734836479649,0.25,1,"MED MED MED","R2"
55,1,158.158048397568,55,1,1.50038637133974,"FISHED",0.237734836479649,0.25,1,"MED MED MED","R2"
55,5,48.4155510132769,54,0,0.501087563100962,"FISHED",0.232814327254891,0.25,1,"MED MED MED","R2"
55,6,271.274998153029,57,3,3.50085218742817,"FISHED",0.284653328335844,0.25,1,"MED MED MED","R2"
55,10,48.8680573118658,54,0,0.499285731016013,"FISHED",0.232814327254891,0.25,1,"MED MED MED","R2"
55,13,214.335190311287,56,2,2.49834678983871,"FISHED",0.275607572635636,0.25,1,"MED MED MED","R2"
56,3,156.904400636137,56,1,1.49936212337025,"FISHED",0.275607572635636,0.25,1,"MED MED MED","R2"
56,4,161.861817498281,56,1,1.50040073321833,"FISHED",0.275607572635636,0.25,1,"MED MED MED","R2"
56,6,51.3956076822632,55,0,0.499816669370469,"FISHED",0.237734836479649,0.25,1,"MED MED MED","R2"
56,7,149.122808658388,56,1,1.50054427450493,"FISHED",0.275607572635636,0.25,1,"MED MED MED","R2"
56,10,51.2891997042601,55,0,0.500537888496078,"FISHED",0.237734836479649,0.25,1,"MED MED MED","R2"
56,11,155.515582083717,56,1,1.49996662393225,"FISHED",0.275607572635636,0.25,1,"MED MED MED","R2"
57,2,355.32702446915,65,9,9.50053544391229,"FISHED",0.239628206775524,0.25,1,"MED MED MED","R2"
57,4,161.91308977349,57,1,1.49972887794946,"FISHED",0.284653328335844,0.25,1,"MED MED MED","R2"
57,5,48.5827207933452,56,0,0.500285952858614,"FISHED",0.275607572635636,0.25,1,"MED MED MED","R2"
57,6,236.588615272313,58,2,2.50033531647251,"FISHED",0.237602266855538,0.25,1,"MED MED MED","R2"
57,7,50.7850063465927,56,0,0.50077991090717,"FISHED",0.275607572635636,0.25,1,"MED MED MED","R2"
57,9,50.6181331024022,56,0,0.500720916658833,"FISHED",0.275607572635636,0.25,1,"MED MED MED","R2"
57,10,321.086595863642,60,4,4.50164347883294,"FISHED",0.24015913719777,0.25,1,"MED MED MED","R2"
57,11,159.903904504031,57,1,1.50065685426669,"FISHED",0.284653328335844,0.25,1,"MED MED MED","R2"
58,3,49.31300583841,57,0,0.500117594230004,"FISHED",0.284653328335844,0.25,1,"MED MED MED","R2"
58,5,49.3176421792417,57,0,0.501166015795801,"FISHED",0.284653328335844,0.25,1,"MED MED MED","R2"
58,6,50.8350944558572,57,0,0.500452721267184,"FISHED",0.284653328335844,0.25,1,"MED MED MED","R2"
58,7,48.6177585259038,57,0,0.499845109950545,"FISHED",0.284653328335844,0.25,1,"MED MED MED","R2"
58,10,151.993095249818,58,1,1.49947394112604,"FISHED",0.237602266855538,0.25,1,"MED MED MED","R2"
58,11,294.07198305489,61,4,4.49985513361132,"FISHED",0.214667245442979,0.25,1,"MED MED MED","R2"
59,2,53.572470896624,58,0,0.49979928145758,"FISHED",0.237602266855538,0.25,1,"MED MED MED","R2"
59,3,47.2048115725693,58,0,0.5007078673956,"FISHED",0.237602266855538,0.25,1,"MED MED MED","R2"
59,4,311.217097607301,62,4,4.50067259625408,"FISHED",0.269737573852763,0.25,1,"MED MED MED","R2"
59,6,49.5502121690433,58,0,0.500070942764372,"FISHED",0.237602266855538,0.25,1,"MED MED MED","R2"
59,7,51.3698353264692,58,0,0.499613985214437,"FISHED",0.237602266855538,0.25,1,"MED MED MED","R2"
59,10,244.668180118584,60,2,2.50093569908503,"FISHED",0.24015913719777,0.25,1,"MED MED MED","R2"
59,12,49.7870689209074,58,0,0.500825401788931,"FISHED",0.237602266855538,0.25,1,"MED MED MED","R2"
59,13,50.6333856382126,58,0,0.501360348230015,"FISHED",0.237602266855538,0.25,1,"MED MED MED","R2"
60,9,155.774634732098,60,1,1.49813149090664,"FISHED",0.24015913719777,0.25,1,"MED MED MED","R2"
61,8,51.1871963642405,60,0,0.500876257635991,"FISHED",0.24015913719777,0.25,1,"MED MED MED","R2"
61,9,49.3877892498818,60,0,0.50166851708814,"FISHED",0.24015913719777,0.25,1,"MED MED MED","R2"
62,1,225.912221672381,63,2,2.4992453642697,"FISHED",0.295988412364386,0.25,1,"MED MED MED","R2"
62,3,283.942204733378,65,4,4.49938347542125,"FISHED",0.239628206775524,0.25,1,"MED MED MED","R2"
62,5,154.388065170071,62,1,1.49969938265806,"FISHED",0.269737573852763,0.25,1,"MED MED MED","R2"
62,8,313.897480350083,65,4,4.50020142703486,"FISHED",0.239628206775524,0.25,1,"MED MED MED","R2"
63,1,319.604765954283,66,4,4.501328036186,"FISHED",0.215749818389304,0.25,1,"MED MED MED","R2"
63,3,50.5969669384595,62,0,0.498785221466445,"FISHED",0.269737573852763,0.25,1,"MED MED MED","R2"
63,4,342.304535969906,72,10,10.49803347524,"FISHED",0.260018791002221,0.25,1,"MED MED MED","R2"
63,7,162.875842653872,63,1,1.50115116763194,"FISHED",0.295988412364386,0.25,1,"MED MED MED","R2"
63,8,154.777166503803,63,1,1.50028985814636,"FISHED",0.295988412364386,0.25,1,"MED MED MED","R2"
63,9,239.884167689034,64,2,2.50050553455045,"FISHED",0.216440128302202,0.25,1,"MED MED MED","R2"
63,11,215.206379639928,64,2,2.498640710417,"FISHED",0.216440128302202,0.25,1,"MED MED MED","R2"
64,1,224.587657482467,65,2,2.50119262300621,"FISHED",0.239628206775524,0.25,1,"MED MED MED","R2"
64,4,169.41682788493,64,1,1.49895148408284,"FISHED",0.216440128302202,0.25,1,"MED MED MED","R2"
64,6,337.396585451711,68,5,5.49994638161117,"FISHED",0.22214882906992,0.25,1,"MED MED MED","R2"
64,7,157.596393056474,64,1,1.50002354460003,"FISHED",0.216440128302202,0.25,1,"MED MED MED","R2"
64,11,164.756019236856,64,1,1.50086841814872,"FISHED",0.216440128302202,0.25,1,"MED MED MED","R2"
65,3,157.225969613548,65,1,1.50048247436183,"FISHED",0.239628206775524,0.25,1,"MED MED MED","R2"
65,4,247.336894147054,67,3,3.49969674192308,"FISHED",0.282714484469034,0.25,1,"MED MED MED","R2"
65,6,49.7178319597582,64,0,0.499354597270144,"FISHED",0.216440128302202,0.25,1,"MED MED MED","R2"
65,8,154.771927774332,65,1,1.49916626990399,"FISHED",0.239628206775524,0.25,1,"MED MED MED","R2"
65,11,49.7708996552343,64,0,0.501782444010153,"FISHED",0.216440128302202,0.25,1,"MED MED MED","R2"
65,12,225.318982624465,66,2,2.49914334277095,"FISHED",0.215749818389304,0.25,1,"MED MED MED","R2"
