"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
1,1,50.1478449595112,0,0,0.499693948969075,"M",0,0.25,1,"MED MED MED","R2"
1,2,324.95808288955,7,7,7.50206013952238,"M",0,0.25,1,"MED MED MED","R2"
1,3,328.677778357332,5,5,5.50021469117798,"M",0,0.25,1,"MED MED MED","R2"
1,4,336.554627463011,7,7,7.50110529385902,"M",0,0.25,1,"MED MED MED","R2"
1,5,156.11536215746,1,1,1.50082065579178,"M",0,0.25,1,"MED MED MED","R2"
1,6,166.214585396955,1,1,1.49854850512928,"M",0,0.25,1,"MED MED MED","R2"
1,7,280.47713176789,3,3,3.50205547647235,"M",0,0.25,1,"MED MED MED","R2"
1,8,160.101335497109,1,1,1.49919608916509,"M",0,0.25,1,"MED MED MED","R2"
1,9,156.848289850139,1,1,1.49890064631765,"M",0,0.25,1,"MED MED MED","R2"
1,10,48.8207936363074,0,0,0.499410657556198,"M",0,0.25,1,"MED MED MED","R2"
1,11,268.587346093388,3,3,3.49843504090211,"M",0,0.25,1,"MED MED MED","R2"
2,1,47.1012350804609,1,0,0.499490387413547,"M",0,0.25,1,"MED MED MED","R2"
2,2,354.670132897374,8,7,7.49955881459808,"M",0,0.25,1,"MED MED MED","R2"
2,3,232.805262924942,3,2,2.49859214885733,"M",0,0.25,1,"MED MED MED","R2"
2,4,255.347116875274,4,3,3.50003703986287,"M",0,0.25,1,"MED MED MED","R2"
2,5,308.555808337967,7,6,6.5011186805747,"M",0,0.25,1,"MED MED MED","R2"
2,6,243.004205286401,3,2,2.50124265295527,"M",0,0.25,1,"MED MED MED","R2"
2,7,50.7558441551155,1,0,0.499453832007277,"M",0,0.25,1,"MED MED MED","R2"
2,8,51.615892949106,1,0,0.500869275613226,"M",0,0.25,1,"MED MED MED","R2"
2,9,155.891218894105,2,1,1.50115782949102,"M",0,0.25,1,"MED MED MED","R2"
2,10,224.471337270057,3,2,2.49886504561163,"M",0,0.25,1,"MED MED MED","R2"
2,11,48.5813628559513,1,0,0.501292793524285,"M",0,0.25,1,"MED MED MED","R2"
2,12,250.929309490742,4,3,3.4983401965775,"M",0,0.25,1,"MED MED MED","R2"
3,1,312.475476176113,8,6,6.499163414624,"M",0,0.25,1,"MED MED MED","R2"
3,2,236.337208704286,4,2,2.50037023766843,"M",0,0.25,1,"MED MED MED","R2"
3,3,226.113585606104,4,2,2.50007881371881,"M",0,0.25,1,"MED MED MED","R2"
3,4,235.582355901119,4,2,2.50044844535328,"M",0,0.25,1,"MED MED MED","R2"
3,5,154.872361679186,3,1,1.5005225937842,"M",0,0.25,1,"MED MED MED","R2"
3,6,274.925020718308,5,3,3.5001806126742,"M",0,0.25,1,"MED MED MED","R2"
3,7,246.859090334449,4,2,2.50007551963775,"M",0,0.25,1,"MED MED MED","R2"
3,8,230.229400398859,4,2,2.502002909208,"M",0,0.25,1,"MED MED MED","R2"
3,9,331.892139706139,9,7,7.50076295694884,"M",0,0.25,1,"MED MED MED","R2"
3,10,50.1156340392621,2,0,0.501010538707864,"M",0,0.25,1,"MED MED MED","R2"
3,11,343.017081237453,12,10,10.5002969409356,"M",0,0.25,1,"MED MED MED","R2"
3,12,161.982577639305,3,1,1.50087974906616,"M",0,0.25,1,"MED MED MED","R2"
3,13,242.793376046394,4,2,2.49886045184794,"M",0,0.25,1,"MED MED MED","R2"
4,1,322.570179881402,9,6,6.50165646583468,"M",0,0.25,1,"MED MED MED","R2"
4,2,279.476621206654,6,3,3.49988035512636,"M",0,0.25,1,"MED MED MED","R2"
4,3,263.710322167235,6,3,3.4999136020226,"M",0,0.25,1,"MED MED MED","R2"
4,4,360.806682519105,9,6,6.49931390848806,"M",0,0.25,1,"MED MED MED","R2"
4,5,323.737929552807,8,5,5.50141242934996,"M",0,0.25,1,"MED MED MED","R2"
4,6,160.92611797095,4,1,1.50033694540417,"M",0,0.25,1,"MED MED MED","R2"
