"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,50.1478449595112,0,0,0.499989423035157,0,0.25,0.05,"MED MED MED","R2"
1,2,2,49.2375051837347,0,0,0.498965749848587,0,0.25,0.05,"MED MED MED","R2"
1,3,3,50.6913453853368,0,0,0.499978331797893,0,0.25,0.05,"MED MED MED","R2"
1,4,4,49.9446132994254,0,0,0.498861119930017,0,0.25,0.05,"MED MED MED","R2"
1,5,5,49.2842499186772,0,0,0.499467666957107,0,0.25,0.05,"MED MED MED","R2"
1,6,6,51.921273268672,0,0,0.500712564049645,0,0.25,0.05,"MED MED MED","R2"
1,7,7,50.7979271200163,0,0,0.500015179692234,0,0.25,0.05,"MED MED MED","R2"
1,8,8,50.330575551215,0,0,0.500783797936715,0,0.25,0.05,"MED MED MED","R2"
1,9,9,49.4771960398888,0,0,0.498896421457448,0,0.25,0.05,"MED MED MED","R2"
1,10,10,48.8207936363074,0,0,0.499023403390344,0,0.25,0.05,"MED MED MED","R2"
1,11,11,49.604421655299,0,0,0.499233537567597,0,0.25,0.05,"MED MED MED","R2"
1,2,2,155.937939871271,1,1,1.50108021712754,0,0.25,0.186605496863371,"MED MED MED","R2"
1,3,3,161.482160427169,1,1,1.50006944364187,0,0.25,0.186605496863371,"MED MED MED","R2"
1,4,4,158.627763518706,1,1,1.50104626230315,0,0.25,0.186605496863371,"MED MED MED","R2"
1,5,5,156.11536215746,1,1,1.49969380662156,0,0.25,0.186605496863371,"MED MED MED","R2"
1,6,6,166.214585396955,1,1,1.49984505634619,0,0.25,0.186605496863371,"MED MED MED","R2"
1,7,7,161.890730852144,1,1,1.49803170738326,0,0.25,0.186605496863371,"MED MED MED","R2"
1,8,8,160.101335497109,1,1,1.49913336576266,0,0.25,0.186605496863371,"MED MED MED","R2"
1,9,9,156.848289850139,1,1,1.4994395072032,0,0.25,0.186605496863371,"MED MED MED","R2"
1,11,11,157.332090222138,1,1,1.50134528484686,0,0.25,0.186605496863371,"MED MED MED","R2"
2,12,1,47.1012350804609,1,0,0.50024622470141,0,0.25,0.05,"MED MED MED","R2"
2,13,2,50.9999019302715,1,0,0.499756804578957,0,0.25,0.05,"MED MED MED","R2"
2,14,3,50.6493536034912,1,0,0.500005560726487,0,0.25,0.05,"MED MED MED","R2"
2,15,4,48.2313863597561,1,0,0.500726903102478,0,0.25,0.05,"MED MED MED","R2"
2,16,5,48.5757695359318,1,0,0.498288424843911,0,0.25,0.05,"MED MED MED","R2"
2,17,6,52.0752590997854,1,0,0.501297032035624,0,0.25,0.05,"MED MED MED","R2"
2,18,7,50.7558441551155,1,0,0.500265753720281,0,0.25,0.05,"MED MED MED","R2"
2,19,8,51.615892949106,1,0,0.499923561403114,0,0.25,0.05,"MED MED MED","R2"
2,20,9,49.2251933531702,1,0,0.500107582679825,0,0.25,0.05,"MED MED MED","R2"
2,21,10,49.459329898646,1,0,0.49975496673819,0,0.25,0.05,"MED MED MED","R2"
2,22,11,48.5813628559513,1,0,0.499807478704826,0,0.25,0.05,"MED MED MED","R2"
2,23,12,47.7623370835264,1,0,0.500195726460738,0,0.25,0.05,"MED MED MED","R2"
1,2,2,222.935611057411,2,2,2.50024755368948,0,0.25,0.5,"MED MED MED","R2"
1,3,3,233.102282017352,2,2,2.49960940012919,0,0.25,0.5,"MED MED MED","R2"
1,4,4,227.850434363016,2,2,2.50093938965848,0,0.25,0.5,"MED MED MED","R2"
1,7,7,233.857067653629,2,2,2.4981722300022,0,0.25,0.5,"MED MED MED","R2"
1,11,11,225.478837342663,2,2,2.50122227311702,0,0.25,0.5,"MED MED MED","R2"
2,13,2,162.665775843958,2,1,1.4987106982393,0,0.25,0.186605496863371,"MED MED MED","R2"
2,14,3,161.321268690901,2,1,1.49916605895413,0,0.25,0.186605496863371,"MED MED MED","R2"
2,15,4,152.132667815431,2,1,1.49777481519583,0,0.25,0.186605496863371,"MED MED MED","R2"
2,16,5,153.432263522845,2,1,1.49955965471785,0,0.25,0.186605496863371,"MED MED MED","R2"
2,17,6,166.809798227986,2,1,1.50062822632339,0,0.25,0.186605496863371,"MED MED MED","R2"
2,20,9,155.891218894105,2,1,1.49914642105833,0,0.25,0.186605496863371,"MED MED MED","R2"
2,21,10,156.780383399214,2,1,1.50034754621021,0,0.25,0.186605496863371,"MED MED MED","R2"
2,23,12,150.367486374497,2,1,1.50137810900056,0,0.25,0.186605496863371,"MED MED MED","R2"
3,24,1,48.8411880782059,2,0,0.501208343104734,0,0.25,0.05,"MED MED MED","R2"
3,25,2,51.1468588819487,2,0,0.501621952071509,0,0.25,0.05,"MED MED MED","R2"
3,26,3,49.6956571405726,2,0,0.499405544959809,0,0.25,0.05,"MED MED MED","R2"
3,27,4,51.0408658627862,2,0,0.501203964141966,0,0.25,0.05,"MED MED MED","R2"
3,28,5,48.9564520506241,2,0,0.502184818052271,0,0.25,0.05,"MED MED MED","R2"
3,29,6,50.2450806850892,2,0,0.499275432423156,0,0.25,0.05,"MED MED MED","R2"
3,30,7,52.6058416028623,2,0,0.500424476330009,0,0.25,0.05,"MED MED MED","R2"
3,31,8,50.2839846751182,2,0,0.499078243594604,0,0.25,0.05,"MED MED MED","R2"
3,32,9,49.6634063610591,2,0,0.499333390197165,0,0.25,0.05,"MED MED MED","R2"
