"Year","season","fleet","CPUE","sd"
0,1,2,0.000115983831831566,0.1
1,1,2,0.000266994700164372,0.1
2,1,2,0.000328475111381464,0.1
3,1,2,0.000443582748278618,0.1
4,1,2,0.000531455479138365,0.1
5,1,2,0.000522485249067191,0.1
6,1,2,0.000418846220693922,0.1
7,1,2,0.000505270230754734,0.1
8,1,2,0.000534632156100168,0.1
9,1,2,0.000480193228703616,0.1
10,1,2,0.000485172154298076,0.1
11,1,2,0.000513293482781212,0.1
12,1,2,0.000650581545393229,0.1
13,1,2,0.000575939324410101,0.1
14,1,2,0.000638482258132052,0.1
15,1,2,0.00056364755034085,0.1
16,1,2,0.000599167495456002,0.1
17,1,2,0.000540330907992351,0.1
18,1,2,0.000597437677122431,0.1
19,1,2,0.000501189647842757,0.1
20,1,2,0.000667428400239074,0.1
21,1,2,0.000443074057872035,0.1
22,1,2,0.000416526984508969,0.1
23,1,2,0.000466057821345948,0.1
24,1,2,0.000494456136635676,0.1
25,1,2,0.00039744287493415,0.1
26,1,2,0.000416418521745221,0.1
27,1,2,0.000378803031371086,0.1
28,1,2,0.000450243316084377,0.1
29,1,2,0.000399898573813125,0.1
30,1,2,0.000402280637094608,0.1
31,1,2,0.00046003845486921,0.1
32,1,2,0.000448348636531878,0.1
33,1,2,0.000459437149990011,0.1
34,1,2,0.000526199942721055,0.1
35,1,2,0.000510449990030851,0.1
36,1,2,0.000452428611871346,0.1
37,1,2,0.000421772099103859,0.1
38,1,2,0.000433538440434299,0.1
39,1,2,0.00043507296298415,0.1
40,1,2,0.000444334515257171,0.1
41,1,2,0.000510474782777285,0.1
42,1,2,0.000562450830761993,0.1
43,1,2,0.000569502836807427,0.1
44,1,2,0.000419961627643043,0.1
45,1,2,0.000460889530997203,0.1
46,1,2,0.000548825874949152,0.1
47,1,2,0.000624131173328502,0.1
48,1,2,0.00076413469136501,0.1
49,1,2,0.00058582148957769,0.1
50,1,2,0.000509495958045836,0.1
51,1,2,0.000366897614642341,0.1
52,1,2,0.000350339047309094,0.1
53,1,2,0.000365508662922417,0.1
54,1,2,0.000372250353345136,0.1
55,1,2,0.000330340868640972,0.1
56,1,2,0.000265086173601629,0.1
57,1,2,0.000233793149949336,0.1
58,1,2,0.000192336502247912,0.1
59,1,2,0.000276036258415428,0.1
60,1,2,0.000302523347459056,0.1
61,1,2,0.000235710544089741,0.1
62,1,2,0.000260586254145875,0.1
63,1,2,0.000278689072563351,0.1
64,1,2,0.000283807389796038,0.1
65,1,2,0.000309208541295969,0.1
66,1,2,0.000264367408807884,0.1
67,1,2,0.000261169714811631,0.1
68,1,2,0.000293531569424409,0.1
69,1,2,0.000280519626393068,0.1
70,1,2,0.000285937973981391,0.1
71,1,2,0.000242848640109871,0.1
72,1,2,0.000184981200611164,0.1
73,1,2,0.000223627122293545,0.1
74,1,2,0.000309106610479688,0.1
75,1,2,0.000222520776749341,0.1
76,1,2,0.00023972388514004,0.1
77,1,2,0.000212736969025108,0.1
78,1,2,0.000191498695638774,0.1
79,1,2,0.000260061781249387,0.1
80,1,2,0.000231402677155866,0.1
81,1,2,0.000217023723498746,0.1
82,1,2,0.000240806547850147,0.1
83,1,2,0.000317093956531777,0.1
84,1,2,0.000381310640866021,0.1
85,1,2,0.000324151696924535,0.1
86,1,2,0.000293237842681406,0.1
87,1,2,0.0002946092694782,0.1
88,1,2,0.000227680314004846,0.1
89,1,2,0.000231975905757918,0.1
90,1,2,0.000219093737779076,0.1
91,1,2,0.000235135274953642,0.1
92,1,2,0.000166110962209098,0.1
93,1,2,0.00019534836194097,0.1
94,1,2,0.00023070895194423,0.1
95,1,2,0.000229281584232955,0.1
96,1,2,0.000247790966122206,0.1
97,1,2,0.000255417140278144,0.1
98,1,2,0.000240345866718005,0.1
99,1,2,0.000196728435489921,0.1
