"Year","Age","AgeE","Length_cm","FSIM","FMORT","REG"
0,0,0.499505123531513,5.8893399405666,"HIGH LOW NA",0,NA
1,1,1.50137589397471,8.97446481649704,"HIGH LOW NA",0,NA
0,0,0.499426659397242,6.23755461006217,"HIGH LOW NA",0,NA
1,1,1.49885223817417,9.77277093488789,"HIGH LOW NA",0,NA
2,2,2.49968493065737,12.4903620174277,"HIGH LOW NA",0,NA
3,3,3.50004952496421,14.5794283186996,"HIGH LOW NA",0,NA
4,4,4.50024519179606,16.18533512313,"HIGH LOW NA",0,NA
0,0,0.499624723752976,6.21623058873186,"HIGH LOW NA",0,NA
1,1,1.49801752993988,9.72302508329183,"HIGH LOW NA",0,NA
0,0,0.499569877510348,5.94526849621195,"HIGH LOW NA",0,NA
1,1,1.49873950753345,9.10067025211087,"HIGH LOW NA",0,NA
2,2,2.50015885764484,11.4126279815134,"HIGH LOW NA",0,NA
0,0,0.500828095863312,6.24037846425581,"HIGH LOW NA",0,NA
1,1,1.4999930621368,9.77936698128857,"HIGH LOW NA",0,NA
0,0,0.501033563188522,6.30174863920643,"HIGH LOW NA",0,NA
1,1,1.50085203923533,9.92320286199964,"HIGH LOW NA",0,NA
2,2,2.50011899666948,12.7357371775626,"HIGH LOW NA",0,NA
3,3,3.49982537608518,14.9200390600583,"HIGH LOW NA",0,NA
4,4,4.50015139004141,16.6164360382119,"HIGH LOW NA",0,NA
5,5,5.50056259290987,17.9339108481501,"HIGH LOW NA",0,NA
6,6,6.50001085739137,18.9571028823112,"HIGH LOW NA",0,NA
7,7,7.5000899239578,19.7517457330688,"HIGH LOW NA",0,NA
8,8,8.49916934951403,20.3688901587269,"HIGH LOW NA",0,NA
9,9,9.49970684408672,20.8481837706403,"HIGH LOW NA",0,NA
10,10,10.5009522633904,21.2204181405385,"HIGH LOW NA",0,NA
11,11,11.4987505884911,21.5095069635261,"HIGH LOW NA",0,NA
12,12,12.4998954636937,21.7340223611751,"HIGH LOW NA",0,NA
0,0,0.500206543911443,6.21528361376406,"HIGH LOW NA",0,NA
1,1,1.50087541533477,9.72081852707601,"HIGH LOW NA",0,NA
2,2,2.50174958532548,12.4059713095782,"HIGH LOW NA",0,NA
3,3,3.4989935066158,14.4627317309336,"HIGH LOW NA",0,NA
4,4,4.50076971641649,16.0381591920525,"HIGH LOW NA",0,NA
0,0,0.502123748894533,6.34345405000076,"HIGH LOW NA",0,NA
0,0,0.500082376390237,6.29228742073537,"HIGH LOW NA",0,NA
1,1,1.50097824228254,9.90096767701726,"HIGH LOW NA",0,NA
2,2,2.50198799283605,12.6993735885071,"HIGH LOW NA",0,NA
3,3,3.50138309944318,14.8694399533032,"HIGH LOW NA",0,NA
4,4,4.50086650902381,16.5522508737219,"HIGH LOW NA",0,NA
5,5,5.50067697923188,17.8572121596163,"HIGH LOW NA",0,NA
0,0,0.499174045975998,6.38864758334461,"HIGH LOW NA",0,NA
0,0,0.500405180058613,6.48133647922811,"HIGH LOW NA",0,NA
0,0,0.499456000718945,6.25546636234902,"HIGH LOW NA",0,NA
1,1,1.50060685142239,9.81464306849257,"HIGH LOW NA",0,NA
2,2,2.50000263878137,12.5585096944353,"HIGH LOW NA",0,NA
3,3,3.49986629837477,14.6738314900536,"HIGH LOW NA",0,NA
4,4,4.49816251394301,16.3045908923917,"HIGH LOW NA",0,NA
0,0,0.500322227924514,6.63002968447459,"HIGH LOW NA",0,NA
1,1,1.49982584805631,10.7083733977516,"HIGH LOW NA",0,NA
2,2,2.50048534586669,14.0407421314568,"HIGH LOW NA",0,NA
3,3,3.50044488491938,16.7635831076169,"HIGH LOW NA",0,NA
0,0,0.499571128363152,6.08502035118678,"HIGH LOW NA",0,NA
1,1,1.50030582331231,9.41939715743903,"HIGH LOW NA",0,NA
1,0,0.499575576708893,6.29661807857209,"HIGH LOW NA",0,NA
1,0,0.498478474173387,6.35050529803159,"HIGH LOW NA",0,NA
2,1,1.49900300080862,10.0381376402698,"HIGH LOW NA",0,NA
3,2,2.49937613552019,12.9242261899692,"HIGH LOW NA",0,NA
4,3,3.49991125402827,15.1829945116644,"HIGH LOW NA",0,NA
5,4,4.50003701204136,16.9507969346444,"HIGH LOW NA",0,NA
6,5,5.50023069047095,18.3343498101994,"HIGH LOW NA",0,NA
7,6,6.49945680741085,19.4171736227326,"HIGH LOW NA",0,NA
8,7,7.50159090020086,20.2646348435541,"HIGH LOW NA",0,NA
9,8,8.4994988188008,20.9278918872979,"HIGH LOW NA",0,NA
10,9,9.49878841403851,21.446983375224,"HIGH LOW NA",0,NA
1,0,0.499834810809844,6.40168820133327,"HIGH LOW NA",0,NA
1,0,0.499321824359648,6.45010112767813,"HIGH LOW NA",0,NA
2,1,1.50003468364364,10.2747372478038,"HIGH LOW NA",0,NA
3,2,2.49952073039667,13.3149949669586,"HIGH LOW NA",0,NA
4,3,3.5001962231474,15.7317391247208,"HIGH LOW NA",0,NA
5,4,4.4989951710372,17.6528434729738,"HIGH LOW NA",0,NA
6,5,5.50078140441456,19.1799566781605,"HIGH LOW NA",0,NA
7,6,6.49858620653523,20.3938807128317,"HIGH LOW NA",0,NA
8,7,7.49981844223504,21.3588462156821,"HIGH LOW NA",0,NA
1,0,0.498048822844555,6.37728921295119,"HIGH LOW NA",0,NA
2,1,1.49969543743766,10.1015251002379,"HIGH LOW NA",0,NA
3,2,2.50001437411476,13.0285542494157,"HIGH LOW NA",0,NA
4,3,3.50165541682531,15.3290260507276,"HIGH LOW NA",0,NA
5,4,4.50029971927516,17.1370608323824,"HIGH LOW NA",0,NA
6,5,5.5003910273414,18.558069240227,"HIGH LOW NA",0,NA
7,6,6.50140527039246,19.6748978077156,"HIGH LOW NA",0,NA
8,7,7.50057485407453,20.5526590104452,"HIGH LOW NA",0,NA
9,8,8.50090518362756,21.2425274033624,"HIGH LOW NA",0,NA
10,9,9.49824305594045,21.7847231600969,"HIGH LOW NA",0,NA
11,10,10.5001827532806,22.2108569584258,"HIGH LOW NA",0,NA
12,11,11.4997302286346,22.5457729215678,"HIGH LOW NA",0,NA
1,0,0.499759781190286,6.40713387283228,"HIGH LOW NA",0,NA
2,1,1.49996833937812,10.1723644772115,"HIGH LOW NA",0,NA
3,2,2.49970783505734,13.1454618439211,"HIGH LOW NA",0,NA
1,0,0.501104854329278,6.53799593758623,"HIGH LOW NA",0,NA
1,0,0.50001880757441,6.13133537227137,"HIGH LOW NA",0,NA
1,0,0.500963040475274,6.28324397604334,"HIGH LOW NA",0,NA
2,1,1.50061683697925,9.87973494257816,"HIGH LOW NA",0,NA
3,2,2.50106354538747,12.664680125179,"HIGH LOW NA",0,NA
4,3,3.50105519629872,14.8212042878309,"HIGH LOW NA",0,NA
5,4,4.49838278689856,16.4911102138636,"HIGH LOW NA",0,NA
6,5,5.50046231940848,17.7842029832811,"HIGH LOW NA",0,NA
7,6,6.50021876487771,18.7855102331405,"HIGH LOW NA",0,NA
8,7,7.50174548720789,19.5608731710004,"HIGH LOW NA",0,NA
1,0,0.499834300172453,6.00807975491986,"HIGH LOW NA",0,NA
1,0,0.501727495356703,6.31224094782392,"HIGH LOW NA",0,NA
2,1,1.4998996022409,9.94788705432439,"HIGH LOW NA",0,NA
3,2,2.49947568174135,12.7761444044114,"HIGH LOW NA",0,NA
2,0,0.501089940252824,6.1845587834503,"HIGH LOW NA",0,NA
3,1,1.50051087540064,9.64934620734262,"HIGH LOW NA",0,NA
4,2,2.49997528162077,12.2901678465083,"HIGH LOW NA",0,NA
