"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
1,1,122.794158308772,2,2,2.50163938371418,"M",0,0.25,0.0788789775563743,"HIGH LOW NA",NA
1,2,58.9725827919414,0,0,0.500622472922602,"M",0,0.25,0.00013133432410857,"HIGH LOW NA",NA
1,3,184.757574005953,9,9,9.50003529957827,"M",0,0.25,0.978826754779226,"HIGH LOW NA",NA
1,4,126.622881788767,2,2,2.49900825849856,"M",0,0.25,0.112152814743117,"HIGH LOW NA",NA
1,5,131.35017826579,2,2,2.49914141394451,"M",0,0.25,0.16952975756881,"HIGH LOW NA",NA
1,6,179.868280213395,6,6,6.49965079698767,"M",0,0.25,0.965682996868234,"HIGH LOW NA",NA
1,7,101.773921525566,1,1,1.50033297086502,"M",0,0.25,0.0100318144202342,"HIGH LOW NA",NA
1,8,183.11375346194,6,6,6.49985704150981,"M",0,0.25,0.975076755000797,"HIGH LOW NA",NA
1,9,126.254061762287,2,2,2.49988958067381,"M",0,0.25,0.108477832852216,"HIGH LOW NA",NA
1,10,63.3755961856854,0,0,0.498627830641358,"M",0,0.25,0.000205350968824017,"HIGH LOW NA",NA
1,11,165.011592204867,6,6,6.50024607262868,"M",0,0.25,0.861613917278856,"HIGH LOW NA",NA
1,12,63.4934573871766,0,0,0.502768462274449,"M",0,0.25,0.000207822596493426,"HIGH LOW NA",NA
2,1,94.068364378871,2,1,1.49981559889492,"M",0,0.25,0.00461290051828855,"HIGH LOW NA",NA
2,2,123.065892589141,3,2,2.50064209000324,"M",0,0.25,0.0809070083575825,"HIGH LOW NA",NA
2,3,224.322476976535,14,13,13.4994047437762,"M",0,0.25,0.999610686020952,"HIGH LOW NA",NA
2,4,96.9023664985548,2,1,1.49988296384681,"M",0,0.25,0.00614146300613927,"HIGH LOW NA",NA
2,5,185.294419172735,6,5,5.49947580973448,"M",0,0.25,0.979927413358111,"HIGH LOW NA",NA
2,6,121.755691890912,3,2,2.50054070307353,"M",0,0.25,0.0715503570533604,"HIGH LOW NA",NA
2,7,62.7680148217614,1,0,0.499561949941344,"M",0,0.25,0.000193068232447589,"HIGH LOW NA",NA
2,8,96.6755019505114,2,1,1.50072131727679,"M",0,0.25,0.00600245617070476,"HIGH LOW NA",NA
2,9,104.582915219861,2,1,1.49855748990287,"M",0,0.25,0.0132986155301223,"HIGH LOW NA",NA
2,10,151.995939465609,5,4,4.50069462696684,"M",0,0.25,0.624161499554735,"HIGH LOW NA",NA
3,1,188.072153754259,13,11,11.5001060576618,"M",0,0.25,0.984785178372756,"HIGH LOW NA",NA
3,2,165.692751087505,7,5,5.50108598944898,"M",0,0.25,0.86965587061543,"HIGH LOW NA",NA
3,3,175.14545939677,8,6,6.5016223459712,"M",0,0.25,0.945714082561592,"HIGH LOW NA",NA
3,4,185.67191902818,7,5,5.50000797212504,"M",0,0.25,0.98066761524789,"HIGH LOW NA",NA
3,5,216.193235677918,10,8,8.50029532919329,"M",0,0.25,0.999111736796716,"HIGH LOW NA",NA
3,6,97.8003143573457,3,1,1.4992727984695,"M",0,0.25,0.00672376121232553,"HIGH LOW NA",NA
3,7,60.4190985234502,2,0,0.500081574807226,"M",0,0.25,0.000152108422186322,"HIGH LOW NA",NA
3,8,228.852084904983,8,6,6.4998674070972,"M",0,0.25,0.999754173051333,"HIGH LOW NA",NA
3,9,65.0482021099085,2,0,0.498584216430253,"M",0,0.25,0.000243351331388831,"HIGH LOW NA",NA
3,10,196.60839889413,8,6,6.5007467880573,"M",0,0.25,0.993547785398082,"HIGH LOW NA",NA
3,11,186.787800532297,9,7,7.50121918652753,"M",0,0.25,0.982702594850245,"HIGH LOW NA",NA
3,12,99.2365720953241,3,1,1.4998502408075,"M",0,0.25,0.007771159043189,"HIGH LOW NA",NA
4,1,63.0311260791318,3,0,0.501517126058158,"M",0,0.25,0.000198294390472199,"HIGH LOW NA",NA
4,2,98.2348262012322,4,1,1.50046055749393,"M",0,0.25,0.00702490362533755,"HIGH LOW NA",NA
