"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,62.8037469307072,0,0,0.499548166358094,0,0.25,0.05,"HIGH LOW NA",NA
1,2,2,64.5471885729485,0,0,0.500606204046206,0,0.25,0.05,"HIGH LOW NA",NA
1,3,3,64.9680798566676,0,0,0.498160468235611,0,0.25,0.05,"HIGH LOW NA",NA
1,4,4,61.4323563504268,0,0,0.497975558564639,0,0.25,0.05,"HIGH LOW NA",NA
1,5,5,62.625030862354,0,0,0.500031831586651,0,0.25,0.05,"HIGH LOW NA",NA
1,6,6,63.8035923964124,0,0,0.50101295289572,0,0.25,0.05,"HIGH LOW NA",NA
1,7,7,61.3631275916974,0,0,0.500095339822611,0,0.25,0.05,"HIGH LOW NA",NA
1,8,8,62.7994760464851,0,0,0.499376384448066,0,0.25,0.05,"HIGH LOW NA",NA
1,9,9,62.0994504181927,0,0,0.500816222895016,0,0.25,0.05,"HIGH LOW NA",NA
1,10,10,61.5252670555274,0,0,0.501171444831655,0,0.25,0.05,"HIGH LOW NA",NA
1,11,11,60.6073122951465,0,0,0.499266552571525,0,0.25,0.05,"HIGH LOW NA",NA
1,12,12,64.8181598253387,0,0,0.4995118464304,0,0.25,0.05,"HIGH LOW NA",NA
1,13,13,60.531231734341,0,0,0.499790780229201,0,0.25,0.05,"HIGH LOW NA",NA
1,14,14,63.0918470908871,0,0,0.499946061889186,0,0.25,0.05,"HIGH LOW NA",NA
1,1,1,98.7300248275913,1,1,1.50092122503954,0,0.25,0.186605496863371,"HIGH LOW NA",NA
1,2,2,102.857664219765,1,1,1.49950273120582,0,0.25,0.186605496863371,"HIGH LOW NA",NA
1,3,3,103.86536089253,1,1,1.50053464288422,0,0.25,0.186605496863371,"HIGH LOW NA",NA
1,4,4,95.5358692230869,1,1,1.50020479921951,0,0.25,0.186605496863371,"HIGH LOW NA",NA
1,5,5,98.3111438681521,1,1,1.49830953881775,0,0.25,0.186605496863371,"HIGH LOW NA",NA
1,7,7,95.3758551135577,1,1,1.50084142727178,0,0.25,0.186605496863371,"HIGH LOW NA",NA
1,9,9,97.0838320053753,1,1,1.50068574815234,0,0.25,0.186605496863371,"HIGH LOW NA",NA
1,10,10,95.7508070137943,1,1,1.49844800188217,0,0.25,0.186605496863371,"HIGH LOW NA",NA
1,11,11,93.6365622598454,1,1,1.49796795730776,0,0.25,0.186605496863371,"HIGH LOW NA",NA
1,12,12,103.505922141963,1,1,1.50123239272756,0,0.25,0.186605496863371,"HIGH LOW NA",NA
1,13,13,93.4622646001957,1,1,1.50039552134856,0,0.25,0.186605496863371,"HIGH LOW NA",NA
1,14,14,99.4069415002641,1,1,1.49942162035427,0,0.25,0.186605496863371,"HIGH LOW NA",NA
2,15,1,62.4000072731437,1,0,0.500160350557603,0,0.25,0.05,"HIGH LOW NA",NA
2,16,2,62.8289316631623,1,0,0.501321620962762,0,0.25,0.05,"HIGH LOW NA",NA
2,17,3,58.4110963177962,1,0,0.5013575556009,0,0.25,0.05,"HIGH LOW NA",NA
2,18,4,60.8869133429727,1,0,0.499743242538516,0,0.25,0.05,"HIGH LOW NA",NA
2,19,5,61.7051499691816,1,0,0.499060225834518,0,0.25,0.05,"HIGH LOW NA",NA
