"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,62.8903506864071,0,0,0.501223175320149,0,0.25,0.05,"HIGH LOW NA",NA
1,1,1,98.9332929117108,1,1,1.49833959113358,0,0.25,0.186605496863371,"HIGH LOW NA",NA
1,1,1,126.868893065595,2,2,2.49902043718122,0,0.25,0.5,"HIGH LOW NA",NA
1,1,1,148.520781279367,3,3,3.50286904306026,0,0.25,0.813394503136629,"HIGH LOW NA",NA
1,1,1,165.302388284022,4,4,4.49893633432664,0,0.25,0.95,"HIGH LOW NA",NA
1,1,1,178.309213872543,5,5,5.50001168475171,0,0.25,0.98806954215117,"HIGH LOW NA",NA
1,2,2,61.6744582473664,0,0,0.499638877073631,0,0.25,0.05,"HIGH LOW NA",NA
1,3,3,64.9305271436732,0,0,0.50120273823838,0,0.25,0.05,"HIGH LOW NA",NA
1,3,3,103.775274887805,1,1,1.49993506605231,0,0.25,0.186605496863371,"HIGH LOW NA",NA
1,4,4,62.8859357927178,0,0,0.49997887487804,0,0.25,0.05,"HIGH LOW NA",NA
1,4,4,98.9229262220294,1,1,1.50062781660448,0,0.25,0.186605496863371,"HIGH LOW NA",NA
1,4,4,126.851952599598,2,2,2.50000833165772,0,0.25,0.5,"HIGH LOW NA",NA
1,4,4,148.497226111795,3,3,3.49934900634149,0,0.25,0.813394503136629,"HIGH LOW NA",NA
1,4,4,165.272528590443,4,4,4.49970477723552,0,0.25,0.95,"HIGH LOW NA",NA
1,4,4,178.27355503123,5,5,5.49774592504296,0,0.25,0.98806954215117,"HIGH LOW NA",NA
1,4,4,188.349479964873,6,6,6.49790193296233,0,0.25,0.997237569060774,"HIGH LOW NA",NA
1,4,4,196.158422107313,7,7,7.49826940497394,0,0.25,0.999364902956742,"HIGH LOW NA",NA
1,4,4,202.210430015823,8,8,8.49961929330479,0,0.25,0.999854227405248,"HIGH LOW NA",NA
1,4,4,206.900796400484,9,9,9.49982239022926,0,0.25,0.999966553716173,"HIGH LOW NA",NA
1,4,4,210.535877047261,10,10,10.5000802974131,0,0.25,0.999992326698485,"HIGH LOW NA",NA
1,4,4,213.353100740443,11,11,11.4994300415642,0,0.25,0.999998239613493,"HIGH LOW NA",NA
1,5,5,64.2548945793851,0,0,0.499532430621182,0,0.25,0.05,"HIGH LOW NA",NA
1,5,5,102.16042387107,1,1,1.49863670475224,0,0.25,0.186605496863371,"HIGH LOW NA",NA
1,5,5,132.177095517692,2,2,2.50157398561541,0,0.25,0.5,"HIGH LOW NA",NA
1,6,6,64.7705124385842,0,0,0.501064607406751,0,0.25,0.05,"HIGH LOW NA",NA
1,6,6,103.391801805419,1,1,1.49993230745602,0,0.25,0.186605496863371,"HIGH LOW NA",NA
1,6,6,134.220689481421,2,2,2.49959949297571,0,0.25,0.5,"HIGH LOW NA",NA
1,6,6,158.829404801932,3,3,3.50218358911855,0,0.25,0.813394503136629,"HIGH LOW NA",NA
1,6,6,178.472957176914,4,4,4.50015513243838,0,0.25,0.95,"HIGH LOW NA",NA
1,6,6,194.153139782263,5,5,5.498131262078,0,0.25,0.98806954215117,"HIGH LOW NA",NA
1,6,6,206.669619584063,6,6,6.50034810234921,0,0.25,0.997237569060774,"HIGH LOW NA",NA
1,7,7,65.1043820918277,0,0,0.501806057063069,0,0.25,0.05,"HIGH LOW NA",NA
1,7,7,104.192631274653,1,1,1.50169696210572,0,0.25,0.186605496863371,"HIGH LOW NA",NA
1,8,8,61.4080383450941,0,0,0.499703375031664,0,0.25,0.05,"HIGH LOW NA",NA
1,8,8,95.479647562733,1,1,1.50041361537067,0,0.25,0.186605496863371,"HIGH LOW NA",NA
1,9,9,62.6424927282063,0,0,0.500423768978797,0,0.25,0.05,"HIGH LOW NA",NA
1,9,9,98.3520368968025,1,1,1.49998814590762,0,0.25,0.186605496863371,"HIGH LOW NA",NA
1,9,9,125.920153152536,2,2,2.50048134234225,0,0.25,0.5,"HIGH LOW NA",NA
1,9,9,147.203007683007,3,3,3.49947068670596,0,0.25,0.813394503136629,"HIGH LOW NA",NA
1,9,9,163.633578882117,4,4,4.49833245094426,0,0.25,0.95,"HIGH LOW NA",NA
1,10,10,63.3254452786507,0,0,0.501325670502973,0,0.25,0.05,"HIGH LOW NA",NA
1,10,10,99.9573028995637,1,1,1.49999902270196,0,0.25,0.186605496863371,"HIGH LOW NA",NA
1,11,11,63.9283422712816,0,0,0.498440588416478,0,0.25,0.05,"HIGH LOW NA",NA
1,11,11,101.383953990262,1,1,1.49863155323645,0,0.25,0.186605496863371,"HIGH LOW NA",NA
1,12,12,62.0055965570928,0,0,0.50070762031959,0,0.25,0.05,"HIGH LOW NA",NA
1,13,13,61.797098018692,0,0,0.499892179417044,0,0.25,0.05,"HIGH LOW NA",NA
1,13,13,96.3808773035552,1,1,1.49914928555219,0,0.25,0.186605496863371,"HIGH LOW NA",NA
1,13,13,122.719574282218,2,2,2.50202686029887,0,0.25,0.5,"HIGH LOW NA",NA
1,13,13,142.778890322251,3,3,3.49917920703001,0,0.25,0.813394503136629,"HIGH LOW NA",NA
1,13,13,158.055886003545,4,4,4.5001169420798,0,0.25,0.95,"HIGH LOW NA",NA
1,13,13,169.690709273715,5,5,5.50097993108635,0,0.25,0.98806954215117,"HIGH LOW NA",NA
1,13,13,178.551686611938,6,6,6.49901321326525,0,0.25,0.997237569060774,"HIGH LOW NA",NA
1,13,13,185.300127698261,7,7,7.50001296891954,0,0.25,0.999364902956742,"HIGH LOW NA",NA
1,13,13,190.439680070109,8,8,8.49929250752839,0,0.25,0.999854227405248,"HIGH LOW NA",NA
2,14,1,65.0791496552811,1,0,0.499823179197769,0,0.25,0.05,"HIGH LOW NA",NA
2,14,1,104.132012042146,2,1,1.50210103422644,0,0.25,0.186605496863371,"HIGH LOW NA",NA
2,14,1,135.453940595166,3,2,2.50054441580296,0,0.25,0.5,"HIGH LOW NA",NA
2,14,1,160.575356755701,4,3,3.50016675875317,0,0.25,0.813394503136629,"HIGH LOW NA",NA
2,15,2,64.259847179103,1,0,0.500041145167484,0,0.25,0.05,"HIGH LOW NA",NA
2,15,2,102.172220302464,2,1,1.4999083912476,0,0.25,0.186605496863371,"HIGH LOW NA",NA
2,16,3,61.0484711658462,1,0,0.501650347117116,0,0.25,0.05,"HIGH LOW NA",NA
2,16,3,94.6500525492456,2,1,1.50015404638538,0,0.25,0.186605496863371,"HIGH LOW NA",NA
2,16,3,119.930704129264,3,2,2.50071980296931,0,0.25,0.5,"HIGH LOW NA",NA
2,16,3,138.950979901941,4,3,3.49959407578623,0,0.25,0.813394503136629,"HIGH LOW NA",NA
2,17,4,60.5850824568212,1,0,0.499766696434394,0,0.25,0.05,"HIGH LOW NA",NA
2,17,4,93.5856197960519,2,1,1.50106465134607,0,0.25,0.186605496863371,"HIGH LOW NA",NA
2,17,4,118.225606467855,3,2,2.499446697984,0,0.25,0.5,"HIGH LOW NA",NA
2,17,4,136.623153663697,4,3,3.49943504481608,0,0.25,0.813394503136629,"HIGH LOW NA",NA
2,17,4,150.359757799548,5,4,4.49782329849302,0,0.25,0.95,"HIGH LOW NA",NA
2,18,5,58.9999116520932,1,0,0.500115856173483,0,0.25,0.05,"HIGH LOW NA",NA
2,18,5,89.9844037565573,2,1,1.49925240063456,0,0.25,0.186605496863371,"HIGH LOW NA",NA
2,18,5,112.513797062776,3,2,2.49929656893812,0,0.25,0.5,"HIGH LOW NA",NA
2,18,5,128.895332736655,4,3,3.49775338548274,0,0.25,0.813394503136629,"HIGH LOW NA",NA
2,18,5,140.806648207387,5,4,4.50121610338944,0,0.25,0.95,"HIGH LOW NA",NA
2,18,5,149.46758446317,6,5,5.49917246274834,0,0.25,0.98806954215117,"HIGH LOW NA",NA
2,18,5,155.765110291535,7,6,6.49995747069691,0,0.25,0.997237569060774,"HIGH LOW NA",NA
2,18,5,160.344156988991,8,7,7.49951788325828,0,0.25,0.999364902956742,"HIGH LOW NA",NA
2,18,5,163.673665946786,9,8,8.49930243433746,0,0.25,0.999854227405248,"HIGH LOW NA",NA
2,18,5,166.094613063615,10,9,9.50115708762972,0,0.25,0.999966553716173,"HIGH LOW NA",NA
2,18,5,167.854928178181,11,10,10.4985288811898,0,0.25,0.999992326698485,"HIGH LOW NA",NA
2,19,6,62.9660379246022,1,0,0.498736536727229,0,0.25,0.05,"HIGH LOW NA",NA
2,19,6,99.1110901668378,2,1,1.50164874773585,0,0.25,0.186605496863371,"HIGH LOW NA",NA
2,20,7,63.2138740793018,1,0,0.500965800216287,0,0.25,0.05,"HIGH LOW NA",NA
2,20,7,99.6942714221665,2,1,1.49806487884541,0,0.25,0.186605496863371,"HIGH LOW NA",NA
2,20,7,128.114379216525,3,2,2.50036125558441,0,0.25,0.5,"HIGH LOW NA",NA
2,21,8,64.576038646754,1,0,0.500048032615002,0,0.25,0.05,"HIGH LOW NA",NA
2,22,9,59.9143049285335,1,0,0.498760074458362,0,0.25,0.05,"HIGH LOW NA",NA
2,22,9,92.0541778097767,2,1,1.49999928700536,0,0.25,0.186605496863371,"HIGH LOW NA",NA
2,22,9,115.78585509403,3,2,2.49772421039911,0,0.25,0.5,"HIGH LOW NA",NA
2,22,9,133.309026663654,4,3,3.50053644147684,0,0.25,0.813394503136629,"HIGH LOW NA",NA
2,22,9,146.247915819299,5,4,4.50053399596919,0,0.25,0.95,"HIGH LOW NA",NA
2,22,9,155.801828586567,6,5,5.49989799469243,0,0.25,0.98806954215117,"HIGH LOW NA",NA
2,22,9,162.856317427655,7,6,6.49992448943623,0,0.25,0.997237569060774,"HIGH LOW NA",NA
2,22,9,168.06526312575,8,7,7.50024742102397,0,0.25,0.999364902956742,"HIGH LOW NA",NA
2,22,9,171.91148301452,9,8,8.5006866926933,0,0.25,0.999854227405248,"HIGH LOW NA",NA
2,23,10,62.1806623803657,1,0,0.49986980285126,0,0.25,0.05,"HIGH LOW NA",NA
2,23,10,97.2730297832075,2,1,1.49857363592857,0,0.25,0.186605496863371,"HIGH LOW NA",NA
2,23,10,124.164946988878,3,2,2.49959100492279,0,0.25,0.5,"HIGH LOW NA",NA
2,23,10,144.772710571624,4,3,3.5007261657018,0,0.25,0.813394503136629,"HIGH LOW NA",NA
