"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
41,5,198.531522188195,50,10,10.5006007197935,"FISHED",0.344511559419334,0.25,1,"HIGH LOW NA",NA
41,11,193.487696417691,50,10,10.5013859417032,"FISHED",0.344511559419334,0.25,1,"HIGH LOW NA",NA
42,7,214.651928671077,53,12,12.5003990333337,"FISHED",0.315189862647094,0.25,1,"HIGH LOW NA",NA
44,8,218.460796228798,50,7,7.50151629127695,"FISHED",0.344511559419334,0.25,1,"HIGH LOW NA",NA
45,12,205.943686074181,53,9,9.5005737364632,"FISHED",0.315189862647094,0.25,1,"HIGH LOW NA",NA
46,1,181.866725419873,51,6,6.5007770832238,"FISHED",0.367079903394915,0.25,1,"HIGH LOW NA",NA
47,9,191.700678274457,52,6,6.50060156005499,"FISHED",0.380133307329379,0.25,1,"HIGH LOW NA",NA
48,3,158.014739141274,51,4,4.49909200092055,"FISHED",0.367079903394915,0.25,1,"HIGH LOW NA",NA
48,5,154.716282465036,50,3,3.49873166440774,"FISHED",0.344511559419334,0.25,1,"HIGH LOW NA",NA
48,12,148.278559622482,51,4,4.50019262606235,"FISHED",0.367079903394915,0.25,1,"HIGH LOW NA",NA
49,7,189.260481873596,53,5,5.50131968251442,"FISHED",0.315189862647094,0.25,1,"HIGH LOW NA",NA
49,10,124.050016754633,50,2,2.50072151971263,"FISHED",0.344511559419334,0.25,1,"HIGH LOW NA",NA
50,1,97.1267908871126,50,1,1.50018001471387,"FISHED",0.344511559419334,0.25,1,"HIGH LOW NA",NA
50,2,120.362934209403,51,2,2.5009982832178,"FISHED",0.367079903394915,0.25,1,"HIGH LOW NA",NA
50,4,105.95264190893,50,1,1.50062654068978,"FISHED",0.344511559419334,0.25,1,"HIGH LOW NA",NA
50,7,167.298517210018,53,4,4.50041842355636,"FISHED",0.315189862647094,0.25,1,"HIGH LOW NA",NA
50,8,130.346881730576,51,2,2.49960660108098,"FISHED",0.367079903394915,0.25,1,"HIGH LOW NA",NA
50,10,155.139083701869,52,3,3.49991928611564,"FISHED",0.380133307329379,0.25,1,"HIGH LOW NA",NA
51,2,96.6185727280017,51,1,1.4985705339935,"FISHED",0.367079903394915,0.25,1,"HIGH LOW NA",NA
51,4,62.0091258321069,50,0,0.498344584564522,"FISHED",0.344511559419334,0.25,1,"HIGH LOW NA",NA
51,7,131.446901468357,52,2,2.49915986966815,"FISHED",0.380133307329379,0.25,1,"HIGH LOW NA",NA
51,8,65.6273427039654,50,0,0.499993198998868,"FISHED",0.344511559419334,0.25,1,"HIGH LOW NA",NA
51,9,61.2682668475283,50,0,0.500496534907248,"FISHED",0.344511559419334,0.25,1,"HIGH LOW NA",NA
51,10,128.323563368648,52,2,2.49928501551163,"FISHED",0.380133307329379,0.25,1,"HIGH LOW NA",NA
52,1,95.9851290588161,52,1,1.49964449920285,"FISHED",0.380133307329379,0.25,1,"HIGH LOW NA",NA
52,3,61.2358187519138,51,0,0.499191507076392,"FISHED",0.367079903394915,0.25,1,"HIGH LOW NA",NA
52,6,63.9749874255065,51,0,0.499214607458505,"FISHED",0.367079903394915,0.25,1,"HIGH LOW NA",NA
52,8,100.988340725991,52,1,1.49953924153113,"FISHED",0.380133307329379,0.25,1,"HIGH LOW NA",NA
52,9,100.032656994915,52,1,1.50031646301523,"FISHED",0.380133307329379,0.25,1,"HIGH LOW NA",NA
52,11,61.6960052505348,51,0,0.500038054864524,"FISHED",0.367079903394915,0.25,1,"HIGH LOW NA",NA
52,12,153.720643125206,54,3,3.49974773122686,"FISHED",0.377993596112356,0.25,1,"HIGH LOW NA",NA
53,1,62.2602130030635,52,0,0.498955993363028,"FISHED",0.380133307329379,0.25,1,"HIGH LOW NA",NA
53,7,92.4462999974383,53,1,1.50039678953091,"FISHED",0.315189862647094,0.25,1,"HIGH LOW NA",NA
53,9,135.287150478831,54,2,2.49824888250697,"FISHED",0.377993596112356,0.25,1,"HIGH LOW NA",NA
54,1,99.2423720374609,54,1,1.4992553573686,"FISHED",0.377993596112356,0.25,1,"HIGH LOW NA",NA
54,2,67.1320448420553,53,0,0.500193713917647,"FISHED",0.315189862647094,0.25,1,"HIGH LOW NA",NA
54,3,63.0439012382212,53,0,0.499669227301753,"FISHED",0.315189862647094,0.25,1,"HIGH LOW NA",NA
54,4,63.9492984621851,53,0,0.50026789127774,"FISHED",0.315189862647094,0.25,1,"HIGH LOW NA",NA
54,6,98.7292507471845,54,1,1.50135394042825,"FISHED",0.377993596112356,0.25,1,"HIGH LOW NA",NA
54,7,59.3249715489723,53,0,0.499876012175625,"FISHED",0.315189862647094,0.25,1,"HIGH LOW NA",NA
54,8,119.066604396875,55,2,2.50028443827045,"FISHED",0.357650599745102,0.25,1,"HIGH LOW NA",NA
54,11,61.5647445101899,53,0,0.499995028179418,"FISHED",0.315189862647094,0.25,1,"HIGH LOW NA",NA
55,1,63.0368726674112,54,0,0.501586943413631,"FISHED",0.377993596112356,0.25,1,"HIGH LOW NA",NA
55,2,63.3594079199644,54,0,0.500747830035262,"FISHED",0.377993596112356,0.25,1,"HIGH LOW NA",NA
55,3,151.45126116381,58,4,4.49902411377676,"FISHED",0.345445799222216,0.25,1,"HIGH LOW NA",NA
55,4,94.6031086911105,55,1,1.50066920536658,"FISHED",0.357650599745102,0.25,1,"HIGH LOW NA",NA
55,5,96.5641545621493,55,1,1.50083335234393,"FISHED",0.357650599745102,0.25,1,"HIGH LOW NA",NA
55,6,127.129873129792,56,2,2.50023908109772,"FISHED",0.372024658182636,0.25,1,"HIGH LOW NA",NA
55,9,101.425215633123,55,1,1.49805701126841,"FISHED",0.357650599745102,0.25,1,"HIGH LOW NA",NA
56,1,62.4620151878513,55,0,0.499615099422254,"FISHED",0.357650599745102,0.25,1,"HIGH LOW NA",NA
56,2,61.9456104742032,55,0,0.499092730750864,"FISHED",0.357650599745102,0.25,1,"HIGH LOW NA",NA
56,5,63.4563321011565,55,0,0.500185402598174,"FISHED",0.357650599745102,0.25,1,"HIGH LOW NA",NA
56,6,166.476796375639,59,4,4.50219060865018,"FISHED",0.338961140462197,0.25,1,"HIGH LOW NA",NA
56,7,61.9042180727638,55,0,0.501535192898742,"FISHED",0.357650599745102,0.25,1,"HIGH LOW NA",NA
56,10,94.0437835761217,56,1,1.49829835802691,"FISHED",0.372024658182636,0.25,1,"HIGH LOW NA",NA
56,12,62.9105935954359,55,0,0.498730259826621,"FISHED",0.357650599745102,0.25,1,"HIGH LOW NA",NA
57,3,63.7868836175532,56,0,0.498830335881244,"FISHED",0.372024658182636,0.25,1,"HIGH LOW NA",NA
57,4,146.052472659838,59,3,3.50198413356365,"FISHED",0.338961140462197,0.25,1,"HIGH LOW NA",NA
57,5,65.8128494653219,56,0,0.500010956838233,"FISHED",0.372024658182636,0.25,1,"HIGH LOW NA",NA
57,7,66.4959825507304,56,0,0.49906799241888,"FISHED",0.372024658182636,0.25,1,"HIGH LOW NA",NA
58,1,122.991339613798,59,2,2.49889391534953,"FISHED",0.338961140462197,0.25,1,"HIGH LOW NA",NA
58,2,61.8186064664065,57,0,0.500917083296269,"FISHED",0.30819112660829,0.25,1,"HIGH LOW NA",NA
58,3,63.3782300970255,57,0,0.499924531932549,"FISHED",0.30819112660829,0.25,1,"HIGH LOW NA",NA
58,4,99.7089938948232,58,1,1.50063813532326,"FISHED",0.345445799222216,0.25,1,"HIGH LOW NA",NA
58,6,134.435283272555,60,3,3.50071100077923,"FISHED",0.382662548497319,0.25,1,"HIGH LOW NA",NA
58,7,65.6870559222088,57,0,0.500142901184895,"FISHED",0.30819112660829,0.25,1,"HIGH LOW NA",NA
58,8,127.202532317247,59,2,2.49933471477715,"FISHED",0.338961140462197,0.25,1,"HIGH LOW NA",NA
58,9,60.9805471162565,57,0,0.499686821509546,"FISHED",0.30819112660829,0.25,1,"HIGH LOW NA",NA
59,1,90.7285817937629,59,1,1.50019181783303,"FISHED",0.338961140462197,0.25,1,"HIGH LOW NA",NA
59,6,60.3020722547119,58,0,0.501289396581941,"FISHED",0.345445799222216,0.25,1,"HIGH LOW NA",NA
60,1,62.1987438855529,59,0,0.500162985888652,"FISHED",0.338961140462197,0.25,1,"HIGH LOW NA",NA
60,2,93.1464538505067,60,1,1.50078732286218,"FISHED",0.382662548497319,0.25,1,"HIGH LOW NA",NA
60,3,99.0925991763128,60,1,1.49979245215182,"FISHED",0.382662548497319,0.25,1,"HIGH LOW NA",NA
60,7,131.135175668014,61,2,2.4997406605086,"FISHED",0.349662514100783,0.25,1,"HIGH LOW NA",NA
60,8,163.733793617089,62,3,3.49996663131857,"FISHED",0.391807674965821,0.25,1,"HIGH LOW NA",NA
60,10,59.1798486969884,59,0,0.500112913781604,"FISHED",0.338961140462197,0.25,1,"HIGH LOW NA",NA
61,3,63.5826035727191,60,0,0.499895190971971,"FISHED",0.382662548497319,0.25,1,"HIGH LOW NA",NA
61,4,100.191898611201,61,1,1.50049895714707,"FISHED",0.349662514100783,0.25,1,"HIGH LOW NA",NA
61,6,126.108550759153,62,2,2.50153334872171,"FISHED",0.391807674965821,0.25,1,"HIGH LOW NA",NA
61,9,104.750804791478,61,1,1.50025222808982,"FISHED",0.349662514100783,0.25,1,"HIGH LOW NA",NA
62,1,62.1700566656979,61,0,0.501280911358512,"FISHED",0.349662514100783,0.25,1,"HIGH LOW NA",NA
62,2,96.5315442704865,62,1,1.50049401104487,"FISHED",0.391807674965821,0.25,1,"HIGH LOW NA",NA
62,4,98.7154537823009,62,1,1.50051098151185,"FISHED",0.391807674965821,0.25,1,"HIGH LOW NA",NA
62,6,62.298714968869,61,0,0.498111854394387,"FISHED",0.349662514100783,0.25,1,"HIGH LOW NA",NA
62,9,145.303281241856,64,3,3.50072139720836,"FISHED",0.33024696581997,0.25,1,"HIGH LOW NA",NA
63,5,63.1391512239883,62,0,0.498008697703803,"FISHED",0.391807674965821,0.25,1,"HIGH LOW NA",NA
63,6,202.378110757507,69,7,7.50003416442091,"FISHED",0.377098439447582,0.25,1,"HIGH LOW NA",NA
63,7,63.0590863947925,62,0,0.499034706752569,"FISHED",0.391807674965821,0.25,1,"HIGH LOW NA",NA
63,8,61.1449917560002,62,0,0.500257845552052,"FISHED",0.391807674965821,0.25,1,"HIGH LOW NA",NA
64,1,214.160576784646,73,10,10.4984851774774,"FISHED",0.301560485758819,0.25,1,"HIGH LOW NA",NA
64,2,103.476478995088,64,1,1.50021442537866,"FISHED",0.33024696581997,0.25,1,"HIGH LOW NA",NA
64,4,99.2022944203919,64,1,1.4993249842706,"FISHED",0.33024696581997,0.25,1,"HIGH LOW NA",NA
64,6,62.3549732841396,63,0,0.500767107453021,"FISHED",0.306314936419949,0.25,1,"HIGH LOW NA",NA
64,7,124.746838899246,65,2,2.49908601022938,"FISHED",0.311536892130971,0.25,1,"HIGH LOW NA",NA
65,3,158.121758330409,68,4,4.50033114621771,"FISHED",0.332954178284854,0.25,1,"HIGH LOW NA",NA
65,9,60.7907929091273,64,0,0.500005935784445,"FISHED",0.33024696581997,0.25,1,"HIGH LOW NA",NA
66,1,63.2657887065747,65,0,0.49998891808097,"FISHED",0.311536892130971,0.25,1,"HIGH LOW NA",NA
66,3,127.755897429088,67,2,2.49858043482312,"FISHED",0.325531095871702,0.25,1,"HIGH LOW NA",NA
66,4,129.647167822615,67,2,2.50055993507036,"FISHED",0.325531095871702,0.25,1,"HIGH LOW NA",NA
66,9,102.771874308337,66,1,1.50105614252012,"FISHED",0.388301105634309,0.25,1,"HIGH LOW NA",NA
67,1,180.561188302807,71,5,5.49929461775168,"FISHED",0.303997026523575,0.25,1,"HIGH LOW NA",NA
67,2,168.713063593812,70,4,4.499412488037,"FISHED",0.314304534089752,0.25,1,"HIGH LOW NA",NA
67,3,144.222344308304,69,3,3.49876725600188,"FISHED",0.377098439447582,0.25,1,"HIGH LOW NA",NA
67,6,94.3674517539695,67,1,1.49893422164811,"FISHED",0.325531095871702,0.25,1,"HIGH LOW NA",NA
67,8,62.9352211724142,66,0,0.500030678195394,"FISHED",0.388301105634309,0.25,1,"HIGH LOW NA",NA
67,9,147.704214584511,70,4,4.50066097992831,"FISHED",0.314304534089752,0.25,1,"HIGH LOW NA",NA
67,10,60.1520178584371,66,0,0.49954686146602,"FISHED",0.388301105634309,0.25,1,"HIGH LOW NA",NA
68,4,131.633562966416,69,2,2.50042777734402,"FISHED",0.377098439447582,0.25,1,"HIGH LOW NA",NA
68,7,65.0319090668041,67,0,0.499931371390339,"FISHED",0.325531095871702,0.25,1,"HIGH LOW NA",NA
68,9,98.4623462482275,68,1,1.49821484579685,"FISHED",0.332954178284854,0.25,1,"HIGH LOW NA",NA
69,1,63.589861373941,68,0,0.498318447633732,"FISHED",0.332954178284854,0.25,1,"HIGH LOW NA",NA
69,3,102.997895042108,69,1,1.49963414137821,"FISHED",0.377098439447582,0.25,1,"HIGH LOW NA",NA
69,5,98.3877019256822,69,1,1.49991508104445,"FISHED",0.377098439447582,0.25,1,"HIGH LOW NA",NA
69,6,61.837275470266,68,0,0.500839633900543,"FISHED",0.332954178284854,0.25,1,"HIGH LOW NA",NA
69,10,61.5106734304936,68,0,0.498493781066576,"FISHED",0.332954178284854,0.25,1,"HIGH LOW NA",NA
70,1,96.8368212721866,70,1,1.49879595839957,"FISHED",0.314304534089752,0.25,1,"HIGH LOW NA",NA
70,3,63.6545406012993,69,0,0.499735445621487,"FISHED",0.377098439447582,0.25,1,"HIGH LOW NA",NA
70,7,99.2610196045594,70,1,1.49987801673446,"FISHED",0.314304534089752,0.25,1,"HIGH LOW NA",NA
70,8,62.0933772483514,69,0,0.499790523539812,"FISHED",0.377098439447582,0.25,1,"HIGH LOW NA",NA
70,9,98.3247666762832,70,1,1.50144808870351,"FISHED",0.314304534089752,0.25,1,"HIGH LOW NA",NA
71,2,153.951645978177,74,4,4.50065159768151,"FISHED",0.355169973406009,0.25,1,"HIGH LOW NA",NA
71,3,143.465824147304,73,3,3.49937148351248,"FISHED",0.301560485758819,0.25,1,"HIGH LOW NA",NA
