"Year","Age","AgeE","Length_cm","FSIM","FMORT","REG"
0,0,0.500943862331541,6.36954758228743,"LOW HIGH NA",0,NA
0,0,0.499466348310886,6.35977812895427,"LOW HIGH NA",0,NA
1,1,1.50035393238188,10.0600629344245,"LOW HIGH NA",0,NA
2,2,2.49941660131341,12.9602824530528,"LOW HIGH NA",0,NA
3,3,3.49987136516278,15.2334245754641,"LOW HIGH NA",0,NA
0,0,0.500350582507158,6.27532253791789,"LOW HIGH NA",0,NA
0,0,0.498388008960006,6.45418815270654,"LOW HIGH NA",0,NA
0,0,0.498629365215594,6.07950406842041,"LOW HIGH NA",0,NA
1,1,1.50077261290246,9.4067251172686,"LOW HIGH NA",0,NA
0,0,0.499737027976003,6.30084630371741,"LOW HIGH NA",0,NA
0,0,0.499527337504554,6.2826668941441,"LOW HIGH NA",0,NA
0,0,0.499499109265848,6.00207660647618,"LOW HIGH NA",0,NA
0,0,0.499776971663431,6.41614661226556,"LOW HIGH NA",0,NA
1,1,1.50084853650422,10.1938003036824,"LOW HIGH NA",0,NA
2,2,2.50012899936032,13.1809031483619,"LOW HIGH NA",0,NA
0,0,0.498919804999595,6.46534596233765,"LOW HIGH NA",0,NA
1,1,1.49906364118322,10.3111686000757,"LOW HIGH NA",0,NA
0,0,0.50022475401431,6.37961952430567,"LOW HIGH NA",0,NA
0,0,0.499843184151829,6.24709014991939,"LOW HIGH NA",0,NA
1,1,1.50002085534316,9.79505223262556,"LOW HIGH NA",0,NA
1,0,0.499315971654114,6.22409275192871,"LOW HIGH NA",0,NA
2,1,1.50006631411174,9.74135332698533,"LOW HIGH NA",0,NA
3,2,2.50069265835032,12.4393061660523,"LOW HIGH NA",0,NA
1,0,0.497991207638245,6.40635609961563,"LOW HIGH NA",0,NA
1,0,0.498646035568506,6.50029185076893,"LOW HIGH NA",0,NA
2,1,1.49992293469315,10.394896715755,"LOW HIGH NA",0,NA
3,2,2.49983110933517,13.5148637978856,"LOW HIGH NA",0,NA
4,3,3.49990763277451,16.0142687262502,"LOW HIGH NA",0,NA
5,4,4.5011893095579,18.0165414526876,"LOW HIGH NA",0,NA
6,5,5.50100423328657,19.6205616838787,"LOW HIGH NA",0,NA
7,6,6.50042012418195,20.9055419306247,"LOW HIGH NA",0,NA
8,7,7.49932438636902,21.9349393175274,"LOW HIGH NA",0,NA
9,8,8.50013429311393,22.7595893328453,"LOW HIGH NA",0,NA
1,0,0.500790973799114,6.06067604784018,"LOW HIGH NA",0,NA
2,1,1.49966378210013,9.36352975551123,"LOW HIGH NA",0,NA
3,2,2.50096630046781,11.83050142897,"LOW HIGH NA",0,NA
4,3,3.50040585921692,13.673135035028,"LOW HIGH NA",0,NA
5,4,4.5002930122033,15.0494372612363,"LOW HIGH NA",0,NA
1,0,0.499915610534757,6.39280456533881,"LOW HIGH NA",0,NA
2,1,1.50016390286107,10.1383249892673,"LOW HIGH NA",0,NA
3,2,2.49903997693188,13.0892444141333,"LOW HIGH NA",0,NA
4,3,3.5004528508518,15.414135074566,"LOW HIGH NA",0,NA
1,0,0.501373417519294,6.46310665710063,"LOW HIGH NA",0,NA
2,1,1.49983310519264,10.3058136299371,"LOW HIGH NA",0,NA
1,0,0.500181338995114,6.19316228425406,"LOW HIGH NA",0,NA
2,1,1.49856410083851,9.66933627710808,"LOW HIGH NA",0,NA
3,2,2.50134032873655,12.3225224188144,"LOW HIGH NA",0,NA
4,3,3.50050606336427,14.3475639492479,"LOW HIGH NA",0,NA
5,4,4.50018535864124,15.8931747661895,"LOW HIGH NA",0,NA
6,5,5.50050600247154,17.0728605956131,"LOW HIGH NA",0,NA
7,6,6.50028616025485,17.9732545634145,"LOW HIGH NA",0,NA
8,7,7.49880823563992,18.6604793117607,"LOW HIGH NA",0,NA
