"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
39,11,200.208383743485,50,12,12.4998032840655,"FISHED",0.164186314423569,0.25,0.995514339446995,"LOW HIGH NA",NA
43,5,217.875665019404,52,10,10.4988588752013,"FISHED",0.142460944247432,0.25,0.999251114173082,"LOW HIGH NA",NA
47,1,177.789692199085,50,4,4.50014765956249,"FISHED",0.164186314423569,0.25,0.957958639071849,"LOW HIGH NA",NA
47,2,193.635033394539,50,4,4.49904679081918,"FISHED",0.164186314423569,0.25,0.991293716484801,"LOW HIGH NA",NA
48,3,153.051085262517,50,3,3.49960394536195,"FISHED",0.164186314423569,0.25,0.648939536685691,"LOW HIGH NA",NA
48,5,184.804329961375,55,8,8.50098429047183,"FISHED",0.131306291744113,0.25,0.978924917788603,"LOW HIGH NA",NA
50,12,164.72926455623,56,7,7.50042929221042,"FISHED",0.145501744630747,0.25,0.858160426092182,"LOW HIGH NA",NA
51,7,124.5754809015,52,2,2.49967063854797,"FISHED",0.142460944247432,0.25,0.0930614421086191,"LOW HIGH NA",NA
51,9,182.448943951106,55,5,5.50024583905598,"FISHED",0.131306291744113,0.25,0.973382691029509,"LOW HIGH NA",NA
51,11,179.309090313459,55,5,5.50157129334807,"FISHED",0.131306291744113,0.25,0.963750916920623,"LOW HIGH NA",NA
53,5,157.216352785189,56,4,4.50068593209872,"FISHED",0.145501744630747,0.25,0.738326887086329,"LOW HIGH NA",NA
53,9,150.427892576287,56,4,4.49836118290372,"FISHED",0.145501744630747,0.25,0.586142709692228,"LOW HIGH NA",NA
53,12,193.983394387454,58,6,6.49999699174937,"FISHED",0.19222961559426,0.25,0.991593731379011,"LOW HIGH NA",NA
54,2,155.579613800887,56,3,3.49903103101015,"FISHED",0.145501744630747,0.25,0.704976321521073,"LOW HIGH NA",NA
54,5,127.318553828136,55,2,2.50005548145966,"FISHED",0.131306291744113,0.25,0.119381101555906,"LOW HIGH NA",NA
55,10,150.244329594774,57,3,3.50057772010293,"FISHED",0.167066646693274,0.25,0.581614475636726,"LOW HIGH NA",NA
56,2,166.060439299532,59,4,4.49868387358099,"FISHED",0.175644481717609,0.25,0.873829569391668,"LOW HIGH NA",NA
56,5,125.863568206668,57,2,2.49923796482326,"FISHED",0.167066646693274,0.25,0.104702582023861,"LOW HIGH NA",NA
57,4,176.893193505154,61,5,5.5000482207896,"FISHED",0.128315277583897,0.25,0.954136057630515,"LOW HIGH NA",NA
58,2,155.829213847417,62,5,5.5008196452066,"FISHED",0.17995821912773,0.25,0.710219653466035,"LOW HIGH NA",NA
59,1,196.131972131459,63,5,5.50052730266405,"FISHED",0.187332624616101,0.25,0.993230166917133,"LOW HIGH NA",NA
59,4,164.496700835142,65,7,7.49943005278377,"FISHED",0.194064347236417,0.25,0.855261877451596,"LOW HIGH NA",NA
59,13,178.598204809277,64,6,6.49822525299568,"FISHED",0.129992952547036,0.25,0.961143221581979,"LOW HIGH NA",NA
60,5,146.798466780114,62,3,3.49944368397381,"FISHED",0.17995821912773,0.25,0.494884641686834,"LOW HIGH NA",NA
60,7,165.14911569339,63,4,4.50028091193218,"FISHED",0.187332624616101,0.25,0.863270420174231,"LOW HIGH NA",NA
61,9,164.423460722745,63,3,3.50138063469652,"FISHED",0.187332624616101,0.25,0.854338918368095,"LOW HIGH NA",NA
62,3,186.566657780047,73,12,12.5012482543605,"FISHED",0.142887556692585,0.25,0.982316766134362,"LOW HIGH NA",NA
63,7,241.148657681954,70,8,8.50015346566107,"FISHED",0.19468855522573,0.25,0.999929451328245,"LOW HIGH NA",NA
63,8,163.285323506986,67,5,5.50037486176651,"FISHED",0.109115060651675,0.25,0.839361856885966,"LOW HIGH NA",NA
63,10,183.684186701244,70,8,8.50011761596585,"FISHED",0.19468855522573,0.25,0.976446205627215,"LOW HIGH NA",NA
64,5,191.482868076166,69,6,6.49939998242279,"FISHED",0.114174322644249,0.25,0.989190391443313,"LOW HIGH NA",NA
65,2,178.287746254442,70,6,6.50058442649993,"FISHED",0.19468855522573,0.25,0.959948722486757,"LOW HIGH NA",NA
66,1,158.230425461864,69,4,4.50082211547135,"FISHED",0.114174322644249,0.25,0.757725868575638,"LOW HIGH NA",NA
66,2,181.400291695427,70,5,5.49988714525255,"FISHED",0.19468855522573,0.25,0.970480591454376,"LOW HIGH NA",NA
66,7,256.42280296603,74,9,9.50005619597561,"FISHED",0.160326606733724,0.25,0.999985037633655,"LOW HIGH NA",NA
66,8,206.85629555683,72,7,7.49779840915803,"FISHED",0.146682237298228,0.25,0.997711007872887,"LOW HIGH NA",NA
66,10,170.658532447102,69,4,4.49996519721277,"FISHED",0.114174322644249,0.25,0.916987837328351,"LOW HIGH NA",NA
68,1,219.818940565638,79,12,12.4996837321089,"FISHED",0.365859618317336,0.25,0.999385127300328,"LOW HIGH NA",NA
68,9,159.162184166949,71,4,4.49937929258809,"FISHED",0.121828281879425,0.25,0.774667268091572,"LOW HIGH NA",NA
69,3,196.48801247829,76,8,8.49973323115534,"FISHED",0.324239295627922,0.25,0.993468953484509,"LOW HIGH NA",NA
69,6,176.755233697034,74,6,6.49916224372345,"FISHED",0.160326606733724,0.25,0.953519174105439,"LOW HIGH NA",NA
69,7,152.637276124473,71,3,3.49941055358288,"FISHED",0.121828281879425,0.25,0.639308950247479,"LOW HIGH NA",NA
70,1,165.748280462072,73,4,4.49868725704853,"FISHED",0.142887556692585,0.25,0.870293635962958,"LOW HIGH NA",NA
70,6,186.214762358811,77,8,8.49791607426524,"FISHED",0.338727961666882,0.25,0.981685323835583,"LOW HIGH NA",NA
70,7,101.781745623619,70,1,1.50048094009556,"FISHED",0.19468855522573,0.25,0.0100397068117867,"LOW HIGH NA",NA
70,10,187.98797899389,76,7,7.50080365862848,"FISHED",0.324239295627922,0.25,0.984656591904013,"LOW HIGH NA",NA
71,4,173.625206420469,75,5,5.5003818853848,"FISHED",0.309966030949727,0.25,0.937222297211834,"LOW HIGH NA",NA
71,10,181.378429733805,75,5,5.49879936705609,"FISHED",0.309966030949727,0.25,0.970416935094998,"LOW HIGH NA",NA
71,11,159.005617879096,74,4,4.49975182387924,"FISHED",0.160326606733724,0.25,0.771880290268209,"LOW HIGH NA",NA
72,2,175.924834780714,76,5,5.498489605091,"FISHED",0.324239295627922,0.25,0.949636246623117,"LOW HIGH NA",NA
72,3,174.309824513345,77,6,6.49953972707901,"FISHED",0.338727961666882,0.25,0.941189906908759,"LOW HIGH NA",NA
