"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,11,11,130.824227162903,2,2,2.49939250888631,0,0.25,0.162143555352636,"LOW HIGH NA",NA
2,20,9,95.3934463691232,2,1,1.5010914642752,0,0.25,0.00527369621967778,"LOW HIGH NA",NA
3,33,11,62.4922426660111,2,0,0.503076072169721,0,0.25,0.00018773834104253,"LOW HIGH NA",NA
1,8,8,149.570322678816,3,3,3.49823130373697,0,0.25,0.564874964047899,"LOW HIGH NA",NA
1,9,9,137.321491376565,3,3,3.50047186629517,0,0.25,0.272359940153445,"LOW HIGH NA",NA
1,11,11,154.045628250766,3,3,3.49986883131569,0,0.25,0.671584306846624,"LOW HIGH NA",NA
1,4,4,154.374202607536,4,4,4.50102212751717,0,0.25,0.678899801788183,"LOW HIGH NA",NA
1,8,8,166.633936103767,4,4,4.50109470674823,0,0.25,0.880110843051945,"LOW HIGH NA",NA
1,10,10,167.012467988463,4,4,4.49868434227774,0,0.25,0.884107279920754,"LOW HIGH NA",NA
1,11,11,172.335694224181,4,4,4.4981485831048,0,0.25,0.929063586926269,"LOW HIGH NA",NA
1,4,4,165.339433107105,5,5,5.49928542985396,0,0.25,0.865535278701508,"LOW HIGH NA",NA
1,8,8,179.900582477014,5,5,5.50101787858361,0,0.25,0.965791518988575,"LOW HIGH NA",NA
1,9,9,161.637078136461,5,5,5.50002351202585,0,0.25,0.815497803315227,"LOW HIGH NA",NA
1,10,10,180.353409862113,5,5,5.50211694096833,0,0.25,0.967278402943697,"LOW HIGH NA",NA
2,15,4,163.187051895085,5,4,4.50012026661873,0,0.25,0.838011961926156,"LOW HIGH NA",NA
2,16,5,169.84719704335,5,4,4.50027563536207,0,0.25,0.910497961601255,"LOW HIGH NA",NA
2,22,11,160.900813516247,5,4,4.4995460638948,0,0.25,0.803983933926616,"LOW HIGH NA",NA
3,33,11,146.40877132625,5,3,3.50079861149838,0,0.25,0.484997291487463,"LOW HIGH NA",NA
4,35,1,132.071007779317,5,2,2.50075531680911,0,0.25,0.18008435394673,"LOW HIGH NA",NA
4,44,10,119.890951091658,5,2,2.49956694803007,0,0.25,0.0599486456013859,"LOW HIGH NA",NA
4,45,11,120.969672260968,5,2,2.50071634496345,0,0.25,0.0664266570010833,"LOW HIGH NA",NA
1,4,4,173.613025666988,6,6,6.50016741700194,0,0.25,0.937149492147386,"LOW HIGH NA",NA
1,7,7,172.324213007498,6,6,6.49859207408532,0,0.25,0.928986722681969,"LOW HIGH NA",NA
1,10,10,190.734872429743,6,6,6.50061741632404,0,0.25,0.988347408072215,"LOW HIGH NA",NA
2,15,4,175.78602082348,6,5,5.50067094945677,0,0.25,0.948957876346215,"LOW HIGH NA",NA
2,16,5,183.750597923658,6,5,5.49961536126583,0,0.25,0.976600788227145,"LOW HIGH NA",NA
2,22,11,173.065774725995,6,5,5.49878222226307,0,0.25,0.933796185023628,"LOW HIGH NA",NA
3,34,12,170.274049728758,6,4,4.49918320018957,0,0.25,0.913967480140534,"LOW HIGH NA",NA
4,38,4,156.836887037111,6,3,3.49992689601877,0,0.25,0.730815209440198,"LOW HIGH NA",NA
4,39,5,141.497460991327,6,3,3.49963111039977,0,0.25,0.363851577642932,"LOW HIGH NA",NA
4,40,6,143.431932125523,6,3,3.5000641940161,0,0.25,0.410409105127463,"LOW HIGH NA",NA
4,41,7,138.98823629358,6,3,3.50034824890274,0,0.25,0.307155080219327,"LOW HIGH NA",NA
4,42,8,149.45367257279,6,3,3.50154169652211,0,0.25,0.561961666515228,"LOW HIGH NA",NA
1,4,4,179.855697341756,7,7,7.49810055690764,0,0.25,0.965640633872532,"LOW HIGH NA",NA
1,10,10,198.813369889954,7,7,7.50022524745935,0,0.25,0.994835323170411,"LOW HIGH NA",NA
2,15,4,185.502189786863,7,6,6.49860033431866,0,0.25,0.980338180009186,"LOW HIGH NA",NA
2,16,5,194.640347630043,7,6,6.50075387453702,0,0.25,0.992131887196475,"LOW HIGH NA",NA
3,34,12,184.263071642141,7,5,5.50035713144401,0,0.25,0.97776079425155,"LOW HIGH NA",NA
4,38,4,175.911392394815,7,4,4.49980430979263,0,0.25,0.949570930135424,"LOW HIGH NA",NA
4,42,8,166.485836782488,7,4,4.49843091740745,0,0.25,0.878515125265701,"LOW HIGH NA",NA
4,44,10,153.193264648732,7,4,4.49893440712803,0,0.25,0.652221147451186,"LOW HIGH NA",NA
4,45,11,155.040267595336,7,4,4.49972859535059,0,0.25,0.693460464768253,"LOW HIGH NA",NA
5,47,2,150.562795955519,7,3,3.50020559559195,0,0.25,0.58946136740987,"LOW HIGH NA",NA
5,50,5,141.585936288047,7,3,3.49883124582549,0,0.25,0.365933372176723,"LOW HIGH NA",NA
5,59,14,153.654268168123,7,3,3.49999775326875,0,0.25,0.662761248130363,"LOW HIGH NA",NA
6,61,2,127.520891254014,7,2,2.49956319535279,0,0.25,0.12155779976917,"LOW HIGH NA",NA
6,66,7,121.210659633906,7,2,2.49980176093307,0,0.25,0.0679602131904269,"LOW HIGH NA",NA
1,4,4,184.565978801336,8,8,8.49948743034764,0,0.25,0.978419812418949,"LOW HIGH NA",NA
1,10,10,205.099779034088,8,8,8.49884669088982,0,0.25,0.997265337277543,"LOW HIGH NA",NA
2,15,4,192.995179083174,8,7,7.50048090070146,0,0.25,0.990714753710306,"LOW HIGH NA",NA
2,16,5,203.16967435295,8,7,7.50033104451518,0,0.25,0.996675283585404,"LOW HIGH NA",NA
3,34,12,195.230486684853,8,6,6.49934683096825,0,0.25,0.992586091838745,"LOW HIGH NA",NA
4,40,6,170.663433901457,8,5,5.50090809587428,0,0.25,0.917025711636125,"LOW HIGH NA",NA
4,42,8,179.723467498626,8,5,5.49921158896017,0,0.25,0.965192392775133,"LOW HIGH NA",NA
5,46,1,158.821479037343,8,4,4.50079048684389,0,0.25,0.768571546001996,"LOW HIGH NA",NA
5,47,2,167.895052494609,8,4,4.49985560148549,0,0.25,0.892977699616129,"LOW HIGH NA",NA
5,50,5,156.558497459565,8,4,4.49863789629371,0,0.25,0.725218545927043,"LOW HIGH NA",NA
6,61,2,149.428062226407,8,3,3.50066396078442,0,0.25,0.561321477001635,"LOW HIGH NA",NA
6,62,3,142.444195602202,8,3,3.50054559635309,0,0.25,0.386378303849693,"LOW HIGH NA",NA
6,66,7,140.704654801952,8,3,3.50090768237445,0,0.25,0.345431614804282,"LOW HIGH NA",NA
7,77,6,125.687458823975,8,2,2.49927367377379,0,0.25,0.103038244551977,"LOW HIGH NA",NA
7,78,7,127.068438723231,8,2,2.49869090701982,0,0.25,0.116737065753578,"LOW HIGH NA",NA
1,4,4,188.120026264403,9,9,9.49934338460253,0,0.25,0.984857835149827,"LOW HIGH NA",NA
1,10,10,209.991646627299,9,9,9.49886766211302,0,0.25,0.998334048844157,"LOW HIGH NA",NA
2,15,4,198.773679725373,9,8,8.49963263182164,0,0.25,0.994814576514041,"LOW HIGH NA",NA
3,34,12,203.828957218669,9,7,7.5004541948592,0,0.25,0.996889880612213,"LOW HIGH NA",NA
4,42,8,190.011934942889,9,6,6.49888023500402,0,0.25,0.987471035762542,"LOW HIGH NA",NA
4,45,11,174.503488462297,9,6,6.49967796516195,0,0.25,0.942268896515542,"LOW HIGH NA",NA
5,46,1,170.59787981901,9,5,5.5004375020279,0,0.25,0.916517862314103,"LOW HIGH NA",NA
5,47,2,181.409965772452,9,5,5.50051481640735,0,0.25,0.970508717451128,"LOW HIGH NA",NA
5,50,5,167.918738166752,9,5,5.50000324282636,0,0.25,0.893207311689635,"LOW HIGH NA",NA
5,57,12,156.18653802955,9,5,5.49974411538081,0,0.25,0.717629029155369,"LOW HIGH NA",NA
6,61,2,166.4533253539,9,4,4.49950337337363,0,0.25,0.878162385317357,"LOW HIGH NA",NA
6,62,3,157.635493951528,9,4,4.5000021567954,0,0.25,0.746465028113125,"LOW HIGH NA",NA
6,66,7,155.454137021039,9,4,4.50059702100374,0,0.25,0.702319703984321,"LOW HIGH NA",NA
6,67,8,154.475660833922,9,4,4.50189587758277,0,0.25,0.68114128052863,"LOW HIGH NA",NA
7,77,6,146.880243294561,9,3,3.50000642947163,0,0.25,0.496960241662298,"LOW HIGH NA",NA
7,78,7,148.798312263927,9,3,3.49865375384298,0,0.25,0.545520337589568,"LOW HIGH NA",NA
7,83,12,158.607492353656,9,3,3.49930902184216,0,0.25,0.764684526022046,"LOW HIGH NA",NA
7,84,13,144.720929696576,9,3,3.49886811354873,0,0.25,0.442406902267352,"LOW HIGH NA",NA
8,91,7,140.028999077477,9,2,2.49934684285137,0,0.25,0.330089054805292,"LOW HIGH NA",NA
1,10,10,213.798329902416,10,10,10.4986205258532,0,0.25,0.998867498599685,"LOW HIGH NA",NA
2,15,4,203.229987929142,10,9,9.49956739417613,0,0.25,0.996695514134391,"LOW HIGH NA",NA
3,34,12,210.570171555226,10,8,8.50062760371114,0,0.25,0.998428937321949,"LOW HIGH NA",NA
4,45,11,180.83591396418,10,7,7.50034234547729,0,0.25,0.968793976166258,"LOW HIGH NA",NA
5,46,1,179.583752678961,10,6,6.49935842894954,0,0.25,0.964712655812519,"LOW HIGH NA",NA
5,47,2,191.948286648078,10,6,6.49867632348666,0,0.25,0.989684171976654,"LOW HIGH NA",NA
5,50,5,176.53817658125,10,6,6.50054221253657,0,0.25,0.952532607010693,"LOW HIGH NA",NA
6,61,2,179.68459035501,10,5,5.50050728696742,0,0.25,0.965059535723533,"LOW HIGH NA",NA
6,62,3,169.192917491307,10,5,5.49893815749684,0,0.25,0.904934780718113,"LOW HIGH NA",NA
6,66,7,166.613841527777,10,5,5.50210685567716,0,0.25,0.879895397531072,"LOW HIGH NA",NA
6,67,8,165.459093288235,10,5,5.49883597967259,0,0.25,0.86694300292653,"LOW HIGH NA",NA
7,77,6,163.225352633401,10,4,4.50070210872541,0,0.25,0.838539160030465,"LOW HIGH NA",NA
7,80,9,155.176463181504,10,4,4.5001314756112,0,0.25,0.696392091072637,"LOW HIGH NA",NA
7,84,13,160.499555423383,10,4,4.50044054296939,0,0.25,0.797483854013776,"LOW HIGH NA",NA
8,91,7,167.093766735975,10,3,3.49888196466857,0,0.25,0.884950366713373,"LOW HIGH NA",NA
8,92,8,149.776299462574,10,3,3.50097266165619,0,0.25,0.570008121609298,"LOW HIGH NA",NA
9,101,3,140.007986308308,10,2,2.49958267412558,0,0.25,0.32961744971999,"LOW HIGH NA",NA
9,104,6,132.434411024484,10,2,2.50068499125712,0,0.25,0.185596815411427,"LOW HIGH NA",NA
9,108,10,128.111145803432,10,2,2.50128243979465,0,0.25,0.128103711972908,"LOW HIGH NA",NA
1,10,10,216.760560028425,11,11,11.5014514438546,0,0.25,0.999161414931343,"LOW HIGH NA",NA
2,15,4,206.666637682531,11,10,10.5001486967826,0,0.25,0.997666606810509,"LOW HIGH NA",NA
3,34,12,215.855294130534,11,9,9.50179116275948,0,0.25,0.999080758290136,"LOW HIGH NA",NA
4,45,11,185.622078049547,11,8,8.50120791466838,0,0.25,0.980571441813894,"LOW HIGH NA",NA
5,46,1,186.440339216072,11,7,7.50158726663581,0,0.25,0.982092598013727,"LOW HIGH NA",NA
5,47,2,200.165594787209,11,7,7.49826620124434,0,0.25,0.995494897246041,"LOW HIGH NA",NA
6,62,3,177.98571688253,11,6,6.50113777611837,0,0.25,0.958752938252226,"LOW HIGH NA",NA
6,66,7,175.057460281833,11,6,6.49996585598668,0,0.25,0.94525355039801,"LOW HIGH NA",NA
6,67,8,173.748579417876,11,6,6.4982010816917,0,0.25,0.937955282074767,"LOW HIGH NA",NA
7,76,5,166.757042732585,11,5,5.50136014545679,0,0.25,0.881423463451362,"LOW HIGH NA",NA
7,84,13,172.589075720935,11,5,5.50121463602993,0,0.25,0.930740470206126,"LOW HIGH NA",NA
8,89,5,167.532013247714,11,4,4.49926589849197,0,0.25,0.889403654632849,"LOW HIGH NA",NA
8,96,12,161.72016288807,11,4,4.49779882682238,0,0.25,0.816763685612284,"LOW HIGH NA",NA
9,101,3,167.06368028406,11,3,3.49891119939374,0,0.25,0.884638986975845,"LOW HIGH NA",NA
9,103,5,147.997770973968,11,3,3.500580032255,0,0.25,0.525304876947379,"LOW HIGH NA",NA
9,104,6,156.308973669816,11,3,3.5006618697934,0,0.25,0.720141225255198,"LOW HIGH NA",NA
2,15,4,209.316939454182,12,11,11.4998100703113,0,0.25,0.998216134335809,"LOW HIGH NA",NA
3,34,12,219.998838489384,12,10,10.5022210876174,0,0.25,0.999396249568947,"LOW HIGH NA",NA
4,45,11,189.239549213674,12,9,9.49889697125828,0,0.25,0.986462769794059,"LOW HIGH NA",NA
5,46,1,191.672193669569,12,8,8.50182512611724,0,0.25,0.989394013897731,"LOW HIGH NA",NA
5,47,2,206.57308169621,12,8,8.50023974115379,0,0.25,0.997644388852659,"LOW HIGH NA",NA
6,62,3,184.675211376541,12,7,7.50014442592799,0,0.25,0.978652747280641,"LOW HIGH NA",NA
6,66,7,181.446043207197,12,7,7.49933691858431,0,0.25,0.970613378472806,"LOW HIGH NA",NA
6,67,8,180.004873211219,12,7,7.49971564587122,0,0.25,0.966139637130749,"LOW HIGH NA",NA
7,76,5,175.219870974324,12,6,6.49827863323059,0,0.25,0.946100654248474,"LOW HIGH NA",NA
7,84,13,181.852018106125,12,6,6.49894514429659,0,0.25,0.971766553883351,"LOW HIGH NA",NA
8,96,12,174.039850360942,12,5,5.50011965282828,0,0.25,0.939654185243401,"LOW HIGH NA",NA
9,103,5,164.639649490216,12,4,4.49863150356864,0,0.25,0.85704929297319,"LOW HIGH NA",NA
9,105,7,167.525827990958,12,4,4.49834909125808,0,0.25,0.889341866057393,"LOW HIGH NA",NA
10,112,2,160.724208290645,12,3,3.50043668736188,0,0.25,0.801142685757155,"LOW HIGH NA",NA
10,113,3,159.520865091299,12,3,3.50045677316863,0,0.25,0.780960623373003,"LOW HIGH NA",NA
10,121,11,145.909195233772,12,3,3.49968058617707,0,0.25,0.472340266469702,"LOW HIGH NA",NA
11,130,8,124.409259583419,12,2,2.50066229967026,0,0.25,0.0916467686043118,"LOW HIGH NA",NA
11,133,11,116.997230993682,12,2,2.49911397468448,0,0.25,0.0453795397041513,"LOW HIGH NA",NA
3,34,12,223.247383742424,13,11,11.5010051005049,0,0.25,0.999565803136396,"LOW HIGH NA",NA
5,46,1,195.664311449229,13,9,9.49933466326327,0,0.25,0.992903299320839,"LOW HIGH NA",NA
5,47,2,211.569351495746,13,9,9.50111556263246,0,0.25,0.998580287032291,"LOW HIGH NA",NA
6,62,3,189.76452759932,13,8,8.50133688659118,0,0.25,0.987156417147299,"LOW HIGH NA",NA
6,66,7,186.279751713356,13,8,8.49913145573039,0,0.25,0.981803584027099,"LOW HIGH NA",NA
7,76,5,181.624964343781,13,7,7.50074166452736,0,0.25,0.971127130049688,"LOW HIGH NA",NA
7,84,13,188.949247733072,13,7,7.49882196127787,0,0.25,0.986063464903526,"LOW HIGH NA",NA
8,96,12,183.507190576867,13,6,6.49882791037884,0,0.25,0.976029336023309,"LOW HIGH NA",NA
9,103,5,177.518044417336,13,5,5.49830826161776,0,0.25,0.956833705524096,"LOW HIGH NA",NA
9,105,7,180.967834647178,13,5,5.50000481518364,0,0.25,0.969196380268406,"LOW HIGH NA",NA
10,113,3,179.36365178499,13,4,4.49848987549142,0,0.25,0.963943952363549,"LOW HIGH NA",NA
10,119,9,154.673480282248,13,4,4.50093925637584,0,0.25,0.685487556516473,"LOW HIGH NA",NA
11,123,1,140.722346192914,13,3,3.49897147285177,0,0.25,0.345837874863887,"LOW HIGH NA",NA
11,131,9,146.043933505026,13,3,3.49982884839839,0,0.25,0.475751111948124,"LOW HIGH NA",NA
11,132,10,152.685271579686,13,3,3.50059875065267,0,0.25,0.640431886854011,"LOW HIGH NA",NA
11,135,13,152.713330862574,13,3,3.49990576842412,0,0.25,0.641087671485865,"LOW HIGH NA",NA
12,138,2,125.307000637333,13,2,2.49986887032804,0,0.25,0.0995224645871636,"LOW HIGH NA",NA
6,62,3,193.636440437971,14,9,9.50031801364262,0,0.25,0.991294949353258,"LOW HIGH NA",NA
7,76,5,186.472660633907,14,8,8.50086832757969,0,0.25,0.982150220640841,"LOW HIGH NA",NA
8,96,12,190.782580554205,14,7,7.49881430215458,0,0.25,0.988403062805423,"LOW HIGH NA",NA
9,103,5,187.484050102148,14,6,6.49847180206871,0,0.25,0.983864111548787,"LOW HIGH NA",NA
9,105,7,191.440381188231,14,6,6.49967223223094,0,0.25,0.989144167593976,"LOW HIGH NA",NA
10,119,9,165.692443156738,14,5,5.50047828516773,0,0.25,0.869652326551298,"LOW HIGH NA",NA
11,125,3,169.433985116833,14,4,4.49989983649032,0,0.25,0.907019644602941,"LOW HIGH NA",NA
11,129,7,167.346193304635,14,4,4.50184466229594,0,0.25,0.88753415219949,"LOW HIGH NA",NA
11,131,9,162.168554325299,14,4,4.49936337768778,0,0.25,0.823479174656339,"LOW HIGH NA",NA
11,135,13,170.634240748176,14,4,4.49896456548349,0,0.25,0.916799899408167,"LOW HIGH NA",NA
12,137,1,154.078036267002,14,3,3.50085716752083,0,0.25,0.672309637325894,"LOW HIGH NA",NA
12,145,9,159.900534036528,14,3,3.5001889424257,0,0.25,0.78748335275332,"LOW HIGH NA",NA
6,62,3,196.582162097594,15,10,10.4986107828964,0,0.25,0.993530685873328,"LOW HIGH NA",NA
7,76,5,190.141640610588,15,9,9.49915889692526,0,0.25,0.987632924896284,"LOW HIGH NA",NA
9,103,5,195.196289854988,15,7,7.49907132306167,0,0.25,0.992560497213863,"LOW HIGH NA",NA
9,105,7,199.599448049261,15,7,7.49809025821946,0,0.25,0.995229617887111,"LOW HIGH NA",NA
10,119,9,174.012965758307,15,6,6.50095106044578,0,0.25,0.939499216314186,"LOW HIGH NA",NA
11,125,3,183.25473153461,15,5,5.49756206195449,0,0.25,0.975422255654519,"LOW HIGH NA",NA
11,129,7,180.752795355325,15,5,5.49885538070182,0,0.25,0.96853782773883,"LOW HIGH NA",NA
11,131,9,174.573301929896,15,5,5.50100224044019,0,0.25,0.942653282294257,"LOW HIGH NA",NA
11,135,13,184.695700212224,15,5,5.50089533837769,0,0.25,0.978696164306372,"LOW HIGH NA",NA
12,137,1,172.377124429308,15,4,4.50031907425091,0,0.25,0.929340314563111,"LOW HIGH NA",NA
12,138,2,162.558811650543,15,4,4.50075739481277,0,0.25,0.829165306393249,"LOW HIGH NA",NA
12,140,4,157.217926868473,15,4,4.49903508386994,0,0.25,0.738357763262461,"LOW HIGH NA",NA
12,144,8,163.317419658407,15,4,4.49831909008242,0,0.25,0.83980076642098,"LOW HIGH NA",NA
