"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
1,1,164.535711906916,4,4,4.50037898636208,"M",0,0.25,1,"LOW HIGH NA","R1"
1,2,60.6517362848456,0,0,0.500067308731185,"M",0,0.25,1,"LOW HIGH NA","R1"
1,3,97.7956714224829,1,1,1.49918038411013,"M",0,0.25,1,"LOW HIGH NA","R1"
1,4,62.6730831956575,0,0,0.500040481955937,"M",0,0.25,1,"LOW HIGH NA","R1"
1,5,127.435917124453,2,2,2.49879327065552,"M",0,0.25,1,"LOW HIGH NA","R1"
1,6,122.989734854315,2,2,2.50198796388779,"M",0,0.25,1,"LOW HIGH NA","R1"
1,7,205.908800575571,9,9,9.50102106136585,"M",0,0.25,1,"LOW HIGH NA","R1"
1,8,134.399144130936,2,2,2.50033715338312,"M",0,0.25,1,"LOW HIGH NA","R1"
1,9,167.098891482933,6,6,6.4986380175979,"M",0,0.25,1,"LOW HIGH NA","R1"
1,10,191.18228333966,9,9,9.4992601587244,"M",0,0.25,1,"LOW HIGH NA","R1"
1,11,117.32664473811,2,2,2.5008727843235,"M",0,0.25,1,"LOW HIGH NA","R1"
1,12,62.8680470929107,0,0,0.501756835821311,"M",0,0.25,1,"LOW HIGH NA","R1"
2,1,61.8074600061463,1,0,0.50180531186113,"M",0,0.25,1,"LOW HIGH NA","R1"
2,2,97.8806591001046,2,1,1.49989670725391,"M",0,0.25,1,"LOW HIGH NA","R1"
2,3,220.836141029153,12,11,11.5003345204063,"M",0,0.25,1,"LOW HIGH NA","R1"
2,4,166.320178522467,6,5,5.49956472216877,"M",0,0.25,1,"LOW HIGH NA","R1"
2,5,61.33804521849,1,0,0.501007877225003,"M",0,0.25,1,"LOW HIGH NA","R1"
2,6,125.681573443516,3,2,2.50033411155862,"M",0,0.25,1,"LOW HIGH NA","R1"
2,7,99.0920076148287,2,1,1.50056337315804,"M",0,0.25,1,"LOW HIGH NA","R1"
