"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,64.7515262686213,0,0,0.50093852317341,0,0.25,0.05,"LOW HIGH NA","R1"
1,2,2,64.0194458603907,0,0,0.499868679390864,0,0.25,0.05,"LOW HIGH NA","R1"
1,3,3,64.3438711782114,0,0,0.50037817096674,0,0.25,0.05,"LOW HIGH NA","R1"
1,4,4,63.5575075417642,0,0,0.499963586483417,0,0.25,0.05,"LOW HIGH NA","R1"
1,5,5,63.0199547076543,0,0,0.501609793944801,0,0.25,0.05,"LOW HIGH NA","R1"
1,6,6,61.9969758328775,0,0,0.500869991193508,0,0.25,0.05,"LOW HIGH NA","R1"
1,7,7,61.2943745337748,0,0,0.501336531642632,0,0.25,0.05,"LOW HIGH NA","R1"
1,8,8,64.9274478127528,0,0,0.500012940220516,0,0.25,0.05,"LOW HIGH NA","R1"
1,9,9,61.5700028895499,0,0,0.49881023538501,0,0.25,0.05,"LOW HIGH NA","R1"
1,10,10,59.8459023386895,0,0,0.497074038132164,0,0.25,0.05,"LOW HIGH NA","R1"
1,11,11,63.7189846142812,0,0,0.499013740176687,0,0.25,0.05,"LOW HIGH NA","R1"
1,12,12,63.2619303009121,0,0,0.500834376519779,0,0.25,0.05,"LOW HIGH NA","R1"
1,13,13,66.1393925792004,0,0,0.500967187934316,0,0.25,0.05,"LOW HIGH NA","R1"
1,1,1,103.346343589017,1,1,1.50117223102258,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
1,2,2,101.600314021648,1,1,1.50010300426222,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
1,3,3,102.372446388529,1,1,1.50174060728456,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
1,4,4,100.505377398739,1,1,1.50062020625829,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
1,5,5,99.2378324595719,1,1,1.50040197353609,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
1,6,6,96.8453311257205,1,1,1.4989648122125,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
1,7,7,95.217057444629,1,1,1.49920767733798,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
1,8,8,103.767889357115,1,1,1.50033582985449,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
1,11,11,100.887530047304,1,1,1.49978537745818,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
1,12,12,99.8075273709507,1,1,1.49984868739729,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
1,13,13,106.692698350404,1,1,1.50032858307205,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
2,14,1,61.1067523264026,1,0,0.501100181440357,0,0.25,0.05,"LOW HIGH NA","R1"
2,15,2,61.498579735369,1,0,0.500462268505842,0,0.25,0.05,"LOW HIGH NA","R1"
2,16,3,61.0742650546219,1,0,0.49793716856098,0,0.25,0.05,"LOW HIGH NA","R1"
2,17,4,64.308550463102,1,0,0.501301997596154,0,0.25,0.05,"LOW HIGH NA","R1"
2,18,5,63.1763921322018,1,0,0.498807163007877,0,0.25,0.05,"LOW HIGH NA","R1"
2,19,6,59.2302219212585,1,0,0.500177536788319,0,0.25,0.05,"LOW HIGH NA","R1"
2,20,7,63.3444034012228,1,0,0.499778579206154,0,0.25,0.05,"LOW HIGH NA","R1"
2,21,8,59.9056809700596,1,0,0.500286591990264,0,0.25,0.05,"LOW HIGH NA","R1"
2,22,9,62.3193706064008,1,0,0.500507144795665,0,0.25,0.05,"LOW HIGH NA","R1"
2,23,10,61.913447016486,1,0,0.50084430384555,0,0.25,0.05,"LOW HIGH NA","R1"
2,24,11,64.9111511450372,1,0,0.500798029694196,0,0.25,0.05,"LOW HIGH NA","R1"
2,25,12,62.5280405759948,1,0,0.501756862029358,0,0.25,0.05,"LOW HIGH NA","R1"
1,2,2,131.250844863689,2,2,2.49972226452305,0,0.25,0.5,"LOW HIGH NA","R1"
1,3,3,132.528256111878,2,2,2.49939123367915,0,0.25,0.5,"LOW HIGH NA","R1"
1,4,4,129.446143061345,2,2,2.50195446963213,0,0.25,0.5,"LOW HIGH NA","R1"
1,5,5,127.366867822917,2,2,2.49980907998587,0,0.25,0.5,"LOW HIGH NA","R1"
1,6,6,123.471368984486,2,2,2.49868119635478,0,0.25,0.5,"LOW HIGH NA","R1"
1,7,7,120.842098178136,2,2,2.49912070333025,0,0.25,0.5,"LOW HIGH NA","R1"
1,11,11,130.075115269201,2,2,2.50079054511411,0,0.25,0.5,"LOW HIGH NA","R1"
1,13,13,139.747930997216,2,2,2.49703831342064,0,0.25,0.5,"LOW HIGH NA","R1"
2,15,2,95.6890473136538,2,1,1.49867155756373,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
2,16,3,94.709458223809,2,1,1.49974078148996,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
2,17,4,102.288257228881,2,1,1.49982961717687,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
2,18,5,99.6059757861054,2,1,1.50030720697888,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
2,19,6,90.5037806808607,2,1,1.50089831107084,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
2,21,8,92.0345607894396,2,1,1.50029772466374,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
2,23,10,96.6511163860014,2,1,1.50154639935134,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
2,24,11,103.728806985178,2,1,1.50047556442284,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
2,25,12,98.084144205006,2,1,1.50143346814829,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
3,26,1,62.6880421648544,2,0,0.500337148108579,0,0.25,0.05,"LOW HIGH NA","R1"
3,27,2,63.0086027222096,2,0,0.500106315859894,0,0.25,0.05,"LOW HIGH NA","R1"
3,28,3,65.2353996084019,2,0,0.5006069441194,0,0.25,0.05,"LOW HIGH NA","R1"
3,29,4,61.5635148108428,2,0,0.499328703477576,0,0.25,0.05,"LOW HIGH NA","R1"
3,30,5,63.1412446150475,2,0,0.499947435048985,0,0.25,0.05,"LOW HIGH NA","R1"
3,31,6,60.3353006508757,2,0,0.498645949283881,0,0.25,0.05,"LOW HIGH NA","R1"
3,32,7,62.3879291160859,2,0,0.500708698382144,0,0.25,0.05,"LOW HIGH NA","R1"
3,33,8,61.7506239477804,2,0,0.500879734012212,0,0.25,0.05,"LOW HIGH NA","R1"
3,34,9,61.9841145571599,2,0,0.500304488484885,0,0.25,0.05,"LOW HIGH NA","R1"
