"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
40,9,337.013573779184,52,13,13.499955884038,"FISHED",0.133171761524864,0.25,1,"LOW HIGH NA","R2"
47,9,354.423599698117,51,5,5.49947097078319,"FISHED",0.121747702616267,0.25,1,"LOW HIGH NA","R2"
47,10,322.090341049355,51,5,5.49986664825961,"FISHED",0.121747702616267,0.25,1,"LOW HIGH NA","R2"
48,2,380.220151900741,53,6,6.49958529895754,"FISHED",0.113003099523485,0.25,1,"LOW HIGH NA","R2"
49,4,330.967587679478,58,10,10.5007004758299,"FISHED",0.124558764789253,0.25,1,"LOW HIGH NA","R2"
49,7,298.749761323835,52,4,4.49979715473454,"FISHED",0.133171761524864,0.25,1,"LOW HIGH NA","R2"
50,5,342.797567163931,59,10,10.4985190082026,"FISHED",0.103145347628742,0.25,1,"LOW HIGH NA","R2"
50,7,266.637362479319,52,3,3.50055531825305,"FISHED",0.133171761524864,0.25,1,"LOW HIGH NA","R2"
50,10,338.096572005527,55,6,6.4994430291085,"FISHED",0.135580119793303,0.25,1,"LOW HIGH NA","R2"
51,2,49.0093641590749,50,0,0.500674900898664,"FISHED",0.117978448839858,0.25,1,"LOW HIGH NA","R2"
51,5,226.584352119446,52,2,2.49924149330238,"FISHED",0.133171761524864,0.25,1,"LOW HIGH NA","R2"
51,6,155.197359539349,51,1,1.50004152325712,"FISHED",0.121747702616267,0.25,1,"LOW HIGH NA","R2"
51,14,49.7839457470426,50,0,0.502295923354391,"FISHED",0.117978448839858,0.25,1,"LOW HIGH NA","R2"
52,1,49.8627735136863,51,0,0.501427767610877,"FISHED",0.121747702616267,0.25,1,"LOW HIGH NA","R2"
52,4,274.492100888227,54,3,3.50032628667918,"FISHED",0.114242641581222,0.25,1,"LOW HIGH NA","R2"
52,10,159.9112202336,52,1,1.49768498265128,"FISHED",0.133171761524864,0.25,1,"LOW HIGH NA","R2"
53,4,294.399840029515,58,6,6.49862679259161,"FISHED",0.124558764789253,0.25,1,"LOW HIGH NA","R2"
53,5,47.7132723424947,52,0,0.500077826831839,"FISHED",0.133171761524864,0.25,1,"LOW HIGH NA","R2"
53,14,49.0283829593141,52,0,0.501686071731194,"FISHED",0.133171761524864,0.25,1,"LOW HIGH NA","R2"
54,1,49.2878712592553,53,0,0.500544294401011,"FISHED",0.113003099523485,0.25,1,"LOW HIGH NA","R2"
54,3,239.060103239957,55,2,2.50068680947851,"FISHED",0.135580119793303,0.25,1,"LOW HIGH NA","R2"
54,7,157.750452276696,54,1,1.50009385955933,"FISHED",0.114242641581222,0.25,1,"LOW HIGH NA","R2"
54,11,267.948533361947,56,3,3.50044372132111,"FISHED",0.180382455536164,0.25,1,"LOW HIGH NA","R2"
55,3,156.431184766389,55,1,1.4986074784137,"FISHED",0.135580119793303,0.25,1,"LOW HIGH NA","R2"
55,7,164.706713379399,55,1,1.50030860849365,"FISHED",0.135580119793303,0.25,1,"LOW HIGH NA","R2"
56,4,248.367122253485,57,2,2.49977303245724,"FISHED",0.124900437216274,0.25,1,"LOW HIGH NA","R2"
56,7,224.133450904623,57,2,2.49968277183678,"FISHED",0.124900437216274,0.25,1,"LOW HIGH NA","R2"
56,10,50.2407530408743,55,0,0.501842851804377,"FISHED",0.135580119793303,0.25,1,"LOW HIGH NA","R2"
57,1,221.713817726547,58,2,2.49940273417454,"FISHED",0.124558764789253,0.25,1,"LOW HIGH NA","R2"
57,4,146.939553923683,57,1,1.50091924177929,"FISHED",0.124900437216274,0.25,1,"LOW HIGH NA","R2"
57,5,327.590191950245,61,5,5.50100894335249,"FISHED",0.178919091424905,0.25,1,"LOW HIGH NA","R2"
57,8,155.844078397113,57,1,1.49951624429489,"FISHED",0.124900437216274,0.25,1,"LOW HIGH NA","R2"
57,10,51.6082987721848,56,0,0.498866237215533,"FISHED",0.180382455536164,0.25,1,"LOW HIGH NA","R2"
58,6,336.482119933604,64,7,7.50004686108705,"FISHED",0.102108261780813,0.25,1,"LOW HIGH NA","R2"
58,8,315.460350121542,61,4,4.50047461602164,"FISHED",0.178919091424905,0.25,1,"LOW HIGH NA","R2"
58,9,297.859725697707,61,4,4.50035454220784,"FISHED",0.178919091424905,0.25,1,"LOW HIGH NA","R2"
58,12,49.3888370309189,57,0,0.501294561765997,"FISHED",0.124900437216274,0.25,1,"LOW HIGH NA","R2"
59,3,156.06589348363,59,1,1.49866780872791,"FISHED",0.103145347628742,0.25,1,"LOW HIGH NA","R2"
59,5,49.0875468613701,58,0,0.501304429307725,"FISHED",0.124558764789253,0.25,1,"LOW HIGH NA","R2"
59,6,51.8472407343964,58,0,0.500075400353045,"FISHED",0.124558764789253,0.25,1,"LOW HIGH NA","R2"
59,7,48.9157431487744,58,0,0.498421509690037,"FISHED",0.124558764789253,0.25,1,"LOW HIGH NA","R2"
60,2,153.397043546808,60,1,1.50089399772982,"FISHED",0.120492178061977,0.25,1,"LOW HIGH NA","R2"
60,5,260.151423974242,62,3,3.50170408419002,"FISHED",0.167013757722452,0.25,1,"LOW HIGH NA","R2"
60,6,328.616136657948,68,9,9.50042081441004,"FISHED",0.143997428077273,0.25,1,"LOW HIGH NA","R2"
60,10,49.0519741164133,59,0,0.501716757365637,"FISHED",0.103145347628742,0.25,1,"LOW HIGH NA","R2"
60,11,155.567425803909,60,1,1.50066187325309,"FISHED",0.120492178061977,0.25,1,"LOW HIGH NA","R2"
61,1,312.123632448391,66,6,6.50086601878528,"FISHED",0.170399867347442,0.25,1,"LOW HIGH NA","R2"
62,1,50.4846664663062,61,0,0.49907740132496,"FISHED",0.178919091424905,0.25,1,"LOW HIGH NA","R2"
62,2,266.941736828723,64,3,3.49942783316133,"FISHED",0.102108261780813,0.25,1,"LOW HIGH NA","R2"
62,4,48.3773815770178,61,0,0.502822047085537,"FISHED",0.178919091424905,0.25,1,"LOW HIGH NA","R2"
62,8,309.718421291214,66,5,5.49942450498201,"FISHED",0.170399867347442,0.25,1,"LOW HIGH NA","R2"
63,1,47.9177139766435,62,0,0.501086076140953,"FISHED",0.167013757722452,0.25,1,"LOW HIGH NA","R2"
63,2,48.376874733686,62,0,0.500539772947316,"FISHED",0.167013757722452,0.25,1,"LOW HIGH NA","R2"
63,7,155.617639983198,63,1,1.50004703400435,"FISHED",0.109303668816574,0.25,1,"LOW HIGH NA","R2"
63,10,159.561279560279,63,1,1.50093644429777,"FISHED",0.109303668816574,0.25,1,"LOW HIGH NA","R2"
64,2,171.52149215469,64,1,1.50088941674362,"FISHED",0.102108261780813,0.25,1,"LOW HIGH NA","R2"
64,3,49.9555689232531,63,0,0.500524074897441,"FISHED",0.109303668816574,0.25,1,"LOW HIGH NA","R2"
64,6,254.120846397571,66,3,3.5006548068594,"FISHED",0.170399867347442,0.25,1,"LOW HIGH NA","R2"
64,9,144.796032368239,64,1,1.5001677249877,"FISHED",0.102108261780813,0.25,1,"LOW HIGH NA","R2"
64,10,333.228029546954,77,14,14.5019223272657,"FISHED",0.316430333792232,0.25,1,"LOW HIGH NA","R2"
64,11,48.7687243603048,63,0,0.500099287423186,"FISHED",0.109303668816574,0.25,1,"LOW HIGH NA","R2"
65,2,339.636114140714,70,6,6.50021062828221,"FISHED",0.169945140066557,0.25,1,"LOW HIGH NA","R2"
65,4,212.652596461687,66,2,2.50162551466814,"FISHED",0.170399867347442,0.25,1,"LOW HIGH NA","R2"
66,3,396.694606902837,76,11,11.4990230070809,"FISHED",0.376603479729965,0.25,1,"LOW HIGH NA","R2"
66,6,50.7201271885801,65,0,0.500193244091044,"FISHED",0.186301127658226,0.25,1,"LOW HIGH NA","R2"
66,9,50.777855330315,65,0,0.499141767497063,"FISHED",0.186301127658226,0.25,1,"LOW HIGH NA","R2"
66,12,51.3990260942849,65,0,0.499594564889428,"FISHED",0.186301127658226,0.25,1,"LOW HIGH NA","R2"
67,3,51.08065832527,66,0,0.500914674525854,"FISHED",0.170399867347442,0.25,1,"LOW HIGH NA","R2"
67,9,52.3117536296145,66,0,0.497557443031321,"FISHED",0.170399867347442,0.25,1,"LOW HIGH NA","R2"
68,3,161.877367844838,68,1,1.50056694095676,"FISHED",0.143997428077273,0.25,1,"LOW HIGH NA","R2"
68,4,339.641455834863,78,11,11.4992986171268,"FISHED",0.396046004188247,0.25,1,"LOW HIGH NA","R2"
68,6,51.4289466475124,67,0,0.501200337968502,"FISHED",0.118383453111164,0.25,1,"LOW HIGH NA","R2"
68,7,302.733343656114,71,4,4.49989316471593,"FISHED",0.121503377729096,0.25,1,"LOW HIGH NA","R2"
68,10,309.639311857182,72,5,5.49830009347894,"FISHED",0.162320838333108,0.25,1,"LOW HIGH NA","R2"
68,11,153.931118217175,68,1,1.49870251019351,"FISHED",0.143997428077273,0.25,1,"LOW HIGH NA","R2"
68,12,156.590015183532,68,1,1.49900958578959,"FISHED",0.143997428077273,0.25,1,"LOW HIGH NA","R2"
69,1,49.3046088984986,68,0,0.499107558453382,"FISHED",0.143997428077273,0.25,1,"LOW HIGH NA","R2"
69,2,163.636276134619,69,1,1.50041477597032,"FISHED",0.126537726167589,0.25,1,"LOW HIGH NA","R2"
69,4,156.928384438823,69,1,1.49875728974887,"FISHED",0.126537726167589,0.25,1,"LOW HIGH NA","R2"
69,5,163.2707081922,69,1,1.49984599378597,"FISHED",0.126537726167589,0.25,1,"LOW HIGH NA","R2"
69,8,160.439991071291,69,1,1.50036961408626,"FISHED",0.126537726167589,0.25,1,"LOW HIGH NA","R2"
69,9,160.511061217242,69,1,1.50032569109169,"FISHED",0.126537726167589,0.25,1,"LOW HIGH NA","R2"
70,2,363.968717120542,77,8,8.50187502767723,"FISHED",0.316430333792232,0.25,1,"LOW HIGH NA","R2"
70,4,321.069728712472,75,6,6.50140713792855,"FISHED",0.371021580928937,0.25,1,"LOW HIGH NA","R2"
70,7,48.9590033803577,69,0,0.499542823176811,"FISHED",0.126537726167589,0.25,1,"LOW HIGH NA","R2"
70,9,227.84945451019,71,2,2.49932140141661,"FISHED",0.121503377729096,0.25,1,"LOW HIGH NA","R2"
71,1,210.295384703492,72,2,2.49949776982825,"FISHED",0.162320838333108,0.25,1,"LOW HIGH NA","R2"
