"Year","season","fleet","CPUE","sd"
0,1,2,0.000103714619044076,0.1
1,1,2,0.000215036732140511,0.1
2,1,2,0.00025162618849225,0.1
3,1,2,0.000386595067162545,0.1
4,1,2,0.000332010866314184,0.1
5,1,2,0.00033056880197088,0.1
6,1,2,0.000336478625002228,0.1
7,1,2,0.00038212464782885,0.1
8,1,2,0.000625328170192372,0.1
9,1,2,0.000422528308651896,0.1
10,1,2,0.000529072232948508,0.1
11,1,2,0.000515569611353143,0.1
12,1,2,0.000532768733955162,0.1
13,1,2,0.000438716105426006,0.1
14,1,2,0.000576732542453016,0.1
15,1,2,0.000669221098741764,0.1
16,1,2,0.000607238374130115,0.1
17,1,2,0.000571025854280974,0.1
18,1,2,0.000649271535324572,0.1
19,1,2,0.000580005639313582,0.1
20,1,2,0.000517291267364686,0.1
21,1,2,0.000464007072568538,0.1
22,1,2,0.000370912436500449,0.1
23,1,2,0.000457406130446584,0.1
24,1,2,0.000412132654634804,0.1
25,1,2,0.000531307557881081,0.1
26,1,2,0.000511289048637656,0.1
27,1,2,0.000507659540262703,0.1
28,1,2,0.000393039605090419,0.1
29,1,2,0.000496636051445611,0.1
30,1,2,0.000574407001192619,0.1
31,1,2,0.000535048120880992,0.1
32,1,2,0.000649689778783937,0.1
33,1,2,0.000495009495096839,0.1
34,1,2,0.000584838598282927,0.1
35,1,2,0.000690506609023529,0.1
36,1,2,0.000414841780991631,0.1
37,1,2,0.000460640606760554,0.1
38,1,2,0.000416093680224674,0.1
39,1,2,0.000456390987603427,0.1
40,1,2,0.000450063598001395,0.1
41,1,2,0.000391761919257443,0.1
42,1,2,0.000396685980811124,0.1
43,1,2,0.000510694074248075,0.1
44,1,2,0.000476116674404756,0.1
45,1,2,0.00056640573502452,0.1
46,1,2,0.000757494169645499,0.1
47,1,2,0.000598888688532023,0.1
48,1,2,0.000637665650052926,0.1
49,1,2,0.000679400674704314,0.1
50,1,2,0.000511862785978811,0.1
51,1,2,0.000548132535101556,0.1
52,1,2,0.000470300757500803,0.1
53,1,2,0.000386493236569612,0.1
54,1,2,0.000352510450332863,0.1
55,1,2,0.000326031368305959,0.1
56,1,2,0.000297986208504778,0.1
57,1,2,0.000339311514149596,0.1
58,1,2,0.000343513027231487,0.1
59,1,2,0.00039893080225526,0.1
60,1,2,0.000358208563442857,0.1
61,1,2,0.00034424496667957,0.1
62,1,2,0.000372084536618984,0.1
63,1,2,0.000362597386219698,0.1
64,1,2,0.000388398904220202,0.1
65,1,2,0.000352581770090371,0.1
66,1,2,0.000345027371121196,0.1
67,1,2,0.000349372432720825,0.1
68,1,2,0.000282794746038351,0.1
69,1,2,0.00031021330493768,0.1
70,1,2,0.000346202398139934,0.1
71,1,2,0.000356081264292406,0.1
72,1,2,0.000355400357170592,0.1
73,1,2,0.000439700004515432,0.1
74,1,2,0.000344093407868661,0.1
75,1,2,0.000310553866107724,0.1
76,1,2,0.000292149133295133,0.1
77,1,2,0.000267038386049998,0.1
78,1,2,0.000218258498498252,0.1
79,1,2,0.000203010929500008,0.1
80,1,2,0.00021401416976865,0.1
81,1,2,0.00021898146413283,0.1
82,1,2,0.000233345365531477,0.1
83,1,2,0.00023520443270883,0.1
84,1,2,0.000246849444168974,0.1
85,1,2,0.000193190773891712,0.1
86,1,2,0.000229947673950031,0.1
87,1,2,0.000190619487244433,0.1
88,1,2,0.000195499869589185,0.1
89,1,2,0.000181311570710893,0.1
90,1,2,0.000223274410611295,0.1
91,1,2,0.000300042558776644,0.1
92,1,2,0.000247616957154034,0.1
93,1,2,0.000199300281804276,0.1
94,1,2,0.000279523940681786,0.1
95,1,2,0.000199556385227925,0.1
96,1,2,0.000281895601882144,0.1
97,1,2,0.000262272854846458,0.1
98,1,2,0.000202682830987206,0.1
99,1,2,0.0001326792094771,0.1
