"Year","Age","AgeE","Length_cm","FSIM","FMORT","REG"
42,0,0.500376900185393,6.61594939605121,"HIGH LOW NA",0,"R1"
34,7,7.49896878915268,18.8244255847601,"HIGH LOW NA",0,"R1"
51,0,0.501928250635484,6.54287270087548,"HIGH LOW NA",0.347629048954695,"R1"
31,5,5.49880961213935,18.9028360786426,"HIGH LOW NA",0,"R1"
95,5,5.5007928871323,16.7476400166324,"HIGH LOW NA",0.161327273142524,"R1"
36,0,0.500880124923272,6.14056294732615,"HIGH LOW NA",0,"R1"
66,2,2.49877318673216,13.3916414710031,"HIGH LOW NA",0.31045509846881,"R1"
35,1,1.49866632076533,9.95604146008012,"HIGH LOW NA",0,"R1"
51,2,2.50075925309035,12.8551468434189,"HIGH LOW NA",0.383499746094458,"R1"
76,1,1.50012466054406,10.8448046571047,"HIGH LOW NA",0.194449875922874,"R1"
27,0,0.499638769786332,6.51383204288259,"HIGH LOW NA",0,"R1"
41,7,7.4998195555623,18.6374019977674,"HIGH LOW NA",0,"R1"
64,0,0.500685760320588,6.29635625661206,"HIGH LOW NA",0.395996767212637,"R1"
42,13,13.5009376651004,21.402474934138,"HIGH LOW NA",0,"R1"
22,6,6.50134503649154,20.3256618978618,"HIGH LOW NA",0,"R1"
57,6,6.50092396022738,18.7348546709591,"HIGH LOW NA",0.354568664031103,"R1"
52,1,1.50128218405476,10.2134585181522,"HIGH LOW NA",0.385616072034463,"R1"
84,1,1.49971199556635,9.83738261763969,"HIGH LOW NA",0.14390589077957,"R1"
82,2,2.5000575664747,12.0880324334055,"HIGH LOW NA",0.141048182430677,"R1"
35,0,0.500505252741898,6.09161248590225,"HIGH LOW NA",0,"R1"
66,1,1.49967887431899,10.1737202172416,"HIGH LOW NA",0.316092699440196,"R1"
56,1,1.5010504082091,9.6226383686277,"HIGH LOW NA",0.377877818420529,"R1"
60,2,2.50103852585205,12.7222101035135,"HIGH LOW NA",0.329808393446729,"R1"
33,1,1.50178847302724,9.98856894922833,"HIGH LOW NA",0,"R1"
34,0,0.503312255653147,6.29886471378153,"HIGH LOW NA",0,"R1"
32,0,0.500959222387757,6.00734608327854,"HIGH LOW NA",0,"R1"
48,6,6.49978658919503,18.0661009533137,"HIGH LOW NA",0,"R1"
14,2,2.49981150626697,12.4223879969187,"HIGH LOW NA",0,"R1"
92,0,0.500084927442592,6.25608271304351,"HIGH LOW NA",0.145350393676199,"R1"
13,2,2.49960283552264,13.1935091544819,"HIGH LOW NA",0,"R1"
28,3,3.4997844974029,14.8669626880391,"HIGH LOW NA",0,"R1"
96,2,2.50042965521789,13.0847155547547,"HIGH LOW NA",0.122520556114614,"R1"
88,2,2.49935010269806,12.4706794554824,"HIGH LOW NA",0.152258714614436,"R1"
87,1,1.50006950036528,9.53091343837796,"HIGH LOW NA",0.114630015473813,"R1"
8,1,1.4994919422189,9.86926680110917,"HIGH LOW NA",0,"R1"
31,13,13.5003969223288,20.4920000505399,"HIGH LOW NA",0,"R1"
53,2,2.49946454300583,11.9789312765843,"HIGH LOW NA",0.38760076307226,"R1"
82,3,3.50127487950642,13.3242864860681,"HIGH LOW NA",0.141048182430677,"R1"
63,0,0.500003837762941,6.37429286938421,"HIGH LOW NA",0.379787763627246,"R1"
74,5,5.50196023958235,17.5145785663357,"HIGH LOW NA",0.303160059731454,"R1"
88,0,0.501563099105668,6.2047352874993,"HIGH LOW NA",0.113103061215952,"R1"
48,1,1.50062144645225,9.79371405617435,"HIGH LOW NA",0,"R1"
46,3,3.49961194127788,13.922148417028,"HIGH LOW NA",0,"R1"
96,0,0.49996364044735,6.2036689603429,"HIGH LOW NA",0.127095270529389,"R1"
16,0,0.4990006080793,6.12669034943406,"HIGH LOW NA",0,"R1"
16,3,3.49968453518932,15.2942860955125,"HIGH LOW NA",0,"R1"
13,7,7.49863884811317,17.8234485880644,"HIGH LOW NA",0,"R1"
15,4,4.49977921819424,14.9914816367851,"HIGH LOW NA",0,"R1"
11,4,4.49916745012348,17.1305094704726,"HIGH LOW NA",0,"R1"
11,2,2.49983347423248,11.8835310603746,"HIGH LOW NA",0,"R1"
23,0,0.502577468206563,6.04768031282665,"HIGH LOW NA",0,"R1"
4,1,1.49934336884517,9.20122940111463,"HIGH LOW NA",0,"R1"
42,1,1.50097728613896,9.93617285898741,"HIGH LOW NA",0,"R1"
8,2,2.49912793737072,12.4271958659665,"HIGH LOW NA",0,"R1"
13,0,0.501079970492748,6.22166838800796,"HIGH LOW NA",0,"R1"
49,4,4.49923404187666,17.0441146438055,"HIGH LOW NA",0,"R1"
76,0,0.499275838528267,6.37183978173908,"HIGH LOW NA",0.194449875922874,"R1"
26,3,3.49879438358812,15.771556709752,"HIGH LOW NA",0,"R1"
40,0,0.499878648327862,6.2333857755662,"HIGH LOW NA",0,"R1"
44,7,7.49996612624121,20.4010829281155,"HIGH LOW NA",0,"R1"
57,4,4.50163594377506,17.059300808294,"HIGH LOW NA",0.347453920845874,"R1"
96,0,0.499606017807737,6.28927244027948,"HIGH LOW NA",0.122520556114614,"R1"
29,5,5.50059355376542,17.740021311809,"HIGH LOW NA",0,"R1"
48,0,0.500701439098124,6.534070821953,"HIGH LOW NA",0,"R1"
92,0,0.501085951516403,6.33084394544809,"HIGH LOW NA",0.166206380608492,"R1"
79,0,0.500344439698734,6.51837829748039,"HIGH LOW NA",0.185924416547641,"R1"
97,0,0.500801939723102,6.70497173249604,"HIGH LOW NA",0.165132278995588,"R1"
51,5,5.50148541441253,19.1993912269585,"HIGH LOW NA",0.347629048954695,"R1"
4,0,0.501507460700599,6.10655779470552,"HIGH LOW NA",0,"R1"
34,0,0.499771635026388,6.27812516748447,"HIGH LOW NA",0,"R1"
7,1,1.50141675640096,10.6587356160212,"HIGH LOW NA",0,"R1"
14,4,4.49911082730973,16.6517500693895,"HIGH LOW NA",0,"R1"
91,0,0.498444348738953,6.30481283693981,"HIGH LOW NA",0.19293628372252,"R1"
25,0,0.500206594825814,6.18436084467648,"HIGH LOW NA",0,"R1"
53,0,0.500319827381299,6.15937074378835,"HIGH LOW NA",0.38760076307226,"R1"
13,10,10.498520067969,20.4118208946553,"HIGH LOW NA",0,"R1"
33,10,10.5007594490251,16.9158260796415,"HIGH LOW NA",0,"R1"
74,0,0.498484469982897,6.14377223205722,"HIGH LOW NA",0.32000232017599,"R1"
57,0,0.499286185106754,6.30107604380221,"HIGH LOW NA",0.354568664031103,"R1"
34,3,3.50158149557682,14.9237125762118,"HIGH LOW NA",0,"R1"
81,3,3.50118854011907,13.648447636251,"HIGH LOW NA",0.18874220403377,"R1"
6,6,6.49931758683779,18.7849337910624,"HIGH LOW NA",0,"R1"
40,3,3.50129198418131,15.4230939128302,"HIGH LOW NA",0,"R1"
94,0,0.499900459864734,6.17959487721466,"HIGH LOW NA",0.148674158542417,"R1"
86,1,1.5021990440073,9.47511510566061,"HIGH LOW NA",0.179862488736399,"R1"
94,0,0.499784219338111,6.21701158793753,"HIGH LOW NA",0.148674158542417,"R1"
46,4,4.50074170857346,15.6250812369904,"HIGH LOW NA",0,"R1"
86,2,2.50015275943231,12.7798187891785,"HIGH LOW NA",0.150155934109353,"R1"
40,0,0.500301776087034,6.35448690219237,"HIGH LOW NA",0,"R1"
8,1,1.49927277897909,10.0320169397024,"HIGH LOW NA",0,"R1"
63,0,0.501816913538251,6.27335031398183,"HIGH LOW NA",0.384113373258151,"R1"
66,0,0.499263332615763,6.28812938253969,"HIGH LOW NA",0.354613323858939,"R1"
79,2,2.49954422348186,12.8841161126359,"HIGH LOW NA",0.143330459622666,"R1"
12,6,6.49959835588823,18.9837037260808,"HIGH LOW NA",0,"R1"
46,8,8.49879862881976,18.950313580374,"HIGH LOW NA",0,"R1"
82,0,0.500216207982292,6.29809206885405,"HIGH LOW NA",0.14790980021935,"R1"
15,2,2.49958210778125,13.338469899523,"HIGH LOW NA",0,"R1"
52,2,2.49828874145315,12.1779237570915,"HIGH LOW NA",0.37846810836345,"R1"
95,8,8.49948557908874,21.3372644063277,"HIGH LOW NA",0.130054809828289,"R1"
29,1,1.4995289408255,9.95481641016452,"HIGH LOW NA",0,"R1"
28,4,4.50224676911209,16.1630845784129,"HIGH LOW NA",0,"R1"
62,4,4.50045886973261,16.9109484697987,"HIGH LOW NA",0.351654186937958,"R1"
59,2,2.50218608688304,12.7088194940363,"HIGH LOW NA",0.340217982348986,"R1"
42,3,3.49939378180125,14.0128118200773,"HIGH LOW NA",0,"R1"
17,1,1.50144228120667,9.5898757891442,"HIGH LOW NA",0,"R1"
32,1,1.49919776287742,10.0389359995941,"HIGH LOW NA",0,"R1"
27,7,7.49965959562511,18.5496686540729,"HIGH LOW NA",0,"R1"
21,0,0.499577329036662,6.17266102471788,"HIGH LOW NA",0,"R1"
4,0,0.500119677510505,6.18310435160374,"HIGH LOW NA",0,"R1"
53,3,3.49953072403391,13.4282694584163,"HIGH LOW NA",0.395886761276051,"R1"
6,3,3.4999971873047,12.8288604806275,"HIGH LOW NA",0,"R1"
99,0,0.499708553537586,6.07690008690011,"HIGH LOW NA",0.161272232444026,"R1"
70,2,2.4991011449288,11.7540524914759,"HIGH LOW NA",0.313893099338748,"R1"
