"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
1,1,201.605793329662,8,8,8.49882172222975,"M",0,0.25,1,"HIGH LOW NA","R1"
1,2,218.899156567263,12,12,12.4995781048066,"M",0,0.25,1,"HIGH LOW NA","R1"
1,3,109.337599229275,1,1,1.50030997760575,"M",0,0.25,1,"HIGH LOW NA","R1"
1,4,62.7507298954873,0,0,0.500182764481472,"M",0,0.25,1,"HIGH LOW NA","R1"
1,5,142.114819036661,2,2,2.49984350372565,"M",0,0.25,1,"HIGH LOW NA","R1"
1,6,187.169739076153,5,5,5.50148211313131,"M",0,0.25,1,"HIGH LOW NA","R1"
1,7,196.301963692438,7,7,7.50103747566881,"M",0,0.25,1,"HIGH LOW NA","R1"
1,8,123.190872777102,2,2,2.49984689156723,"M",0,0.25,1,"HIGH LOW NA","R1"
1,9,60.2073852944066,0,0,0.501841406223428,"M",0,0.25,1,"HIGH LOW NA","R1"
1,10,122.994576788819,2,2,2.49983624309281,"M",0,0.25,1,"HIGH LOW NA","R1"
1,11,62.6192481345309,0,0,0.501668498200103,"M",0,0.25,1,"HIGH LOW NA","R1"
2,1,59.5997840071366,1,0,0.500953796830621,"M",0,0.25,1,"HIGH LOW NA","R1"
2,2,135.231110359994,4,3,3.50023096706598,"M",0,0.25,1,"HIGH LOW NA","R1"
2,3,62.4378499667184,1,0,0.498736947792566,"M",0,0.25,1,"HIGH LOW NA","R1"
2,4,95.4794488230158,2,1,1.50086674157226,"M",0,0.25,1,"HIGH LOW NA","R1"
2,5,188.911086993437,5,4,4.50033442591287,"M",0,0.25,1,"HIGH LOW NA","R1"
2,6,146.72602380229,4,3,3.50066115417228,"M",0,0.25,1,"HIGH LOW NA","R1"
2,7,126.856327363132,3,2,2.4989215515229,"M",0,0.25,1,"HIGH LOW NA","R1"
2,8,223.973819599235,9,8,8.49950508064759,"M",0,0.25,1,"HIGH LOW NA","R1"
2,9,100.121092485264,2,1,1.49960250608322,"M",0,0.25,1,"HIGH LOW NA","R1"
2,10,99.901485711931,2,1,1.49916116333309,"M",0,0.25,1,"HIGH LOW NA","R1"
2,11,62.9260652492953,1,0,0.499593954554079,"M",0,0.25,1,"HIGH LOW NA","R1"
3,1,127.898784516977,4,2,2.4993428033024,"M",0,0.25,1,"HIGH LOW NA","R1"
3,2,136.899440297919,5,3,3.50097265002189,"M",0,0.25,1,"HIGH LOW NA","R1"
3,3,222.84751603098,10,8,8.50118237661127,"M",0,0.25,1,"HIGH LOW NA","R1"
3,4,153.254132556921,5,3,3.49773840075007,"M",0,0.25,1,"HIGH LOW NA","R1"
3,5,155.066562710246,6,4,4.50103977300433,"M",0,0.25,1,"HIGH LOW NA","R1"
3,6,63.7879409689747,2,0,0.49870902786199,"M",0,0.25,1,"HIGH LOW NA","R1"
