"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
39,12,174.308579008238,50,12,12.4999575156472,"FISHED",0.316822613705881,0.25,1,"HIGH LOW NA","R1"
41,3,184.890578707499,50,10,10.4998935868387,"FISHED",0.316822613705881,0.25,1,"HIGH LOW NA","R1"
43,9,200.149949813066,52,10,10.5003570595105,"FISHED",0.385616072034463,0.25,1,"HIGH LOW NA","R1"
43,10,191.484169317808,52,10,10.4981985793758,"FISHED",0.385616072034463,0.25,1,"HIGH LOW NA","R1"
45,7,202.771698669618,51,7,7.50003266797795,"FISHED",0.339776083338074,0.25,1,"HIGH LOW NA","R1"
46,6,207.607025935304,53,8,8.50054154206085,"FISHED",0.395886761276051,0.25,1,"HIGH LOW NA","R1"
47,2,201.393433580098,57,11,11.4993329345042,"FISHED",0.359015035605989,0.25,1,"HIGH LOW NA","R1"
47,4,194.170236175677,52,6,6.49970869500162,"FISHED",0.385616072034463,0.25,1,"HIGH LOW NA","R1"
47,6,174.237128719518,50,4,4.49840926492058,"FISHED",0.316822613705881,0.25,1,"HIGH LOW NA","R1"
47,8,158.299812792674,50,4,4.49898258690331,"FISHED",0.316822613705881,0.25,1,"HIGH LOW NA","R1"
47,11,185.503132011923,54,8,8.50004969022572,"FISHED",0.385309647792019,0.25,1,"HIGH LOW NA","R1"
48,3,159.364891360408,51,4,4.49982092113541,"FISHED",0.339776083338074,0.25,1,"HIGH LOW NA","R1"
48,7,146.517515927654,51,4,4.49842395971758,"FISHED",0.339776083338074,0.25,1,"HIGH LOW NA","R1"
49,3,119.536476900868,50,2,2.50159558082128,"FISHED",0.316822613705881,0.25,1,"HIGH LOW NA","R1"
49,5,179.524035467957,53,5,5.50057845741881,"FISHED",0.395886761276051,0.25,1,"HIGH LOW NA","R1"
49,6,167.805702243575,52,4,4.49995933231408,"FISHED",0.385616072034463,0.25,1,"HIGH LOW NA","R1"
49,8,160.740884785183,51,3,3.50100195762607,"FISHED",0.339776083338074,0.25,1,"HIGH LOW NA","R1"
50,4,129.772526033214,51,2,2.50014550153488,"FISHED",0.339776083338074,0.25,1,"HIGH LOW NA","R1"
50,5,127.312661009882,51,2,2.49934277345809,"FISHED",0.339776083338074,0.25,1,"HIGH LOW NA","R1"
50,6,97.2769358661692,50,1,1.50000989411765,"FISHED",0.316822613705881,0.25,1,"HIGH LOW NA","R1"
50,8,116.809816276233,51,2,2.49957683674011,"FISHED",0.339776083338074,0.25,1,"HIGH LOW NA","R1"
50,13,125.78984328162,51,2,2.50021673675171,"FISHED",0.339776083338074,0.25,1,"HIGH LOW NA","R1"
51,6,127.455138311434,52,2,2.50129832588464,"FISHED",0.385616072034463,0.25,1,"HIGH LOW NA","R1"
51,9,61.341117168109,50,0,0.499124690975373,"FISHED",0.316822613705881,0.25,1,"HIGH LOW NA","R1"
51,10,64.7411070119288,50,0,0.501501361998779,"FISHED",0.316822613705881,0.25,1,"HIGH LOW NA","R1"
51,13,181.774026126627,56,6,6.49957085653989,"FISHED",0.318108095484786,0.25,1,"HIGH LOW NA","R1"
52,5,60.5541423861083,51,0,0.500377216184181,"FISHED",0.339776083338074,0.25,1,"HIGH LOW NA","R1"
52,9,166.953037664357,55,4,4.4980700364711,"FISHED",0.345825341483578,0.25,1,"HIGH LOW NA","R1"
52,11,136.05232732945,54,3,3.50145157963736,"FISHED",0.385309647792019,0.25,1,"HIGH LOW NA","R1"
52,13,104.579090416353,52,1,1.4994960715179,"FISHED",0.385616072034463,0.25,1,"HIGH LOW NA","R1"
53,6,157.631944252651,56,4,4.50013466276146,"FISHED",0.318108095484786,0.25,1,"HIGH LOW NA","R1"
53,7,98.749341311504,53,1,1.49807614555701,"FISHED",0.395886761276051,0.25,1,"HIGH LOW NA","R1"
