"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
1,1,62.7768053647472,0,0,0.499314789745385,"M",0,0.25,1,"LOW HIGH NA","R1"
1,2,99.0234447484364,1,1,1.49894269500271,"M",0,0.25,1,"LOW HIGH NA","R1"
1,3,66.0289043405156,0,0,0.498690345115555,"M",0,0.25,1,"LOW HIGH NA","R1"
1,4,133.796228757523,2,2,2.50129307815036,"M",0,0.25,1,"LOW HIGH NA","R1"
1,5,117.532120928648,2,2,2.50032845788957,"M",0,0.25,1,"LOW HIGH NA","R1"
1,6,139.083504410701,3,3,3.50183377177827,"M",0,0.25,1,"LOW HIGH NA","R1"
1,7,179.747290365664,5,5,5.50066502509821,"M",0,0.25,1,"LOW HIGH NA","R1"
1,8,203.785658009172,5,5,5.50129188629993,"M",0,0.25,1,"LOW HIGH NA","R1"
1,9,180.58966461421,5,5,5.49951071027562,"M",0,0.25,1,"LOW HIGH NA","R1"
1,10,118.483856523009,2,2,2.49919860901068,"M",0,0.25,1,"LOW HIGH NA","R1"
1,11,188.964730087054,6,6,6.50080787488355,"M",0,0.25,1,"LOW HIGH NA","R1"
1,12,142.886722222795,3,3,3.49872981578309,"M",0,0.25,1,"LOW HIGH NA","R1"
1,13,123.485108186001,2,2,2.49948163964615,"M",0,0.25,1,"LOW HIGH NA","R1"
2,1,204.702925437279,7,6,6.49963547304857,"M",0,0.25,1,"LOW HIGH NA","R1"
2,2,65.102707202698,1,0,0.501827262538691,"M",0,0.25,1,"LOW HIGH NA","R1"
2,3,171.254759203177,6,5,5.50040148170664,"M",0,0.25,1,"LOW HIGH NA","R1"
2,4,159.942914328995,10,9,9.50191212558905,"M",0,0.25,1,"LOW HIGH NA","R1"
2,5,63.3639046428475,1,0,0.50095474162026,"M",0,0.25,1,"LOW HIGH NA","R1"
2,6,97.6318025381158,2,1,1.49900402191793,"M",0,0.25,1,"LOW HIGH NA","R1"
2,7,104.294843744627,2,1,1.50142821593809,"M",0,0.25,1,"LOW HIGH NA","R1"
2,8,66.0581560198118,1,0,0.50142881542637,"M",0,0.25,1,"LOW HIGH NA","R1"
2,9,217.973303489052,8,7,7.50022971302958,"M",0,0.25,1,"LOW HIGH NA","R1"
2,10,63.1891816061302,1,0,0.499627239191,"M",0,0.25,1,"LOW HIGH NA","R1"
3,1,59.8914194806477,2,0,0.498877230328451,"M",0,0.25,1,"LOW HIGH NA","R1"
3,2,214.366299781063,12,10,10.5024441209339,"M",0,0.25,1,"LOW HIGH NA","R1"
3,3,62.2566026490903,2,0,0.50017659856902,"M",0,0.25,1,"LOW HIGH NA","R1"
3,4,62.2464585168226,2,0,0.498694284373071,"M",0,0.25,1,"LOW HIGH NA","R1"
3,5,119.287116026262,4,2,2.49992653544715,"M",0,0.25,1,"LOW HIGH NA","R1"
3,6,129.894611340873,4,2,2.49822221453431,"M",0,0.25,1,"LOW HIGH NA","R1"
3,7,175.754322783255,8,6,6.50144253243771,"M",0,0.25,1,"LOW HIGH NA","R1"
3,8,97.3613424679158,3,1,1.49973302816066,"M",0,0.25,1,"LOW HIGH NA","R1"
3,9,91.3882030686855,3,1,1.49960724001017,"M",0,0.25,1,"LOW HIGH NA","R1"
3,10,152.648097719144,5,3,3.49951008004325,"M",0,0.25,1,"LOW HIGH NA","R1"
3,11,62.789512365686,2,0,0.501680003645954,"M",0,0.25,1,"LOW HIGH NA","R1"
4,1,93.870887086215,4,1,1.49982860317726,"M",0,0.25,1,"LOW HIGH NA","R1"
4,2,199.581089611801,17,14,14.500146389981,"M",0,0.25,1,"LOW HIGH NA","R1"
4,3,207.032417030709,8,5,5.49915421783244,"M",0,0.25,1,"LOW HIGH NA","R1"
4,4,196.96447927202,8,5,5.50057544165582,"M",0,0.25,1,"LOW HIGH NA","R1"
4,5,64.3181108549114,3,0,0.501604595845514,"M",0,0.25,1,"LOW HIGH NA","R1"
4,6,148.652668970405,6,3,3.50011998929216,"M",0,0.25,1,"LOW HIGH NA","R1"
4,7,62.4900615637941,3,0,0.499143817226136,"M",0,0.25,1,"LOW HIGH NA","R1"
4,8,66.053351950042,3,0,0.500834027216454,"M",0,0.25,1,"LOW HIGH NA","R1"
4,9,61.2221922309872,3,0,0.499322895426833,"M",0,0.25,1,"LOW HIGH NA","R1"
4,10,155.098007795354,6,3,3.50122236736095,"M",0,0.25,1,"LOW HIGH NA","R1"
4,11,144.438112766103,6,3,3.49903098845396,"M",0,0.25,1,"LOW HIGH NA","R1"
4,12,176.87634379788,8,5,5.5005214659878,"M",0,0.25,1,"LOW HIGH NA","R1"
