"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
44,9,195.289540214866,51,8,8.50029817499739,"FISHED",0.117885090480559,0.25,1,"LOW HIGH NA","R1"
44,11,156.640194485122,50,7,7.4984720254129,"FISHED",0.121713239932433,0.25,1,"LOW HIGH NA","R1"
44,13,187.103442487125,51,8,8.49970484158912,"FISHED",0.117885090480559,0.25,1,"LOW HIGH NA","R1"
46,3,195.578383999089,50,5,5.50079898716418,"FISHED",0.121713239932433,0.25,1,"LOW HIGH NA","R1"
46,14,194.986081131539,55,10,10.4982553067484,"FISHED",0.187750866357237,0.25,1,"LOW HIGH NA","R1"
47,9,147.245103089184,51,5,5.50038105042629,"FISHED",0.117885090480559,0.25,1,"LOW HIGH NA","R1"
47,10,215.938417431669,56,10,10.4998799534404,"FISHED",0.178497721254826,0.25,1,"LOW HIGH NA","R1"
48,3,161.130950090886,50,3,3.500428852679,"FISHED",0.121713239932433,0.25,1,"LOW HIGH NA","R1"
49,1,161.357715009075,53,5,5.49927879292465,"FISHED",0.193053894024342,0.25,1,"LOW HIGH NA","R1"
49,5,159.361027629968,51,3,3.49912947243937,"FISHED",0.117885090480559,0.25,1,"LOW HIGH NA","R1"
49,14,146.939218897285,51,3,3.50038064076759,"FISHED",0.117885090480559,0.25,1,"LOW HIGH NA","R1"
50,5,185.149913694905,55,6,6.499089540732,"FISHED",0.187750866357237,0.25,1,"LOW HIGH NA","R1"
50,8,100.615041657433,50,1,1.50088567736535,"FISHED",0.121713239932433,0.25,1,"LOW HIGH NA","R1"
50,11,156.394028977531,52,3,3.49941498562232,"FISHED",0.165460554207675,0.25,1,"LOW HIGH NA","R1"
51,7,147.336241052067,53,3,3.50023934948178,"FISHED",0.193053894024342,0.25,1,"LOW HIGH NA","R1"
51,8,64.0099742592458,50,0,0.499529881644947,"FISHED",0.121713239932433,0.25,1,"LOW HIGH NA","R1"
51,11,62.0159879162037,50,0,0.501787998183097,"FISHED",0.121713239932433,0.25,1,"LOW HIGH NA","R1"
52,2,63.4637417389297,51,0,0.501275851762594,"FISHED",0.117885090480559,0.25,1,"LOW HIGH NA","R1"
52,4,125.230605472022,53,2,2.49980496226985,"FISHED",0.193053894024342,0.25,1,"LOW HIGH NA","R1"
52,7,197.475561320682,59,8,8.49987164111542,"FISHED",0.184072734508663,0.25,1,"LOW HIGH NA","R1"
52,8,120.429498716676,53,2,2.49857158144529,"FISHED",0.193053894024342,0.25,1,"LOW HIGH NA","R1"
52,9,64.6074029621982,51,0,0.499602843258466,"FISHED",0.117885090480559,0.25,1,"LOW HIGH NA","R1"
52,11,136.880389913317,53,2,2.50123198754536,"FISHED",0.193053894024342,0.25,1,"LOW HIGH NA","R1"
53,4,62.9097082740979,52,0,0.498813004431182,"FISHED",0.165460554207675,0.25,1,"LOW HIGH NA","R1"
53,5,98.0584864765982,53,1,1.50130842574133,"FISHED",0.193053894024342,0.25,1,"LOW HIGH NA","R1"
53,9,182.613293906232,56,4,4.50159697543534,"FISHED",0.178497721254826,0.25,1,"LOW HIGH NA","R1"
53,11,140.012574537073,55,3,3.49951563979349,"FISHED",0.187750866357237,0.25,1,"LOW HIGH NA","R1"
53,14,94.2717223295566,53,1,1.49929465819911,"FISHED",0.193053894024342,0.25,1,"LOW HIGH NA","R1"
54,5,62.6358397466321,53,0,0.498527875231966,"FISHED",0.193053894024342,0.25,1,"LOW HIGH NA","R1"
54,7,62.9243436689324,53,0,0.500690521174108,"FISHED",0.193053894024342,0.25,1,"LOW HIGH NA","R1"
54,9,62.71751863132,53,0,0.501451051585604,"FISHED",0.193053894024342,0.25,1,"LOW HIGH NA","R1"
55,3,128.75803718973,56,2,2.50035882317186,"FISHED",0.178497721254826,0.25,1,"LOW HIGH NA","R1"
55,5,113.639801441298,56,2,2.49969886326838,"FISHED",0.178497721254826,0.25,1,"LOW HIGH NA","R1"
55,8,61.9802193831651,54,0,0.501277154512972,"FISHED",0.139624348445795,0.25,1,"LOW HIGH NA","R1"
55,9,190.284114332618,59,5,5.5005053795817,"FISHED",0.184072734508663,0.25,1,"LOW HIGH NA","R1"
55,11,100.506027477152,55,1,1.5011755552546,"FISHED",0.187750866357237,0.25,1,"LOW HIGH NA","R1"
56,2,142.527578895875,58,3,3.50033439327461,"FISHED",0.164586767484434,0.25,1,"LOW HIGH NA","R1"
56,3,104.550397289634,56,1,1.49771364041114,"FISHED",0.178497721254826,0.25,1,"LOW HIGH NA","R1"
56,6,93.5660902020266,56,1,1.49852250887575,"FISHED",0.178497721254826,0.25,1,"LOW HIGH NA","R1"
57,1,99.1725886020903,57,1,1.49948316150575,"FISHED",0.169574034283869,0.25,1,"LOW HIGH NA","R1"
57,2,107.412919345688,57,1,1.49967997112668,"FISHED",0.169574034283869,0.25,1,"LOW HIGH NA","R1"
57,3,63.0092554824624,56,0,0.499268798516175,"FISHED",0.178497721254826,0.25,1,"LOW HIGH NA","R1"
57,5,66.338367318842,56,0,0.49897204468234,"FISHED",0.178497721254826,0.25,1,"LOW HIGH NA","R1"
57,6,98.4731503525759,57,1,1.49935531881731,"FISHED",0.169574034283869,0.25,1,"LOW HIGH NA","R1"
57,8,174.052093209628,63,7,7.49993635501328,"FISHED",0.129531318647787,0.25,1,"LOW HIGH NA","R1"
57,9,62.5393474929964,56,0,0.500534242583767,"FISHED",0.178497721254826,0.25,1,"LOW HIGH NA","R1"
57,10,181.071036971325,62,6,6.49896291627429,"FISHED",0.187661170167848,0.25,1,"LOW HIGH NA","R1"
57,11,63.9762094091124,56,0,0.498750972737867,"FISHED",0.178497721254826,0.25,1,"LOW HIGH NA","R1"
57,13,199.109800930382,68,12,12.5009679402639,"FISHED",0.151427331496961,0.25,1,"LOW HIGH NA","R1"
58,4,178.435373634557,63,6,6.4998795719018,"FISHED",0.129531318647787,0.25,1,"LOW HIGH NA","R1"
58,5,131.150733371552,59,2,2.50160140244897,"FISHED",0.184072734508663,0.25,1,"LOW HIGH NA","R1"
58,9,64.3835494908986,57,0,0.501100549177862,"FISHED",0.169574034283869,0.25,1,"LOW HIGH NA","R1"
59,1,64.1164931738971,58,0,0.501227807904662,"FISHED",0.164586767484434,0.25,1,"LOW HIGH NA","R1"
59,9,160.900044197831,62,4,4.49953971472826,"FISHED",0.187661170167848,0.25,1,"LOW HIGH NA","R1"
59,11,216.101898900248,65,7,7.50026440620729,"FISHED",0.113541369978338,0.25,1,"LOW HIGH NA","R1"
60,2,99.2898345079133,60,1,1.49995261198494,"FISHED",0.191967288358137,0.25,1,"LOW HIGH NA","R1"
60,6,150.240707066999,63,4,4.50116192204989,"FISHED",0.129531318647787,0.25,1,"LOW HIGH NA","R1"
60,11,62.2678246976797,59,0,0.498965401577693,"FISHED",0.184072734508663,0.25,1,"LOW HIGH NA","R1"
61,12,63.0972501181048,60,0,0.501459765719497,"FISHED",0.191967288358137,0.25,1,"LOW HIGH NA","R1"
62,2,64.3946238011161,61,0,0.498608060108866,"FISHED",0.10791820071172,0.25,1,"LOW HIGH NA","R1"
62,6,100.127066669293,62,1,1.49918862325754,"FISHED",0.187661170167848,0.25,1,"LOW HIGH NA","R1"
