"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,63.9407386624147,0,0,0.499841969575737,0,0.25,0.05,"LOW HIGH NA","R1"
1,2,2,65.3666446994859,0,0,0.499869261632357,0,0.25,0.05,"LOW HIGH NA","R1"
1,3,3,63.1925684467755,0,0,0.499333311019128,0,0.25,0.05,"LOW HIGH NA","R1"
1,4,4,61.3459295653754,0,0,0.498581450836633,0,0.25,0.05,"LOW HIGH NA","R1"
1,5,5,64.9500097277652,0,0,0.499175779081665,0,0.25,0.05,"LOW HIGH NA","R1"
1,6,6,63.2990021591721,0,0,0.500209265247137,0,0.25,0.05,"LOW HIGH NA","R1"
1,7,7,61.5864117786592,0,0,0.501222534496402,0,0.25,0.05,"LOW HIGH NA","R1"
1,8,8,62.3963740451456,0,0,0.499217304410771,0,0.25,0.05,"LOW HIGH NA","R1"
1,9,9,64.1594125676527,0,0,0.499586159984509,0,0.25,0.05,"LOW HIGH NA","R1"
1,10,10,60.9131825412787,0,0,0.499113682769223,0,0.25,0.05,"LOW HIGH NA","R1"
1,11,11,61.8737026264787,0,0,0.499396998400679,0,0.25,0.05,"LOW HIGH NA","R1"
1,12,12,64.8910815241881,0,0,0.500003413869373,0,0.25,0.05,"LOW HIGH NA","R1"
1,1,1,101.413381899027,1,1,1.49893947738805,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
1,4,4,95.3361222225185,1,1,1.5006452788412,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
1,5,5,103.822007735899,1,1,1.49874925481356,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
1,9,9,101.933116649253,1,1,1.50031240828908,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
1,10,10,94.3387391015655,1,1,1.50159912462654,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
1,11,11,96.5587661868271,1,1,1.50106845685396,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
2,13,1,63.6414911438587,1,0,0.499591357797464,0,0.25,0.05,"LOW HIGH NA","R1"
2,14,2,65.4335929606333,1,0,0.500299005756269,0,0.25,0.05,"LOW HIGH NA","R1"
2,15,3,61.4108191227991,1,0,0.500108604334399,0,0.25,0.05,"LOW HIGH NA","R1"
2,16,4,64.8877825511544,1,0,0.497971352153598,0,0.25,0.05,"LOW HIGH NA","R1"
2,17,5,63.5102385529201,1,0,0.498318559010616,0,0.25,0.05,"LOW HIGH NA","R1"
2,18,6,63.4149469109244,1,0,0.500170775042751,0,0.25,0.05,"LOW HIGH NA","R1"
2,19,7,61.6810557688017,1,0,0.498953129710234,0,0.25,0.05,"LOW HIGH NA","R1"
2,20,8,64.0018338960607,1,0,0.500408442644611,0,0.25,0.05,"LOW HIGH NA","R1"
2,21,9,62.0543754275937,1,0,0.499630409107366,0,0.25,0.05,"LOW HIGH NA","R1"
2,22,10,62.5758598275796,1,0,0.499922794064098,0,0.25,0.05,"LOW HIGH NA","R1"
2,23,11,64.9749464932804,1,0,0.500480625547031,0,0.25,0.05,"LOW HIGH NA","R1"
2,24,12,65.8007533844323,1,0,0.500910397753705,0,0.25,0.05,"LOW HIGH NA","R1"
2,25,13,63.270514245607,1,0,0.499889312576768,0,0.25,0.05,"LOW HIGH NA","R1"
1,4,4,121.033755766553,2,2,2.50007380078707,0,0.25,0.5,"LOW HIGH NA","R1"
1,5,5,134.937010083358,2,2,2.50024169845277,0,0.25,0.5,"LOW HIGH NA","R1"
1,9,9,131.8009491094,2,2,2.50019636375174,0,0.25,0.5,"LOW HIGH NA","R1"
1,10,10,119.431225181687,2,2,2.49851392070645,0,0.25,0.5,"LOW HIGH NA","R1"
1,11,11,123.007345827274,2,2,2.498548061825,0,0.25,0.5,"LOW HIGH NA","R1"
2,13,1,100.7040533089,2,1,1.49907474218635,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
2,17,5,100.393631918591,2,1,1.50002304060414,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
2,18,6,100.168526690833,2,1,1.49881150937586,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
2,19,7,96.1116830373744,2,1,1.50089887283748,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
2,20,8,101.558471780038,2,1,1.50145790952697,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
2,21,9,96.9788919134864,2,1,1.50092631617285,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
2,22,10,98.1960331769936,2,1,1.50090228194413,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
2,23,11,103.881837172641,2,1,1.5008739906395,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
3,26,1,62.0724419589956,2,0,0.500114863561514,0,0.25,0.05,"LOW HIGH NA","R1"
3,27,2,62.9279141348411,2,0,0.501340264095633,0,0.25,0.05,"LOW HIGH NA","R1"
3,28,3,63.3919915259171,2,0,0.49838074935439,0,0.25,0.05,"LOW HIGH NA","R1"
3,29,4,59.8016742992939,2,0,0.499177374328628,0,0.25,0.05,"LOW HIGH NA","R1"
3,30,5,60.8405611658803,2,0,0.49970048727892,0,0.25,0.05,"LOW HIGH NA","R1"
3,31,6,66.755814812738,2,0,0.500028298794882,0,0.25,0.05,"LOW HIGH NA","R1"
3,32,7,61.7560421473749,2,0,0.501076981346794,0,0.25,0.05,"LOW HIGH NA","R1"
3,33,8,61.6471541285674,2,0,0.499583950146789,0,0.25,0.05,"LOW HIGH NA","R1"
3,34,9,63.1386771276283,2,0,0.499819242194412,0,0.25,0.05,"LOW HIGH NA","R1"
3,35,10,64.191167584897,2,0,0.49866506827346,0,0.25,0.05,"LOW HIGH NA","R1"
3,36,11,63.1236429210909,2,0,0.498345356130884,0,0.25,0.05,"LOW HIGH NA","R1"
3,37,12,64.2434176963716,2,0,0.500193881730208,0,0.25,0.05,"LOW HIGH NA","R1"
1,4,4,140.461958966946,3,3,3.50066869409072,0,0.25,0.813394503136629,"LOW HIGH NA","R1"
1,5,5,159.842942906255,3,3,3.49920315968898,0,0.25,0.813394503136629,"LOW HIGH NA","R1"
1,10,10,138.268095004497,3,3,3.49870903808313,0,0.25,0.813394503136629,"LOW HIGH NA","R1"
2,17,5,129.262407754053,3,2,2.49937274089306,0,0.25,0.5,"LOW HIGH NA","R1"
2,19,7,122.284501174766,3,2,2.50098077079681,0,0.25,0.5,"LOW HIGH NA","R1"
2,20,8,131.181733731128,3,2,2.50115169126163,0,0.25,0.5,"LOW HIGH NA","R1"
2,21,9,123.687826526121,3,2,2.49873725993547,0,0.25,0.5,"LOW HIGH NA","R1"
2,22,10,125.665903438246,3,2,2.50019079718104,0,0.25,0.5,"LOW HIGH NA","R1"
