"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,61.6806498479591,0,0,0.499347598832478,0,0.25,0.05,"LOW HIGH NA","R1"
1,1,1,96.1107419666532,1,1,1.50053308534496,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
1,1,1,122.282981064296,2,2,2.49993975320711,0,0.25,0.5,"LOW HIGH NA","R1"
1,2,2,62.0026169038586,0,0,0.499751236823803,0,0.25,0.05,"LOW HIGH NA","R1"
1,2,2,96.8584535065826,1,1,1.49982255804267,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
1,2,2,123.492630701548,2,2,2.49990597574633,0,0.25,0.5,"LOW HIGH NA","R1"
1,2,2,143.844441588721,3,3,3.50072824809765,0,0.25,0.813394503136629,"LOW HIGH NA","R1"
1,2,2,159.39574634108,4,4,4.49917648013736,0,0.25,0.95,"LOW HIGH NA","R1"
1,3,3,60.673893791197,0,0,0.499348821578572,0,0.25,0.05,"LOW HIGH NA","R1"
1,3,3,93.7892149868238,1,1,1.50022286919105,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
1,3,3,118.551150747969,2,2,2.50107353827965,0,0.25,0.5,"LOW HIGH NA","R1"
1,3,3,137.066854069007,3,3,3.5009088958623,0,0.25,0.813394503136629,"LOW HIGH NA","R1"
1,4,4,59.9469675347833,0,0,0.49989120657707,0,0.25,0.05,"LOW HIGH NA","R1"
1,4,4,92.1284924458405,1,1,1.50091668072014,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
1,5,5,59.9252949946127,0,0,0.499334355794502,0,0.25,0.05,"LOW HIGH NA","R1"
1,5,5,92.0791796996347,1,1,1.50001576246609,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
1,5,5,115.825558131531,2,2,2.50042237378811,0,0.25,0.5,"LOW HIGH NA","R1"
1,6,6,60.7707097598646,0,0,0.500255113904483,0,0.25,0.05,"LOW HIGH NA","R1"
1,7,7,62.7098120513898,0,0,0.5013480550394,0,0.25,0.05,"LOW HIGH NA","R1"
1,8,8,62.3401729670821,0,0,0.500590355034138,0,0.25,0.05,"LOW HIGH NA","R1"
1,8,8,97.6451114149477,1,1,1.498503338544,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
1,9,9,62.1118992947699,0,0,0.501130321974846,0,0.25,0.05,"LOW HIGH NA","R1"
1,10,10,61.3556687574398,0,0,0.502005242792284,0,0.25,0.05,"LOW HIGH NA","R1"
1,10,10,95.3586219473829,1,1,1.50145109601725,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
1,10,10,121.069984098772,2,2,2.5001148889468,0,0.25,0.5,"LOW HIGH NA","R1"
1,10,10,140.511652591125,3,3,3.50175928730058,0,0.25,0.813394503136629,"LOW HIGH NA","R1"
1,10,10,155.212486858132,4,4,4.50092825068767,0,0.25,0.95,"LOW HIGH NA","R1"
1,10,10,166.328535268844,5,5,5.49923635036649,0,0.25,0.98806954215117,"LOW HIGH NA","R1"
1,10,10,174.733944786765,6,6,6.49850757128552,0,0.25,0.997237569060774,"LOW HIGH NA","R1"
1,10,10,181.08970238637,7,7,7.50130647484753,0,0.25,0.999364902956742,"LOW HIGH NA","R1"
1,10,10,185.895613934024,8,8,8.49997756972905,0,0.25,0.999854227405248,"LOW HIGH NA","R1"
1,10,10,189.52960806327,9,9,9.50067918491177,0,0.25,0.999966553716173,"LOW HIGH NA","R1"
1,10,10,192.277455833761,10,10,10.5001494806725,0,0.25,0.999992326698485,"LOW HIGH NA","R1"
1,11,11,61.9208468532916,0,0,0.500276037043602,0,0.25,0.05,"LOW HIGH NA","R1"
1,11,11,96.6683149712208,1,1,1.49960980470148,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
1,11,11,123.184668843784,2,2,2.49839766876071,0,0.25,0.5,"LOW HIGH NA","R1"
1,11,11,143.41972655529,3,3,3.50149873146374,0,0.25,0.813394503136629,"LOW HIGH NA","R1"
1,11,11,158.861425763101,4,4,4.50099826824599,0,0.25,0.95,"LOW HIGH NA","R1"
1,11,11,170.645235714327,5,5,5.49927582584781,0,0.25,0.98806954215117,"LOW HIGH NA","R1"
1,12,12,60.4183260619179,0,0,0.500470767592417,0,0.25,0.05,"LOW HIGH NA","R1"
1,12,12,93.2038649820571,1,1,1.49945870202584,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
1,12,12,117.615944129886,2,2,2.49928511467976,0,0.25,0.5,"LOW HIGH NA","R1"
1,12,12,135.793153593226,3,3,3.50033022089617,0,0.25,0.813394503136629,"LOW HIGH NA","R1"
1,12,12,149.327885390273,4,4,4.50087482731593,0,0.25,0.95,"LOW HIGH NA","R1"
1,12,12,159.40583300855,5,5,5.49867525689648,0,0.25,0.98806954215117,"LOW HIGH NA","R1"
2,13,1,63.8951758557459,1,0,0.499863464007944,0,0.25,0.05,"LOW HIGH NA","R1"
2,13,1,101.305238550018,2,1,1.50046546426538,0,0.25,0.186605496863371,"LOW HIGH NA","R1"
2,13,1,130.763713481411,3,2,2.49928819102328,0,0.25,0.5,"LOW HIGH NA","R1"
2,13,1,153.960727407196,4,3,3.49852748756134,0,0.25,0.813394503136629,"LOW HIGH NA","R1"
2,14,2,61.6085192728379,1,0,0.499420472024605,0,0.25,0.05,"LOW HIGH NA","R1"
