"Year","season","fleet","CPUE","sd"
0,1,2,0.000120482101613113,0.1
1,1,2,0.000251946124460877,0.1
2,1,2,0.000244755706541694,0.1
3,1,2,0.000400512420519869,0.1
4,1,2,0.000415283436170155,0.1
5,1,2,0.000546507453834735,0.1
6,1,2,0.000513160044582249,0.1
7,1,2,0.000535983752964683,0.1
8,1,2,0.0004024618643982,0.1
9,1,2,0.000489047719168781,0.1
10,1,2,0.000462586849076346,0.1
11,1,2,0.000574899918619686,0.1
12,1,2,0.000471517195086747,0.1
13,1,2,0.000512853711282855,0.1
14,1,2,0.000611490518290723,0.1
15,1,2,0.000597258595825792,0.1
16,1,2,0.000415780936563237,0.1
17,1,2,0.000500231984354734,0.1
18,1,2,0.000516186855490571,0.1
19,1,2,0.000525229023445998,0.1
20,1,2,0.00047165739740331,0.1
21,1,2,0.000450086053524582,0.1
22,1,2,0.000507798841270686,0.1
23,1,2,0.000387976399224134,0.1
24,1,2,0.000454906681074005,0.1
25,1,2,0.000483447858566367,0.1
26,1,2,0.000395221862762414,0.1
27,1,2,0.000579307950925932,0.1
28,1,2,0.000567986831156475,0.1
29,1,2,0.000483667203029272,0.1
30,1,2,0.000470240195095399,0.1
31,1,2,0.000434153658969293,0.1
32,1,2,0.000423528593181373,0.1
33,1,2,0.000416329926862657,0.1
34,1,2,0.000421151821874965,0.1
35,1,2,0.00047954382810754,0.1
36,1,2,0.000457549119260538,0.1
37,1,2,0.000532923584731367,0.1
38,1,2,0.000453473053700751,0.1
39,1,2,0.000507227190048721,0.1
40,1,2,0.000536832624458012,0.1
41,1,2,0.000429817244165288,0.1
42,1,2,0.000434929173490911,0.1
43,1,2,0.000568128749323515,0.1
44,1,2,0.000402907621925446,0.1
45,1,2,0.000442613061079651,0.1
46,1,2,0.000529787053910395,0.1
47,1,2,0.000574432055781476,0.1
48,1,2,0.000472930465875913,0.1
49,1,2,0.000524735878044591,0.1
50,1,2,0.000633036841289912,0.1
51,1,2,0.000524176908817517,0.1
52,1,2,0.000471330836953216,0.1
53,1,2,0.000457173108937251,0.1
54,1,2,0.000361500320971145,0.1
55,1,2,0.000373419860397642,0.1
56,1,2,0.000412003915343798,0.1
57,1,2,0.000369321331869875,0.1
58,1,2,0.000380694151580985,0.1
59,1,2,0.000442938669236344,0.1
60,1,2,0.000407615394620407,0.1
61,1,2,0.000388325656225287,0.1
62,1,2,0.000276931005159578,0.1
63,1,2,0.000386864926077925,0.1
64,1,2,0.00037141399126659,0.1
65,1,2,0.000325067378262706,0.1
66,1,2,0.000370145757148275,0.1
67,1,2,0.000348636103259372,0.1
68,1,2,0.000326430253489364,0.1
69,1,2,0.000322388248736673,0.1
70,1,2,0.00036636790468482,0.1
71,1,2,0.000326516219376798,0.1
72,1,2,0.000348698038286115,0.1
73,1,2,0.000259593756463706,0.1
74,1,2,0.000295811553490882,0.1
75,1,2,0.000219574553239006,0.1
76,1,2,0.000270115336419909,0.1
77,1,2,0.000210249586079503,0.1
78,1,2,0.00018726852760651,0.1
79,1,2,0.000172466948324443,0.1
80,1,2,0.000115685496127502,0.1
81,1,2,4.07735978236702e-05,0.1
82,1,2,4.19636886796935e-05,0.1
83,1,2,7.41901802529713e-05,0.1
84,1,2,0.000108564218307412,0.1
85,1,2,0.000155537548693883,0.1
86,1,2,0.000141695073909386,0.1
87,1,2,9.32460459589984e-05,0.1
88,1,2,7.59072271002968e-05,0.1
89,1,2,6.30435215175108e-05,0.1
90,1,2,4.76756648217135e-05,0.1
91,1,2,8.46664147289566e-05,0.1
92,1,2,6.32085920354896e-05,0.1
93,1,2,7.31771091643759e-05,0.1
94,1,2,8.47942719761468e-05,0.1
95,1,2,9.34111020877228e-05,0.1
96,1,2,0.000137605728195089,0.1
97,1,2,9.34101644787066e-05,0.1
98,1,2,0.000101168666419129,0.1
99,1,2,0.000122920525896753,0.1
