"Year","season","fleet","CPUE","sd"
0,1,2,0.000107832843129298,0.1
1,1,2,0.000174930695658864,0.1
2,1,2,0.00030219999788402,0.1
3,1,2,0.000343140383864162,0.1
4,1,2,0.000360666213137307,0.1
5,1,2,0.00041345345119461,0.1
6,1,2,0.000414349698821783,0.1
7,1,2,0.000375292505216759,0.1
8,1,2,0.000344082269138973,0.1
9,1,2,0.000363508073801587,0.1
10,1,2,0.000383143130449263,0.1
11,1,2,0.000412257906383421,0.1
12,1,2,0.000348787490221664,0.1
13,1,2,0.000275339260960887,0.1
14,1,2,0.000339244050430061,0.1
15,1,2,0.00029662743235222,0.1
16,1,2,0.000323102501685396,0.1
17,1,2,0.000345245352967946,0.1
18,1,2,0.000432331639029422,0.1
19,1,2,0.000536694616532447,0.1
20,1,2,0.000469507149481923,0.1
21,1,2,0.000522323891960137,0.1
22,1,2,0.000558145621589474,0.1
23,1,2,0.000499758618627137,0.1
24,1,2,0.000580779601152601,0.1
25,1,2,0.000549896859621854,0.1
26,1,2,0.000743160622744037,0.1
27,1,2,0.000521777561883988,0.1
28,1,2,0.000503887385877141,0.1
29,1,2,0.000509325873908388,0.1
30,1,2,0.000468508667042947,0.1
31,1,2,0.000468841611587281,0.1
32,1,2,0.000492566907965316,0.1
33,1,2,0.000554125429497623,0.1
34,1,2,0.000461639560334531,0.1
35,1,2,0.000506165830131745,0.1
36,1,2,0.000442514410305009,0.1
37,1,2,0.000443036886182213,0.1
38,1,2,0.000435325257028569,0.1
39,1,2,0.000427625442913488,0.1
40,1,2,0.000487394205600492,0.1
41,1,2,0.000440323869535509,0.1
42,1,2,0.000450432224812487,0.1
43,1,2,0.000546580052082175,0.1
44,1,2,0.000474821753162538,0.1
45,1,2,0.00046931195397314,0.1
46,1,2,0.000474325206920342,0.1
47,1,2,0.000404844220015202,0.1
48,1,2,0.000485367507786563,0.1
49,1,2,0.000553688677878003,0.1
50,1,2,0.00049018820679194,0.1
51,1,2,0.000388644888445687,0.1
52,1,2,0.000319847577737359,0.1
53,1,2,0.000231697423840532,0.1
54,1,2,0.000261457322316165,0.1
55,1,2,0.000239177563487402,0.1
56,1,2,0.000219591943803127,0.1
57,1,2,0.000243149516223196,0.1
58,1,2,0.000212559313865766,0.1
59,1,2,0.000167136216294816,0.1
60,1,2,0.000185874969981705,0.1
61,1,2,0.000166522240913867,0.1
62,1,2,0.000165672840368172,0.1
63,1,2,0.000114876822408196,0.1
64,1,2,0.000173154100906982,0.1
65,1,2,0.000144643206077716,0.1
66,1,2,0.00022774861730679,0.1
67,1,2,0.000238493069697846,0.1
68,1,2,0.000296453919122185,0.1
69,1,2,0.000238197792487033,0.1
70,1,2,0.000164925933050876,0.1
71,1,2,0.000171114505101911,0.1
72,1,2,0.000170127825050659,0.1
73,1,2,0.000210638190510832,0.1
74,1,2,0.000247261749393385,0.1
75,1,2,0.000210089950805935,0.1
76,1,2,0.000253028716778696,0.1
77,1,2,0.000245958138522339,0.1
78,1,2,0.000280048390550935,0.1
79,1,2,0.000318678582022801,0.1
80,1,2,0.000344988530572777,0.1
81,1,2,0.000394508998607684,0.1
82,1,2,0.000387968147657028,0.1
83,1,2,0.000357907314782865,0.1
84,1,2,0.000487040440142694,0.1
85,1,2,0.000401531163069974,0.1
86,1,2,0.00042839325353301,0.1
87,1,2,0.000402585384887401,0.1
88,1,2,0.000346578569940145,0.1
89,1,2,0.000417101492695911,0.1
90,1,2,0.000301158070500456,0.1
91,1,2,0.000277575814423312,0.1
92,1,2,0.000330119250409603,0.1
93,1,2,0.00030150575208984,0.1
94,1,2,0.000288441544013325,0.1
95,1,2,0.000299591204451356,0.1
96,1,2,0.000391228918402486,0.1
97,1,2,0.000334406160937745,0.1
98,1,2,0.000239335696595062,0.1
99,1,2,0.000204105763864804,0.1
