"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,48.6068390657529,0,0,0.500074584032906,0,0.25,0.05,"HIGH LOW NA","R2"
1,1,1,153.549659089673,1,1,1.50053142786569,0,0.25,0.186605496863371,"HIGH LOW NA","R2"
1,1,1,218.599702202291,2,2,2.50112401930386,0,0.25,0.5,"HIGH LOW NA","R2"
1,1,1,258.921737649679,3,3,3.50021206276381,0,0.25,0.813394503136629,"HIGH LOW NA","R2"
1,1,1,283.915826274735,4,4,4.49885364080877,0,0.25,0.95,"HIGH LOW NA","R2"
1,2,2,52.9467623208348,0,0,0.49912078884338,0,0.25,0.05,"HIGH LOW NA","R2"
1,3,3,47.4873105436007,0,0,0.499768250490292,0,0.25,0.05,"HIGH LOW NA","R2"
1,3,3,149.33508382239,1,1,1.50120140807438,0,0.25,0.186605496863371,"HIGH LOW NA","R2"
1,4,4,50.0298476211139,0,0,0.49969864307402,0,0.25,0.05,"HIGH LOW NA","R2"
1,4,4,158.952854236438,1,1,1.49904739374764,0,0.25,0.186605496863371,"HIGH LOW NA","R2"
1,4,4,228.446689377367,2,2,2.49785441932322,0,0.25,0.5,"HIGH LOW NA","R2"
1,4,4,272.784366720872,3,3,3.49854944773863,0,0.25,0.813394503136629,"HIGH LOW NA","R2"
1,4,4,301.072194385444,4,4,4.50108151381083,0,0.25,0.95,"HIGH LOW NA","R2"
1,4,4,319.120076952249,5,5,5.50125213843793,0,0.25,0.98806954215117,"HIGH LOW NA","R2"
1,4,4,330.634784585779,6,6,6.50039598416696,0,0.25,0.997237569060774,"HIGH LOW NA","R2"
1,4,4,337.981269216032,7,7,7.50154222382709,0,0.25,0.999364902956742,"HIGH LOW NA","R2"
1,4,4,342.668390951142,8,8,8.49925690883772,0,0.25,0.999854227405248,"HIGH LOW NA","R2"
1,4,4,345.658815795873,9,9,9.49917192925195,0,0.25,0.999966553716173,"HIGH LOW NA","R2"
1,5,5,52.8737183960424,0,0,0.501801950925944,0,0.25,0.05,"HIGH LOW NA","R2"
1,5,5,169.905840227401,1,1,1.49877772369128,0,0.25,0.186605496863371,"HIGH LOW NA","R2"
1,5,5,248.817724101702,2,2,2.50142549275512,0,0.25,0.5,"HIGH LOW NA","R2"
1,6,6,49.1545683587742,0,0,0.500188944801474,0,0.25,0.05,"HIGH LOW NA","R2"
1,6,6,155.623285618371,1,1,1.50017076849039,0,0.25,0.186605496863371,"HIGH LOW NA","R2"
1,6,6,222.362853021174,2,2,2.49950365545537,0,0.25,0.5,"HIGH LOW NA","R2"
1,7,7,50.3645308089595,0,0,0.498839192459811,0,0.25,0.05,"HIGH LOW NA","R2"
1,7,7,160.231155696088,1,1,1.5005136556495,0,0.25,0.186605496863371,"HIGH LOW NA","R2"
1,7,7,230.795945859658,2,2,2.49807323825364,0,0.25,0.5,"HIGH LOW NA","R2"
1,7,7,276.11807727076,3,3,3.49956475238761,0,0.25,0.813394503136629,"HIGH LOW NA","R2"
1,8,8,49.0378345554699,0,0,0.500531189100764,0,0.25,0.05,"HIGH LOW NA","R2"
1,8,8,155.18070615523,1,1,1.50142718325161,0,0.25,0.186605496863371,"HIGH LOW NA","R2"
