"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,63.7651123872746,0,0,0.501183121965769,0,0.25,0.05,"HIGH MED NA",NA
1,2,2,61.3595135982444,0,0,0.500375067611555,0,0.25,0.05,"HIGH MED NA",NA
1,3,3,61.9594479442053,0,0,0.501239631381327,0,0.25,0.05,"HIGH MED NA",NA
1,4,4,63.4914226644966,0,0,0.499798495715016,0,0.25,0.05,"HIGH MED NA",NA
1,5,5,62.4579059747146,0,0,0.500510742603452,0,0.25,0.05,"HIGH MED NA",NA
1,6,6,65.6215387189661,0,0,0.500622729110749,0,0.25,0.05,"HIGH MED NA",NA
1,7,7,66.1842816698554,0,0,0.500715087019563,0,0.25,0.05,"HIGH MED NA",NA
1,8,8,61.5063426574244,0,0,0.501718456284461,0,0.25,0.05,"HIGH MED NA",NA
1,9,9,63.7078738754678,0,0,0.500193043432526,0,0.25,0.05,"HIGH MED NA",NA
1,10,10,62.591854528691,0,0,0.502484399066768,0,0.25,0.05,"HIGH MED NA",NA
1,11,11,62.4733613816434,0,0,0.49797761408065,0,0.25,0.05,"HIGH MED NA",NA
1,12,12,64.1272590399589,0,0,0.498344375377574,0,0.25,0.05,"HIGH MED NA",NA
1,13,13,62.1084212949047,0,0,0.500823004440762,0,0.25,0.05,"HIGH MED NA",NA
1,1,1,100.996814342518,1,1,1.50015454926404,0,0.25,0.186605496863371,"HIGH MED NA",NA
1,2,2,95.3675050383488,1,1,1.49919250530957,0,0.25,0.186605496863371,"HIGH MED NA",NA
1,3,3,96.7580529079596,1,1,1.49901688791867,0,0.25,0.186605496863371,"HIGH MED NA",NA
1,5,5,97.9201430363958,1,1,1.50019654876553,0,0.25,0.186605496863371,"HIGH MED NA",NA
1,6,6,105.438522204212,1,1,1.49910638649766,0,0.25,0.186605496863371,"HIGH MED NA",NA
1,8,8,95.7070104293895,1,1,1.50180386128504,0,0.25,0.186605496863371,"HIGH MED NA",NA
1,9,9,100.861214713848,1,1,1.49987182450215,0,0.25,0.186605496863371,"HIGH MED NA",NA
1,10,10,98.2334706550558,1,1,1.49986207640794,0,0.25,0.186605496863371,"HIGH MED NA",NA
1,11,11,97.956273196182,1,1,1.49984494697465,0,0.25,0.186605496863371,"HIGH MED NA",NA
1,13,13,97.1047232789005,1,1,1.49849862170449,0,0.25,0.186605496863371,"HIGH MED NA",NA
2,14,1,63.7502215637986,1,0,0.49808446384995,0,0.25,0.05,"HIGH MED NA",NA
2,15,2,65.4034539433849,1,0,0.4994383096642,0,0.25,0.05,"HIGH MED NA",NA
2,16,3,61.528002772944,1,0,0.498025855892171,0,0.25,0.05,"HIGH MED NA",NA
2,17,4,64.7097548637333,1,0,0.499380829061788,0,0.25,0.05,"HIGH MED NA",NA
2,18,5,61.0881449613589,1,0,0.498413269523886,0,0.25,0.05,"HIGH MED NA",NA
2,19,6,62.9877177413723,1,0,0.500464148828517,0,0.25,0.05,"HIGH MED NA",NA
2,20,7,61.3734708617756,1,0,0.499100524512128,0,0.25,0.05,"HIGH MED NA",NA
2,21,8,63.2107986850784,1,0,0.498511303517121,0,0.25,0.05,"HIGH MED NA",NA
2,22,9,60.7202722485118,1,0,0.500890414130803,0,0.25,0.05,"HIGH MED NA",NA
2,23,10,62.8381256387254,1,0,0.500830125722139,0,0.25,0.05,"HIGH MED NA",NA
2,24,11,61.5863498540759,1,0,0.500932043156828,0,0.25,0.05,"HIGH MED NA",NA
1,1,1,130.25516042623,2,2,2.49957572016269,0,0.25,0.5,"HIGH MED NA",NA
1,2,2,121.084288303047,2,2,2.50307612413338,0,0.25,0.5,"HIGH MED NA",NA
1,3,3,123.329984598731,2,2,2.49927282878558,0,0.25,0.5,"HIGH MED NA",NA
1,5,5,125.216664242078,2,2,2.50102302940895,0,0.25,0.5,"HIGH MED NA",NA
1,6,6,137.639459893468,2,2,2.50001430497643,0,0.25,0.5,"HIGH MED NA",NA
1,8,8,121.631382328904,2,2,2.50037000832085,0,0.25,0.5,"HIGH MED NA",NA
1,9,9,130.031772740381,2,2,2.49868381382743,0,0.25,0.5,"HIGH MED NA",NA
1,10,10,125.726903002933,2,2,2.49903267013199,0,0.25,0.5,"HIGH MED NA",NA
1,11,11,125.275467029254,2,2,2.49958009940097,0,0.25,0.5,"HIGH MED NA",NA
1,13,13,123.891866487329,2,2,2.50083476906343,0,0.25,0.5,"HIGH MED NA",NA
2,14,1,100.961529795514,2,1,1.49943516819326,0,0.25,0.186605496863371,"HIGH MED NA",NA
2,15,2,104.912326606314,2,1,1.49996191201425,0,0.25,0.186605496863371,"HIGH MED NA",NA
