"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
38,8,199.335888851847,50,13,13.5022663043802,"FISHED",0.340929806488566,0.25,0.995100873950213,"HIGH MED NA",NA
38,11,192.224134754472,50,13,13.4988357412448,"FISHED",0.340929806488566,0.25,0.989966225467358,"HIGH MED NA",NA
41,8,215.805126971374,52,12,12.5019538385749,"FISHED",0.337535498966463,0.25,0.999076068440962,"HIGH MED NA",NA
42,2,232.097185563001,52,11,11.4993355474193,"FISHED",0.337535498966463,0.25,0.999823165539034,"HIGH MED NA",NA
43,6,207.007543498559,50,8,8.50001624111538,"FISHED",0.340929806488566,0.25,0.997745811770159,"HIGH MED NA",NA
43,8,217.659270747564,55,13,13.4997275626562,"FISHED",0.320147616742179,0.25,0.999234491034276,"HIGH MED NA",NA
44,9,190.063246345083,50,7,7.50023688749066,"FISHED",0.340929806488566,0.25,0.987535327543731,"HIGH MED NA",NA
45,7,187.032242641982,51,7,7.5001916645877,"FISHED",0.342073322739452,0.25,0.98311945429582,"HIGH MED NA",NA
46,2,165.689186084557,51,6,6.50180712339309,"FISHED",0.342073322739452,0.25,0.869614834950885,"HIGH MED NA",NA
47,7,178.017179040745,50,4,4.49991607062528,"FISHED",0.340929806488566,0.25,0.958879079306028,"HIGH MED NA",NA
48,1,154.451195772732,52,5,5.49991083921013,"FISHED",0.337535498966463,0.25,0.680601544263963,"HIGH MED NA",NA
48,4,168.076825281366,52,5,5.50052675333046,"FISHED",0.337535498966463,0.25,0.894728745920809,"HIGH MED NA",NA
48,5,166.688970975187,51,4,4.5016342354512,"FISHED",0.342073322739452,0.25,0.880699195015677,"HIGH MED NA",NA
48,8,170.288876346309,50,3,3.49892166445803,"FISHED",0.340929806488566,0.25,0.914085775958493,"HIGH MED NA",NA
48,9,181.863935877479,54,7,7.50006178870548,"FISHED",0.317819028254598,0.25,0.971799733972276,"HIGH MED NA",NA
49,1,186.491208280577,53,5,5.49948856405352,"FISHED",0.378340394212864,0.25,0.982183205137846,"HIGH MED NA",NA
49,2,137.665864301911,51,3,3.50073915641992,"FISHED",0.342073322739452,0.25,0.279344183503403,"HIGH MED NA",NA
49,6,150.60629494827,51,3,3.50120285102904,"FISHED",0.342073322739452,0.25,0.590529735414829,"HIGH MED NA",NA
49,9,173.863011608931,52,4,4.50006386936058,"FISHED",0.337535498966463,0.25,0.938627996272998,"HIGH MED NA",NA
50,2,198.397402486089,54,5,5.49932625994029,"FISHED",0.317819028254598,0.25,0.994613725715423,"HIGH MED NA",NA
50,5,159.522444685924,53,4,4.50098389219163,"FISHED",0.378340394212864,0.25,0.780988056920416,"HIGH MED NA",NA
50,9,167.708256614013,54,5,5.49676763179333,"FISHED",0.317819028254598,0.25,0.891151607765595,"HIGH MED NA",NA
50,10,158.691726681434,53,4,4.4996543189328,"FISHED",0.378340394212864,0.25,0.766219997711017,"HIGH MED NA",NA
51,1,155.879923272288,53,3,3.50012745795033,"FISHED",0.378340394212864,0.25,0.711278136978178,"HIGH MED NA",NA
51,4,132.618254349916,52,2,2.50032485494888,"FISHED",0.337535498966463,0.25,0.188434773413499,"HIGH MED NA",NA
51,5,147.792490504152,54,4,4.49975813704266,"FISHED",0.317819028254598,0.25,0.52010501537562,"HIGH MED NA",NA
52,1,174.663274562846,55,4,4.50263904007987,"FISHED",0.320147616742179,0.25,0.943145117845566,"HIGH MED NA",NA
53,1,151.844462522079,56,4,4.50088386924623,"FISHED",0.36115084446501,0.25,0.62054681108887,"HIGH MED NA",NA
53,3,143.091601265481,54,2,2.49993761036046,"FISHED",0.317819028254598,0.25,0.402074439757077,"HIGH MED NA",NA
53,5,139.643450230866,55,3,3.49943675448585,"FISHED",0.320147616742179,0.25,0.321491043178478,"HIGH MED NA",NA
53,6,193.439628353281,61,9,9.50037827099814,"FISHED",0.346488313376904,0.25,0.991120808505679,"HIGH MED NA",NA
53,7,159.497373546416,56,4,4.49910163571089,"FISHED",0.36115084446501,0.25,0.780552343098925,"HIGH MED NA",NA
53,9,180.617648701947,56,4,4.50099713683622,"FISHED",0.36115084446501,0.25,0.968116995061867,"HIGH MED NA",NA
53,11,182.184643332995,57,5,5.50018313084258,"FISHED",0.323116957838647,0.25,0.972678522836652,"HIGH MED NA",NA
54,1,167.401415729421,59,6,6.49868908875387,"FISHED",0.303401915892027,0.25,0.888092599246821,"HIGH MED NA",NA
54,2,174.144919677541,57,4,4.49957478405126,"FISHED",0.323116957838647,0.25,0.940256272463104,"HIGH MED NA",NA
54,3,203.918151626544,60,7,7.50092088993601,"FISHED",0.385501363826916,0.25,0.996917832657093,"HIGH MED NA",NA
54,5,168.678496936194,57,4,4.50122997547953,"FISHED",0.323116957838647,0.25,0.900345498508411,"HIGH MED NA",NA
54,7,178.738342490933,57,4,4.49921709776984,"FISHED",0.323116957838647,0.25,0.96167114003664,"HIGH MED NA",NA
54,8,148.587430967849,58,5,5.49972093513153,"FISHED",0.391476557007991,0.25,0.540206908292064,"HIGH MED NA",NA
55,9,172.239922357891,58,4,4.49945562463682,"FISHED",0.391476557007991,0.25,0.928420055903274,"HIGH MED NA",NA
56,7,130.512040430047,57,2,2.49976218208472,"FISHED",0.323116957838647,0.25,0.157883392726453,"HIGH MED NA",NA
56,8,152.759697171523,58,3,3.49788543072955,"FISHED",0.391476557007991,0.25,0.642170161065667,"HIGH MED NA",NA
56,9,143.713784818986,58,3,3.50068800234379,"FISHED",0.391476557007991,0.25,0.417351026375076,"HIGH MED NA",NA
56,10,156.531540024427,59,4,4.50138675699653,"FISHED",0.303401915892027,0.25,0.724672779301857,"HIGH MED NA",NA
57,2,124.423506998032,58,2,2.49994060001099,"FISHED",0.391476557007991,0.25,0.0917672636217887,"HIGH MED NA",NA
58,2,158.692070665037,61,4,4.50009042711677,"FISHED",0.346488313376904,0.25,0.766226253745079,"HIGH MED NA",NA
59,1,152.139657315194,61,3,3.49993632906193,"FISHED",0.346488313376904,0.25,0.627578300617766,"HIGH MED NA",NA
59,9,204.959460126,67,9,9.49955532597697,"FISHED",0.398316503502429,0.25,0.997226206762755,"HIGH MED NA",NA
59,11,125.958799936385,60,2,2.5005153525724,"FISHED",0.385501363826916,0.25,0.105612433887248,"HIGH MED NA",NA
59,13,154.093523268091,61,3,3.49999633760616,"FISHED",0.346488313376904,0.25,0.672655964964428,"HIGH MED NA",NA
60,12,144.856656592056,61,2,2.50008746996485,"FISHED",0.346488313376904,0.25,0.445809007202174,"HIGH MED NA",NA
61,3,148.038384976304,63,3,3.49926079390839,"FISHED",0.380893842480145,0.25,0.526333036753199,"HIGH MED NA",NA
61,7,181.77771268521,67,7,7.5005454934108,"FISHED",0.398316503502429,0.25,0.97155882478912,"HIGH MED NA",NA
61,8,177.118536443687,64,4,4.50054906683274,"FISHED",0.380807591276243,0.25,0.955126940274235,"HIGH MED NA",NA
61,11,192.316909909844,65,5,5.50054238841581,"FISHED",0.334754946012981,0.25,0.990059361550776,"HIGH MED NA",NA
61,13,124.953587928512,62,2,2.50232429266655,"FISHED",0.369901208602823,0.25,0.0963526177249415,"HIGH MED NA",NA
62,5,151.613573122544,65,4,4.50273310392785,"FISHED",0.334754946012981,0.25,0.615011393412876,"HIGH MED NA",NA
62,8,151.007410898943,64,3,3.50182662440968,"FISHED",0.380807591276243,0.25,0.600339996360293,"HIGH MED NA",NA
62,9,130.384596590824,63,2,2.50016755735481,"FISHED",0.380893842480145,0.25,0.156170588482983,"HIGH MED NA",NA
62,11,190.586756073176,66,5,5.49975777389209,"FISHED",0.371530161215924,0.25,0.988172933252924,"HIGH MED NA",NA
63,1,135.307368207594,64,2,2.49983381287925,"FISHED",0.380807591276243,0.25,0.233763541274154,"HIGH MED NA",NA
63,3,162.64963907769,66,4,4.50098115269727,"FISHED",0.371530161215924,0.25,0.830467631397839,"HIGH MED NA",NA
63,5,165.906072513564,66,4,4.49870883991303,"FISHED",0.371530161215924,0.25,0.872091424937634,"HIGH MED NA",NA
63,9,192.26285580185,69,7,7.50045825805128,"FISHED",0.334209322347306,0.25,0.990005201717093,"HIGH MED NA",NA
63,11,142.63406467437,65,3,3.50174244339077,"FISHED",0.334754946012981,0.25,0.390958784601586,"HIGH MED NA",NA
64,4,186.265791388008,67,4,4.49998537893942,"FISHED",0.398316503502429,0.25,0.981778243993474,"HIGH MED NA",NA
64,8,180.576856200731,73,10,10.5002156584828,"FISHED",0.303032078850083,0.25,0.967988905363241,"HIGH MED NA",NA
65,4,138.913993810984,66,2,2.49934675175436,"FISHED",0.371530161215924,0.25,0.305553244879282,"HIGH MED NA",NA
65,9,173.430589651798,73,9,9.50016242975826,"FISHED",0.303032078850083,0.25,0.936049597084783,"HIGH MED NA",NA
65,10,183.997388761922,71,7,7.49854440844073,"FISHED",0.348876640596427,0.25,0.977166602219624,"HIGH MED NA",NA
66,1,219.466079008093,73,8,8.49898924484453,"FISHED",0.303032078850083,0.25,0.999362713257726,"HIGH MED NA",NA
66,2,127.164301528949,67,2,2.49971001094199,"FISHED",0.398316503502429,0.25,0.117744398936765,"HIGH MED NA",NA
66,3,191.920024588549,70,5,5.49940716826185,"FISHED",0.333125123707578,0.25,0.98965483472222,"HIGH MED NA",NA
66,7,147.771744613832,68,3,3.50064197046885,"FISHED",0.383431652374566,0.25,0.519579249830073,"HIGH MED NA",NA
66,13,159.743719174171,68,3,3.49974785864147,"FISHED",0.383431652374566,0.25,0.784806593334435,"HIGH MED NA",NA
67,5,200.472838711557,76,10,10.5004281823742,"FISHED",0.273811871302314,0.25,0.995632661123063,"HIGH MED NA",NA
67,6,149.002651585722,69,3,3.50115405358739,"FISHED",0.334209322347306,0.25,0.550659074518285,"HIGH MED NA",NA
67,13,135.752797563683,68,2,2.49918018443181,"FISHED",0.383431652374566,0.25,0.241961561894436,"HIGH MED NA",NA
68,1,190.927101273412,74,7,7.50112895104178,"FISHED",0.316510028787889,0.25,0.988570057629696,"HIGH MED NA",NA
68,10,139.053242284124,70,3,3.50054420934558,"FISHED",0.333125123707578,0.25,0.308561462000054,"HIGH MED NA",NA
69,7,156.385284750855,73,5,5.50044409775421,"FISHED",0.303032078850083,0.25,0.721700082944771,"HIGH MED NA",NA
69,10,176.194622468198,74,6,6.49952444281239,"FISHED",0.316510028787889,0.25,0.950930320021244,"HIGH MED NA",NA
70,8,158.338865233052,73,4,4.49953590546733,"FISHED",0.303032078850083,0.25,0.759741343173562,"HIGH MED NA",NA
70,15,148.509729886021,74,5,5.49971961477283,"FISHED",0.316510028787889,0.25,0.538246756391003,"HIGH MED NA",NA
72,2,157.346540770834,74,3,3.49947985015456,"FISHED",0.316510028787889,0.25,0.740872608950844,"HIGH MED NA",NA
72,8,191.025252434357,77,6,6.50021357605455,"FISHED",0.282051843614317,0.25,0.988682114511062,"HIGH MED NA",NA
72,9,93.3995403160934,72,1,1.49835350932815,"FISHED",0.311777329887263,0.25,0.00431135585041909,"HIGH MED NA",NA
72,10,135.418636802388,74,3,3.50028868673968,"FISHED",0.316510028787889,0.25,0.235793187510248,"HIGH MED NA",NA
73,1,191.82365938573,77,5,5.49826496397427,"FISHED",0.282051843614317,0.25,0.989554181390778,"HIGH MED NA",NA
73,3,135.271051363679,74,2,2.49882290792788,"FISHED",0.316510028787889,0.25,0.233103721055196,"HIGH MED NA",NA
73,12,168.940563028497,76,4,4.49838179815634,"FISHED",0.273811871302314,0.25,0.902707576960813,"HIGH MED NA",NA
74,6,126.940043338906,75,2,2.50013371277026,"FISHED",0.266118853306398,0.25,0.115399601582294,"HIGH MED NA",NA
76,6,195.603870240481,82,7,7.49929680415655,"FISHED",0.275484317541122,0.25,0.992859926723574,"HIGH MED NA",NA
77,7,168.520403883822,82,6,6.49910361665083,"FISHED",0.275484317541122,0.25,0.898896012807872,"HIGH MED NA",NA
77,11,158.883853123664,79,3,3.4988018705813,"FISHED",0.26678523668088,0.25,0.769696074116135,"HIGH MED NA",NA
78,1,216.304682671053,82,5,5.50036934917137,"FISHED",0.275484317541122,0.25,0.999121722489052,"HIGH MED NA",NA
79,2,163.346306217618,83,5,5.50110326369611,"FISHED",0.27809989459347,0.25,0.840194955110073,"HIGH MED NA",NA
79,5,199.978556805718,85,7,7.50068938841438,"FISHED",0.262418344127946,0.25,0.995408922512404,"HIGH MED NA",NA
79,11,159.029260320162,82,4,4.50038704759774,"FISHED",0.275484317541122,0.25,0.772302692382089,"HIGH MED NA",NA
80,4,217.304502043381,88,9,9.49954884509624,"FISHED",0.208431006339379,0.25,0.999206436659166,"HIGH MED NA",NA
