"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
40,12,213.359478937588,52,13,13.50020141373,"FISHED",0.191260115290061,0.25,1,"LOW MED NA",NA
45,11,223.115818967366,51,7,7.50158811786048,"FISHED",0.188187420554459,0.25,1,"LOW MED NA",NA
47,7,178.494429133803,51,5,5.50020595833523,"FISHED",0.188187420554459,0.25,1,"LOW MED NA",NA
47,11,194.941469651604,51,5,5.50080229983726,"FISHED",0.188187420554459,0.25,1,"LOW MED NA",NA
48,1,144.806120920254,50,3,3.4983004125302,"FISHED",0.12831522882916,0.25,1,"LOW MED NA",NA
48,7,176.850903596919,53,6,6.4999028271327,"FISHED",0.144611013284884,0.25,1,"LOW MED NA",NA
49,12,181.79735361922,54,6,6.49931986738669,"FISHED",0.120152722159401,0.25,1,"LOW MED NA",NA
50,1,143.632919717402,52,3,3.50014942294458,"FISHED",0.191260115290061,0.25,1,"LOW MED NA",NA
50,5,178.486297623504,56,7,7.50164157063381,"FISHED",0.14261302142404,0.25,1,"LOW MED NA",NA
50,6,130.924181131407,51,2,2.50012066340688,"FISHED",0.188187420554459,0.25,1,"LOW MED NA",NA
50,7,199.861223053477,56,7,7.49908636069211,"FISHED",0.14261302142404,0.25,1,"LOW MED NA",NA
50,9,167.601411752914,53,4,4.49984054004426,"FISHED",0.144611013284884,0.25,1,"LOW MED NA",NA
50,10,136.443047942541,51,2,2.50012649392927,"FISHED",0.188187420554459,0.25,1,"LOW MED NA",NA
50,11,148.777966958496,53,4,4.49969111257043,"FISHED",0.144611013284884,0.25,1,"LOW MED NA",NA
51,1,129.892530244368,52,2,2.49869360215211,"FISHED",0.191260115290061,0.25,1,"LOW MED NA",NA
51,4,95.7765577588119,51,1,1.50065320950848,"FISHED",0.188187420554459,0.25,1,"LOW MED NA",NA
51,5,151.128151851313,54,4,4.49995908564389,"FISHED",0.120152722159401,0.25,1,"LOW MED NA",NA
51,11,65.25774195561,50,0,0.499682929133105,"FISHED",0.12831522882916,0.25,1,"LOW MED NA",NA
52,1,60.1980085266056,51,0,0.500448246626894,"FISHED",0.188187420554459,0.25,1,"LOW MED NA",NA
52,2,62.7545602654861,51,0,0.500448850110571,"FISHED",0.188187420554459,0.25,1,"LOW MED NA",NA
52,3,153.738930755829,55,4,4.49849567923202,"FISHED",0.12550655270461,0.25,1,"LOW MED NA",NA
52,4,62.6271653554055,51,0,0.501022131320713,"FISHED",0.188187420554459,0.25,1,"LOW MED NA",NA
52,5,97.3113597833946,52,1,1.49934552011578,"FISHED",0.191260115290061,0.25,1,"LOW MED NA",NA
53,3,150.934588556558,55,3,3.50044026417832,"FISHED",0.12550655270461,0.25,1,"LOW MED NA",NA
53,4,204.102602955716,61,9,9.50044133359405,"FISHED",0.13741751704365,0.25,1,"LOW MED NA",NA
53,7,209.60314613547,62,10,10.4992345674712,"FISHED",0.163166100438684,0.25,1,"LOW MED NA",NA
54,5,138.918560981835,56,3,3.49952270754528,"FISHED",0.14261302142404,0.25,1,"LOW MED NA",NA
54,10,154.386867254361,56,3,3.50174438224272,"FISHED",0.14261302142404,0.25,1,"LOW MED NA",NA
55,1,62.1264893075911,54,0,0.500107148451845,"FISHED",0.120152722159401,0.25,1,"LOW MED NA",NA
55,6,164.464074081458,59,5,5.50003246643293,"FISHED",0.115730793680996,0.25,1,"LOW MED NA",NA
55,11,61.1873917924461,54,0,0.500850363065931,"FISHED",0.120152722159401,0.25,1,"LOW MED NA",NA
56,1,61.1527713369809,55,0,0.500669877991101,"FISHED",0.12550655270461,0.25,1,"LOW MED NA",NA
56,2,104.333290478185,56,1,1.50038612583244,"FISHED",0.14261302142404,0.25,1,"LOW MED NA",NA
56,4,97.7929552831188,56,1,1.4985714144071,"FISHED",0.14261302142404,0.25,1,"LOW MED NA",NA
56,8,98.7907188329089,56,1,1.50037927291649,"FISHED",0.14261302142404,0.25,1,"LOW MED NA",NA
57,3,123.10505015052,58,2,2.49912761518145,"FISHED",0.183576763840392,0.25,1,"LOW MED NA",NA
57,6,162.860912623819,60,4,4.49960572209441,"FISHED",0.117768294853158,0.25,1,"LOW MED NA",NA
57,7,61.0288763519707,56,0,0.500206308066906,"FISHED",0.14261302142404,0.25,1,"LOW MED NA",NA
57,8,99.4644763939392,57,1,1.50038105141348,"FISHED",0.144579332112335,0.25,1,"LOW MED NA",NA
57,9,62.5190300714812,56,0,0.500727933912677,"FISHED",0.14261302142404,0.25,1,"LOW MED NA",NA
57,11,135.358632675866,58,2,2.49940648775751,"FISHED",0.183576763840392,0.25,1,"LOW MED NA",NA
58,2,136.072884052347,59,2,2.50300174354264,"FISHED",0.115730793680996,0.25,1,"LOW MED NA",NA
58,4,61.9530408966788,57,0,0.498744784707802,"FISHED",0.144579332112335,0.25,1,"LOW MED NA",NA
58,6,60.0382364135355,57,0,0.49920072763092,"FISHED",0.144579332112335,0.25,1,"LOW MED NA",NA
58,8,61.5798362935117,57,0,0.498651411160535,"FISHED",0.144579332112335,0.25,1,"LOW MED NA",NA
58,10,169.886405793723,61,4,4.49995218103866,"FISHED",0.13741751704365,0.25,1,"LOW MED NA",NA
58,12,95.469967296368,58,1,1.50026730810795,"FISHED",0.183576763840392,0.25,1,"LOW MED NA",NA
58,14,104.274359655561,58,1,1.4995174266792,"FISHED",0.183576763840392,0.25,1,"LOW MED NA",NA
59,2,183.231581504804,63,5,5.49970989682804,"FISHED",0.175462611578405,0.25,1,"LOW MED NA",NA
59,3,119.622877433767,60,2,2.49900490664576,"FISHED",0.117768294853158,0.25,1,"LOW MED NA",NA
60,1,162.834787196216,63,4,4.50009994943174,"FISHED",0.175462611578405,0.25,1,"LOW MED NA",NA
60,6,206.802396597887,72,13,13.4986051116824,"FISHED",0.195393709768541,0.25,1,"LOW MED NA",NA
61,2,194.020644498681,65,5,5.49997826652879,"FISHED",0.176389633049257,0.25,1,"LOW MED NA",NA
61,5,160.139824050217,64,4,4.50045300848936,"FISHED",0.171377480961382,0.25,1,"LOW MED NA",NA
61,7,95.4830675917558,61,1,1.50157550396209,"FISHED",0.13741751704365,0.25,1,"LOW MED NA",NA
61,8,63.5776018036151,60,0,0.49969470241218,"FISHED",0.117768294853158,0.25,1,"LOW MED NA",NA
61,10,66.1387669748297,60,0,0.499378104693287,"FISHED",0.117768294853158,0.25,1,"LOW MED NA",NA
62,1,59.9788512376178,61,0,0.500460993463581,"FISHED",0.13741751704365,0.25,1,"LOW MED NA",NA
62,5,63.5978378280908,61,0,0.499591967021345,"FISHED",0.13741751704365,0.25,1,"LOW MED NA",NA
62,6,94.5203888595325,62,1,1.50154205318009,"FISHED",0.163166100438684,0.25,1,"LOW MED NA",NA
63,4,63.3184374976444,62,0,0.500562735031473,"FISHED",0.163166100438684,0.25,1,"LOW MED NA",NA
63,5,183.805401040962,67,5,5.50012088435729,"FISHED",0.192341498378664,0.25,1,"LOW MED NA",NA
63,6,177.266202210411,67,5,5.50150647024709,"FISHED",0.192341498378664,0.25,1,"LOW MED NA",NA
63,10,66.0195162822686,62,0,0.499975513007689,"FISHED",0.163166100438684,0.25,1,"LOW MED NA",NA
64,11,61.0151126791403,63,0,0.498618223199487,"FISHED",0.175462611578405,0.25,1,"LOW MED NA",NA
65,2,145.17740701943,67,3,3.50067073255926,"FISHED",0.192341498378664,0.25,1,"LOW MED NA",NA
65,8,107.959250378427,65,1,1.50119302239567,"FISHED",0.176389633049257,0.25,1,"LOW MED NA",NA
65,11,63.2262980884547,64,0,0.500093604758805,"FISHED",0.171377480961382,0.25,1,"LOW MED NA",NA
66,1,102.604046704412,66,1,1.49727830313797,"FISHED",0.106309035536833,0.25,1,"LOW MED NA",NA
66,4,118.385426328867,67,2,2.50075955742262,"FISHED",0.192341498378664,0.25,1,"LOW MED NA",NA
66,7,95.1949171723067,66,1,1.49887392558038,"FISHED",0.106309035536833,0.25,1,"LOW MED NA",NA
66,11,59.5485927976148,65,0,0.499674953182207,"FISHED",0.176389633049257,0.25,1,"LOW MED NA",NA
66,13,103.496295433452,66,1,1.50046223469517,"FISHED",0.106309035536833,0.25,1,"LOW MED NA",NA
67,3,165.490164004909,70,4,4.50005350625919,"FISHED",0.143042940204032,0.25,1,"LOW MED NA",NA
67,8,127.808791079416,68,2,2.50008881263261,"FISHED",0.183500911551528,0.25,1,"LOW MED NA",NA
67,9,214.85320814204,73,7,7.49931467799213,"FISHED",0.121096028690226,0.25,1,"LOW MED NA",NA
68,3,63.5767427613636,67,0,0.50079620639151,"FISHED",0.192341498378664,0.25,1,"LOW MED NA",NA
68,8,182.735027688455,73,6,6.49909477927759,"FISHED",0.121096028690226,0.25,1,"LOW MED NA",NA
69,4,63.5397464855995,68,0,0.500078523029565,"FISHED",0.183500911551528,0.25,1,"LOW MED NA",NA
69,8,62.9946009039311,68,0,0.501030216628421,"FISHED",0.183500911551528,0.25,1,"LOW MED NA",NA
69,9,62.0293404024928,68,0,0.499419867200136,"FISHED",0.183500911551528,0.25,1,"LOW MED NA",NA
69,11,64.4773288248483,68,0,0.500403944852737,"FISHED",0.183500911551528,0.25,1,"LOW MED NA",NA
70,5,123.477320136535,71,2,2.5000893175735,"FISHED",0.105360006983392,0.25,1,"LOW MED NA",NA
70,6,157.502282760333,72,3,3.49916542713286,"FISHED",0.195393709768541,0.25,1,"LOW MED NA",NA
70,8,179.757485632173,73,4,4.50041212464383,"FISHED",0.121096028690226,0.25,1,"LOW MED NA",NA
70,10,99.5212694285141,70,1,1.49858900947987,"FISHED",0.143042940204032,0.25,1,"LOW MED NA",NA
70,11,99.5235133482392,70,1,1.49861271644259,"FISHED",0.143042940204032,0.25,1,"LOW MED NA",NA
71,2,61.3993863895855,70,0,0.499092118402085,"FISHED",0.143042940204032,0.25,1,"LOW MED NA",NA
71,4,116.962444887537,72,2,2.50007598155354,"FISHED",0.195393709768541,0.25,1,"LOW MED NA",NA
71,9,63.1810199245225,70,0,0.498840645380155,"FISHED",0.143042940204032,0.25,1,"LOW MED NA",NA
72,3,153.365722896343,75,4,4.49972600773166,"FISHED",0.295606736885384,0.25,1,"LOW MED NA",NA
72,4,61.3585446373138,71,0,0.498776699666081,"FISHED",0.105360006983392,0.25,1,"LOW MED NA",NA
72,6,62.8010090739054,71,0,0.500615827852025,"FISHED",0.105360006983392,0.25,1,"LOW MED NA",NA
72,9,118.138739412794,73,2,2.499193804523,"FISHED",0.121096028690226,0.25,1,"LOW MED NA",NA
72,10,126.906176181567,73,2,2.50058309561655,"FISHED",0.121096028690226,0.25,1,"LOW MED NA",NA
73,3,221.160001723981,81,9,9.49905233571962,"FISHED",0.2892246929463,0.25,1,"LOW MED NA",NA
73,6,60.2746728135089,72,0,0.501698148446403,"FISHED",0.195393709768541,0.25,1,"LOW MED NA",NA
73,8,61.3131404785631,72,0,0.501914007869817,"FISHED",0.195393709768541,0.25,1,"LOW MED NA",NA
74,5,60.9066334196838,73,0,0.500865934650578,"FISHED",0.121096028690226,0.25,1,"LOW MED NA",NA
74,6,61.4344783735063,73,0,0.500054601742489,"FISHED",0.121096028690226,0.25,1,"LOW MED NA",NA
74,8,101.708019368787,74,1,1.49915642591723,"FISHED",0.134616899979301,0.25,1,"LOW MED NA",NA
75,1,128.966352866711,76,2,2.49970300909914,"FISHED",0.263769318535924,0.25,1,"LOW MED NA",NA
75,3,62.182329631583,74,0,0.500665339319214,"FISHED",0.134616899979301,0.25,1,"LOW MED NA",NA
75,6,96.4363788796194,75,1,1.49937964783313,"FISHED",0.295606736885384,0.25,1,"LOW MED NA",NA
75,7,94.6728459360381,75,1,1.50074547035744,"FISHED",0.295606736885384,0.25,1,"LOW MED NA",NA
76,1,61.3812410747639,75,0,0.501509383176016,"FISHED",0.295606736885384,0.25,1,"LOW MED NA",NA
76,5,175.369031855867,81,6,6.49999212794054,"FISHED",0.2892246929463,0.25,1,"LOW MED NA",NA
76,7,66.2847187203199,75,0,0.500119586053665,"FISHED",0.295606736885384,0.25,1,"LOW MED NA",NA
76,10,132.958231648926,77,2,2.49940321451039,"FISHED",0.22726444718428,0.25,1,"LOW MED NA",NA
77,1,130.998023055537,78,2,2.49920001840311,"FISHED",0.296504642092623,0.25,1,"LOW MED NA",NA
77,4,186.830912489807,85,9,9.49906509700008,"FISHED",0.221108961105347,0.25,1,"LOW MED NA",NA
77,5,93.6306290286597,77,1,1.50095343722787,"FISHED",0.22726444718428,0.25,1,"LOW MED NA",NA
77,6,155.044997131408,81,5,5.49911236484007,"FISHED",0.2892246929463,0.25,1,"LOW MED NA",NA
77,7,143.305444655238,79,3,3.49978769280788,"FISHED",0.295332712191157,0.25,1,"LOW MED NA",NA
77,8,133.039768292372,78,2,2.49996823346304,"FISHED",0.296504642092623,0.25,1,"LOW MED NA",NA
77,9,61.2017953484918,76,0,0.5014239013629,"FISHED",0.263769318535924,0.25,1,"LOW MED NA",NA
77,11,128.055220697779,78,2,2.49999288423065,"FISHED",0.296504642092623,0.25,1,"LOW MED NA",NA
78,1,62.5462221336427,77,0,0.497958445595185,"FISHED",0.22726444718428,0.25,1,"LOW MED NA",NA
78,3,98.8915593921302,78,1,1.49929382304169,"FISHED",0.296504642092623,0.25,1,"LOW MED NA",NA
78,9,130.793951974956,80,3,3.49967337260862,"FISHED",0.270586277986877,0.25,1,"LOW MED NA",NA
79,2,65.3880609587318,78,0,0.499916839243507,"FISHED",0.296504642092623,0.25,1,"LOW MED NA",NA
79,4,62.7662839493569,78,0,0.499759458796136,"FISHED",0.296504642092623,0.25,1,"LOW MED NA",NA
79,7,98.7385513800603,79,1,1.5003471882384,"FISHED",0.295332712191157,0.25,1,"LOW MED NA",NA
79,11,182.509222299558,83,5,5.49964018078558,"FISHED",0.288034877367318,0.25,1,"LOW MED NA",NA
80,1,60.7241967521659,79,0,0.500186633200128,"FISHED",0.295332712191157,0.25,1,"LOW MED NA",NA
80,6,183.353483000704,84,5,5.50044407183585,"FISHED",0.286997342039831,0.25,1,"LOW MED NA",NA
80,7,62.8482074296534,79,0,0.499865550893714,"FISHED",0.295332712191157,0.25,1,"LOW MED NA",NA
80,8,99.3453903942389,80,1,1.50252678999144,"FISHED",0.270586277986877,0.25,1,"LOW MED NA",NA
80,10,122.075005109852,81,2,2.49855716512487,"FISHED",0.2892246929463,0.25,1,"LOW MED NA",NA
80,11,131.798709487193,81,2,2.50112577047404,"FISHED",0.2892246929463,0.25,1,"LOW MED NA",NA
81,3,62.010564715695,80,0,0.500491570817211,"FISHED",0.270586277986877,0.25,1,"LOW MED NA",NA
81,5,96.8150212080176,81,1,1.500616176492,"FISHED",0.2892246929463,0.25,1,"LOW MED NA",NA
81,7,124.734364488662,82,2,2.50212208292837,"FISHED",0.295634363638237,0.25,1,"LOW MED NA",NA
82,1,98.361341837404,82,1,1.50102866344909,"FISHED",0.295634363638237,0.25,1,"LOW MED NA",NA
82,4,129.239089485119,83,2,2.50023318981623,"FISHED",0.288034877367318,0.25,1,"LOW MED NA",NA
82,5,131.074930952379,83,2,2.50068090781957,"FISHED",0.288034877367318,0.25,1,"LOW MED NA",NA
83,1,158.409012106268,86,4,4.49983388229867,"FISHED",0.255882489890791,0.25,1,"LOW MED NA",NA
83,2,63.0795602733468,82,0,0.500843476736562,"FISHED",0.295634363638237,0.25,1,"LOW MED NA",NA
83,3,58.5439432768389,82,0,0.50091591959958,"FISHED",0.295634363638237,0.25,1,"LOW MED NA",NA
83,4,64.90530348684,82,0,0.502415040158106,"FISHED",0.295634363638237,0.25,1,"LOW MED NA",NA
83,6,62.9631750703394,82,0,0.500334388078705,"FISHED",0.295634363638237,0.25,1,"LOW MED NA",NA
83,7,129.349736927292,84,2,2.49937696280002,"FISHED",0.286997342039831,0.25,1,"LOW MED NA",NA
83,9,101.292473315078,83,1,1.50153663384518,"FISHED",0.288034877367318,0.25,1,"LOW MED NA",NA
83,11,96.7177396365693,83,1,1.50069444647146,"FISHED",0.288034877367318,0.25,1,"LOW MED NA",NA
84,1,142.311407997634,86,3,3.50039205642297,"FISHED",0.255882489890791,0.25,1,"LOW MED NA",NA
84,2,94.2853411786106,84,1,1.50102805533532,"FISHED",0.286997342039831,0.25,1,"LOW MED NA",NA
84,5,63.8327440310028,83,0,0.499625262114731,"FISHED",0.288034877367318,0.25,1,"LOW MED NA",NA
84,9,94.5811699840264,84,1,1.49909926252482,"FISHED",0.286997342039831,0.25,1,"LOW MED NA",NA
85,1,64.1689951507675,84,0,0.500674413554184,"FISHED",0.286997342039831,0.25,1,"LOW MED NA",NA
85,2,146.274194842155,87,3,3.50062783872776,"FISHED",0.255396295455284,0.25,1,"LOW MED NA",NA
85,5,63.6828840869546,84,0,0.499160956899287,"FISHED",0.286997342039831,0.25,1,"LOW MED NA",NA
85,7,64.5698801976083,84,0,0.500849567317361,"FISHED",0.286997342039831,0.25,1,"LOW MED NA",NA
85,9,150.791699393771,87,3,3.49905215465465,"FISHED",0.255396295455284,0.25,1,"LOW MED NA",NA
86,1,119.168521519516,87,2,2.49974688574095,"FISHED",0.255396295455284,0.25,1,"LOW MED NA",NA
86,2,115.687130489395,87,2,2.49979025068698,"FISHED",0.255396295455284,0.25,1,"LOW MED NA",NA
86,4,92.6145102829522,86,1,1.50108279904019,"FISHED",0.255882489890791,0.25,1,"LOW MED NA",NA
86,5,61.8876002266881,85,0,0.499144634446483,"FISHED",0.221108961105347,0.25,1,"LOW MED NA",NA
86,8,61.1906427471782,85,0,0.499485410766785,"FISHED",0.221108961105347,0.25,1,"LOW MED NA",NA
86,10,116.351325194432,87,2,2.4994371603717,"FISHED",0.255396295455284,0.25,1,"LOW MED NA",NA
87,3,169.64765200173,90,4,4.50125585133788,"FISHED",0.282134532858618,0.25,1,"LOW MED NA",NA
87,4,188.8948408832,92,6,6.49898594973218,"FISHED",0.294065052387305,0.25,1,"LOW MED NA",NA
87,5,97.102129460696,87,1,1.49976380983898,"FISHED",0.255396295455284,0.25,1,"LOW MED NA",NA
87,6,97.1062215765843,87,1,1.50027084451365,"FISHED",0.255396295455284,0.25,1,"LOW MED NA",NA
87,8,63.9507839452961,86,0,0.498459224108768,"FISHED",0.255882489890791,0.25,1,"LOW MED NA",NA
88,1,141.748986358889,90,3,3.50012128869261,"FISHED",0.282134532858618,0.25,1,"LOW MED NA",NA
88,2,115.72376019783,89,2,2.50089206709176,"FISHED",0.205780725297518,0.25,1,"LOW MED NA",NA
88,6,101.604244164373,88,1,1.4999815252354,"FISHED",0.262815456138924,0.25,1,"LOW MED NA",NA
88,7,61.3235275134331,87,0,0.500254459310905,"FISHED",0.255396295455284,0.25,1,"LOW MED NA",NA
89,1,127.905370954627,90,2,2.50102461289854,"FISHED",0.282134532858618,0.25,1,"LOW MED NA",NA
89,2,98.5582698796573,89,1,1.49909790275042,"FISHED",0.205780725297518,0.25,1,"LOW MED NA",NA
89,5,101.59213296081,89,1,1.49978295581405,"FISHED",0.205780725297518,0.25,1,"LOW MED NA",NA
89,7,62.8836325300308,88,0,0.500624987606662,"FISHED",0.262815456138924,0.25,1,"LOW MED NA",NA
89,8,153.234124708514,91,3,3.50001507331728,"FISHED",0.252851236774586,0.25,1,"LOW MED NA",NA
89,10,121.231395322106,90,2,2.50081977780123,"FISHED",0.282134532858618,0.25,1,"LOW MED NA",NA
89,11,187.045954580347,92,4,4.4991733313897,"FISHED",0.294065052387305,0.25,1,"LOW MED NA",NA
90,1,188.434460232869,95,6,6.50183737331448,"FISHED",0.240328105026856,0.25,1,"LOW MED NA",NA
90,2,96.2807816559644,90,1,1.50083012088054,"FISHED",0.282134532858618,0.25,1,"LOW MED NA",NA
90,4,63.6001158771742,89,0,0.498750388403046,"FISHED",0.205780725297518,0.25,1,"LOW MED NA",NA
90,8,99.130578006687,90,1,1.4999737358239,"FISHED",0.282134532858618,0.25,1,"LOW MED NA",NA
90,9,88.1010760601389,90,1,1.50075755588786,"FISHED",0.282134532858618,0.25,1,"LOW MED NA",NA
90,10,94.3224700539208,90,1,1.49869818088459,"FISHED",0.282134532858618,0.25,1,"LOW MED NA",NA
90,11,58.5916833094932,89,0,0.498727904535352,"FISHED",0.205780725297518,0.25,1,"LOW MED NA",NA
91,3,63.0162127678716,90,0,0.50091323799453,"FISHED",0.282134532858618,0.25,1,"LOW MED NA",NA
91,8,63.847429017014,90,0,0.501216810022305,"FISHED",0.282134532858618,0.25,1,"LOW MED NA",NA
91,11,61.1814180055428,90,0,0.500785424306426,"FISHED",0.282134532858618,0.25,1,"LOW MED NA",NA
92,1,63.1373086220476,91,0,0.500545667405134,"FISHED",0.252851236774586,0.25,1,"LOW MED NA",NA
92,2,181.630545157527,98,7,7.49843384221047,"FISHED",0.247965024202131,0.25,1,"LOW MED NA",NA
92,3,63.1981079839783,91,0,0.500895391448004,"FISHED",0.252851236774586,0.25,1,"LOW MED NA",NA
92,4,99.6153212070289,92,1,1.5004311780286,"FISHED",0.294065052387305,0.25,1,"LOW MED NA",NA
93,1,162.672583851575,98,6,6.50031773061402,"FISHED",0.247965024202131,0.25,1,"LOW MED NA",NA
93,7,131.730646470827,94,2,2.49765597893742,"FISHED",0.220671346690506,0.25,1,"LOW MED NA",NA
93,9,94.5403222543851,93,1,1.49863729378679,"FISHED",0.257472719205543,0.25,1,"LOW MED NA",NA
93,10,61.270542494096,92,0,0.500120721111229,"FISHED",0.294065052387305,0.25,1,"LOW MED NA",NA
94,3,155.481165944104,97,4,4.49876859125071,"FISHED",0.260278545413166,0.25,1,"LOW MED NA",NA
