"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
1,1,144.89614115916,3,3,3.500382369172,"M",0,0.25,0.446799688631223,"LOW MED NA",NA
1,2,179.387285839739,7,7,7.49947010772836,"M",0,0.25,0.964027260853903,"LOW MED NA",NA
1,3,65.1538491962951,0,0,0.498596513934413,"M",0,0.25,0.000245975068428262,"LOW MED NA",NA
1,4,185.301958130235,8,8,8.49979738271046,"M",0,0.25,0.979942463949658,"LOW MED NA",NA
1,5,63.7048424699674,0,0,0.498412296717562,"M",0,0.25,0.000212330226722597,"LOW MED NA",NA
1,6,198.726378619977,5,5,5.50048688692135,"M",0,0.25,0.994789743200776,"LOW MED NA",NA
1,7,153.503124013238,3,3,3.50041034426121,"M",0,0.25,0.659322755766601,"LOW MED NA",NA
1,8,162.927196291567,3,3,3.49959078566425,"M",0,0.25,0.834398405718435,"LOW MED NA",NA
1,9,63.7335924631382,0,0,0.498888185746251,"M",0,0.25,0.00021295080369402,"LOW MED NA",NA
1,10,168.582811728662,5,5,5.50030412406956,"M",0,0.25,0.899470425077335,"LOW MED NA",NA
1,11,91.8442836549434,1,1,1.50105658793529,"M",0,0.25,0.00368390561428172,"LOW MED NA",NA
1,12,62.411636389824,0,0,0.498825167503237,"M",0,0.25,0.000186208418073072,"LOW MED NA",NA
2,1,63.1709977785717,1,0,0.500229245639777,"M",0,0.25,0.000201129990355472,"LOW MED NA",NA
2,2,58.6315847483897,1,0,0.501337262812633,"M",0,0.25,0.000126865604190846,"LOW MED NA",NA
2,3,209.589287238281,10,9,9.49971147120073,"M",0,0.25,0.998264701810564,"LOW MED NA",NA
2,4,128.011663080352,3,2,2.49882607133526,"M",0,0.25,0.126979762589172,"LOW MED NA",NA
2,5,184.462229496802,7,6,6.49918131660083,"M",0,0.25,0.978196269771194,"LOW MED NA",NA
2,6,93.288506943288,2,1,1.49976531770202,"M",0,0.25,0.00426323084387459,"LOW MED NA",NA
2,7,59.9902872412628,1,0,0.500105002282768,"M",0,0.25,0.000145628931507399,"LOW MED NA",NA
2,8,130.066019614397,3,2,2.50040418985638,"M",0,0.25,0.151955253665084,"LOW MED NA",NA
2,9,64.9872310016125,1,0,0.499887206707708,"M",0,0.25,0.000241849871397597,"LOW MED NA",NA
2,10,201.860173731416,8,7,7.49904129730005,"M",0,0.25,0.99620430158418,"LOW MED NA",NA
2,11,139.644379057868,5,4,4.50123206823589,"M",0,0.25,0.321511614925104,"LOW MED NA",NA
2,12,119.20182499419,3,2,2.49826972507081,"M",0,0.25,0.0561248711229189,"LOW MED NA",NA
2,13,61.2084176732205,1,0,0.499673507431192,"M",0,0.25,0.00016479830451319,"LOW MED NA",NA
3,1,94.7400812653204,3,1,1.49693487862639,"M",0,0.25,0.00493687393529828,"LOW MED NA",NA
3,2,63.3542431178422,2,0,0.501231321716332,"M",0,0.25,0.00020490633560974,"LOW MED NA",NA
3,3,129.586851693347,4,2,2.5010254856157,"M",0,0.25,0.1457914282677,"LOW MED NA",NA
3,4,61.2524126592434,2,0,0.498989927964574,"M",0,0.25,0.000165535969085132,"LOW MED NA",NA
3,5,60.458957526775,2,0,0.501724193751113,"M",0,0.25,0.000152725154936025,"LOW MED NA",NA
3,6,62.5657055753494,2,0,0.500108811156963,"M",0,0.25,0.000189143625317855,"LOW MED NA",NA
3,7,120.899219815466,4,2,2.49912035173283,"M",0,0.25,0.0659844304917859,"LOW MED NA",NA
3,8,63.6504338424453,2,0,0.498837692856385,"M",0,0.25,0.000211160745054653,"LOW MED NA",NA
3,9,200.470096980209,8,6,6.50032455618356,"M",0,0.25,0.995631450509859,"LOW MED NA",NA
3,10,61.2087774606899,2,0,0.501294793754127,"M",0,0.25,0.000164804323725838,"LOW MED NA",NA
3,11,60.9641637402904,2,0,0.501241078139634,"M",0,0.25,0.000160762268917573,"LOW MED NA",NA
3,12,98.9855051886586,3,1,1.50103997532974,"M",0,0.25,0.00757704676937311,"LOW MED NA",NA
3,13,186.61831931991,7,5,5.49868643905293,"M",0,0.25,0.982407650007132,"LOW MED NA",NA
4,1,97.333059209366,4,1,1.49936640910167,"M",0,0.25,0.00641422231325314,"LOW MED NA",NA
4,2,123.814431775421,5,2,2.50007006081594,"M",0,0.25,0.0867415515615076,"LOW MED NA",NA
4,3,210.077484242948,11,8,8.50114977768136,"M",0,0.25,0.998348481142681,"LOW MED NA",NA
4,4,223.101230848262,17,14,14.5008086823056,"M",0,0.25,0.999559314797583,"LOW MED NA",NA
4,5,102.111356710355,4,1,1.49896184142379,"M",0,0.25,0.0103778371772783,"LOW MED NA",NA
4,6,62.5802052016765,3,0,0.499752737170994,"M",0,0.25,0.000189422231356972,"LOW MED NA",NA
4,7,211.278588661832,11,8,8.49893414825707,"M",0,0.25,0.998537811886786,"LOW MED NA",NA
4,8,166.668006536967,9,6,6.50040528039366,"M",0,0.25,0.880475368945369,"LOW MED NA",NA
4,9,61.9788256203918,3,0,0.499710808349285,"M",0,0.25,0.000178204233613879,"LOW MED NA",NA
4,10,105.075957137017,4,1,1.49857147154019,"M",0,0.25,0.0139717469606567,"LOW MED NA",NA
4,11,195.392472994049,9,6,6.5001515138795,"M",0,0.25,0.992706147954936,"LOW MED NA",NA
5,1,181.974202166338,10,6,6.49894981810044,"M",0,0.25,0.97210493419498,"LOW MED NA",NA
5,2,194.933958066442,11,7,7.5022529423826,"M",0,0.25,0.992361216272754,"LOW MED NA",NA
5,3,143.149861188944,7,3,3.50101064101832,"M",0,0.25,0.403497353022975,"LOW MED NA",NA
5,4,98.1709482850941,5,1,1.4996955763324,"M",0,0.25,0.00697980677973066,"LOW MED NA",NA
5,5,192.979491906634,10,6,6.49821403074334,"M",0,0.25,0.990700090438549,"LOW MED NA",NA
5,6,235.151937763595,12,8,8.50057601464986,"M",0,0.25,0.999870315452179,"LOW MED NA",NA
5,7,59.891116278388,4,0,0.5003003507686,"M",0,0.25,0.000144170152510302,"LOW MED NA",NA
5,8,63.2608762569079,4,0,0.500588792972323,"M",0,0.25,0.00020297344325453,"LOW MED NA",NA
5,9,60.2866368545793,4,0,0.501645917439101,"M",0,0.25,0.000150076693607185,"LOW MED NA",NA
5,10,61.1874913487657,4,0,0.499435779917061,"M",0,0.25,0.000164448586873638,"LOW MED NA",NA
5,11,62.8577454734661,4,0,0.499703262259273,"M",0,0.25,0.000194834886099511,"LOW MED NA",NA
5,12,159.335275991964,8,4,4.50022863639166,"M",0,0.25,0.777720207140973,"LOW MED NA",NA
6,1,97.7187029949208,6,1,1.49974943031425,"M",0,0.25,0.00666864700932739,"LOW MED NA",NA
6,2,186.051054682397,10,5,5.49996150443467,"M",0,0.25,0.981384074432225,"LOW MED NA",NA
6,3,202.668664138839,13,8,8.50034943861169,"M",0,0.25,0.996502390777614,"LOW MED NA",NA
6,4,174.923431821842,12,7,7.50044504210374,"M",0,0.25,0.944545052501009,"LOW MED NA",NA
6,5,64.3780885134935,5,0,0.500486886493821,"M",0,0.25,0.000227348478199041,"LOW MED NA",NA
6,6,100.181861135975,6,1,1.50098793763557,"M",0,0.25,0.00854728981065751,"LOW MED NA",NA
6,7,95.5040767352828,6,1,1.49982614425276,"M",0,0.25,0.00533294960322579,"LOW MED NA",NA
6,8,219.35232669096,18,13,13.4984531216895,"M",0,0.25,0.999355314990941,"LOW MED NA",NA
6,9,65.0709338492839,5,0,0.499441588652571,"M",0,0.25,0.000243913499602476,"LOW MED NA",NA
6,10,120.46904892304,7,2,2.49928089357419,"M",0,0.25,0.0633431293852982,"LOW MED NA",NA
6,11,158.913820291429,9,4,4.500178271845,"M",0,0.25,0.770234981714586,"LOW MED NA",NA
7,1,62.2356021728875,6,0,0.500128454293106,"M",0,0.25,0.000182910451951707,"LOW MED NA",NA
7,2,61.2510754344392,6,0,0.500056917368937,"M",0,0.25,0.000165513499244603,"LOW MED NA",NA
7,3,102.821069514602,7,1,1.50037458325002,"M",0,0.25,0.01114461257595,"LOW MED NA",NA
7,4,61.4601246433169,6,0,0.499543870644837,"M",0,0.25,0.000169063514664322,"LOW MED NA",NA
7,5,181.505672175209,15,9,9.50071125720348,"M",0,0.25,0.970785573585993,"LOW MED NA",NA
