"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
40,4,202.96949828428,50,11,11.5013946910519,"FISHED",0.299276682944037,0.25,1,"MED HIGH NA",NA
42,5,202.613217281551,52,11,11.5017401244595,"FISHED",0.216910140309483,0.25,1,"MED HIGH NA",NA
44,3,209.590148551873,51,8,8.50000836141013,"FISHED",0.218653284874745,0.25,1,"MED HIGH NA",NA
44,8,187.20219205555,57,14,14.5002166744504,"FISHED",0.246645562583581,0.25,1,"MED HIGH NA",NA
45,1,234.50125849781,57,13,13.5000444766633,"FISHED",0.246645562583581,0.25,1,"MED HIGH NA",NA
45,8,212.665476207601,52,8,8.50023012794788,"FISHED",0.216910140309483,0.25,1,"MED HIGH NA",NA
46,5,165.450613268353,51,6,6.49931613028831,"FISHED",0.218653284874745,0.25,1,"MED HIGH NA",NA
46,6,159.95816913825,50,5,5.50023581641054,"FISHED",0.299276682944037,0.25,1,"MED HIGH NA",NA
47,2,178.234141902651,50,4,4.5008616591843,"FISHED",0.299276682944037,0.25,1,"MED HIGH NA",NA
47,3,177.490331405038,50,4,4.50020995034662,"FISHED",0.299276682944037,0.25,1,"MED HIGH NA",NA
47,11,171.244268575761,50,4,4.50117047999603,"FISHED",0.299276682944037,0.25,1,"MED HIGH NA",NA
47,12,175.63975770471,50,4,4.49971803781509,"FISHED",0.299276682944037,0.25,1,"MED HIGH NA",NA
48,10,174.486373993551,52,5,5.49957206656474,"FISHED",0.216910140309483,0.25,1,"MED HIGH NA",NA
48,11,178.750647783964,52,5,5.50082944477462,"FISHED",0.216910140309483,0.25,1,"MED HIGH NA",NA
49,2,130.350357864234,50,2,2.49926222257563,"FISHED",0.299276682944037,0.25,1,"MED HIGH NA",NA
49,10,194.188810612943,54,6,6.49943282844775,"FISHED",0.231073951674625,0.25,1,"MED HIGH NA",NA
50,1,144.479128096804,52,3,3.49975549893853,"FISHED",0.216910140309483,0.25,1,"MED HIGH NA",NA
50,4,124.5734212238,51,2,2.49879603745602,"FISHED",0.218653284874745,0.25,1,"MED HIGH NA",NA
50,7,96.2033759396364,50,1,1.50006801170583,"FISHED",0.299276682944037,0.25,1,"MED HIGH NA",NA
50,10,177.504435976939,53,4,4.50117446583373,"FISHED",0.282164250640199,0.25,1,"MED HIGH NA",NA
51,4,212.544618631936,58,8,8.49810289740042,"FISHED",0.227026105648838,0.25,1,"MED HIGH NA",NA
51,6,133.780817902429,52,2,2.50098879937422,"FISHED",0.216910140309483,0.25,1,"MED HIGH NA",NA
52,1,61.87784081738,51,0,0.50110316994398,"FISHED",0.218653284874745,0.25,1,"MED HIGH NA",NA
52,7,91.2670729823301,52,1,1.49926975077523,"FISHED",0.216910140309483,0.25,1,"MED HIGH NA",NA
52,9,171.968755186922,56,5,5.50138843881901,"FISHED",0.272671870049089,0.25,1,"MED HIGH NA",NA
53,4,97.6375972992132,53,1,1.49871741294778,"FISHED",0.282164250640199,0.25,1,"MED HIGH NA",NA
53,5,153.637958529605,55,3,3.4995748727428,"FISHED",0.290889640524983,0.25,1,"MED HIGH NA",NA
53,10,132.333740193963,54,2,2.5010044924408,"FISHED",0.231073951674625,0.25,1,"MED HIGH NA",NA
53,11,102.701724306628,53,1,1.49997047326895,"FISHED",0.282164250640199,0.25,1,"MED HIGH NA",NA
54,1,68.0820342304491,53,0,0.499673556712331,"FISHED",0.282164250640199,0.25,1,"MED HIGH NA",NA
54,2,64.1579003834487,53,0,0.500248427084485,"FISHED",0.282164250640199,0.25,1,"MED HIGH NA",NA
54,6,64.446531129631,53,0,0.498953385613233,"FISHED",0.282164250640199,0.25,1,"MED HIGH NA",NA
54,10,63.4959700120366,53,0,0.501035070555125,"FISHED",0.282164250640199,0.25,1,"MED HIGH NA",NA
55,5,60.4473116166967,54,0,0.499682877375667,"FISHED",0.231073951674625,0.25,1,"MED HIGH NA",NA
55,7,96.4500106821556,55,1,1.50173321251232,"FISHED",0.290889640524983,0.25,1,"MED HIGH NA",NA
56,1,178.255004126283,60,5,5.5007203381308,"FISHED",0.228426626999862,0.25,1,"MED HIGH NA",NA
56,2,125.49707106485,57,2,2.49922364081267,"FISHED",0.246645562583581,0.25,1,"MED HIGH NA",NA
56,6,103.962229588849,56,1,1.49961344289224,"FISHED",0.272671870049089,0.25,1,"MED HIGH NA",NA
56,8,119.700889220386,57,2,2.49981281055871,"FISHED",0.246645562583581,0.25,1,"MED HIGH NA",NA
56,11,127.107964028538,57,2,2.4999177329965,"FISHED",0.246645562583581,0.25,1,"MED HIGH NA",NA
57,1,65.9603118500249,56,0,0.498986251779728,"FISHED",0.272671870049089,0.25,1,"MED HIGH NA",NA
57,3,66.1414464095859,56,0,0.498992801330383,"FISHED",0.272671870049089,0.25,1,"MED HIGH NA",NA
57,4,205.214340162628,64,8,8.50016545826493,"FISHED",0.265971694048494,0.25,1,"MED HIGH NA",NA
57,6,64.4088230065644,56,0,0.499978436474612,"FISHED",0.272671870049089,0.25,1,"MED HIGH NA",NA
57,8,63.8195801935583,56,0,0.501184530117921,"FISHED",0.272671870049089,0.25,1,"MED HIGH NA",NA
57,10,63.0145515019238,56,0,0.499681899310851,"FISHED",0.272671870049089,0.25,1,"MED HIGH NA",NA
57,11,97.122652503763,57,1,1.50034684110641,"FISHED",0.246645562583581,0.25,1,"MED HIGH NA",NA
58,2,61.1353420762774,57,0,0.500236678712666,"FISHED",0.246645562583581,0.25,1,"MED HIGH NA",NA
58,4,194.985755318834,63,6,6.49981229952803,"FISHED",0.267022589687258,0.25,1,"MED HIGH NA",NA
58,5,94.0666812205785,58,1,1.49954129391683,"FISHED",0.227026105648838,0.25,1,"MED HIGH NA",NA
58,11,64.5278590213461,57,0,0.500050152868874,"FISHED",0.246645562583581,0.25,1,"MED HIGH NA",NA
59,1,64.3764574217384,58,0,0.500599819083788,"FISHED",0.227026105648838,0.25,1,"MED HIGH NA",NA
59,5,64.6942149649434,58,0,0.500284390307554,"FISHED",0.227026105648838,0.25,1,"MED HIGH NA",NA
59,6,64.3106525079266,58,0,0.498127139629117,"FISHED",0.227026105648838,0.25,1,"MED HIGH NA",NA
59,7,115.329903110763,60,2,2.49971003024656,"FISHED",0.228426626999862,0.25,1,"MED HIGH NA",NA
60,4,64.7419231300809,59,0,0.49997921646597,"FISHED",0.268051741388626,0.25,1,"MED HIGH NA",NA
60,5,99.6397800055625,60,1,1.50006056984483,"FISHED",0.228426626999862,0.25,1,"MED HIGH NA",NA
60,6,117.620723485542,61,2,2.49949301198371,"FISHED",0.273314968799241,0.25,1,"MED HIGH NA",NA
60,9,194.163219853774,65,6,6.49981395668855,"FISHED",0.291218254412524,0.25,1,"MED HIGH NA",NA
61,3,97.0085828887696,61,1,1.50098350172213,"FISHED",0.273314968799241,0.25,1,"MED HIGH NA",NA
61,4,60.6490847212731,60,0,0.500073151650196,"FISHED",0.228426626999862,0.25,1,"MED HIGH NA",NA
61,7,138.919850840853,62,2,2.49919527709415,"FISHED",0.237545179529116,0.25,1,"MED HIGH NA",NA
61,8,100.789419103369,61,1,1.49962706942954,"FISHED",0.273314968799241,0.25,1,"MED HIGH NA",NA
62,1,175.421816303339,65,4,4.49925161922423,"FISHED",0.291218254412524,0.25,1,"MED HIGH NA",NA
62,3,158.244443948188,64,3,3.4993131571758,"FISHED",0.265971694048494,0.25,1,"MED HIGH NA",NA
62,5,62.4862476754718,61,0,0.499669824416588,"FISHED",0.273314968799241,0.25,1,"MED HIGH NA",NA
63,2,101.501572678501,63,1,1.50162303280567,"FISHED",0.267022589687258,0.25,1,"MED HIGH NA",NA
63,3,61.7715744594818,62,0,0.499919073460071,"FISHED",0.237545179529116,0.25,1,"MED HIGH NA",NA
63,4,129.063046075716,64,2,2.49902729542217,"FISHED",0.265971694048494,0.25,1,"MED HIGH NA",NA
63,6,184.940120766738,74,12,12.4977325278638,"FISHED",0.249699667841196,0.25,1,"MED HIGH NA",NA
63,10,62.2221444882014,62,0,0.499380163048842,"FISHED",0.237545179529116,0.25,1,"MED HIGH NA",NA
63,11,59.425605304284,62,0,0.5009509449948,"FISHED",0.237545179529116,0.25,1,"MED HIGH NA",NA
64,1,63.0625651132011,63,0,0.500054342933555,"FISHED",0.267022589687258,0.25,1,"MED HIGH NA",NA
64,4,101.883579652644,64,1,1.50005929239965,"FISHED",0.265971694048494,0.25,1,"MED HIGH NA",NA
