"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,62.8640485044101,0,0,0.498678014492731,0,0.25,0.05,"MED HIGH NA",NA
1,2,2,64.5746269904552,0,0,0.502091099676149,0,0.25,0.05,"MED HIGH NA",NA
1,3,3,62.9689703031732,0,0,0.500983651929378,0,0.25,0.05,"MED HIGH NA",NA
1,4,4,62.4364805867789,0,0,0.503348702533257,0,0.25,0.05,"MED HIGH NA",NA
1,5,5,65.5167112930588,0,0,0.500699241847282,0,0.25,0.05,"MED HIGH NA",NA
1,6,6,62.8708630837577,0,0,0.500640395391924,0,0.25,0.05,"MED HIGH NA",NA
1,7,7,63.3874241861664,0,0,0.499041873254346,0,0.25,0.05,"MED HIGH NA",NA
1,8,8,63.3058058899387,0,0,0.500817695793389,0,0.25,0.05,"MED HIGH NA",NA
1,9,9,61.7319833257082,0,0,0.500446753639446,0,0.25,0.05,"MED HIGH NA",NA
1,10,10,63.8360782192164,0,0,0.500444116980942,0,0.25,0.05,"MED HIGH NA",NA
1,1,1,98.8715393893612,1,1,1.49916690401575,0,0.25,0.186605496863371,"MED HIGH NA",NA
1,3,3,99.1179814726561,1,1,1.49816522025993,0,0.25,0.186605496863371,"MED HIGH NA",NA
1,4,4,97.8700665690521,1,1,1.49807480536234,0,0.25,0.186605496863371,"MED HIGH NA",NA
1,5,5,105.185447960789,1,1,1.49825525345195,0,0.25,0.186605496863371,"MED HIGH NA",NA
1,6,6,98.8875373484311,1,1,1.50018039709101,0,0.25,0.186605496863371,"MED HIGH NA",NA
1,7,7,100.103552056401,1,1,1.49900125566435,0,0.25,0.186605496863371,"MED HIGH NA",NA
1,8,8,99.9109803717287,1,1,1.49949227192661,0,0.25,0.186605496863371,"MED HIGH NA",NA
1,9,9,96.2297836764431,1,1,1.50047516103323,0,0.25,0.186605496863371,"MED HIGH NA",NA
1,10,10,101.165046500781,1,1,1.50049701695713,0,0.25,0.186605496863371,"MED HIGH NA",NA
