"Year","Age","AgeE","Length_cm","FSIM","FMORT","REG"
0,0,0.498868317740632,6.18822406681703,"MED LOW NA",0,NA
0,0,0.498762479434486,6.39482410704804,"MED LOW NA",0,NA
1,1,1.49958262888316,10.1431193775496,"MED LOW NA",0,NA
0,0,0.499627705211614,6.37533559728194,"MED LOW NA",0,NA
1,1,1.49978063009969,10.0968956479483,"MED LOW NA",0,NA
0,0,0.498739046516244,5.95169679108917,"MED LOW NA",0,NA
1,1,1.49928750764645,9.11522540483277,"MED LOW NA",0,NA
0,0,0.500101440894562,6.14873158906823,"MED LOW NA",0,NA
1,1,1.49946105630227,9.56629858331099,"MED LOW NA",0,NA
2,2,2.50121669952802,12.1560395433708,"MED LOW NA",0,NA
3,3,3.50153896118075,14.1184760520069,"MED LOW NA",0,NA
0,0,0.500312984211386,6.16391999653713,"MED LOW NA",0,NA
0,0,0.499728860468278,6.16722597018259,"MED LOW NA",0,NA
1,1,1.49899193929482,9.60912914954025,"MED LOW NA",0,NA
2,2,2.50138313697888,12.2251564070847,"MED LOW NA",0,NA
3,3,3.50012541916029,14.2134745716569,"MED LOW NA",0,NA
0,0,0.501240708951493,6.46202135801644,"MED LOW NA",0,NA
0,0,0.501481944608978,5.98265142475337,"MED LOW NA",0,NA
1,1,1.49981681375366,9.18545649628424,"MED LOW NA",0,NA
2,2,2.49928194235472,11.546902181938,"MED LOW NA",0,NA
3,3,3.50146922618138,13.2880089935454,"MED LOW NA",0,NA
4,4,4.50158553010401,14.5717365625689,"MED LOW NA",0,NA
5,5,5.50039423176895,15.5182359160174,"MED LOW NA",0,NA
0,0,0.500979045647023,6.52777303344131,"MED LOW NA",0,NA
1,1,1.4998955398097,10.4609513012423,"MED LOW NA",0,NA
2,2,2.50162811672965,13.6251404042534,"MED LOW NA",0,NA
0,0,0.499530973240805,6.28322560042373,"MED LOW NA",0,NA
0,0,0.500412920149915,6.27082886829725,"MED LOW NA",0,NA
1,1,1.49890085845436,9.85061885071437,"MED LOW NA",0,NA
2,2,2.50092993385659,12.6171543748027,"MED LOW NA",0,NA
3,3,3.49915237867921,14.7551900818235,"MED LOW NA",0,NA
0,0,0.499400364684932,6.44367871937203,"MED LOW NA",0,NA
1,1,1.50018556157002,10.2594064435649,"MED LOW NA",0,NA
0,0,0.500680389707229,5.95580690558746,"MED LOW NA",0,NA
1,1,1.49983067737503,9.12453699677715,"MED LOW NA",0,NA
2,2,2.50069415806521,11.4503757948313,"MED LOW NA",0,NA
3,3,3.50111141612757,13.1575348013919,"MED LOW NA",0,NA
4,4,4.49868359878427,14.4105846155574,"MED LOW NA",0,NA
1,0,0.497503499570527,6.32950263390736,"MED LOW NA",0,NA
2,1,1.49968445286301,9.98855591792575,"MED LOW NA",0,NA
3,2,2.50034657081831,12.8428063310651,"MED LOW NA",0,NA
4,3,3.50018730399082,15.0692689673128,"MED LOW NA",0,NA
5,4,4.49887624920104,16.8060247361084,"MED LOW NA",0,NA
6,5,5.50037865716535,18.1607838734673,"MED LOW NA",0,NA
7,6,6.50091806608899,19.2175659226383,"MED LOW NA",0,NA
8,7,7.50094635996577,20.0419104637848,"MED LOW NA",0,NA
9,8,8.501866093693,20.6849417520728,"MED LOW NA",0,NA
10,9,9.50140568334946,21.1865393451643,"MED LOW NA",0,NA
11,10,10.5009100067871,21.5778113563057,"MED LOW NA",0,NA
12,11,11.5003184493849,21.8830237193855,"MED LOW NA",0,NA
13,12,12.498520522331,22.1211051152538,"MED LOW NA",0,NA
1,0,0.498936940172542,6.37976170116254,"MED LOW NA",0,NA
2,1,1.50098703232212,10.1073854653024,"MED LOW NA",0,NA
3,2,2.50042275448043,13.0382131328965,"MED LOW NA",0,NA
4,3,3.4996320458284,15.342563400155,"MED LOW NA",0,NA
5,4,4.49989335879038,17.1543485872977,"MED LOW NA",0,NA
6,5,5.49956364746328,18.5788566627365,"MED LOW NA",0,NA
7,6,6.50201830546351,19.6988698251085,"MED LOW NA",0,NA
8,7,7.50001600220986,20.5794752112872,"MED LOW NA",0,NA
9,8,8.50002681185579,21.2718472942409,"MED LOW NA",0,NA
10,9,9.50187931906279,21.8162217765885,"MED LOW NA",0,NA
11,10,10.4996109567611,22.2442338012315,"MED LOW NA",0,NA
1,0,0.500538563982453,6.3068144290713,"MED LOW NA",0,NA
2,1,1.50085500402559,9.93511724515872,"MED LOW NA",0,NA
1,0,0.499057824226693,6.09866270791302,"MED LOW NA",0,NA
2,1,1.49942410786103,9.4507686781253,"MED LOW NA",0,NA
3,2,2.49917060901223,11.9702207920795,"MED LOW NA",0,NA
4,3,3.50059998012166,13.8638479658369,"MED LOW NA",0,NA
1,0,0.500393208888099,5.90318491181552,"MED LOW NA",0,NA
1,0,0.500324475814056,6.21281654234256,"MED LOW NA",0,NA
1,0,0.500023128860098,6.22708214439349,"MED LOW NA",0,NA
1,0,0.498959600935388,6.45350538729839,"MED LOW NA",0,NA
2,1,1.50098166130556,10.2828676115318,"MED LOW NA",0,NA
3,2,2.50047925495377,13.32848876007,"MED LOW NA",0,NA
4,3,3.49999465219536,15.7507741531109,"MED LOW NA",0,NA
