"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
40,13,186.050927359148,50,11,11.4998738366291,"FISHED",0.296404001186602,0.25,1,"MED LOW NA",NA
41,10,207.555443403137,51,11,11.5019144560013,"FISHED",0.210474950866774,0.25,1,"MED LOW NA",NA
42,3,222.600640546446,52,11,11.5005773282233,"FISHED",0.262317067594267,0.25,1,"MED LOW NA",NA
42,7,197.270761584224,51,10,10.500428701402,"FISHED",0.210474950866774,0.25,1,"MED LOW NA",NA
43,4,201.805473725102,52,10,10.4991355484591,"FISHED",0.262317067594267,0.25,1,"MED LOW NA",NA
45,6,194.951085157656,50,6,6.50072629778794,"FISHED",0.296404001186602,0.25,1,"MED LOW NA",NA
45,10,197.663295840581,51,7,7.49777330398558,"FISHED",0.210474950866774,0.25,1,"MED LOW NA",NA
46,1,226.422992645629,56,11,11.4999300553613,"FISHED",0.248365453025326,0.25,1,"MED LOW NA",NA
46,11,210.548800248461,54,9,9.50091709524864,"FISHED",0.271933803753927,0.25,1,"MED LOW NA",NA
48,4,146.107927493446,50,3,3.49996342904525,"FISHED",0.296404001186602,0.25,1,"MED LOW NA",NA
48,9,145.508592505134,51,4,4.49959998373568,"FISHED",0.210474950866774,0.25,1,"MED LOW NA",NA
48,10,164.230249570289,50,3,3.49802344351768,"FISHED",0.296404001186602,0.25,1,"MED LOW NA",NA
49,3,128.093411903846,50,2,2.50054954790988,"FISHED",0.296404001186602,0.25,1,"MED LOW NA",NA
49,5,121.678038948751,50,2,2.5011370271883,"FISHED",0.296404001186602,0.25,1,"MED LOW NA",NA
49,8,135.71255690114,50,2,2.50027215512102,"FISHED",0.296404001186602,0.25,1,"MED LOW NA",NA
50,2,150.342691776639,52,3,3.50075672280311,"FISHED",0.262317067594267,0.25,1,"MED LOW NA",NA
50,3,104.429822004544,50,1,1.4986473236318,"FISHED",0.296404001186602,0.25,1,"MED LOW NA",NA
50,4,119.143048841371,51,2,2.50078226128002,"FISHED",0.210474950866774,0.25,1,"MED LOW NA",NA
50,7,101.324216153045,50,1,1.49958289032479,"FISHED",0.296404001186602,0.25,1,"MED LOW NA",NA
50,9,99.9543571580527,50,1,1.49876230761057,"FISHED",0.296404001186602,0.25,1,"MED LOW NA",NA
51,5,160.476742602824,54,4,4.5003934414569,"FISHED",0.271933803753927,0.25,1,"MED LOW NA",NA
51,7,63.7058739180222,50,0,0.498600821888852,"FISHED",0.296404001186602,0.25,1,"MED LOW NA",NA
51,9,93.3267982205977,51,1,1.49962576083969,"FISHED",0.210474950866774,0.25,1,"MED LOW NA",NA
51,10,60.8367429685904,50,0,0.500363494586937,"FISHED",0.296404001186602,0.25,1,"MED LOW NA",NA
51,12,62.9433564779433,50,0,0.499818667547749,"FISHED",0.296404001186602,0.25,1,"MED LOW NA",NA
52,1,125.064827839278,53,2,2.5004532989468,"FISHED",0.281105157197453,0.25,1,"MED LOW NA",NA
52,5,129.541157990133,53,2,2.50050077026943,"FISHED",0.281105157197453,0.25,1,"MED LOW NA",NA
53,1,59.4207572863233,52,0,0.501013428413907,"FISHED",0.262317067594267,0.25,1,"MED LOW NA",NA
