"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,65.0142751859291,0,0,0.497999265040716,0,0.25,0.05,"MED LOW NA",NA
1,2,2,62.8319026576842,0,0,0.499497245683655,0,0.25,0.05,"MED LOW NA",NA
1,3,3,62.6993171191051,0,0,0.499350077564054,0,0.25,0.05,"MED LOW NA",NA
1,4,4,65.1171395322811,0,0,0.500515521254312,0,0.25,0.05,"MED LOW NA",NA
1,5,5,62.7929301664459,0,0,0.501320792250394,0,0.25,0.05,"MED LOW NA",NA
1,6,6,63.3268713342423,0,0,0.500378839351821,0,0.25,0.05,"MED LOW NA",NA
1,7,7,62.9702174434959,0,0,0.498553309399178,0,0.25,0.05,"MED LOW NA",NA
1,8,8,61.2437906718133,0,0,0.502722082592858,0,0.25,0.05,"MED LOW NA",NA
1,9,9,60.6116435537797,0,0,0.5008105914772,0,0.25,0.05,"MED LOW NA",NA
1,10,10,63.6954712119051,0,0,0.499267783420291,0,0.25,0.05,"MED LOW NA",NA
1,11,11,63.4180036864466,0,0,0.500348035712302,0,0.25,0.05,"MED LOW NA",NA
1,1,1,103.976227532813,1,1,1.49976503116182,0,0.25,0.186605496863371,"MED LOW NA",NA
1,2,2,98.79608898634,1,1,1.49890770655108,0,0.25,0.186605496863371,"MED LOW NA",NA
1,3,3,98.4851629834855,1,1,1.49872022774172,0,0.25,0.186605496863371,"MED LOW NA",NA
1,4,4,104.2232861406,1,1,1.5000415617756,0,0.25,0.186605496863371,"MED LOW NA",NA
1,5,5,98.7046497358776,1,1,1.50140522346155,0,0.25,0.186605496863371,"MED LOW NA",NA
1,6,6,99.9606668418796,1,1,1.49963244835435,0,0.25,0.186605496863371,"MED LOW NA",NA
1,9,9,93.6464893002611,1,1,1.49971240006213,0,0.25,0.186605496863371,"MED LOW NA",NA
1,10,10,100.831843103165,1,1,1.49992403631991,0,0.25,0.186605496863371,"MED LOW NA",NA
1,11,11,100.175744165835,1,1,1.50086589073039,0,0.25,0.186605496863371,"MED LOW NA",NA
2,12,1,60.6393407308349,1,0,0.500306146951622,0,0.25,0.05,"MED LOW NA",NA
2,13,2,61.5153558749153,1,0,0.501000897014234,0,0.25,0.05,"MED LOW NA",NA
2,14,3,61.4653479876614,1,0,0.499811042319823,0,0.25,0.05,"MED LOW NA",NA
2,15,4,63.2643088364805,1,0,0.501693794709099,0,0.25,0.05,"MED LOW NA",NA
2,16,5,60.8721622413349,1,0,0.499738302230715,0,0.25,0.05,"MED LOW NA",NA
2,17,6,65.5424970462017,1,0,0.499019251572315,0,0.25,0.05,"MED LOW NA",NA
2,18,7,61.1833506340158,1,0,0.500009774125601,0,0.25,0.05,"MED LOW NA",NA
2,19,8,62.1791743233595,1,0,0.499082762134352,0,0.25,0.05,"MED LOW NA",NA
2,20,9,63.8356823920073,1,0,0.499569382789565,0,0.25,0.05,"MED LOW NA",NA
2,21,10,64.2866217078623,1,0,0.500096144760825,0,0.25,0.05,"MED LOW NA",NA
2,22,11,62.1222047434254,1,0,0.499151058426842,0,0.25,0.05,"MED LOW NA",NA
1,1,1,135.194091931413,2,2,2.49891781744021,0,0.25,0.5,"MED LOW NA",NA
1,2,2,126.644742638872,2,2,2.49909164639875,0,0.25,0.5,"MED LOW NA",NA
1,3,3,126.137245975008,2,2,2.50021872283253,0,0.25,0.5,"MED LOW NA",NA
1,4,4,135.606259816792,2,2,2.49861653812322,0,0.25,0.5,"MED LOW NA",NA
1,6,6,128.551295370978,2,2,2.50086337241525,0,0.25,0.5,"MED LOW NA",NA
1,9,9,118.322906128585,2,2,2.49992173570771,0,0.25,0.5,"MED LOW NA",NA
1,10,10,129.983401800629,2,2,2.50052245219464,0,0.25,0.5,"MED LOW NA",NA
2,12,1,93.7099808558111,2,1,1.49986161690386,0,0.25,0.186605496863371,"MED LOW NA",NA
2,13,2,95.7278685461997,2,1,1.50200197834866,0,0.25,0.186605496863371,"MED LOW NA",NA
2,14,3,95.6121670627173,2,1,1.49960916643598,0,0.25,0.186605496863371,"MED LOW NA",NA
2,16,5,94.2444361793246,2,1,1.49964816212531,0,0.25,0.186605496863371,"MED LOW NA",NA
2,17,6,105.247674776222,2,1,1.50015589392094,0,0.25,0.186605496863371,"MED LOW NA",NA
2,18,7,94.960873575018,2,1,1.50101247017131,0,0.25,0.186605496863371,"MED LOW NA",NA
2,22,11,97.1368258790069,2,1,1.50043646545062,0,0.25,0.186605496863371,"MED LOW NA",NA
3,23,1,61.9468477897655,2,0,0.499363284054724,0,0.25,0.05,"MED LOW NA",NA
3,24,2,63.7286974760028,2,0,0.50125266571586,0,0.25,0.05,"MED LOW NA",NA
3,25,3,61.8616188069599,2,0,0.500914290729062,0,0.25,0.05,"MED LOW NA",NA
3,26,4,61.1395418438219,2,0,0.499044453823279,0,0.25,0.05,"MED LOW NA",NA
3,27,5,60.1883528681417,2,0,0.49942050880635,0,0.25,0.05,"MED LOW NA",NA
3,28,6,62.5295524398111,2,0,0.501431911581528,0,0.25,0.05,"MED LOW NA",NA
3,29,7,61.9416072523024,2,0,0.498288793816751,0,0.25,0.05,"MED LOW NA",NA
3,30,8,63.0823704431828,2,0,0.499798302524089,0,0.25,0.05,"MED LOW NA",NA
3,31,9,66.0499517377891,2,0,0.499886474016976,0,0.25,0.05,"MED LOW NA",NA
3,32,10,62.2279510428144,2,0,0.500870030643271,0,0.25,0.05,"MED LOW NA",NA
3,33,11,62.4846143706485,2,0,0.500209502257156,0,0.25,0.05,"MED LOW NA",NA
3,34,12,61.6702291227459,2,0,0.498572211549283,0,0.25,0.05,"MED LOW NA",NA
