"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
41,1,217.633469523258,54,14,14.4997726803023,"FISHED",0.348371070576832,0.25,1,"HIGH MED NA","R1"
42,4,213.836752806116,51,10,10.5011307335799,"FISHED",0.355970865138806,0.25,1,"HIGH MED NA","R1"
45,5,223.761227173052,51,7,7.50142236040375,"FISHED",0.355970865138806,0.25,1,"HIGH MED NA","R1"
46,1,158.151388314405,51,6,6.4990316377695,"FISHED",0.355970865138806,0.25,1,"HIGH MED NA","R1"
46,6,207.889770061229,53,8,8.50064077177579,"FISHED",0.333231492061168,0.25,1,"HIGH MED NA","R1"
47,6,171.741025816308,50,4,4.49951922000524,"FISHED",0.30749753753189,0.25,1,"HIGH MED NA","R1"
47,7,185.409461421633,52,6,6.50072870658997,"FISHED",0.37464262614958,0.25,1,"HIGH MED NA","R1"
47,8,152.518288651152,50,4,4.49955800197994,"FISHED",0.30749753753189,0.25,1,"HIGH MED NA","R1"
48,2,183.123429586953,54,7,7.50117755916079,"FISHED",0.348371070576832,0.25,1,"HIGH MED NA","R1"
48,4,148.110566567101,50,3,3.50048602942552,"FISHED",0.30749753753189,0.25,1,"HIGH MED NA","R1"
48,6,165.581940805104,51,4,4.49935714798502,"FISHED",0.355970865138806,0.25,1,"HIGH MED NA","R1"
48,8,141.747668356311,50,3,3.49936384014494,"FISHED",0.30749753753189,0.25,1,"HIGH MED NA","R1"
48,9,138.501006668842,50,3,3.50135508093547,"FISHED",0.30749753753189,0.25,1,"HIGH MED NA","R1"
48,11,137.766975750494,50,3,3.49980617428555,"FISHED",0.30749753753189,0.25,1,"HIGH MED NA","R1"
48,12,154.048857698899,51,4,4.49995534263965,"FISHED",0.355970865138806,0.25,1,"HIGH MED NA","R1"
48,13,160.75509584581,51,4,4.49854315282894,"FISHED",0.355970865138806,0.25,1,"HIGH MED NA","R1"
49,1,160.084344251892,51,3,3.50110221945587,"FISHED",0.355970865138806,0.25,1,"HIGH MED NA","R1"
49,7,147.056203322405,51,3,3.50021042251619,"FISHED",0.355970865138806,0.25,1,"HIGH MED NA","R1"
49,8,147.992999499979,51,3,3.50098438431395,"FISHED",0.355970865138806,0.25,1,"HIGH MED NA","R1"
49,9,170.964216789212,53,5,5.49907473592282,"FISHED",0.333231492061168,0.25,1,"HIGH MED NA","R1"
49,11,151.398370025797,52,4,4.4998421914019,"FISHED",0.37464262614958,0.25,1,"HIGH MED NA","R1"
50,1,109.230415941772,50,1,1.49968779363106,"FISHED",0.30749753753189,0.25,1,"HIGH MED NA","R1"
50,5,143.60054280597,52,3,3.50156953468952,"FISHED",0.37464262614958,0.25,1,"HIGH MED NA","R1"
50,6,143.245216335946,52,3,3.49901627944449,"FISHED",0.37464262614958,0.25,1,"HIGH MED NA","R1"
50,7,123.951281012426,51,2,2.4997986743253,"FISHED",0.355970865138806,0.25,1,"HIGH MED NA","R1"
50,9,98.1509225571663,50,1,1.49971324508167,"FISHED",0.30749753753189,0.25,1,"HIGH MED NA","R1"
50,10,164.631145201083,53,4,4.49792058400487,"FISHED",0.333231492061168,0.25,1,"HIGH MED NA","R1"
50,11,200.35568810037,56,7,7.50063409660668,"FISHED",0.307412370759994,0.25,1,"HIGH MED NA","R1"
51,1,144.660702893234,53,3,3.49909173753562,"FISHED",0.333231492061168,0.25,1,"HIGH MED NA","R1"
51,5,64.3113533908897,50,0,0.499597918948335,"FISHED",0.30749753753189,0.25,1,"HIGH MED NA","R1"
51,6,60.8159597590275,50,0,0.498841242533295,"FISHED",0.30749753753189,0.25,1,"HIGH MED NA","R1"
51,7,63.0950371132105,50,0,0.500115086253247,"FISHED",0.30749753753189,0.25,1,"HIGH MED NA","R1"
51,9,61.9240287516605,50,0,0.499549450469967,"FISHED",0.30749753753189,0.25,1,"HIGH MED NA","R1"
51,11,132.087369521792,52,2,2.49831237288334,"FISHED",0.37464262614958,0.25,1,"HIGH MED NA","R1"
51,12,64.385552805827,50,0,0.498822191424595,"FISHED",0.30749753753189,0.25,1,"HIGH MED NA","R1"
52,4,131.312817674854,53,2,2.50026944332393,"FISHED",0.333231492061168,0.25,1,"HIGH MED NA","R1"
52,5,162.18596682085,54,3,3.50066432155434,"FISHED",0.348371070576832,0.25,1,"HIGH MED NA","R1"
52,8,98.7532065692094,52,1,1.49930952063951,"FISHED",0.37464262614958,0.25,1,"HIGH MED NA","R1"
52,9,98.2165641815188,52,1,1.4989462112331,"FISHED",0.37464262614958,0.25,1,"HIGH MED NA","R1"
52,13,65.449325360116,51,0,0.499122578562061,"FISHED",0.355970865138806,0.25,1,"HIGH MED NA","R1"
53,1,92.1844932141258,53,1,1.49976006103702,"FISHED",0.333231492061168,0.25,1,"HIGH MED NA","R1"
53,4,175.149355902226,56,4,4.50119942054072,"FISHED",0.307412370759994,0.25,1,"HIGH MED NA","R1"
53,6,62.3319731130558,52,0,0.500938471707047,"FISHED",0.37464262614958,0.25,1,"HIGH MED NA","R1"
53,7,59.8760041442991,52,0,0.501432399265997,"FISHED",0.37464262614958,0.25,1,"HIGH MED NA","R1"
53,8,154.24042983996,56,4,4.49949141616329,"FISHED",0.307412370759994,0.25,1,"HIGH MED NA","R1"
54,1,144.74573703057,56,3,3.49927744873611,"FISHED",0.307412370759994,0.25,1,"HIGH MED NA","R1"
