"Year","season","fleet","CPUE","sd"
0,1,2,0.000114540249920449,0.1
1,1,2,0.000213039217508211,0.1
2,1,2,0.000290411163873746,0.1
3,1,2,0.000317587977135092,0.1
4,1,2,0.00036418167752535,0.1
5,1,2,0.000421605062888982,0.1
6,1,2,0.000408673333895482,0.1
7,1,2,0.000409052490922832,0.1
8,1,2,0.000472874909616038,0.1
9,1,2,0.000446039908810009,0.1
10,1,2,0.000503161863551992,0.1
11,1,2,0.00043694510432747,0.1
12,1,2,0.000549426244186356,0.1
13,1,2,0.000515080323492883,0.1
14,1,2,0.000440283632486558,0.1
15,1,2,0.000477277282981515,0.1
16,1,2,0.000458816139194074,0.1
17,1,2,0.000500641577084625,0.1
18,1,2,0.000572873283409183,0.1
19,1,2,0.000701649705759148,0.1
20,1,2,0.000588531549620094,0.1
21,1,2,0.000456131774421342,0.1
22,1,2,0.000528585769529017,0.1
23,1,2,0.000426482607681692,0.1
24,1,2,0.000457332444538149,0.1
25,1,2,0.000538849211476687,0.1
26,1,2,0.000493897819149005,0.1
27,1,2,0.000441015057337192,0.1
28,1,2,0.000488733502148189,0.1
29,1,2,0.000567531401366444,0.1
30,1,2,0.000536719991313361,0.1
31,1,2,0.000479298950571978,0.1
32,1,2,0.000439960418779723,0.1
33,1,2,0.000440958262428254,0.1
34,1,2,0.00039707503554047,0.1
35,1,2,0.000421390454240129,0.1
36,1,2,0.000426197424438882,0.1
37,1,2,0.000417098562389777,0.1
38,1,2,0.000434791964043305,0.1
39,1,2,0.000525958972517515,0.1
40,1,2,0.000417662854709529,0.1
41,1,2,0.0005508470946092,0.1
42,1,2,0.000537455687377773,0.1
43,1,2,0.000520268784466327,0.1
44,1,2,0.000552911022797981,0.1
45,1,2,0.00062367828119779,0.1
46,1,2,0.000407505802304602,0.1
47,1,2,0.000508324732958821,0.1
48,1,2,0.00046957763456565,0.1
49,1,2,0.000516021826995393,0.1
50,1,2,0.00052421041167898,0.1
51,1,2,0.000356701252334485,0.1
52,1,2,0.00027088905134642,0.1
53,1,2,0.000281773593853661,0.1
54,1,2,0.000324241876158915,0.1
55,1,2,0.000322780472404196,0.1
56,1,2,0.000312659894302087,0.1
57,1,2,0.000294614969190191,0.1
58,1,2,0.000273133966596714,0.1
59,1,2,0.000266467165764132,0.1
60,1,2,0.000311831201653948,0.1
61,1,2,0.000272783749796352,0.1
62,1,2,0.000258031381172106,0.1
63,1,2,0.000290204312601406,0.1
64,1,2,0.000313904384979788,0.1
65,1,2,0.000226696535943793,0.1
66,1,2,0.000267394588487123,0.1
67,1,2,0.000218531178622711,0.1
68,1,2,0.000266624922826283,0.1
69,1,2,0.000230698575700701,0.1
70,1,2,0.000198632649834816,0.1
71,1,2,0.00020218876424813,0.1
72,1,2,0.000247684885806268,0.1
73,1,2,0.000150258692853205,0.1
74,1,2,0.000196151693222991,0.1
75,1,2,0.000187290467456451,0.1
76,1,2,0.000182421909253805,0.1
77,1,2,0.000179451313841172,0.1
78,1,2,0.000201020878812828,0.1
79,1,2,0.000207607853492412,0.1
80,1,2,0.000314109069444868,0.1
81,1,2,0.000281072572312172,0.1
82,1,2,0.000344016647099198,0.1
83,1,2,0.000232846715662034,0.1
84,1,2,0.000231014888026992,0.1
85,1,2,0.000253200039741903,0.1
86,1,2,0.000288118545170243,0.1
87,1,2,0.000258297461124763,0.1
88,1,2,0.000288416408864213,0.1
89,1,2,0.000292986112117733,0.1
90,1,2,0.000357405807769052,0.1
91,1,2,0.00031144631572448,0.1
92,1,2,0.00029777710765781,0.1
93,1,2,0.000285085740707022,0.1
94,1,2,0.000290070066287702,0.1
95,1,2,0.000235627370631034,0.1
96,1,2,0.000308450526086936,0.1
97,1,2,0.000216667474757346,0.1
98,1,2,0.000213877085351864,0.1
99,1,2,0.000170164395646231,0.1
