"Year","season","fleet","CPUE","sd"
0,1,2,0.000125004379924722,0.1
1,1,2,0.000197407995302503,0.1
2,1,2,0.000259451879418473,0.1
3,1,2,0.000383870122753091,0.1
4,1,2,0.000366571306899513,0.1
5,1,2,0.000416150631798865,0.1
6,1,2,0.000459128047835374,0.1
7,1,2,0.000437391274285645,0.1
8,1,2,0.000345214423875864,0.1
9,1,2,0.000402560514148109,0.1
10,1,2,0.000578957289362458,0.1
11,1,2,0.000583483240228065,0.1
12,1,2,0.000535937597797973,0.1
13,1,2,0.000449569993479821,0.1
14,1,2,0.000431438414178418,0.1
15,1,2,0.00036966941972656,0.1
16,1,2,0.000451567303801799,0.1
17,1,2,0.000488899372858035,0.1
18,1,2,0.000392843009714241,0.1
19,1,2,0.00041783785722251,0.1
20,1,2,0.000524444220190539,0.1
21,1,2,0.000515564893313572,0.1
22,1,2,0.000482867564856502,0.1
23,1,2,0.000501285396662771,0.1
24,1,2,0.000347690075925087,0.1
25,1,2,0.000309052612563551,0.1
26,1,2,0.000327264111897559,0.1
27,1,2,0.000330942346627634,0.1
28,1,2,0.000402448848890019,0.1
29,1,2,0.000447363960146797,0.1
30,1,2,0.000446097283829672,0.1
31,1,2,0.000441701472609744,0.1
32,1,2,0.000470676591086695,0.1
33,1,2,0.000494419548356475,0.1
34,1,2,0.000314515275161701,0.1
35,1,2,0.00052443441413838,0.1
36,1,2,0.000396928145814538,0.1
37,1,2,0.000455334833146624,0.1
38,1,2,0.00040569644665584,0.1
39,1,2,0.000423465027060337,0.1
40,1,2,0.000404267904228324,0.1
41,1,2,0.000415137425340689,0.1
42,1,2,0.000393324019008052,0.1
43,1,2,0.000516907010122973,0.1
44,1,2,0.000422636828079296,0.1
45,1,2,0.000518749077727917,0.1
46,1,2,0.000490100524364191,0.1
47,1,2,0.000548794812056182,0.1
48,1,2,0.000559546425274291,0.1
49,1,2,0.000537489198471879,0.1
50,1,2,0.000539355286618051,0.1
51,1,2,0.000501476167113848,0.1
52,1,2,0.000498471664433212,0.1
53,1,2,0.000468282545112544,0.1
54,1,2,0.000407314849870398,0.1
55,1,2,0.000456446733558571,0.1
56,1,2,0.000483852296132791,0.1
57,1,2,0.000493152755116231,0.1
58,1,2,0.000407355015740114,0.1
59,1,2,0.000291881015726947,0.1
60,1,2,0.000350912858735937,0.1
61,1,2,0.000286822976008732,0.1
62,1,2,0.000348497847105521,0.1
63,1,2,0.000295579452034635,0.1
64,1,2,0.000258611229306186,0.1
65,1,2,0.000276639150605157,0.1
66,1,2,0.000295474761365164,0.1
67,1,2,0.000359927928787896,0.1
68,1,2,0.000290161028554129,0.1
69,1,2,0.000255340896325482,0.1
70,1,2,0.000331346040011744,0.1
71,1,2,0.000304981905998482,0.1
72,1,2,0.000303528911578462,0.1
73,1,2,0.000300064627561142,0.1
74,1,2,0.000312998767648744,0.1
75,1,2,0.00030314656433494,0.1
76,1,2,0.000377754897934763,0.1
77,1,2,0.000283911351924592,0.1
78,1,2,0.000256124277218636,0.1
79,1,2,0.000235091284350647,0.1
80,1,2,0.000194632597446391,0.1
81,1,2,0.000257743567316225,0.1
82,1,2,0.000291359408521695,0.1
83,1,2,0.000182893765769983,0.1
84,1,2,0.000233587740773452,0.1
85,1,2,0.000221471365911432,0.1
86,1,2,0.000258191194567273,0.1
87,1,2,0.000303327203836244,0.1
88,1,2,0.00037508244613133,0.1
89,1,2,0.000315394221064848,0.1
90,1,2,0.000329408661795855,0.1
91,1,2,0.000331622602761663,0.1
92,1,2,0.000329672213140545,0.1
93,1,2,0.000284634386286947,0.1
94,1,2,0.000243820155150335,0.1
95,1,2,0.000228710242560796,0.1
96,1,2,0.000189917281356794,0.1
97,1,2,0.000206933170080029,0.1
98,1,2,0.00024640914015929,0.1
99,1,2,0.000181830932448643,0.1
