"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
44,1,188.089321553586,52,9,9.49983125174867,"FISHED",0.21247824523598,0.25,1,"MED HIGH NA","R1"
44,4,205.226349785362,50,7,7.50017034592395,"FISHED",0.209672882547602,0.25,1,"MED HIGH NA","R1"
44,7,231.170043492156,53,10,10.4993548403794,"FISHED",0.255059324996546,0.25,1,"MED HIGH NA","R1"
44,10,204.437330560064,52,9,9.50015187709197,"FISHED",0.21247824523598,0.25,1,"MED HIGH NA","R1"
46,1,212.933786107088,57,12,12.4993407656866,"FISHED",0.257272236980498,0.25,1,"MED HIGH NA","R1"
46,11,178.636279008852,52,7,7.49978371839082,"FISHED",0.21247824523598,0.25,1,"MED HIGH NA","R1"
47,2,175.716114426497,51,5,5.50084679780331,"FISHED",0.218556691380218,0.25,1,"MED HIGH NA","R1"
47,3,184.36239016421,51,5,5.50055406937058,"FISHED",0.218556691380218,0.25,1,"MED HIGH NA","R1"
47,4,191.140745635231,52,6,6.49852098549452,"FISHED",0.21247824523598,0.25,1,"MED HIGH NA","R1"
47,11,161.991592327252,50,4,4.49968157265587,"FISHED",0.209672882547602,0.25,1,"MED HIGH NA","R1"
48,1,149.39585927169,50,3,3.50006959913691,"FISHED",0.209672882547602,0.25,1,"MED HIGH NA","R1"
48,3,144.477308707153,50,3,3.50071746966992,"FISHED",0.209672882547602,0.25,1,"MED HIGH NA","R1"
48,5,137.377700735193,50,3,3.50125781336951,"FISHED",0.209672882547602,0.25,1,"MED HIGH NA","R1"
48,6,147.18277502063,50,3,3.50005796869467,"FISHED",0.209672882547602,0.25,1,"MED HIGH NA","R1"
48,7,147.991118470145,50,3,3.50117013750032,"FISHED",0.209672882547602,0.25,1,"MED HIGH NA","R1"
49,1,169.470499731718,52,4,4.49976396592085,"FISHED",0.21247824523598,0.25,1,"MED HIGH NA","R1"
49,3,132.640348797495,50,2,2.49941595535194,"FISHED",0.209672882547602,0.25,1,"MED HIGH NA","R1"
49,10,174.215380423275,53,5,5.49949263244579,"FISHED",0.255059324996546,0.25,1,"MED HIGH NA","R1"
50,4,168.181762922098,53,4,4.50009188379209,"FISHED",0.255059324996546,0.25,1,"MED HIGH NA","R1"
50,7,166.290905008149,53,4,4.4997447396412,"FISHED",0.255059324996546,0.25,1,"MED HIGH NA","R1"
50,8,128.57623909739,51,2,2.50019032122117,"FISHED",0.218556691380218,0.25,1,"MED HIGH NA","R1"
50,9,148.502068172901,52,3,3.49966174066633,"FISHED",0.21247824523598,0.25,1,"MED HIGH NA","R1"
51,9,128.734686092269,52,2,2.49934733462133,"FISHED",0.21247824523598,0.25,1,"MED HIGH NA","R1"
52,4,135.864861913807,54,3,3.49935584166789,"FISHED",0.22592842199374,0.25,1,"MED HIGH NA","R1"
52,6,98.0023218702362,52,1,1.49950474818477,"FISHED",0.21247824523598,0.25,1,"MED HIGH NA","R1"
