"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
1,1,123.939635073115,2,2,2.49805083982423,"M",0,0.25,1,"MED HIGH NA","R1"
1,2,63.3184434642488,0,0,0.500567221416774,"M",0,0.25,1,"MED HIGH NA","R1"
1,3,194.262457262753,9,9,9.49924518239948,"M",0,0.25,1,"MED HIGH NA","R1"
1,4,203.433472622287,10,10,10.5000507046746,"M",0,0.25,1,"MED HIGH NA","R1"
1,5,118.992050983948,2,2,2.49940060323517,"M",0,0.25,1,"MED HIGH NA","R1"
1,6,64.1585666016993,0,0,0.500065748660304,"M",0,0.25,1,"MED HIGH NA","R1"
1,7,155.198018937029,3,3,3.49975914065025,"M",0,0.25,1,"MED HIGH NA","R1"
1,8,170.517140330915,3,3,3.49885072068781,"M",0,0.25,1,"MED HIGH NA","R1"
1,9,187.415933271319,5,5,5.49970769269044,"M",0,0.25,1,"MED HIGH NA","R1"
1,10,64.0823129174709,0,0,0.500055984173707,"M",0,0.25,1,"MED HIGH NA","R1"
1,11,168.867965469765,4,4,4.49997697921552,"M",0,0.25,1,"MED HIGH NA","R1"
1,12,203.82532179384,5,5,5.499168418415,"M",0,0.25,1,"MED HIGH NA","R1"
1,13,188.245976803065,5,5,5.49961034147272,"M",0,0.25,1,"MED HIGH NA","R1"
2,1,239.499545552895,9,8,8.49885029298713,"M",0,0.25,1,"MED HIGH NA","R1"
2,2,201.651865932506,12,11,11.5004026633124,"M",0,0.25,1,"MED HIGH NA","R1"
2,3,214.335441180945,10,9,9.50191962636184,"M",0,0.25,1,"MED HIGH NA","R1"
2,4,64.260249741646,1,0,0.4999452738325,"M",0,0.25,1,"MED HIGH NA","R1"
2,5,59.7554411947275,1,0,0.499475197825755,"M",0,0.25,1,"MED HIGH NA","R1"
2,6,62.2014422851426,1,0,0.500598001360698,"M",0,0.25,1,"MED HIGH NA","R1"
2,7,62.9501385923639,1,0,0.50061301242349,"M",0,0.25,1,"MED HIGH NA","R1"
2,8,62.7552736803247,1,0,0.498697058277175,"M",0,0.25,1,"MED HIGH NA","R1"
2,9,100.545938844367,2,1,1.49984810434422,"M",0,0.25,1,"MED HIGH NA","R1"
2,10,229.875097069106,13,12,12.5007584122134,"M",0,0.25,1,"MED HIGH NA","R1"
2,11,65.3158297426147,1,0,0.499971960197561,"M",0,0.25,1,"MED HIGH NA","R1"
2,12,60.088170127174,1,0,0.500163848918364,"M",0,0.25,1,"MED HIGH NA","R1"
3,1,61.7419164245934,2,0,0.499675580840047,"M",0,0.25,1,"MED HIGH NA","R1"
3,2,62.8740003311803,2,0,0.500366098539161,"M",0,0.25,1,"MED HIGH NA","R1"
3,3,60.6704871805127,2,0,0.501691358878337,"M",0,0.25,1,"MED HIGH NA","R1"
3,4,61.5041809125993,2,0,0.499166708678061,"M",0,0.25,1,"MED HIGH NA","R1"
3,5,101.48240072909,3,1,1.50084099206957,"M",0,0.25,1,"MED HIGH NA","R1"
3,6,165.575404123128,6,4,4.4990270914257,"M",0,0.25,1,"MED HIGH NA","R1"
3,7,99.1520295824038,3,1,1.50022096816923,"M",0,0.25,1,"MED HIGH NA","R1"
3,8,130.114681397397,4,2,2.49981143775768,"M",0,0.25,1,"MED HIGH NA","R1"
3,9,180.507124956338,8,6,6.49934357466727,"M",0,0.25,1,"MED HIGH NA","R1"
3,10,167.004817617358,7,5,5.50299964556969,"M",0,0.25,1,"MED HIGH NA","R1"
3,11,126.32852441628,4,2,2.49720626362357,"M",0,0.25,1,"MED HIGH NA","R1"
4,1,101.651384133072,4,1,1.49957009610075,"M",0,0.25,1,"MED HIGH NA","R1"
4,2,60.9916325665636,3,0,0.500394651726078,"M",0,0.25,1,"MED HIGH NA","R1"
4,3,63.0414606821636,3,0,0.501798986903237,"M",0,0.25,1,"MED HIGH NA","R1"
4,4,192.93214771997,9,6,6.50028615052706,"M",0,0.25,1,"MED HIGH NA","R1"
4,5,101.242431509555,4,1,1.49829677860571,"M",0,0.25,1,"MED HIGH NA","R1"
4,6,63.0895447831195,3,0,0.499381827182796,"M",0,0.25,1,"MED HIGH NA","R1"
4,7,61.1068392487969,3,0,0.499904195572452,"M",0,0.25,1,"MED HIGH NA","R1"
4,8,176.72631362255,17,14,14.5004239720912,"M",0,0.25,1,"MED HIGH NA","R1"
4,9,121.891807661072,5,2,2.49949972722498,"M",0,0.25,1,"MED HIGH NA","R1"
4,10,62.6960709701808,3,0,0.499734643339174,"M",0,0.25,1,"MED HIGH NA","R1"
4,11,130.741894564089,6,3,3.49865384970214,"M",0,0.25,1,"MED HIGH NA","R1"
5,1,164.656649859428,9,5,5.50012199724805,"M",0,0.25,1,"MED HIGH NA","R1"
5,2,63.6048736284343,4,0,0.500566171774714,"M",0,0.25,1,"MED HIGH NA","R1"
5,3,169.56002790163,9,5,5.50117726591907,"M",0,0.25,1,"MED HIGH NA","R1"
5,4,63.847805404643,4,0,0.501310684704439,"M",0,0.25,1,"MED HIGH NA","R1"
5,5,99.366373116945,5,1,1.50010036019277,"M",0,0.25,1,"MED HIGH NA","R1"
