"Year","season","fleet","CPUE","sd"
0,1,2,0.000134243529139445,0.1
1,1,2,0.000159772199020939,0.1
2,1,2,0.000253715229494687,0.1
3,1,2,0.000303769468034332,0.1
4,1,2,0.00034277687836596,0.1
5,1,2,0.000427306786610523,0.1
6,1,2,0.000307795267989974,0.1
7,1,2,0.000364357919638982,0.1
8,1,2,0.000382617135791668,0.1
9,1,2,0.000332120944263382,0.1
10,1,2,0.000403293950382238,0.1
11,1,2,0.0004838327648139,0.1
12,1,2,0.000410835989015441,0.1
13,1,2,0.00042442713925912,0.1
14,1,2,0.000488906634449441,0.1
15,1,2,0.00043552881814977,0.1
16,1,2,0.000496191492741095,0.1
17,1,2,0.000488980893960767,0.1
18,1,2,0.000388451922928014,0.1
19,1,2,0.000528365980499791,0.1
20,1,2,0.000454027424425047,0.1
21,1,2,0.000513096741297328,0.1
22,1,2,0.000586743149225919,0.1
23,1,2,0.000507156239029148,0.1
24,1,2,0.000430176960641866,0.1
25,1,2,0.000427144177311407,0.1
26,1,2,0.000482785051813381,0.1
27,1,2,0.000442876648132414,0.1
28,1,2,0.000517258319114249,0.1
29,1,2,0.000394028301529668,0.1
30,1,2,0.000400204839539089,0.1
31,1,2,0.000523799429379196,0.1
32,1,2,0.000503187792145705,0.1
33,1,2,0.000424479374053958,0.1
34,1,2,0.000421480875813199,0.1
35,1,2,0.000508807150678107,0.1
36,1,2,0.000472940238598312,0.1
37,1,2,0.000557340454145179,0.1
38,1,2,0.0005367455118134,0.1
39,1,2,0.000483312862119174,0.1
40,1,2,0.000495983570612169,0.1
41,1,2,0.000669178916119054,0.1
42,1,2,0.000478655326581773,0.1
43,1,2,0.000539403579630315,0.1
44,1,2,0.000539798395983488,0.1
45,1,2,0.000540008331962658,0.1
46,1,2,0.000435197792922911,0.1
47,1,2,0.000473132237825019,0.1
48,1,2,0.000614947463980752,0.1
49,1,2,0.00055383724700972,0.1
50,1,2,0.000605649157953836,0.1
51,1,2,0.000369167011826257,0.1
52,1,2,0.000367591089388412,0.1
53,1,2,0.000296655072717572,0.1
54,1,2,0.000288559975042415,0.1
55,1,2,0.000360040996047303,0.1
56,1,2,0.000283634434832149,0.1
57,1,2,0.000325465897015268,0.1
58,1,2,0.000329397966209208,0.1
59,1,2,0.000312463200065819,0.1
60,1,2,0.000322027595376623,0.1
61,1,2,0.000324468362623048,0.1
62,1,2,0.000290428639645133,0.1
63,1,2,0.000323872456174127,0.1
64,1,2,0.000372980274688985,0.1
65,1,2,0.000302056206795674,0.1
66,1,2,0.000231959437070076,0.1
67,1,2,0.000245847620309646,0.1
68,1,2,0.000258176524099964,0.1
69,1,2,0.000295659005496527,0.1
70,1,2,0.0002447715624906,0.1
71,1,2,0.000278434187056152,0.1
72,1,2,0.000275775244436737,0.1
73,1,2,0.0002511811018104,0.1
74,1,2,0.000277047182039034,0.1
75,1,2,0.000213055702237355,0.1
76,1,2,0.000270369016970658,0.1
77,1,2,0.000287954624825242,0.1
78,1,2,0.000296964383668447,0.1
79,1,2,0.000214792661495388,0.1
80,1,2,0.000217800396462487,0.1
81,1,2,0.000315168857503967,0.1
82,1,2,0.000266612345752508,0.1
83,1,2,0.000325131457086088,0.1
84,1,2,0.000241158460575331,0.1
85,1,2,0.000215763741677281,0.1
86,1,2,0.000195682694695172,0.1
87,1,2,0.000159104583323941,0.1
88,1,2,0.000164166237147135,0.1
89,1,2,9.95322727002786e-05,0.1
90,1,2,7.24987551665529e-05,0.1
91,1,2,5.88437939281337e-05,0.1
92,1,2,5.14488872073716e-05,0.1
93,1,2,5.04896957483451e-05,0.1
94,1,2,4.24968753360549e-05,0.1
95,1,2,3.02392335796947e-05,0.1
96,1,2,5.08748037754273e-05,0.1
97,1,2,6.27080161651916e-05,0.1
98,1,2,2.63475837072052e-05,0.1
99,1,2,3.12002985707829e-05,0.1
