"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
38,11,260.061988221239,51,14,14.4997522492628,"FISHED",0.226637316844426,0.25,1,"MED LOW NA","R1"
41,4,183.813001706314,51,11,11.5000732613947,"FISHED",0.226637316844426,0.25,1,"MED LOW NA","R1"
42,3,220.382548370858,52,11,11.4997908705376,"FISHED",0.236415031738579,0.25,1,"MED LOW NA","R1"
42,8,222.242391195761,50,9,9.49959057681667,"FISHED",0.28343889429234,0.25,1,"MED LOW NA","R1"
43,1,197.668540406744,53,11,11.4982157940659,"FISHED",0.280534034315497,0.25,1,"MED LOW NA","R1"
45,2,256.483511958358,54,10,10.5004047954979,"FISHED",0.203571396740153,0.25,1,"MED LOW NA","R1"
45,10,172.322601596926,50,6,6.50124495361049,"FISHED",0.28343889429234,0.25,1,"MED LOW NA","R1"
45,12,171.323617774921,50,6,6.49955282757632,"FISHED",0.28343889429234,0.25,1,"MED LOW NA","R1"
46,4,225.142010902265,53,8,8.49988347123153,"FISHED",0.280534034315497,0.25,1,"MED LOW NA","R1"
46,5,190.640577158517,50,5,5.49863273829392,"FISHED",0.28343889429234,0.25,1,"MED LOW NA","R1"
47,1,198.869917334383,53,7,7.50032477063394,"FISHED",0.280534034315497,0.25,1,"MED LOW NA","R1"
47,4,170.066882701375,57,11,11.5017524864066,"FISHED",0.208197183767334,0.25,1,"MED LOW NA","R1"
49,1,120.744221786882,50,2,2.50208020827955,"FISHED",0.28343889429234,0.25,1,"MED LOW NA","R1"
49,7,186.73609422579,54,6,6.50127582702192,"FISHED",0.203571396740153,0.25,1,"MED LOW NA","R1"
49,11,125.030730644763,50,2,2.49852669302807,"FISHED",0.28343889429234,0.25,1,"MED LOW NA","R1"
49,12,160.6454373388,52,4,4.50063857419171,"FISHED",0.236415031738579,0.25,1,"MED LOW NA","R1"
50,1,121.261007032561,51,2,2.50126109819596,"FISHED",0.226637316844426,0.25,1,"MED LOW NA","R1"
50,4,97.4263361139762,50,1,1.50086882845116,"FISHED",0.28343889429234,0.25,1,"MED LOW NA","R1"
50,5,146.115652992746,52,3,3.4987627423523,"FISHED",0.236415031738579,0.25,1,"MED LOW NA","R1"
50,11,93.7520057411144,50,1,1.50093119529425,"FISHED",0.28343889429234,0.25,1,"MED LOW NA","R1"
51,2,94.0656317747591,51,1,1.49933171797359,"FISHED",0.226637316844426,0.25,1,"MED LOW NA","R1"
51,6,94.522579034361,51,1,1.49965761636827,"FISHED",0.226637316844426,0.25,1,"MED LOW NA","R1"
51,7,159.23488657275,54,4,4.49909565602777,"FISHED",0.203571396740153,0.25,1,"MED LOW NA","R1"
51,11,59.7685637168421,50,0,0.499503153816627,"FISHED",0.28343889429234,0.25,1,"MED LOW NA","R1"
51,13,62.4068154929991,50,0,0.500450052194165,"FISHED",0.28343889429234,0.25,1,"MED LOW NA","R1"
52,1,104.441108168474,52,1,1.49829315156654,"FISHED",0.236415031738579,0.25,1,"MED LOW NA","R1"
52,5,59.8447203552991,51,0,0.500447636640653,"FISHED",0.226637316844426,0.25,1,"MED LOW NA","R1"
52,9,94.8264922253124,52,1,1.49885283519755,"FISHED",0.236415031738579,0.25,1,"MED LOW NA","R1"
53,1,122.971331273334,54,2,2.49987682790998,"FISHED",0.203571396740153,0.25,1,"MED LOW NA","R1"
53,3,61.4635470497155,52,0,0.499746006585574,"FISHED",0.236415031738579,0.25,1,"MED LOW NA","R1"
53,4,61.7725646059259,52,0,0.500915999296562,"FISHED",0.236415031738579,0.25,1,"MED LOW NA","R1"
53,5,195.434124767346,63,11,11.5000803863581,"FISHED",0.263078298093751,0.25,1,"MED LOW NA","R1"
53,7,98.2171551380873,53,1,1.49778222354894,"FISHED",0.280534034315497,0.25,1,"MED LOW NA","R1"
53,8,159.132747046086,55,3,3.49907606843559,"FISHED",0.248323378828354,0.25,1,"MED LOW NA","R1"
53,9,64.7079071860239,52,0,0.499909820474248,"FISHED",0.236415031738579,0.25,1,"MED LOW NA","R1"
53,10,97.1010612876547,53,1,1.50012319911612,"FISHED",0.280534034315497,0.25,1,"MED LOW NA","R1"
54,1,108.179887435633,54,1,1.50186268579356,"FISHED",0.203571396740153,0.25,1,"MED LOW NA","R1"
54,4,61.6626975157222,53,0,0.498783867716269,"FISHED",0.280534034315497,0.25,1,"MED LOW NA","R1"
54,5,202.268875336461,60,7,7.50096070270939,"FISHED",0.203697245684452,0.25,1,"MED LOW NA","R1"
54,6,124.257089411446,55,2,2.5014648009883,"FISHED",0.248323378828354,0.25,1,"MED LOW NA","R1"
54,7,62.8126487824579,53,0,0.501490495200117,"FISHED",0.280534034315497,0.25,1,"MED LOW NA","R1"
54,9,63.1709195014621,53,0,0.501430352476835,"FISHED",0.280534034315497,0.25,1,"MED LOW NA","R1"
55,1,162.547717248516,58,4,4.5012181491275,"FISHED",0.267125504766591,0.25,1,"MED LOW NA","R1"
55,9,94.9892008917979,55,1,1.50006974729526,"FISHED",0.248323378828354,0.25,1,"MED LOW NA","R1"
55,10,127.212705380815,56,2,2.50011098108219,"FISHED",0.271035990025848,0.25,1,"MED LOW NA","R1"
56,1,93.0077076632338,56,1,1.50108737166428,"FISHED",0.271035990025848,0.25,1,"MED LOW NA","R1"
56,2,158.360773375307,59,4,4.50133807759251,"FISHED",0.247665498265997,0.25,1,"MED LOW NA","R1"
56,7,98.6229650490777,56,1,1.49998405182576,"FISHED",0.271035990025848,0.25,1,"MED LOW NA","R1"
56,11,100.194308654143,56,1,1.49827916085739,"FISHED",0.271035990025848,0.25,1,"MED LOW NA","R1"
57,1,64.1837239821543,56,0,0.50069296734185,"FISHED",0.271035990025848,0.25,1,"MED LOW NA","R1"
57,3,174.717596846662,61,5,5.50094840173122,"FISHED",0.298451120802201,0.25,1,"MED LOW NA","R1"
57,6,144.403598729228,58,2,2.49888225422746,"FISHED",0.267125504766591,0.25,1,"MED LOW NA","R1"
57,7,97.8257267695299,57,1,1.50090239667088,"FISHED",0.208197183767334,0.25,1,"MED LOW NA","R1"
57,10,98.134749121687,57,1,1.49950396791634,"FISHED",0.208197183767334,0.25,1,"MED LOW NA","R1"
58,1,59.4726828192025,57,0,0.500196641769062,"FISHED",0.208197183767334,0.25,1,"MED LOW NA","R1"
58,3,102.391446757199,58,1,1.50009851443475,"FISHED",0.267125504766591,0.25,1,"MED LOW NA","R1"
58,4,65.7898163292005,57,0,0.502025973529147,"FISHED",0.208197183767334,0.25,1,"MED LOW NA","R1"
58,7,61.4777253269307,57,0,0.500458717382171,"FISHED",0.208197183767334,0.25,1,"MED LOW NA","R1"
58,8,126.821225735668,59,2,2.49975238701987,"FISHED",0.247665498265997,0.25,1,"MED LOW NA","R1"
58,9,99.044782848911,58,1,1.50062986421613,"FISHED",0.267125504766591,0.25,1,"MED LOW NA","R1"
58,10,143.50961718864,60,3,3.49888456209324,"FISHED",0.203697245684452,0.25,1,"MED LOW NA","R1"
59,1,120.947978766655,60,2,2.49893454585841,"FISHED",0.203697245684452,0.25,1,"MED LOW NA","R1"
59,3,98.8534394985138,59,1,1.50017472942826,"FISHED",0.247665498265997,0.25,1,"MED LOW NA","R1"
59,4,183.062195265827,65,7,7.50046594317842,"FISHED",0.26231212769635,0.25,1,"MED LOW NA","R1"
59,5,62.6024106273185,58,0,0.500322391343272,"FISHED",0.267125504766591,0.25,1,"MED LOW NA","R1"
59,6,61.4975130740347,58,0,0.500739533014403,"FISHED",0.267125504766591,0.25,1,"MED LOW NA","R1"
59,8,63.4019390642058,58,0,0.501620577749886,"FISHED",0.267125504766591,0.25,1,"MED LOW NA","R1"
59,9,151.063676623777,61,3,3.49896117690692,"FISHED",0.298451120802201,0.25,1,"MED LOW NA","R1"
59,10,61.1394784753565,58,0,0.49984255485003,"FISHED",0.267125504766591,0.25,1,"MED LOW NA","R1"
59,13,63.7411622860432,58,0,0.499377213221054,"FISHED",0.267125504766591,0.25,1,"MED LOW NA","R1"
60,1,66.5122980738486,59,0,0.500191137988881,"FISHED",0.247665498265997,0.25,1,"MED LOW NA","R1"
60,2,102.98552121218,60,1,1.50098141887818,"FISHED",0.203697245684452,0.25,1,"MED LOW NA","R1"
60,3,97.7128418603975,60,1,1.49889060167095,"FISHED",0.203697245684452,0.25,1,"MED LOW NA","R1"
