"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
1,1,62.1430624742502,0,0,0.500013289444469,"M",0,0.25,1,"MED LOW NA","R1"
1,2,132.084566672447,2,2,2.49935136272628,"M",0,0.25,1,"MED LOW NA","R1"
1,3,60.754272533929,0,0,0.498727072371834,"M",0,0.25,1,"MED LOW NA","R1"
1,4,122.650822892302,2,2,2.49946190363812,"M",0,0.25,1,"MED LOW NA","R1"
1,5,198.185572909512,11,11,11.4994731473695,"M",0,0.25,1,"MED LOW NA","R1"
1,6,64.4838839743795,0,0,0.499344518164592,"M",0,0.25,1,"MED LOW NA","R1"
1,7,193.411310270857,9,9,9.50019412183298,"M",0,0.25,1,"MED LOW NA","R1"
1,8,58.6864595590393,0,0,0.501398665459633,"M",0,0.25,1,"MED LOW NA","R1"
1,9,155.429302663721,5,5,5.49997799770121,"M",0,0.25,1,"MED LOW NA","R1"
1,10,185.983938865164,5,5,5.50047929560265,"M",0,0.25,1,"MED LOW NA","R1"
1,11,160.492183537975,4,4,4.5008854259366,"M",0,0.25,1,"MED LOW NA","R1"
1,12,123.038024276388,2,2,2.4993076218531,"M",0,0.25,1,"MED LOW NA","R1"
2,1,215.630122244081,11,10,10.4990188070731,"M",0,0.25,1,"MED LOW NA","R1"
2,2,157.229307097281,5,4,4.50040182211109,"M",0,0.25,1,"MED LOW NA","R1"
2,3,187.261894402702,9,8,8.50170996860505,"M",0,0.25,1,"MED LOW NA","R1"
2,4,63.7220983516047,1,0,0.5009743540602,"M",0,0.25,1,"MED LOW NA","R1"
2,5,164.17531053535,5,4,4.50021637412642,"M",0,0.25,1,"MED LOW NA","R1"
2,6,121.142979203808,3,2,2.49991699413511,"M",0,0.25,1,"MED LOW NA","R1"
2,7,193.789587312414,6,5,5.50021080938925,"M",0,0.25,1,"MED LOW NA","R1"
2,8,128.271206648607,3,2,2.49978902257106,"M",0,0.25,1,"MED LOW NA","R1"
2,9,65.0879749319463,1,0,0.499755094606729,"M",0,0.25,1,"MED LOW NA","R1"
2,10,64.0114641746251,1,0,0.496278859766696,"M",0,0.25,1,"MED LOW NA","R1"
2,11,191.335180730804,9,8,8.49984730623648,"M",0,0.25,1,"MED LOW NA","R1"
2,12,61.8160410348776,1,0,0.500234721734203,"M",0,0.25,1,"MED LOW NA","R1"
3,1,58.2375779643266,2,0,0.498473935177808,"M",0,0.25,1,"MED LOW NA","R1"
3,2,189.547492593596,7,5,5.49882254557751,"M",0,0.25,1,"MED LOW NA","R1"
3,3,122.035587273605,4,2,2.50093874663001,"M",0,0.25,1,"MED LOW NA","R1"
3,4,62.4610915194178,2,0,0.499339273621961,"M",0,0.25,1,"MED LOW NA","R1"
3,5,144.053010446597,5,3,3.49962457069677,"M",0,0.25,1,"MED LOW NA","R1"
3,6,61.930322823589,2,0,0.500136056647173,"M",0,0.25,1,"MED LOW NA","R1"
3,7,63.9529367527654,2,0,0.500275135437831,"M",0,0.25,1,"MED LOW NA","R1"
3,8,98.9720034075286,3,1,1.50041777926195,"M",0,0.25,1,"MED LOW NA","R1"
3,9,132.129684426448,5,3,3.50068923282261,"M",0,0.25,1,"MED LOW NA","R1"
3,10,96.9611939758231,3,1,1.49881749129876,"M",0,0.25,1,"MED LOW NA","R1"
3,11,62.8487473531857,2,0,0.500776900444689,"M",0,0.25,1,"MED LOW NA","R1"
4,1,141.731489524436,7,4,4.49909533443799,"M",0,0.25,1,"MED LOW NA","R1"
4,2,59.7237428506682,3,0,0.499871775414321,"M",0,0.25,1,"MED LOW NA","R1"
4,3,94.439093776999,4,1,1.49941802449701,"M",0,0.25,1,"MED LOW NA","R1"
4,4,62.508101981137,3,0,0.50080860491479,"M",0,0.25,1,"MED LOW NA","R1"
4,5,201.432138884768,9,6,6.49908167978351,"M",0,0.25,1,"MED LOW NA","R1"
4,6,60.214111539923,3,0,0.497171332800922,"M",0,0.25,1,"MED LOW NA","R1"
4,7,213.744237435459,8,5,5.49859212150678,"M",0,0.25,1,"MED LOW NA","R1"
4,8,64.8033469537755,3,0,0.501317916075862,"M",0,0.25,1,"MED LOW NA","R1"
4,9,150.946294546286,6,3,3.49997587639348,"M",0,0.25,1,"MED LOW NA","R1"
4,10,147.318144713492,6,3,3.49806449416044,"M",0,0.25,1,"MED LOW NA","R1"
4,11,99.5467911111793,4,1,1.4996412482467,"M",0,0.25,1,"MED LOW NA","R1"
4,12,62.3862516784216,3,0,0.500080990334498,"M",0,0.25,1,"MED LOW NA","R1"
5,1,62.6313077421049,4,0,0.498839198148533,"M",0,0.25,1,"MED LOW NA","R1"
5,2,155.518456761266,8,4,4.49959040986565,"M",0,0.25,1,"MED LOW NA","R1"
5,3,62.5526544068978,4,0,0.500609876161802,"M",0,0.25,1,"MED LOW NA","R1"
5,4,186.867013194059,15,11,11.5003360678501,"M",0,0.25,1,"MED LOW NA","R1"
5,5,62.6011081990091,4,0,0.500082089757683,"M",0,0.25,1,"MED LOW NA","R1"
5,6,160.886074144667,8,4,4.49901349531223,"M",0,0.25,1,"MED LOW NA","R1"
5,7,101.230907163716,5,1,1.49919039467875,"M",0,0.25,1,"MED LOW NA","R1"
5,8,231.271953888758,13,9,9.50038400019036,"M",0,0.25,1,"MED LOW NA","R1"
5,9,63.4609213293724,4,0,0.501195511858281,"M",0,0.25,1,"MED LOW NA","R1"
5,10,59.5691715829625,4,0,0.500569827693741,"M",0,0.25,1,"MED LOW NA","R1"
5,11,121.439797955328,6,2,2.50098762929222,"M",0,0.25,1,"MED LOW NA","R1"
5,12,97.1284369238497,5,1,1.50004675224294,"M",0,0.25,1,"MED LOW NA","R1"
6,1,219.045807690287,15,10,10.4992615605437,"M",0,0.25,1,"MED LOW NA","R1"
6,2,227.679494258521,15,10,10.501313037252,"M",0,0.25,1,"MED LOW NA","R1"
6,3,177.580279999439,9,4,4.50004899586214,"M",0,0.25,1,"MED LOW NA","R1"
6,4,60.6769702659983,5,0,0.50135345624382,"M",0,0.25,1,"MED LOW NA","R1"
6,5,128.082832206901,7,2,2.50221513687667,"M",0,0.25,1,"MED LOW NA","R1"
6,6,61.7978160831375,5,0,0.498793045898947,"M",0,0.25,1,"MED LOW NA","R1"
6,7,185.773910573941,11,6,6.49993340345846,"M",0,0.25,1,"MED LOW NA","R1"
6,8,96.6365504934074,6,1,1.49967971447863,"M",0,0.25,1,"MED LOW NA","R1"
6,9,222.221663419448,16,11,11.5025374494436,"M",0,0.25,1,"MED LOW NA","R1"
6,10,64.6008294473106,5,0,0.498381908240897,"M",0,0.25,1,"MED LOW NA","R1"
6,11,138.463130200636,8,3,3.49883495847602,"M",0,0.25,1,"MED LOW NA","R1"
6,12,101.583322943906,6,1,1.50107525015849,"M",0,0.25,1,"MED LOW NA","R1"
6,13,98.6505101357142,6,1,1.4985580594563,"M",0,0.25,1,"MED LOW NA","R1"
6,14,64.6844242851317,5,0,0.498955773111278,"M",0,0.25,1,"MED LOW NA","R1"
7,1,138.909912079485,9,3,3.49996183565592,"M",0,0.25,1,"MED LOW NA","R1"
7,2,175.40574030994,13,7,7.49986195920472,"M",0,0.25,1,"MED LOW NA","R1"
7,3,94.7632849607619,7,1,1.4996886367424,"M",0,0.25,1,"MED LOW NA","R1"
7,4,91.4651875097814,7,1,1.50080916198274,"M",0,0.25,1,"MED LOW NA","R1"
7,5,63.9374310884393,6,0,0.499558158829241,"M",0,0.25,1,"MED LOW NA","R1"
7,6,191.632944180386,14,8,8.49991052392013,"M",0,0.25,1,"MED LOW NA","R1"
7,7,129.546544611718,8,2,2.50036351110376,"M",0,0.25,1,"MED LOW NA","R1"
7,8,132.435809439825,8,2,2.49896669556484,"M",0,0.25,1,"MED LOW NA","R1"
7,9,62.0081088275241,6,0,0.500473016164791,"M",0,0.25,1,"MED LOW NA","R1"
7,10,131.146366388133,8,2,2.49951876811176,"M",0,0.25,1,"MED LOW NA","R1"
7,11,184.759478629268,11,5,5.5002746196767,"M",0,0.25,1,"MED LOW NA","R1"
7,12,160.581188257672,11,5,5.50092566425755,"M",0,0.25,1,"MED LOW NA","R1"
7,13,94.2366383916582,7,1,1.50071010451803,"M",0,0.25,1,"MED LOW NA","R1"
8,1,153.480225397602,11,4,4.50011235503809,"M",0,0.25,1,"MED LOW NA","R1"
8,2,146.949011204144,10,3,3.50086968200741,"M",0,0.25,1,"MED LOW NA","R1"
8,3,131.225691775083,9,2,2.499739210145,"M",0,0.25,1,"MED LOW NA","R1"
8,4,139.115608140697,10,3,3.49813723170987,"M",0,0.25,1,"MED LOW NA","R1"
8,5,61.5628981748211,7,0,0.500297951798502,"M",0,0.25,1,"MED LOW NA","R1"
8,6,103.029005412062,8,1,1.50096276687031,"M",0,0.25,1,"MED LOW NA","R1"
8,7,64.2888169900589,7,0,0.501234378826389,"M",0,0.25,1,"MED LOW NA","R1"
8,8,65.7744511728504,7,0,0.499246966553466,"M",0,0.25,1,"MED LOW NA","R1"
8,9,177.157048509872,12,5,5.50067795985104,"M",0,0.25,1,"MED LOW NA","R1"
8,10,115.405367923985,9,2,2.5011491385722,"M",0,0.25,1,"MED LOW NA","R1"
8,11,218.496008688313,15,8,8.49990008405638,"M",0,0.25,1,"MED LOW NA","R1"
8,12,177.828582426508,12,5,5.5003002700914,"M",0,0.25,1,"MED LOW NA","R1"
9,1,100.331491760728,9,1,1.50015020918142,"M",0,0.25,1,"MED LOW NA","R1"
9,2,60.7461461662724,8,0,0.498725313097096,"M",0,0.25,1,"MED LOW NA","R1"
9,3,61.2013789535595,8,0,0.49956454568663,"M",0,0.25,1,"MED LOW NA","R1"
9,4,104.535979105032,9,1,1.49927435293073,"M",0,0.25,1,"MED LOW NA","R1"
9,5,146.194503464691,11,3,3.50130644841073,"M",0,0.25,1,"MED LOW NA","R1"
9,6,63.4752016772967,8,0,0.50097550944119,"M",0,0.25,1,"MED LOW NA","R1"
9,7,239.182139436641,18,10,10.4991445812149,"M",0,0.25,1,"MED LOW NA","R1"
9,8,63.2257713619263,8,0,0.50153663424354,"M",0,0.25,1,"MED LOW NA","R1"
9,9,129.439185758259,10,2,2.50000541317807,"M",0,0.25,1,"MED LOW NA","R1"
9,10,93.1786949918899,9,1,1.49953379665595,"M",0,0.25,1,"MED LOW NA","R1"
9,11,129.346863711328,10,2,2.49836312794303,"M",0,0.25,1,"MED LOW NA","R1"
10,1,186.463648262108,16,7,7.50126038306768,"M",0,0.25,1,"MED LOW NA","R1"
10,2,97.9689382981589,10,1,1.50143539253126,"M",0,0.25,1,"MED LOW NA","R1"
10,3,174.121912256041,14,5,5.49996521898909,"M",0,0.25,1,"MED LOW NA","R1"
10,4,150.284907075259,12,3,3.50087414092663,"M",0,0.25,1,"MED LOW NA","R1"
10,5,140.882900994497,12,3,3.49974652082985,"M",0,0.25,1,"MED LOW NA","R1"
10,6,87.7786186245769,10,1,1.50034068011704,"M",0,0.25,1,"MED LOW NA","R1"
10,7,167.192116780978,13,4,4.5006392005594,"M",0,0.25,1,"MED LOW NA","R1"
