"Year","season","fleet","CPUE","sd"
0,1,2,0.00011214924740757,0.1
1,1,2,0.00019005163277719,0.1
2,1,2,0.000271923184850248,0.1
3,1,2,0.000287969365616092,0.1
4,1,2,0.000319981377693918,0.1
5,1,2,0.000457408606991499,0.1
6,1,2,0.000368201308398975,0.1
7,1,2,0.000420475260322993,0.1
8,1,2,0.000494675493113235,0.1
9,1,2,0.000442359717082927,0.1
10,1,2,0.000479877174808798,0.1
11,1,2,0.000506552492895663,0.1
12,1,2,0.000437669882566088,0.1
13,1,2,0.000405147901800532,0.1
14,1,2,0.000472691401256011,0.1
15,1,2,0.000483330784193847,0.1
16,1,2,0.000544368921724335,0.1
17,1,2,0.00050410512591588,0.1
18,1,2,0.000437733823747125,0.1
19,1,2,0.000576830351940167,0.1
20,1,2,0.00048113717024658,0.1
21,1,2,0.000621241199101861,0.1
22,1,2,0.000527360740063495,0.1
23,1,2,0.000370955433156427,0.1
24,1,2,0.000467540991835967,0.1
25,1,2,0.000533716113954857,0.1
26,1,2,0.000593176490252198,0.1
27,1,2,0.000424585434961647,0.1
28,1,2,0.000503159465326239,0.1
29,1,2,0.000489945819112272,0.1
30,1,2,0.000477737985435369,0.1
31,1,2,0.000489849712929455,0.1
32,1,2,0.000494927216196329,0.1
33,1,2,0.000558882414883475,0.1
34,1,2,0.000463876002981278,0.1
35,1,2,0.000492772521394766,0.1
36,1,2,0.000409085880568174,0.1
37,1,2,0.000354452337668222,0.1
38,1,2,0.000376117403992187,0.1
39,1,2,0.000502144748257251,0.1
40,1,2,0.000350663884750434,0.1
41,1,2,0.000462837878784928,0.1
42,1,2,0.000562588118321795,0.1
43,1,2,0.000446186773177794,0.1
44,1,2,0.00053996958172892,0.1
45,1,2,0.000630790649309091,0.1
46,1,2,0.000625728289702981,0.1
47,1,2,0.0006728241326236,0.1
48,1,2,0.000538890816325674,0.1
49,1,2,0.000671277056412869,0.1
50,1,2,0.000605095608080017,0.1
51,1,2,0.000517011731241654,0.1
52,1,2,0.000382558790094188,0.1
53,1,2,0.000387289505564966,0.1
54,1,2,0.000348561101783417,0.1
55,1,2,0.000419782139753826,0.1
56,1,2,0.000351926755337412,0.1
57,1,2,0.000293996316879794,0.1
58,1,2,0.000316778075323613,0.1
59,1,2,0.000340851031717148,0.1
60,1,2,0.00030224943735443,0.1
61,1,2,0.00034157246563097,0.1
62,1,2,0.000267960712967708,0.1
63,1,2,0.000251710249947342,0.1
64,1,2,0.000300107664260096,0.1
65,1,2,0.000248905481039117,0.1
66,1,2,0.000236286916745827,0.1
67,1,2,0.000236728194354583,0.1
68,1,2,0.000228041887281624,0.1
69,1,2,0.000182296016064754,0.1
70,1,2,0.000193189894500214,0.1
71,1,2,0.000207887056660852,0.1
72,1,2,0.000193636256789684,0.1
73,1,2,0.000173979115190703,0.1
74,1,2,0.000228453753829835,0.1
75,1,2,0.000248635084681615,0.1
76,1,2,0.000200830241894089,0.1
77,1,2,0.000200059690859264,0.1
78,1,2,0.000205553276884062,0.1
79,1,2,0.000191883654093833,0.1
80,1,2,0.000195372392146914,0.1
81,1,2,0.000282496632731238,0.1
82,1,2,0.000238660235153041,0.1
83,1,2,0.000333847144391566,0.1
84,1,2,0.000207134576010902,0.1
85,1,2,0.000271251899604878,0.1
86,1,2,0.000248896322041127,0.1
87,1,2,0.000278368283734749,0.1
88,1,2,0.000326468897478953,0.1
89,1,2,0.00029218736431876,0.1
90,1,2,0.00028402327234134,0.1
91,1,2,0.000238065689043653,0.1
92,1,2,0.000300409910039546,0.1
93,1,2,0.000237018623903066,0.1
94,1,2,0.000285135533610614,0.1
95,1,2,0.000292978040723589,0.1
96,1,2,0.000283069405738952,0.1
97,1,2,0.000346873364903258,0.1
98,1,2,0.000334693380623035,0.1
99,1,2,0.00022178023739596,0.1
