"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
38,10,345.375139700659,50,13,13.5001329905378,"FISHED",0.169086330709979,0.25,1,"LOW MED NA","R2"
46,4,328.062803262484,50,5,5.49984444466006,"FISHED",0.169086330709979,0.25,1,"LOW MED NA","R2"
47,2,316.237046594424,51,5,5.49991828699717,"FISHED",0.16834995278623,0.25,1,"LOW MED NA","R2"
48,11,284.673034746423,50,3,3.5008887363913,"FISHED",0.169086330709979,0.25,1,"LOW MED NA","R2"
49,4,265.071045418683,51,3,3.50010760200295,"FISHED",0.16834995278623,0.25,1,"LOW MED NA","R2"
49,6,256.229893684715,51,3,3.5009243998125,"FISHED",0.16834995278623,0.25,1,"LOW MED NA","R2"
50,2,309.398204484084,54,5,5.50137192542384,"FISHED",0.104535846342333,0.25,1,"LOW MED NA","R2"
50,3,222.61974095378,51,2,2.49883308681018,"FISHED",0.16834995278623,0.25,1,"LOW MED NA","R2"
50,11,158.933081853441,50,1,1.49979889762227,"FISHED",0.169086330709979,0.25,1,"LOW MED NA","R2"
51,2,50.0413546791217,50,0,0.498890684835611,"FISHED",0.169086330709979,0.25,1,"LOW MED NA","R2"
51,7,51.2971022751276,50,0,0.501004606241793,"FISHED",0.169086330709979,0.25,1,"LOW MED NA","R2"
51,10,47.8667396104316,50,0,0.500435671864665,"FISHED",0.169086330709979,0.25,1,"LOW MED NA","R2"
51,12,154.603966537936,51,1,1.49994564506172,"FISHED",0.16834995278623,0.25,1,"LOW MED NA","R2"
51,13,157.552137904296,51,1,1.49978803971592,"FISHED",0.16834995278623,0.25,1,"LOW MED NA","R2"
52,1,298.905120583472,58,7,7.49978960616491,"FISHED",0.18895711582154,0.25,1,"LOW MED NA","R2"
52,5,228.233692962982,53,2,2.50084331459197,"FISHED",0.158144027856179,0.25,1,"LOW MED NA","R2"
52,13,273.439396661193,54,3,3.49981578601981,"FISHED",0.104535846342333,0.25,1,"LOW MED NA","R2"
53,1,226.062617635454,54,2,2.49870966468077,"FISHED",0.104535846342333,0.25,1,"LOW MED NA","R2"
53,10,47.9666248774842,52,0,0.500171759160445,"FISHED",0.19680173273664,0.25,1,"LOW MED NA","R2"
54,3,322.136551544701,58,5,5.49994414225555,"FISHED",0.18895711582154,0.25,1,"LOW MED NA","R2"
54,6,49.7876640143661,53,0,0.499654110991498,"FISHED",0.158144027856179,0.25,1,"LOW MED NA","R2"
54,7,161.554311768582,54,1,1.50079078729972,"FISHED",0.104535846342333,0.25,1,"LOW MED NA","R2"
55,5,50.7711924273993,54,0,0.500131765586798,"FISHED",0.104535846342333,0.25,1,"LOW MED NA","R2"
55,8,223.090481363247,56,2,2.49858875814945,"FISHED",0.172203832748346,0.25,1,"LOW MED NA","R2"
55,10,274.382142034403,57,3,3.50246805363523,"FISHED",0.117576847295277,0.25,1,"LOW MED NA","R2"
56,1,338.102143571833,62,7,7.50059446002664,"FISHED",0.103398273396306,0.25,1,"LOW MED NA","R2"
56,7,339.826753967949,64,9,9.49978177535218,"FISHED",0.104192738886923,0.25,1,"LOW MED NA","R2"
56,8,165.184168364219,56,1,1.49802244997028,"FISHED",0.172203832748346,0.25,1,"LOW MED NA","R2"
56,10,51.6268917628725,55,0,0.502107642436367,"FISHED",0.126919717574492,0.25,1,"LOW MED NA","R2"
56,11,279.296307089203,58,3,3.49945674928824,"FISHED",0.18895711582154,0.25,1,"LOW MED NA","R2"
57,10,353.972307501001,61,5,5.50142559059778,"FISHED",0.137869760161266,0.25,1,"LOW MED NA","R2"
58,4,153.662199634554,58,1,1.49947807891948,"FISHED",0.18895711582154,0.25,1,"LOW MED NA","R2"
58,6,164.207657190734,58,1,1.5009457454217,"FISHED",0.18895711582154,0.25,1,"LOW MED NA","R2"
58,8,319.340114206283,61,4,4.49855634475494,"FISHED",0.137869760161266,0.25,1,"LOW MED NA","R2"
58,10,153.227181165499,58,1,1.50091761768374,"FISHED",0.18895711582154,0.25,1,"LOW MED NA","R2"
59,1,325.237912540886,67,9,9.50098287190004,"FISHED",0.140447263070382,0.25,1,"LOW MED NA","R2"
59,2,51.1812987895442,58,0,0.501290998542856,"FISHED",0.18895711582154,0.25,1,"LOW MED NA","R2"
59,3,299.690887991081,62,4,4.50063286013229,"FISHED",0.103398273396306,0.25,1,"LOW MED NA","R2"
59,8,249.281448839024,60,2,2.5014626950584,"FISHED",0.124899110849947,0.25,1,"LOW MED NA","R2"
59,9,276.998844307081,61,3,3.50067931919471,"FISHED",0.137869760161266,0.25,1,"LOW MED NA","R2"
60,4,271.62775597059,62,3,3.50133158129366,"FISHED",0.103398273396306,0.25,1,"LOW MED NA","R2"
60,6,231.945556167331,61,2,2.49790797723881,"FISHED",0.137869760161266,0.25,1,"LOW MED NA","R2"
60,10,49.4295483943808,59,0,0.50022639107364,"FISHED",0.130212663207203,0.25,1,"LOW MED NA","R2"
61,4,49.8005591941381,60,0,0.499166045053693,"FISHED",0.124899110849947,0.25,1,"LOW MED NA","R2"
61,7,262.237874259322,63,3,3.50194112949574,"FISHED",0.182681141817011,0.25,1,"LOW MED NA","R2"
61,9,51.4220991093368,60,0,0.500407399916371,"FISHED",0.124899110849947,0.25,1,"LOW MED NA","R2"
62,7,49.4839046762027,61,0,0.501107003601725,"FISHED",0.137869760161266,0.25,1,"LOW MED NA","R2"
62,8,210.01626572558,63,2,2.49948713483437,"FISHED",0.182681141817011,0.25,1,"LOW MED NA","R2"
62,10,230.299856370628,63,2,2.49911336785414,"FISHED",0.182681141817011,0.25,1,"LOW MED NA","R2"
63,1,156.688959147179,63,1,1.50019874812196,"FISHED",0.182681141817011,0.25,1,"LOW MED NA","R2"
63,2,49.9815562871239,62,0,0.500288007100041,"FISHED",0.103398273396306,0.25,1,"LOW MED NA","R2"
63,3,159.154076489493,63,1,1.50043356082697,"FISHED",0.182681141817011,0.25,1,"LOW MED NA","R2"
64,2,165.543525338507,64,1,1.50045431444765,"FISHED",0.104192738886923,0.25,1,"LOW MED NA","R2"
64,4,49.2077744167924,63,0,0.500754216654511,"FISHED",0.182681141817011,0.25,1,"LOW MED NA","R2"
64,7,149.195271364144,64,1,1.50008248129514,"FISHED",0.104192738886923,0.25,1,"LOW MED NA","R2"
64,8,323.478888770388,67,4,4.50058205790668,"FISHED",0.140447263070382,0.25,1,"LOW MED NA","R2"
64,10,48.9459291511309,63,0,0.498768122666517,"FISHED",0.182681141817011,0.25,1,"LOW MED NA","R2"
64,11,47.8834735541246,63,0,0.500521662719036,"FISHED",0.182681141817011,0.25,1,"LOW MED NA","R2"
65,1,311.408315936456,68,4,4.50095821153241,"FISHED",0.175433107675053,0.25,1,"LOW MED NA","R2"
65,4,50.5065671155793,64,0,0.500440491378748,"FISHED",0.104192738886923,0.25,1,"LOW MED NA","R2"
65,5,368.171502715709,76,12,12.4989916896391,"FISHED",0.263520869123749,0.25,1,"LOW MED NA","R2"
65,11,299.233051576205,68,4,4.50065401466124,"FISHED",0.175433107675053,0.25,1,"LOW MED NA","R2"
66,1,47.8702602205288,65,0,0.499950577262894,"FISHED",0.158711642213166,0.25,1,"LOW MED NA","R2"
66,2,149.536603119108,66,1,1.50132114779961,"FISHED",0.181498002470471,0.25,1,"LOW MED NA","R2"
66,3,161.964254251203,66,1,1.50004676594012,"FISHED",0.181498002470471,0.25,1,"LOW MED NA","R2"
66,4,164.82578183565,66,1,1.49959264452026,"FISHED",0.181498002470471,0.25,1,"LOW MED NA","R2"
66,7,226.438357099523,67,2,2.50075719815292,"FISHED",0.140447263070382,0.25,1,"LOW MED NA","R2"
66,9,153.545015342205,66,1,1.50004730206192,"FISHED",0.181498002470471,0.25,1,"LOW MED NA","R2"
67,1,350.661890851379,76,10,10.5013972985956,"FISHED",0.263520869123749,0.25,1,"LOW MED NA","R2"
67,5,286.307043207139,69,3,3.49917636558039,"FISHED",0.107502883626148,0.25,1,"LOW MED NA","R2"
67,10,297.572064824088,70,4,4.49903569000895,"FISHED",0.148397425259464,0.25,1,"LOW MED NA","R2"
68,1,300.645880458837,71,4,4.5015882235623,"FISHED",0.195735219237395,0.25,1,"LOW MED NA","R2"
68,2,161.133671270607,68,1,1.49974282118508,"FISHED",0.175433107675053,0.25,1,"LOW MED NA","R2"
68,6,158.057296779909,68,1,1.49961328812133,"FISHED",0.175433107675053,0.25,1,"LOW MED NA","R2"
68,7,165.855660187529,68,1,1.50008166540954,"FISHED",0.175433107675053,0.25,1,"LOW MED NA","R2"
68,9,50.8440425633279,67,0,0.498841014576712,"FISHED",0.140447263070382,0.25,1,"LOW MED NA","R2"
69,1,222.504013519993,70,2,2.5007914020857,"FISHED",0.148397425259464,0.25,1,"LOW MED NA","R2"
70,3,222.862401085977,71,2,2.50110289927424,"FISHED",0.195735219237395,0.25,1,"LOW MED NA","R2"
70,8,222.661977833109,71,2,2.50011340318938,"FISHED",0.195735219237395,0.25,1,"LOW MED NA","R2"
70,10,159.370262415671,70,1,1.50064921236502,"FISHED",0.148397425259464,0.25,1,"LOW MED NA","R2"
70,11,229.248324129121,71,2,2.50007351784014,"FISHED",0.195735219237395,0.25,1,"LOW MED NA","R2"
