"Year","Age","AgeE","Length_cm","FSIM","FMORT","REG"
29,1,1.50002246004588,15.7246216378266,"MED HIGH NA",0,"R2"
79,0,0.499856773387042,4.84477419740934,"MED HIGH NA",0.35233371029608,"R2"
25,2,2.50011856878169,22.5450860707072,"MED HIGH NA",0,"R2"
4,3,3.4989368159581,27.8503045187288,"MED HIGH NA",0,"R2"
64,0,0.499908565425954,4.74684992406254,"MED HIGH NA",0.214730484527536,"R2"
35,5,5.50001361818955,31.3709498354503,"MED HIGH NA",0,"R2"
21,8,8.49802565953683,32.9524571243423,"MED HIGH NA",0,"R2"
21,4,4.50137691528682,30.3707378564737,"MED HIGH NA",0,"R2"
32,1,1.50055171726298,16.3827993532904,"MED HIGH NA",0,"R2"
2,0,0.499725580370982,4.9004888216337,"MED HIGH NA",0,"R2"
10,0,0.500175457750126,5.18379288603588,"MED HIGH NA",0,"R2"
26,0,0.500803227207401,4.67588855656105,"MED HIGH NA",0,"R2"
26,1,1.49999139395835,15.956023547881,"MED HIGH NA",0,"R2"
38,4,4.50010607114802,30.8529297936246,"MED HIGH NA",0,"R2"
10,4,4.49982231159555,28.7329136801869,"MED HIGH NA",0,"R2"
26,9,9.50004974549118,35.6562937165149,"MED HIGH NA",0,"R2"
23,5,5.50006649175944,32.9621022646285,"MED HIGH NA",0,"R2"
28,5,5.49953702142063,31.0620880618459,"MED HIGH NA",0,"R2"
54,0,0.500175959662724,5.03684397278486,"MED HIGH NA",0.297982748690993,"R2"
7,0,0.499036157330204,5.15776084335968,"MED HIGH NA",0,"R2"
43,5,5.50031411025846,31.6070285701731,"MED HIGH NA",0,"R2"
20,4,4.50192611194963,29.8821861157086,"MED HIGH NA",0,"R2"
71,1,1.49904259737903,15.5657549790213,"MED HIGH NA",0.276323932339437,"R2"
5,1,1.50106372906761,16.2944783938478,"MED HIGH NA",0,"R2"
41,6,6.49868289485367,30.5207837455769,"MED HIGH NA",0,"R2"
38,0,0.500346704136552,5.20317252266344,"MED HIGH NA",0,"R2"
35,0,0.500101305702841,4.85046701836363,"MED HIGH NA",0,"R2"
24,5,5.50093964373107,34.1812802430846,"MED HIGH NA",0,"R2"
43,12,12.4987558628776,34.1348930613396,"MED HIGH NA",0,"R2"
32,1,1.49991651883675,15.9004719230941,"MED HIGH NA",0,"R2"
12,5,5.50170151076416,37.9829798467528,"MED HIGH NA",0,"R2"
69,1,1.49962769013717,16.9440195711811,"MED HIGH NA",0.201300401426852,"R2"
50,8,8.50182043830205,32.1303572527414,"MED HIGH NA",0.292020799871534,"R2"
27,1,1.50021184785512,16.796906803303,"MED HIGH NA",0,"R2"
83,5,5.5008100486284,30.8923830213858,"MED HIGH NA",0.354609557869844,"R2"
49,1,1.49898126234215,16.7067471494971,"MED HIGH NA",0,"R2"
89,0,0.499207760514241,5.04970218673605,"MED HIGH NA",0.348701232788153,"R2"
78,1,1.49875569114719,15.4229705723416,"MED HIGH NA",0.308163700904697,"R2"
25,7,7.50043757517424,30.9511145747213,"MED HIGH NA",0,"R2"
9,4,4.5003531713578,33.0557953981747,"MED HIGH NA",0,"R2"
24,1,1.49990206864198,16.2998256461719,"MED HIGH NA",0,"R2"
49,0,0.498871901620835,4.96396791768549,"MED HIGH NA",0,"R2"
3,3,3.50010163908771,26.0771613527598,"MED HIGH NA",0,"R2"
34,6,6.49968517561934,36.9491297316374,"MED HIGH NA",0,"R2"
8,1,1.50004218034045,15.2025469669597,"MED HIGH NA",0,"R2"
42,3,3.50124985584039,30.3365431195808,"MED HIGH NA",0,"R2"
49,8,8.50067467773933,34.9407092399304,"MED HIGH NA",0,"R2"
56,0,0.500471892808105,4.84755037896637,"MED HIGH NA",0.272158629214391,"R2"
90,6,6.49942400301657,36.5146971809561,"MED HIGH NA",0.370091828517616,"R2"
64,2,2.49942168881963,22.2762477964668,"MED HIGH NA",0.288267134572379,"R2"
32,4,4.50051714704709,27.97121394449,"MED HIGH NA",0,"R2"
14,3,3.49941858730125,27.9568207669315,"MED HIGH NA",0,"R2"
41,0,0.499544425274237,5.16728578127496,"MED HIGH NA",0,"R2"
15,3,3.49875462585345,24.1864621448374,"MED HIGH NA",0,"R2"
70,0,0.500637438673275,4.88961043842371,"MED HIGH NA",0.212287766998634,"R2"
19,1,1.49960180157433,16.3087384263026,"MED HIGH NA",0,"R2"
73,0,0.498884808874779,5.11724180040244,"MED HIGH NA",0.244632195495069,"R2"
91,1,1.50227869385413,15.4047111467915,"MED HIGH NA",0.312073785695247,"R2"
37,0,0.499658576355857,4.99033856376209,"MED HIGH NA",0,"R2"
85,0,0.500530403812941,4.87756921345107,"MED HIGH NA",0.372924905852415,"R2"
29,0,0.499308189149395,5.21755557694354,"MED HIGH NA",0,"R2"
34,3,3.50105618791616,26.8949765271189,"MED HIGH NA",0,"R2"
60,1,1.4993551058416,15.1245884410643,"MED HIGH NA",0.243034805357456,"R2"
72,2,2.4996423676426,23.0857517711242,"MED HIGH NA",0.270009888522327,"R2"
21,2,2.50053128240755,21.9999237193709,"MED HIGH NA",0,"R2"
