"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,49.303317204219,0,0,0.500669761292574,0,0.25,0.05,"MED HIGH NA","R2"
1,2,2,49.2679625088865,0,0,0.500374559351712,0,0.25,0.05,"MED HIGH NA","R2"
1,3,3,47.6109663276291,0,0,0.498440354608582,0,0.25,0.05,"MED HIGH NA","R2"
1,4,4,51.3587993891163,0,0,0.49863007795339,0,0.25,0.05,"MED HIGH NA","R2"
1,5,5,51.5834644164719,0,0,0.499350635194466,0,0.25,0.05,"MED HIGH NA","R2"
1,6,6,50.8506910022525,0,0,0.497910339296533,0,0.25,0.05,"MED HIGH NA","R2"
1,7,7,48.747557674827,0,0,0.50000980589141,0,0.25,0.05,"MED HIGH NA","R2"
1,8,8,50.2048114783639,0,0,0.499632873642746,0,0.25,0.05,"MED HIGH NA","R2"
1,9,9,49.9086922152067,0,0,0.499395209300355,0,0.25,0.05,"MED HIGH NA","R2"
1,10,10,50.1967202352782,0,0,0.49969751723499,0,0.25,0.05,"MED HIGH NA","R2"
1,11,11,49.1751367415646,0,0,0.501513463299735,0,0.25,0.05,"MED HIGH NA","R2"
1,1,1,156.187749121157,1,1,1.50009732747269,0,0.25,0.186605496863371,"MED HIGH NA","R2"
1,2,2,156.053536045918,1,1,1.49741267703501,0,0.25,0.186605496863371,"MED HIGH NA","R2"
1,3,3,149.799027767546,1,1,1.50003222933457,0,0.25,0.186605496863371,"MED HIGH NA","R2"
1,6,6,162.09310313956,1,1,1.49807245613955,0,0.25,0.186605496863371,"MED HIGH NA","R2"
1,7,7,154.081669680614,1,1,1.50031693803068,0,0.25,0.186605496863371,"MED HIGH NA","R2"
1,8,8,159.620761351536,1,1,1.49981944860095,0,0.25,0.186605496863371,"MED HIGH NA","R2"
1,9,9,158.490813046761,1,1,1.49852660980092,0,0.25,0.186605496863371,"MED HIGH NA","R2"
1,10,10,159.589856617585,1,1,1.50005425272245,0,0.25,0.186605496863371,"MED HIGH NA","R2"
1,11,11,155.701303704328,1,1,1.50081547453153,0,0.25,0.186605496863371,"MED HIGH NA","R2"
2,12,1,48.8414186480991,1,0,0.499839244920525,0,0.25,0.05,"MED HIGH NA","R2"
2,13,2,49.8823205146469,1,0,0.500896754675663,0,0.25,0.05,"MED HIGH NA","R2"
2,14,3,47.7172197560178,1,0,0.500859292761258,0,0.25,0.05,"MED HIGH NA","R2"
