"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,49.4751362862905,0,0,0.498211772547194,0,0.25,0.05,"MED LOW NA","R2"
1,1,1,156.840460628789,1,1,1.49820855139208,0,0.25,0.186605496863371,"MED LOW NA","R2"
1,1,1,224.580979428707,2,2,2.50019897902752,0,0.25,0.5,"MED LOW NA","R2"
1,2,2,50.9261153687303,0,0,0.500201875440762,0,0.25,0.05,"MED LOW NA","R2"
1,2,2,162.382511473914,1,1,1.49780645527822,0,0.25,0.186605496863371,"MED LOW NA","R2"
1,2,2,234.76658575644,2,2,2.49992412556524,0,0.25,0.5,"MED LOW NA","R2"
1,2,2,281.775590109977,3,3,3.50103588729077,0,0.25,0.813394503136629,"MED LOW NA","R2"
1,2,2,312.305047206928,4,4,4.50116097943907,0,0.25,0.95,"MED LOW NA","R2"
1,3,3,50.6988563926125,0,0,0.50089523279889,0,0.25,0.05,"MED LOW NA","R2"
1,3,3,161.51094363324,1,1,1.50251674064892,0,0.25,0.186605496863371,"MED LOW NA","R2"
1,4,4,51.33552735785,0,0,0.499428491393645,0,0.25,0.05,"MED LOW NA","R2"
1,4,4,163.95598399075,1,1,1.5000211822979,0,0.25,0.186605496863371,"MED LOW NA","R2"
1,4,4,237.684041274508,2,2,2.50076621232244,0,0.25,0.5,"MED LOW NA","R2"
1,4,4,285.950817962832,3,3,3.50035256192689,0,0.25,0.813394503136629,"MED LOW NA","R2"
1,4,4,317.549124193989,4,4,4.5010253120452,0,0.25,0.95,"MED LOW NA","R2"
1,5,5,48.4517151673831,0,0,0.497519999237628,0,0.25,0.05,"MED LOW NA","R2"
1,6,6,48.9533619986136,0,0,0.498321212536532,0,0.25,0.05,"MED LOW NA","R2"
1,6,6,154.860657326152,1,1,1.49993563994983,0,0.25,0.186605496863371,"MED LOW NA","R2"
1,6,6,220.976552036779,2,2,2.50229578612919,0,0.25,0.5,"MED LOW NA","R2"
1,6,6,262.251437962886,3,3,3.49969533972767,0,0.25,0.813394503136629,"MED LOW NA","R2"
1,6,6,288.018558194254,4,4,4.50159493150514,0,0.25,0.95,"MED LOW NA","R2"
1,6,6,304.104477515906,5,5,5.49914146825324,0,0.25,0.98806954215117,"MED LOW NA","R2"
1,6,6,314.146608654321,6,6,6.50170679086941,0,0.25,0.997237569060774,"MED LOW NA","R2"
1,6,6,320.415718661941,7,7,7.50017883736498,0,0.25,0.999364902956742,"MED LOW NA","R2"
1,6,6,324.329403889301,8,8,8.50038153165079,0,0.25,0.999854227405248,"MED LOW NA","R2"
1,6,6,326.772642569153,9,9,9.49923668447158,0,0.25,0.999966553716173,"MED LOW NA","R2"
1,6,6,328.297909651183,10,10,10.5011951609066,0,0.25,0.999992326698485,"MED LOW NA","R2"
1,6,6,329.250104658045,11,11,11.4996696781172,0,0.25,0.999998239613493,"MED LOW NA","R2"
1,6,6,329.844541751571,12,12,12.5003929008134,0,0.25,0.99999959613909,"MED LOW NA","R2"
1,6,6,330.215637436397,13,13,13.4994983424746,0,0.25,0.999999907347924,"MED LOW NA","R2"
1,6,6,330.447305360213,14,14,14.4987823969766,0,0.25,0.999999978744154,"MED LOW NA","R2"
1,7,7,49.7295390797738,0,0,0.499419486602876,0,0.25,0.05,"MED LOW NA","R2"
1,7,7,157.808276414791,1,1,1.49970522782548,0,0.25,0.186605496863371,"MED LOW NA","R2"
1,7,7,226.349550807995,2,2,2.50008531135605,0,0.25,0.5,"MED LOW NA","R2"
1,7,7,269.816993260456,3,3,3.4996587645571,0,0.25,0.813394503136629,"MED LOW NA","R2"
1,8,8,51.0830401368677,0,0,0.498298328963058,0,0.25,0.05,"MED LOW NA","R2"
1,9,9,48.938854765385,0,0,0.500975768765712,0,0.25,0.05,"MED LOW NA","R2"
1,9,9,154.805710769012,1,1,1.50048862906368,0,0.25,0.186605496863371,"MED LOW NA","R2"
1,9,9,220.876774149931,2,2,2.50193413163687,0,0.25,0.5,"MED LOW NA","R2"
1,9,9,262.111449298269,3,3,3.50004421050715,0,0.25,0.813394503136629,"MED LOW NA","R2"
1,9,9,287.845838115144,4,4,4.49937229259877,0,0.25,0.95,"MED LOW NA","R2"
1,9,9,303.906562866719,5,5,5.5010888697507,0,0.25,0.98806954215117,"MED LOW NA","R2"
1,9,9,313.929994213056,6,6,6.49952323238035,0,0.25,0.997237569060774,"MED LOW NA","R2"
1,10,10,50.1677638691119,0,0,0.499893774791872,0,0.25,0.05,"MED LOW NA","R2"
2,11,1,49.5898347668552,1,0,0.499746118944917,0,0.25,0.05,"MED LOW NA","R2"
2,11,1,157.276599762916,2,1,1.50014355212559,0,0.25,0.186605496863371,"MED LOW NA","R2"
2,11,1,225.377440043805,3,2,2.49938896107698,0,0.25,0.5,"MED LOW NA","R2"
2,11,1,268.444240751697,4,3,3.49935383308704,0,0.25,0.813394503136629,"MED LOW NA","R2"
2,11,1,295.679577578134,5,4,4.50039080807074,0,0.25,0.95,"MED LOW NA","R2"
2,11,1,312.903136325406,6,5,5.4994570555308,0,0.25,0.98806954215117,"MED LOW NA","R2"
2,12,2,50.245189116617,1,0,0.501930979628793,0,0.25,0.05,"MED LOW NA","R2"
2,12,2,159.775009851043,2,1,1.49862803034655,0,0.25,0.186605496863371,"MED LOW NA","R2"
2,13,3,47.6666884917316,1,0,0.500580805157246,0,0.25,0.05,"MED LOW NA","R2"
2,13,3,150.008219135043,2,1,1.50045471719417,0,0.25,0.186605496863371,"MED LOW NA","R2"
2,14,4,51.3274647874377,1,0,0.499583808849809,0,0.25,0.05,"MED LOW NA","R2"
2,14,4,163.924956253066,2,1,1.50159296615724,0,0.25,0.186605496863371,"MED LOW NA","R2"
2,14,4,237.626402072662,3,2,2.5002192647411,0,0.25,0.5,"MED LOW NA","R2"
2,14,4,285.868179444382,4,3,3.50031779200617,0,0.25,0.813394503136629,"MED LOW NA","R2"
2,15,5,51.9288022675363,1,0,0.501716652633469,0,0.25,0.05,"MED LOW NA","R2"
2,15,5,166.243673731651,2,1,1.50197103421226,0,0.25,0.186605496863371,"MED LOW NA","R2"
2,15,5,241.945876538211,3,2,2.50013269656057,0,0.25,0.5,"MED LOW NA","R2"
2,15,5,292.077792328053,4,3,3.49967749318106,0,0.25,0.813394503136629,"MED LOW NA","R2"
2,16,6,51.158299789559,1,0,0.499562204961562,0,0.25,0.05,"MED LOW NA","R2"
2,16,6,163.274329425342,2,1,1.49902393325407,0,0.25,0.186605496863371,"MED LOW NA","R2"
2,16,6,236.418764677305,3,2,2.50111185833649,0,0.25,0.5,"MED LOW NA","R2"
2,16,6,284.138153472188,4,3,3.50105074981593,0,0.25,0.813394503136629,"MED LOW NA","R2"
2,16,6,315.270256127886,5,4,4.49853607422722,0,0.25,0.95,"MED LOW NA","R2"
2,16,6,335.580822550499,6,5,5.49829453308297,0,0.25,0.98806954215117,"MED LOW NA","R2"
2,16,6,348.831424765504,7,6,6.49893401901631,0,0.25,0.997237569060774,"MED LOW NA","R2"
2,16,6,357.476110265994,8,7,7.50097857422316,0,0.25,0.999364902956742,"MED LOW NA","R2"
2,16,6,363.115898268818,9,8,8.5003280373864,0,0.25,0.999854227405248,"MED LOW NA","R2"
2,16,6,366.795292818799,10,9,9.50040677741856,0,0.25,0.999966553716173,"MED LOW NA","R2"
2,17,7,50.2184638540324,1,0,0.499114131250702,0,0.25,0.05,"MED LOW NA","R2"
2,17,7,159.672910775767,2,1,1.499706153216,0,0.25,0.186605496863371,"MED LOW NA","R2"
2,17,7,229.769084704102,3,2,2.50086064451018,0,0.25,0.5,"MED LOW NA","R2"
2,17,7,274.659664644675,4,3,3.49902108961378,0,0.25,0.813394503136629,"MED LOW NA","R2"
2,17,7,303.408226149062,5,4,4.49933800478808,0,0.25,0.95,"MED LOW NA","R2"
2,17,7,321.819211029757,6,5,5.50080573093725,0,0.25,0.98806954215117,"MED LOW NA","R2"
2,18,8,49.3379599190564,1,0,0.501668533604155,0,0.25,0.05,"MED LOW NA","R2"
2,18,8,156.319290308177,2,1,1.5001960009101,0,0.25,0.186605496863371,"MED LOW NA","R2"
2,18,8,223.630386143041,3,2,2.50082244052135,0,0.25,0.5,"MED LOW NA","R2"
2,18,8,265.981547845842,4,3,3.49865173406471,0,0.25,0.813394503136629,"MED LOW NA","R2"
2,19,9,49.7819651819641,1,0,0.499966406428076,0,0.25,0.05,"MED LOW NA","R2"
2,19,9,158.007924365605,2,1,1.49924722557719,0,0.25,0.186605496863371,"MED LOW NA","R2"
2,19,9,226.714920099121,3,2,2.50015637872639,0,0.25,0.5,"MED LOW NA","R2"
2,19,9,270.333394800881,4,3,3.49826064828093,0,0.25,0.813394503136629,"MED LOW NA","R2"
2,19,9,298.024480912219,5,4,4.50146785270258,0,0.25,0.95,"MED LOW NA","R2"
2,19,9,315.604101824423,6,5,5.50046170407883,0,0.25,0.98806954215117,"MED LOW NA","R2"
2,19,9,326.764482828412,7,6,6.50146450437999,0,0.25,0.997237569060774,"MED LOW NA","R2"
2,20,10,50.4887293991895,1,0,0.499765388191838,0,0.25,0.05,"MED LOW NA","R2"
2,20,10,160.706251227369,2,1,1.50064190067608,0,0.25,0.186605496863371,"MED LOW NA","R2"
2,20,10,231.670982434797,3,2,2.50013755617702,0,0.25,0.5,"MED LOW NA","R2"
2,21,11,48.7922033712638,1,0,0.501674943789629,0,0.25,0.05,"MED LOW NA","R2"
2,21,11,154.250565851969,2,1,1.50018457030379,0,0.25,0.186605496863371,"MED LOW NA","R2"
2,21,11,219.869463887258,3,2,2.49929280390508,0,0.25,0.5,"MED LOW NA","R2"
2,21,11,260.699225302844,4,3,3.49864708722848,0,0.25,0.813394503136629,"MED LOW NA","R2"
2,21,11,286.104550097497,5,4,4.50200496649512,0,0.25,0.95,"MED LOW NA","R2"
2,22,12,48.894060478279,1,0,0.50031272402649,0,0.25,0.05,"MED LOW NA","R2"
2,22,12,154.636085012176,2,1,1.49992602201856,0,0.25,0.186605496863371,"MED LOW NA","R2"
3,23,1,48.3834413708704,2,0,0.498492164496132,0,0.25,0.05,"MED LOW NA","R2"
3,23,1,152.706103507134,3,1,1.50123437252076,0,0.25,0.186605496863371,"MED LOW NA","R2"
3,24,2,47.967318055266,2,0,0.501738023564776,0,0.25,0.05,"MED LOW NA","R2"
3,24,2,151.138204609328,3,1,1.5004983912907,0,0.25,0.186605496863371,"MED LOW NA","R2"
3,24,2,214.248480422631,4,2,2.49898495556679,0,0.25,0.5,"MED LOW NA","R2"
3,25,3,49.8907790136762,2,0,0.500678933639913,0,0.25,0.05,"MED LOW NA","R2"
3,26,4,50.0370949801474,2,0,0.497966709647371,0,0.25,0.05,"MED LOW NA","R2"
3,26,4,158.98050480763,3,1,1.49930326385244,0,0.25,0.186605496863371,"MED LOW NA","R2"
3,26,4,228.497426188881,4,2,2.50025977769843,0,0.25,0.5,"MED LOW NA","R2"
3,26,4,272.856257677446,5,3,3.49824889467021,0,0.25,0.813394503136629,"MED LOW NA","R2"
3,26,4,301.161681622207,6,4,4.49896788657618,0,0.25,0.95,"MED LOW NA","R2"
3,26,4,319.223406825658,7,5,5.49992980028291,0,0.25,0.98806954215117,"MED LOW NA","R2"
3,26,4,330.748615491022,8,6,6.50155208266334,0,0.25,0.997237569060774,"MED LOW NA","R2"
3,26,4,338.10286505932,9,7,7.4982834673137,0,0.25,0.999364902956742,"MED LOW NA","R2"
3,26,4,342.795620590536,10,8,8.49918828578532,0,0.25,0.999854227405248,"MED LOW NA","R2"
3,26,4,345.790073562419,11,9,9.50087993312293,0,0.25,0.999966553716173,"MED LOW NA","R2"
3,27,5,49.2330972038732,2,0,0.500015627888867,0,0.25,0.05,"MED LOW NA","R2"
3,27,5,155.921212009763,3,1,1.50054205775565,0,0.25,0.186605496863371,"MED LOW NA","R2"
3,28,6,50.9576294234191,2,0,0.499463200437831,0,0.25,0.05,"MED LOW NA","R2"
3,28,6,162.503475984604,3,1,1.50097773829307,0,0.25,0.186605496863371,"MED LOW NA","R2"
3,28,6,234.99047143583,4,2,2.49997057358454,0,0.25,0.5,"MED LOW NA","R2"
