"Year","Age","AgeE","Length_cm","FSIM","FMORT","block","Flev","REG"
61,0,0.499255087697387,4.85185272352939,"MED LOW NA",0.257724916213192,"early","med","R2"
86,0,0.499474717867298,5.11124829400371,"MED LOW NA",0.163422183110379,"late","low","R2"
12,2,2.5005043036984,23.5588940786491,"MED LOW NA",0,"early","med","R2"
97,0,0.499034657334981,4.94926043002846,"MED LOW NA",0.151560343522578,"late","low","R2"
20,2,2.49950163513295,22.4265769317437,"MED LOW NA",0,"early","med","R2"
33,0,0.500157548474976,4.99065702400723,"MED LOW NA",0,"early","med","R2"
56,1,1.50024830059769,16.4883038681815,"MED LOW NA",0.241408158047125,"early","med","R2"
39,1,1.5007443937727,15.3434128199087,"MED LOW NA",0,"early","med","R2"
79,0,0.498561522075836,5.22299022450009,"MED LOW NA",0.183060737140477,"late","low","R2"
44,5,5.4990755656016,32.7301354971492,"MED LOW NA",0,"early","med","R2"
13,5,5.4995948497682,31.1380364699227,"MED LOW NA",0,"early","med","R2"
41,1,1.50149703522608,15.3823784051967,"MED LOW NA",0,"early","med","R2"
69,0,0.498976913072179,5.06237458772969,"MED LOW NA",0.274129033624195,"early","med","R2"
38,2,2.49967413074727,21.8772305868049,"MED LOW NA",0,"early","med","R2"
87,1,1.50024532769135,16.4686314738012,"MED LOW NA",0.186624180036597,"late","low","R2"
25,2,2.50007330486828,24.0931338689174,"MED LOW NA",0,"early","med","R2"
80,0,0.49977545207782,4.9377260850639,"MED LOW NA",0.191684023872949,"late","low","R2"
25,3,3.49959304153069,28.0901122001553,"MED LOW NA",0,"early","med","R2"
14,10,10.4994273506273,34.1925239497215,"MED LOW NA",0,"early","med","R2"
93,8,8.50241371055513,34.0127981953356,"MED LOW NA",0.136950570647605,"late","low","R2"
23,7,7.49847416128704,35.1521226687739,"MED LOW NA",0,"early","med","R2"
42,4,4.49925386533405,32.2412914531768,"MED LOW NA",0,"early","med","R2"
76,5,5.49907137910709,31.1203369012402,"MED LOW NA",0.110590856475756,"late","low","R2"
83,2,2.50042440617793,22.6701523040458,"MED LOW NA",0.194318676088005,"late","low","R2"
92,0,0.500720215104656,4.85642499596431,"MED LOW NA",0.181457379925996,"late","low","R2"
79,2,2.50100152525707,24.0870109193304,"MED LOW NA",0.184191096946597,"late","low","R2"
48,3,3.49932260594864,26.0678196596943,"MED LOW NA",0,"early","med","R2"
19,4,4.50102760098397,30.4084071059829,"MED LOW NA",0,"early","med","R2"
15,0,0.500767726171809,4.89176824514519,"MED LOW NA",0,"early","med","R2"
70,2,2.50004694904157,23.9513309234236,"MED LOW NA",0.27001077067107,"early","med","R2"
29,2,2.5008861483996,22.2720700164861,"MED LOW NA",0,"early","med","R2"
64,0,0.498387603619697,4.8194390298446,"MED LOW NA",0.250253624864854,"early","med","R2"
17,0,0.500542929782696,4.92215082470452,"MED LOW NA",0,"early","med","R2"
79,1,1.50104533442081,15.6255652056727,"MED LOW NA",0.183060737140477,"late","low","R2"
40,5,5.50156949299985,32.0546744892665,"MED LOW NA",0,"early","med","R2"
10,3,3.50012359212965,27.4148719007832,"MED LOW NA",0,"early","med","R2"
25,0,0.499329844566962,5.0424622295378,"MED LOW NA",0,"early","med","R2"
28,6,6.50041469048474,33.1785528258134,"MED LOW NA",0,"early","med","R2"
25,1,1.49865012548641,15.794210880425,"MED LOW NA",0,"early","med","R2"
44,3,3.498955826189,27.7114054847992,"MED LOW NA",0,"early","med","R2"
98,4,4.49836715756911,29.6596449108088,"MED LOW NA",0.186666008108296,"late","low","R2"
65,1,1.50066161834315,16.8977642456199,"MED LOW NA",0.224707526015118,"early","med","R2"
10,6,6.49988028391386,32.6393510423255,"MED LOW NA",0,"early","med","R2"
36,2,2.50050458972454,22.7419016056771,"MED LOW NA",0,"early","med","R2"
8,3,3.49946044619286,28.9059350835731,"MED LOW NA",0,"early","med","R2"
45,3,3.50026947037603,28.2131813238588,"MED LOW NA",0,"early","med","R2"
15,4,4.50150474131529,28.4203835208069,"MED LOW NA",0,"early","med","R2"
79,1,1.50098856143061,15.3727181976943,"MED LOW NA",0.183060737140477,"late","low","R2"
23,0,0.499202572493748,5.13893098360275,"MED LOW NA",0,"early","med","R2"
35,7,7.49791152380723,34.6210510944711,"MED LOW NA",0,"early","med","R2"
94,1,1.49900587144991,16.29612247588,"MED LOW NA",0.160634066071361,"late","low","R2"
24,3,3.5001367601547,26.1721287378371,"MED LOW NA",0,"early","med","R2"
93,0,0.499903174640114,4.98510244104951,"MED LOW NA",0.132656548614614,"late","low","R2"
