"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,62.3118248128222,0,0,0.500316645525948,0,0.25,0.05,"HIGH MED NA","R1"
1,1,1,97.5789394006619,1,1,1.50126514201877,0,0.25,0.186605496863371,"HIGH MED NA","R1"
1,1,1,124.661776192396,2,2,2.49935295477817,0,0.25,0.5,"HIGH MED NA","R1"
1,1,1,145.459623060781,3,3,3.49886559335758,0,0.25,0.813394503136629,"HIGH MED NA","R1"
1,1,1,161.431008838686,4,4,4.50082796627625,0,0.25,0.95,"HIGH MED NA","R1"
1,1,1,173.695988251262,5,5,5.50041368812894,0,0.25,0.98806954215117,"HIGH MED NA","R1"
1,1,1,183.114690052269,6,6,6.49760538025656,0,0.25,0.997237569060774,"HIGH MED NA","R1"
1,2,2,62.2542645378381,0,0,0.500709622896359,0,0.25,0.05,"HIGH MED NA","R1"
1,3,3,63.9878248017256,0,0,0.500065968639806,0,0.25,0.05,"HIGH MED NA","R1"
1,3,3,101.525194642452,1,1,1.50154038120893,0,0.25,0.186605496863371,"HIGH MED NA","R1"
1,3,3,131.126777900888,2,2,2.49992215737543,0,0.25,0.5,"HIGH MED NA","R1"
1,3,3,154.47028159132,3,3,3.50015872667441,0,0.25,0.813394503136629,"HIGH MED NA","R1"
1,3,3,172.878728186484,4,4,4.50137642982869,0,0.25,0.95,"HIGH MED NA","R1"
1,4,4,64.3142902540502,0,0,0.498975428949441,0,0.25,0.05,"HIGH MED NA","R1"
1,4,4,102.301936291353,1,1,1.49909478310398,0,0.25,0.186605496863371,"HIGH MED NA","R1"
1,4,4,132.411441431909,2,2,2.49986843726149,0,0.25,0.5,"HIGH MED NA","R1"
1,4,4,156.276629048929,3,3,3.49741059568926,0,0.25,0.813394503136629,"HIGH MED NA","R1"
1,4,4,175.192488918988,4,4,4.49889796558998,0,0.25,0.95,"HIGH MED NA","R1"
1,5,5,63.6156417647247,0,0,0.501079032294643,0,0.25,0.05,"HIGH MED NA","R1"
1,5,5,100.642884174022,1,1,1.50044157759905,0,0.25,0.186605496863371,"HIGH MED NA","R1"
1,6,6,60.5241428801302,0,0,0.500779941505784,0,0.25,0.05,"HIGH MED NA","R1"
1,6,6,93.4460315718558,1,1,1.50089294334854,0,0.25,0.186605496863371,"HIGH MED NA","R1"
1,7,7,61.9165344280553,0,0,0.500779346014815,0,0.25,0.05,"HIGH MED NA","R1"
1,7,7,96.6582919357023,1,1,1.49901233377224,0,0.25,0.186605496863371,"HIGH MED NA","R1"
1,8,8,61.3579470768754,0,0,0.499988303525788,0,0.25,0.05,"HIGH MED NA","R1"
1,8,8,95.3638857153017,1,1,1.50106238604983,0,0.25,0.186605496863371,"HIGH MED NA","R1"
1,9,9,65.1177940739478,0,0,0.501700453308167,0,0.25,0.05,"HIGH MED NA","R1"
