"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,63.3395794210277,0,0,0.498101192284488,0,0.25,0.05,"LOW MED NA","R1"
1,2,2,63.253097835653,0,0,0.498000847289673,0,0.25,0.05,"LOW MED NA","R1"
1,3,3,63.3981134639499,0,0,0.501343371157786,0,0.25,0.05,"LOW MED NA","R1"
1,4,4,64.3122603943479,0,0,0.498992714528557,0,0.25,0.05,"LOW MED NA","R1"
1,5,5,63.1204172373519,0,0,0.500719684336847,0,0.25,0.05,"LOW MED NA","R1"
1,6,6,62.9012196566297,0,0,0.501315904786828,0,0.25,0.05,"LOW MED NA","R1"
1,7,7,60.841592755803,0,0,0.498959547597122,0,0.25,0.05,"LOW MED NA","R1"
1,8,8,62.8196714516058,0,0,0.500684124768281,0,0.25,0.05,"LOW MED NA","R1"
1,9,9,63.5218726203818,0,0,0.499471548789699,0,0.25,0.05,"LOW MED NA","R1"
1,10,10,65.0624954681793,0,0,0.498799300330346,0,0.25,0.05,"LOW MED NA","R1"
1,11,11,61.8518790429268,0,0,0.500847155675317,0,0.25,0.05,"LOW MED NA","R1"
1,12,12,61.5694695189121,0,0,0.501013894376893,0,0.25,0.05,"LOW MED NA","R1"
1,1,1,99.9906463376935,1,1,1.49832448582582,0,0.25,0.186605496863371,"LOW MED NA","R1"
1,2,2,99.786707290236,1,1,1.49929537429302,0,0.25,0.186605496863371,"LOW MED NA","R1"
1,5,5,99.4741810725783,1,1,1.50274348693608,0,0.25,0.186605496863371,"LOW MED NA","R1"
1,6,6,98.9588165795201,1,1,1.50051031116284,0,0.25,0.186605496863371,"LOW MED NA","R1"
1,8,8,98.7673874746858,1,1,1.50082284260801,0,0.25,0.186605496863371,"LOW MED NA","R1"
1,9,9,100.42113013624,1,1,1.49835289111243,0,0.25,0.186605496863371,"LOW MED NA","R1"
1,10,10,104.092010074353,1,1,1.49818426710951,0,0.25,0.186605496863371,"LOW MED NA","R1"
1,11,11,96.5080733932247,1,1,1.49835969961867,0,0.25,0.186605496863371,"LOW MED NA","R1"
2,13,1,61.8387703459592,1,0,0.500959954221068,0,0.25,0.05,"LOW MED NA","R1"
2,14,2,63.3895807841093,1,0,0.500147124229181,0,0.25,0.05,"LOW MED NA","R1"
2,15,3,63.5191382574669,1,0,0.497910338453404,0,0.25,0.05,"LOW MED NA","R1"
2,16,4,64.2971437742935,1,0,0.50071540015469,0,0.25,0.05,"LOW MED NA","R1"
2,17,5,66.0039157228282,1,0,0.499071505015738,0,0.25,0.05,"LOW MED NA","R1"
2,18,6,63.9113613198544,1,0,0.500269902433781,0,0.25,0.05,"LOW MED NA","R1"
