"Year","season","fleet","CPUE","sd"
0,1,2,0.000103562450367197,0.1
1,1,2,0.000178455634383079,0.1
2,1,2,0.000233682170580313,0.1
3,1,2,0.00029441794719295,0.1
4,1,2,0.00030916344207084,0.1
5,1,2,0.000326580676218147,0.1
6,1,2,0.00044114596330822,0.1
7,1,2,0.000514857540859134,0.1
8,1,2,0.000444703857412936,0.1
9,1,2,0.000453970038301271,0.1
10,1,2,0.000492919728185365,0.1
11,1,2,0.000503518027626612,0.1
12,1,2,0.000448143832925194,0.1
13,1,2,0.000578468095559746,0.1
14,1,2,0.000617085612577307,0.1
15,1,2,0.000560304548486235,0.1
16,1,2,0.000446629827115871,0.1
17,1,2,0.000657838961918193,0.1
18,1,2,0.000503004090908184,0.1
19,1,2,0.000554512174598932,0.1
20,1,2,0.000514909293697219,0.1
21,1,2,0.000570874537423785,0.1
22,1,2,0.000598205634299663,0.1
23,1,2,0.000579473469869212,0.1
24,1,2,0.000486432923913272,0.1
25,1,2,0.000518303353172238,0.1
26,1,2,0.000498968912055765,0.1
27,1,2,0.000483231644054179,0.1
28,1,2,0.000616221430904207,0.1
29,1,2,0.000565007420732933,0.1
30,1,2,0.000481970963011851,0.1
31,1,2,0.000443474593119148,0.1
32,1,2,0.000512432302595414,0.1
33,1,2,0.000549418802658586,0.1
34,1,2,0.000488753456258016,0.1
35,1,2,0.000466521269732097,0.1
36,1,2,0.000473646774720727,0.1
37,1,2,0.000555371587266817,0.1
38,1,2,0.000662189312363856,0.1
39,1,2,0.000441879229917708,0.1
40,1,2,0.000426099089454433,0.1
41,1,2,0.000511000494732247,0.1
42,1,2,0.000445169871931375,0.1
43,1,2,0.000530658072432326,0.1
44,1,2,0.00041954991965265,0.1
45,1,2,0.000496139703561413,0.1
46,1,2,0.000467707618231562,0.1
47,1,2,0.000589491800511795,0.1
48,1,2,0.000554326087302934,0.1
49,1,2,0.000591632598198582,0.1
50,1,2,0.000423336398304231,0.1
51,1,2,0.00044218615684518,0.1
52,1,2,0.000434209478453825,0.1
53,1,2,0.000348411199275473,0.1
54,1,2,0.000322195038845839,0.1
55,1,2,0.000293681788792369,0.1
56,1,2,0.000363950791499682,0.1
57,1,2,0.000324089356672438,0.1
58,1,2,0.000345263745038976,0.1
59,1,2,0.000319986319612766,0.1
60,1,2,0.000350526654666036,0.1
61,1,2,0.000338389661256121,0.1
62,1,2,0.000321294704415619,0.1
63,1,2,0.000406303703942402,0.1
64,1,2,0.000339192308501914,0.1
65,1,2,0.000391787760938441,0.1
66,1,2,0.00041859538022568,0.1
67,1,2,0.000312453528870889,0.1
68,1,2,0.000308679496024529,0.1
69,1,2,0.000393598235669991,0.1
70,1,2,0.000306150158072119,0.1
71,1,2,0.000344137919819012,0.1
72,1,2,0.000299780453251029,0.1
73,1,2,0.000237551032858113,0.1
74,1,2,0.000337597256819677,0.1
75,1,2,0.000302257301886156,0.1
76,1,2,0.000377998558181114,0.1
77,1,2,0.000299934024876488,0.1
78,1,2,0.000334432262512352,0.1
79,1,2,0.000243507979441565,0.1
80,1,2,0.000243555532309197,0.1
81,1,2,0.000253950836770255,0.1
82,1,2,0.000245088602073373,0.1
83,1,2,0.000247609001090267,0.1
84,1,2,0.000247040605166937,0.1
85,1,2,0.000222010566023975,0.1
86,1,2,0.000213273141673675,0.1
87,1,2,0.000231472525305454,0.1
88,1,2,0.000199785768103761,0.1
89,1,2,0.000152408248978517,0.1
90,1,2,0.000134937542571534,0.1
91,1,2,0.000120953001453881,0.1
92,1,2,0.000122943855468595,0.1
93,1,2,0.00013720427141079,0.1
94,1,2,0.000179475198681738,0.1
95,1,2,0.000210002811008888,0.1
96,1,2,0.000233758815012699,0.1
97,1,2,0.000214980026537624,0.1
98,1,2,0.000201221246954416,0.1
99,1,2,0.000140129141492521,0.1
