"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
1,1,184.773351792101,7,7,7.50096667196026,"M",0,0.25,1,"MED HIGH NA","R1"
1,2,132.859509413313,2,2,2.49919249302038,"M",0,0.25,1,"MED HIGH NA","R1"
1,3,92.7644841580063,1,1,1.49996896694323,"M",0,0.25,1,"MED HIGH NA","R1"
1,4,182.106062489828,6,6,6.50098103285996,"M",0,0.25,1,"MED HIGH NA","R1"
1,5,176.442179262268,5,5,5.50002645591514,"M",0,0.25,1,"MED HIGH NA","R1"
1,6,145.664242129103,3,3,3.49981206861153,"M",0,0.25,1,"MED HIGH NA","R1"
1,7,106.878010711772,1,1,1.49874772706422,"M",0,0.25,1,"MED HIGH NA","R1"
1,8,278.016027108447,11,11,11.4990966020266,"M",0,0.25,1,"MED HIGH NA","R1"
1,9,218.367590399532,12,12,12.5012740766712,"M",0,0.25,1,"MED HIGH NA","R1"
1,10,245.618483494752,9,9,9.5003453150558,"M",0,0.25,1,"MED HIGH NA","R1"
1,11,192.13181610175,6,6,6.49931333889469,"M",0,0.25,1,"MED HIGH NA","R1"
1,12,64.0958961864476,0,0,0.499967199587109,"M",0,0.25,1,"MED HIGH NA","R1"
2,1,126.953686245412,3,2,2.50061508094602,"M",0,0.25,1,"MED HIGH NA","R1"
2,2,127.849165702623,3,2,2.50158410355751,"M",0,0.25,1,"MED HIGH NA","R1"
2,3,144.39202717996,4,3,3.49983489943563,"M",0,0.25,1,"MED HIGH NA","R1"
2,4,125.503890777471,3,2,2.49889776938367,"M",0,0.25,1,"MED HIGH NA","R1"
2,5,171.828534685288,7,6,6.50104676080554,"M",0,0.25,1,"MED HIGH NA","R1"
2,6,121.533129450725,3,2,2.50088178355022,"M",0,0.25,1,"MED HIGH NA","R1"
2,7,62.9841527546099,1,0,0.499311987402935,"M",0,0.25,1,"MED HIGH NA","R1"
2,8,171.291636134857,5,4,4.49849955593112,"M",0,0.25,1,"MED HIGH NA","R1"
2,9,59.4350453873961,1,0,0.500519509713579,"M",0,0.25,1,"MED HIGH NA","R1"
2,10,101.811893413643,2,1,1.49939678999251,"M",0,0.25,1,"MED HIGH NA","R1"
2,11,170.563501325499,6,5,5.50319384979721,"M",0,0.25,1,"MED HIGH NA","R1"
2,12,63.367160323403,1,0,0.500271399613773,"M",0,0.25,1,"MED HIGH NA","R1"
