"Year","season","fleet","CPUE","sd"
0,1,2,8.67909910451036e-05,0.1
1,1,2,0.000178572842056711,0.1
2,1,2,0.000250017584354008,0.1
3,1,2,0.000319335337446064,0.1
4,1,2,0.00033756521374174,0.1
5,1,2,0.000417944472952838,0.1
6,1,2,0.000498203216262683,0.1
7,1,2,0.0005074938229762,0.1
8,1,2,0.00042891755807534,0.1
9,1,2,0.000484280615127192,0.1
10,1,2,0.000481790028887034,0.1
11,1,2,0.000525203654847703,0.1
12,1,2,0.000498774519416137,0.1
13,1,2,0.000625993932401597,0.1
14,1,2,0.000472046938838416,0.1
15,1,2,0.000572873844014817,0.1
16,1,2,0.000485903066053778,0.1
17,1,2,0.000491836078214474,0.1
18,1,2,0.000533907090006928,0.1
19,1,2,0.000522282016609546,0.1
20,1,2,0.000487050781845852,0.1
21,1,2,0.00039665746285741,0.1
22,1,2,0.000462431375971066,0.1
23,1,2,0.000471724094698797,0.1
24,1,2,0.000441391140736626,0.1
25,1,2,0.000390108160014988,0.1
26,1,2,0.000500214721022739,0.1
27,1,2,0.00048035871644509,0.1
28,1,2,0.000597933653858165,0.1
29,1,2,0.000480254558207316,0.1
30,1,2,0.00064309890759561,0.1
31,1,2,0.000565989388631125,0.1
32,1,2,0.000437903884062897,0.1
33,1,2,0.000521809960694205,0.1
34,1,2,0.000579988626667827,0.1
35,1,2,0.000432095064543537,0.1
36,1,2,0.000437608547134015,0.1
37,1,2,0.000412207032558655,0.1
38,1,2,0.000468523173877854,0.1
39,1,2,0.000485342865425661,0.1
40,1,2,0.000589876264698667,0.1
41,1,2,0.00049784583638411,0.1
42,1,2,0.000495727873196506,0.1
43,1,2,0.000533449836600119,0.1
44,1,2,0.00049881477136405,0.1
45,1,2,0.000541001696087756,0.1
46,1,2,0.000671957755244699,0.1
47,1,2,0.000504115492418522,0.1
48,1,2,0.000525035658942762,0.1
49,1,2,0.000565391965373477,0.1
50,1,2,0.000376754920317176,0.1
51,1,2,0.000466157619098567,0.1
52,1,2,0.00028637662079631,0.1
53,1,2,0.000338628254313502,0.1
54,1,2,0.00029208167521486,0.1
55,1,2,0.000250333398515721,0.1
56,1,2,0.000261083210440923,0.1
57,1,2,0.000268393054584221,0.1
58,1,2,0.000293354434445531,0.1
59,1,2,0.000273564009034036,0.1
60,1,2,0.00030918948847604,0.1
61,1,2,0.000357986517364758,0.1
62,1,2,0.000207808704763328,0.1
63,1,2,0.00024824083537206,0.1
64,1,2,0.000293242898994199,0.1
65,1,2,0.000252737815096701,0.1
66,1,2,0.000209168120137861,0.1
67,1,2,0.000168704912822746,0.1
68,1,2,0.00020372192554304,0.1
69,1,2,0.000206210196007426,0.1
70,1,2,0.00024307412430487,0.1
71,1,2,0.000216412860325707,0.1
72,1,2,0.000275522908873601,0.1
73,1,2,0.000285066867612997,0.1
74,1,2,0.000255623753249864,0.1
75,1,2,0.000367735098523787,0.1
76,1,2,0.000278660466252187,0.1
77,1,2,0.00039345538305824,0.1
78,1,2,0.000297675599661282,0.1
79,1,2,0.000253588242352266,0.1
80,1,2,0.000295270445854994,0.1
81,1,2,0.000430800736929872,0.1
82,1,2,0.000405718270447538,0.1
83,1,2,0.000460513658502827,0.1
84,1,2,0.000418879053090351,0.1
85,1,2,0.000367417746585475,0.1
86,1,2,0.000351716844223845,0.1
87,1,2,0.000343659112337651,0.1
88,1,2,0.000254434519977257,0.1
89,1,2,0.000338288575795606,0.1
90,1,2,0.000356099680261547,0.1
91,1,2,0.000371659883964602,0.1
92,1,2,0.000365090806401269,0.1
93,1,2,0.000331996307272093,0.1
94,1,2,0.000286364463161486,0.1
95,1,2,0.000286311788240589,0.1
96,1,2,0.000262637672831535,0.1
97,1,2,0.000245808135757712,0.1
98,1,2,0.000256182517784227,0.1
99,1,2,0.000176965894073611,0.1
