"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,62.7316265228657,0,0,0.500240642070752,0,0.25,0.05,"MED LOW NA","R1"
1,2,2,63.4525932499601,0,0,0.499105316933779,0,0.25,0.05,"MED LOW NA","R1"
1,3,3,62.6733643621326,0,0,0.497936079221694,0,0.25,0.05,"MED LOW NA","R1"
1,4,4,66.2698842733656,0,0,0.501615610747659,0,0.25,0.05,"MED LOW NA","R1"
1,5,5,63.7268525750515,0,0,0.500037762894626,0,0.25,0.05,"MED LOW NA","R1"
1,6,6,63.074484057056,0,0,0.50011125261939,0,0.25,0.05,"MED LOW NA","R1"
1,7,7,64.812565957717,0,0,0.501864660118134,0,0.25,0.05,"MED LOW NA","R1"
1,8,8,63.7830077481705,0,0,0.499541174335539,0,0.25,0.05,"MED LOW NA","R1"
1,9,9,59.1768427253587,0,0,0.498653953179959,0,0.25,0.05,"MED LOW NA","R1"
1,10,10,64.6952467476349,0,0,0.501509051804437,0,0.25,0.05,"MED LOW NA","R1"
1,11,11,60.7324308462775,0,0,0.499256370167724,0,0.25,0.05,"MED LOW NA","R1"
1,12,12,63.0196688261511,0,0,0.49781741737548,0,0.25,0.05,"MED LOW NA","R1"
1,1,1,98.5608917542464,1,1,1.49950920238135,0,0.25,0.186605496863371,"MED LOW NA","R1"
1,3,3,98.4243519477909,1,1,1.50073250230012,0,0.25,0.186605496863371,"MED LOW NA","R1"
1,4,4,107.009775288068,1,1,1.50198721917292,0,0.25,0.186605496863371,"MED LOW NA","R1"
1,5,5,100.906166832991,1,1,1.50129359826813,0,0.25,0.186605496863371,"MED LOW NA","R1"
1,6,6,99.3660875915668,1,1,1.50093918472827,0,0.25,0.186605496863371,"MED LOW NA","R1"
1,7,7,103.492521361034,1,1,1.50009312356148,0,0.25,0.186605496863371,"MED LOW NA","R1"
1,8,8,101.039225521185,1,1,1.49996172868928,0,0.25,0.186605496863371,"MED LOW NA","R1"
1,9,9,90.383287880522,1,1,1.49940390606815,0,0.25,0.186605496863371,"MED LOW NA","R1"
1,10,10,103.211646833385,1,1,1.49877220129852,0,0.25,0.186605496863371,"MED LOW NA","R1"
1,11,11,93.9235143254659,1,1,1.49996164696781,0,0.25,0.186605496863371,"MED LOW NA","R1"
1,12,12,99.2371602483814,1,1,1.49924588135797,0,0.25,0.186605496863371,"MED LOW NA","R1"
2,13,1,62.9090663551586,1,0,0.498624641394445,0,0.25,0.05,"MED LOW NA","R1"
2,14,2,65.520125466985,1,0,0.500015445486844,0,0.25,0.05,"MED LOW NA","R1"
2,15,3,65.0674928956206,1,0,0.501544808106657,0,0.25,0.05,"MED LOW NA","R1"
2,16,4,62.0417868994626,1,0,0.499030743790321,0,0.25,0.05,"MED LOW NA","R1"
2,17,5,62.6507395292126,1,0,0.499196152084891,0,0.25,0.05,"MED LOW NA","R1"
2,18,6,61.051086351128,1,0,0.498219082568244,0,0.25,0.05,"MED LOW NA","R1"
2,19,7,64.6724630536845,1,0,0.49968687128635,0,0.25,0.05,"MED LOW NA","R1"
2,20,8,63.9688130310913,1,0,0.500511636372766,0,0.25,0.05,"MED LOW NA","R1"
2,21,9,63.5659539616061,1,0,0.50098499958171,0,0.25,0.05,"MED LOW NA","R1"
2,22,10,63.5279691378796,1,0,0.500814355250147,0,0.25,0.05,"MED LOW NA","R1"
1,3,3,126.038064883036,2,2,2.50017182321833,0,0.25,0.5,"MED LOW NA","R1"
1,6,6,127.576771728671,2,2,2.49946024187945,0,0.25,0.5,"MED LOW NA","R1"
1,7,7,134.388285017004,2,2,2.49792795415338,0,0.25,0.5,"MED LOW NA","R1"
1,8,8,130.325053852994,2,2,2.49950659493692,0,0.25,0.5,"MED LOW NA","R1"
1,9,9,113.142113258286,2,2,2.50052630739715,0,0.25,0.5,"MED LOW NA","R1"
1,10,10,133.921081156737,2,2,2.4999004467035,0,0.25,0.5,"MED LOW NA","R1"
1,12,12,127.365767962084,2,2,2.49832776284561,0,0.25,0.5,"MED LOW NA","R1"
2,13,1,98.9772448384915,2,1,1.49996237496805,0,0.25,0.186605496863371,"MED LOW NA","R1"
2,16,4,96.9495932261318,2,1,1.49776606645091,0,0.25,0.186605496863371,"MED LOW NA","R1"
2,17,5,98.3713522608287,2,1,1.50147617672635,0,0.25,0.186605496863371,"MED LOW NA","R1"
2,18,6,94.6560748120377,2,1,1.49808245991923,0,0.25,0.186605496863371,"MED LOW NA","R1"
2,19,7,103.157139613013,2,1,1.50136193157337,0,0.25,0.186605496863371,"MED LOW NA","R1"
2,20,8,101.480041907691,2,1,1.50024620827365,0,0.25,0.186605496863371,"MED LOW NA","R1"
2,21,9,100.525350819103,2,1,1.50010455067488,0,0.25,0.186605496863371,"MED LOW NA","R1"
2,22,10,100.435541163521,2,1,1.49942524776479,0,0.25,0.186605496863371,"MED LOW NA","R1"
3,23,1,63.5464155394021,2,0,0.501093878303689,0,0.25,0.05,"MED LOW NA","R1"
3,24,2,61.6437036626246,2,0,0.499366951128635,0,0.25,0.05,"MED LOW NA","R1"
3,25,3,62.3691064884779,2,0,0.501383287239971,0,0.25,0.05,"MED LOW NA","R1"
3,26,4,63.831765351324,2,0,0.500022350355347,0,0.25,0.05,"MED LOW NA","R1"
3,27,5,63.4102170782565,2,0,0.499799924459619,0,0.25,0.05,"MED LOW NA","R1"
3,28,6,60.6812243737509,2,0,0.499287387009596,0,0.25,0.05,"MED LOW NA","R1"
3,29,7,61.0635700527252,2,0,0.498261823530131,0,0.25,0.05,"MED LOW NA","R1"
3,30,8,63.8739082484347,2,0,0.498964520907923,0,0.25,0.05,"MED LOW NA","R1"
3,31,9,63.0261605778571,2,0,0.498989665349751,0,0.25,0.05,"MED LOW NA","R1"
3,32,10,62.5305611872911,2,0,0.499579388595213,0,0.25,0.05,"MED LOW NA","R1"
3,33,11,63.6317996414813,2,0,0.500767623213913,0,0.25,0.05,"MED LOW NA","R1"
1,3,3,147.366626513485,3,3,3.49996831915269,0,0.25,0.813394503136629,"MED LOW NA","R1"
1,9,9,129.740099026935,3,3,3.50111067721614,0,0.25,0.813394503136629,"MED LOW NA","R1"
2,13,1,126.940723950197,3,2,2.49930818251633,0,0.25,0.5,"MED LOW NA","R1"
2,16,4,123.640332889585,3,2,2.49891799958419,0,0.25,0.5,"MED LOW NA","R1"
2,17,5,125.951643985979,3,2,2.49963944979742,0,0.25,0.5,"MED LOW NA","R1"
2,19,7,133.830474495475,3,2,2.50028727913797,0,0.25,0.5,"MED LOW NA","R1"
2,20,8,131.052221708533,3,2,2.50031040198657,0,0.25,0.5,"MED LOW NA","R1"
2,21,9,129.478992682825,3,2,2.49987774729606,0,0.25,0.5,"MED LOW NA","R1"
3,23,1,100.479150586589,3,1,1.50214687023355,0,0.25,0.186605496863371,"MED LOW NA","R1"
3,24,2,96.0251044088823,3,1,1.49832909414463,0,0.25,0.186605496863371,"MED LOW NA","R1"
3,25,3,97.7126702548012,3,1,1.4989184705803,0,0.25,0.186605496863371,"MED LOW NA","R1"
3,26,4,101.154818839559,3,1,1.49929501672698,0,0.25,0.186605496863371,"MED LOW NA","R1"
3,27,5,100.157359347544,3,1,1.50056779709355,0,0.25,0.186605496863371,"MED LOW NA","R1"
3,28,6,93.8060286373896,3,1,1.50020190718433,0,0.25,0.186605496863371,"MED LOW NA","R1"
3,30,8,101.254777387752,3,1,1.49836502944316,0,0.25,0.186605496863371,"MED LOW NA","R1"
3,31,9,99.2524252096834,3,1,1.49955576876945,0,0.25,0.186605496863371,"MED LOW NA","R1"
3,33,11,100.681117721198,3,1,1.4999555399883,0,0.25,0.186605496863371,"MED LOW NA","R1"
4,34,1,60.9248948815535,3,0,0.499395648373387,0,0.25,0.05,"MED LOW NA","R1"
4,35,2,61.2897648574767,3,0,0.499823647422334,0,0.25,0.05,"MED LOW NA","R1"
4,36,3,62.6650723782974,3,0,0.498606306404294,0,0.25,0.05,"MED LOW NA","R1"
4,37,4,61.1411912846768,3,0,0.50037631078644,0,0.25,0.05,"MED LOW NA","R1"
4,38,5,63.4099011302376,3,0,0.499012118759866,0,0.25,0.05,"MED LOW NA","R1"
4,39,6,61.0639231452192,3,0,0.498585670539321,0,0.25,0.05,"MED LOW NA","R1"
4,40,7,61.4722547816791,3,0,0.500258109013896,0,0.25,0.05,"MED LOW NA","R1"
4,41,8,61.4676986897262,3,0,0.499259831008229,0,0.25,0.05,"MED LOW NA","R1"
4,42,9,63.4311720296856,3,0,0.500074393311616,0,0.25,0.05,"MED LOW NA","R1"
4,43,10,64.3470441152114,3,0,0.49940553312182,0,0.25,0.05,"MED LOW NA","R1"
1,3,3,163.840598785546,4,4,4.49950114925882,0,0.25,0.95,"MED LOW NA","R1"
2,13,1,148.620670011019,4,3,3.49838100090857,0,0.25,0.813394503136629,"MED LOW NA","R1"
2,16,4,144.048249019162,4,3,3.5001316290807,0,0.25,0.813394503136629,"MED LOW NA","R1"
2,17,5,147.246701194534,4,3,3.49934344846747,0,0.25,0.813394503136629,"MED LOW NA","R1"
2,19,7,158.277957414067,4,3,3.49963503684372,0,0.25,0.813394503136629,"MED LOW NA","R1"
2,20,8,154.365609309089,4,3,3.50102875408164,0,0.25,0.813394503136629,"MED LOW NA","R1"
2,21,9,152.161001818552,4,3,3.50179120220518,0,0.25,0.813394503136629,"MED LOW NA","R1"
3,23,1,129.403012708832,4,2,2.49862358293941,0,0.25,0.5,"MED LOW NA","R1"
3,24,2,122.144675692043,4,2,2.50037110026931,0,0.25,0.5,"MED LOW NA","R1"
3,25,3,124.87916554598,4,2,2.50067267781466,0,0.25,0.5,"MED LOW NA","R1"
3,26,4,130.515611530582,4,2,2.50051769199666,0,0.25,0.5,"MED LOW NA","R1"
3,28,6,118.578047928148,4,2,2.49925795268717,0,0.25,0.5,"MED LOW NA","R1"
3,30,8,130.680466269045,4,2,2.49941253967769,0,0.25,0.5,"MED LOW NA","R1"
3,31,9,127.390744980053,4,2,2.49943293729607,0,0.25,0.5,"MED LOW NA","R1"
4,34,1,94.3656725990421,4,1,1.50096401593175,0,0.25,0.186605496863371,"MED LOW NA","R1"
4,35,2,95.2064147280938,4,1,1.50145368254701,0,0.25,0.186605496863371,"MED LOW NA","R1"
4,36,3,98.404926138663,4,1,1.49913623002002,0,0.25,0.186605496863371,"MED LOW NA","R1"
4,37,4,94.8636719015358,4,1,1.4987948237444,0,0.25,0.186605496863371,"MED LOW NA","R1"
4,38,5,100.1566134,4,1,1.49851815552302,0,0.25,0.186605496863371,"MED LOW NA","R1"
4,39,6,94.6856378953306,4,1,1.49790445404897,0,0.25,0.186605496863371,"MED LOW NA","R1"
4,41,8,95.617604418468,4,1,1.5008237101535,0,0.25,0.186605496863371,"MED LOW NA","R1"
4,42,9,100.206839101118,4,1,1.49958064253552,0,0.25,0.186605496863371,"MED LOW NA","R1"
4,43,10,102.380010789895,4,1,1.50078683826272,0,0.25,0.186605496863371,"MED LOW NA","R1"
5,44,1,65.1869686588746,4,0,0.499188635706047,0,0.25,0.05,"MED LOW NA","R1"
5,45,2,61.675612620483,4,0,0.500492082783531,0,0.25,0.05,"MED LOW NA","R1"
5,46,3,60.8665732189681,4,0,0.499544734322747,0,0.25,0.05,"MED LOW NA","R1"
5,47,4,60.2757769899543,4,0,0.498950379234472,0,0.25,0.05,"MED LOW NA","R1"
5,48,5,65.005873466901,4,0,0.500225618057659,0,0.25,0.05,"MED LOW NA","R1"
5,49,6,62.3315939054511,4,0,0.500620454002143,0,0.25,0.05,"MED LOW NA","R1"
5,50,7,61.8658009006126,4,0,0.499630234175667,0,0.25,0.05,"MED LOW NA","R1"
5,51,8,62.6138727108944,4,0,0.499551108201857,0,0.25,0.05,"MED LOW NA","R1"
5,52,9,63.1862266874471,4,0,0.499411997573571,0,0.25,0.05,"MED LOW NA","R1"
5,53,10,61.5378426038451,4,0,0.499649887049731,0,0.25,0.05,"MED LOW NA","R1"
5,54,11,63.0172826774208,4,0,0.501338292605927,0,0.25,0.05,"MED LOW NA","R1"
5,55,12,63.5263909446251,4,0,0.500681112569504,0,0.25,0.05,"MED LOW NA","R1"
5,56,13,63.8558331375565,4,0,0.499599824492707,0,0.25,0.05,"MED LOW NA","R1"
5,57,14,64.270075015977,4,0,0.500205248424101,0,0.25,0.05,"MED LOW NA","R1"
2,13,1,165.429024197657,5,4,4.50026192098258,0,0.25,0.95,"MED LOW NA","R1"
2,16,4,159.652276708292,5,4,4.49843903709494,0,0.25,0.95,"MED LOW NA","R1"
2,17,5,163.688857283191,5,4,4.50127199117998,0,0.25,0.95,"MED LOW NA","R1"
2,19,7,177.763266831679,5,4,4.5004101831464,0,0.25,0.95,"MED LOW NA","R1"
2,20,8,172.744844288523,5,4,4.50184523697522,0,0.25,0.95,"MED LOW NA","R1"
3,24,2,141.987730053066,5,3,3.501069582046,0,0.25,0.813394503136629,"MED LOW NA","R1"
3,25,3,145.760434658656,5,3,3.49936407213284,0,0.25,0.813394503136629,"MED LOW NA","R1"
3,26,4,153.612761063563,5,3,3.50090116012203,0,0.25,0.813394503136629,"MED LOW NA","R1"
3,28,6,137.103529161415,5,3,3.50007913929815,0,0.25,0.813394503136629,"MED LOW NA","R1"
3,30,8,153.843950320515,5,3,3.49958500630855,0,0.25,0.813394503136629,"MED LOW NA","R1"
3,31,9,149.246849868217,5,3,3.49924695119897,0,0.25,0.813394503136629,"MED LOW NA","R1"
4,34,1,119.474412126955,5,2,2.49921931091856,0,0.25,0.5,"MED LOW NA","R1"
4,35,2,120.824971328193,5,2,2.50057341394262,0,0.25,0.5,"MED LOW NA","R1"
4,36,3,126.006387128588,5,2,2.49960778724436,0,0.25,0.5,"MED LOW NA","R1"
4,37,4,120.273818105283,5,2,2.50169950537735,0,0.25,0.5,"MED LOW NA","R1"
4,39,6,119.987839734566,5,2,2.49910055473596,0,0.25,0.5,"MED LOW NA","R1"
4,42,9,128.955462183378,5,2,2.49884076978511,0,0.25,0.5,"MED LOW NA","R1"
4,43,10,132.540790066928,5,2,2.49961172503326,0,0.25,0.5,"MED LOW NA","R1"
5,45,2,96.0990641969185,5,1,1.50184947207062,0,0.25,0.186605496863371,"MED LOW NA","R1"
5,46,3,94.2315906016514,5,1,1.4997657723887,0,0.25,0.186605496863371,"MED LOW NA","R1"
5,47,4,92.8780712878654,5,1,1.49770220074571,0,0.25,0.186605496863371,"MED LOW NA","R1"
5,48,5,103.956059884889,5,1,1.49897922249774,0,0.25,0.186605496863371,"MED LOW NA","R1"
5,51,8,98.285017113573,5,1,1.4999050210426,0,0.25,0.186605496863371,"MED LOW NA","R1"
5,52,9,99.6291395430428,5,1,1.49939099955698,0,0.25,0.186605496863371,"MED LOW NA","R1"
5,54,11,99.2315496251074,5,1,1.50027534162712,0,0.25,0.186605496863371,"MED LOW NA","R1"
5,55,12,100.431810521918,5,1,1.49904644064666,0,0.25,0.186605496863371,"MED LOW NA","R1"
5,56,13,101.211899752212,5,1,1.49877135975076,0,0.25,0.186605496863371,"MED LOW NA","R1"
6,58,1,62.1649223350537,5,0,0.50043554003959,0,0.25,0.05,"MED LOW NA","R1"
6,59,2,60.4054314567292,5,0,0.499766972249759,0,0.25,0.05,"MED LOW NA","R1"
6,60,3,65.276630922393,5,0,0.499306296925837,0,0.25,0.05,"MED LOW NA","R1"
6,61,4,62.7210495536823,5,0,0.500596960622788,0,0.25,0.05,"MED LOW NA","R1"
6,62,5,63.5492863334646,5,0,0.501222481675031,0,0.25,0.05,"MED LOW NA","R1"
6,63,6,60.6687233515685,5,0,0.498525492051656,0,0.25,0.05,"MED LOW NA","R1"
6,64,7,62.2398079580293,5,0,0.500234591946904,0,0.25,0.05,"MED LOW NA","R1"
6,65,8,63.5165192273563,5,0,0.501900376728258,0,0.25,0.05,"MED LOW NA","R1"
6,66,9,62.4230244845138,5,0,0.498826043874447,0,0.25,0.05,"MED LOW NA","R1"
6,67,10,66.0277290521029,5,0,0.501032202155617,0,0.25,0.05,"MED LOW NA","R1"
6,68,11,61.9408376268791,5,0,0.501562264543053,0,0.25,0.05,"MED LOW NA","R1"
6,69,12,66.5724632570361,5,0,0.500018746037232,0,0.25,0.05,"MED LOW NA","R1"
2,13,1,178.460457471099,6,5,5.50144821525153,0,0.25,0.98806954215117,"MED LOW NA","R1"
2,17,5,176.384033172888,6,5,5.50005101124286,0,0.25,0.98806954215117,"MED LOW NA","R1"
2,19,7,193.293588884235,6,5,5.50110440317681,0,0.25,0.98806954215117,"MED LOW NA","R1"
2,20,8,187.234213410546,6,5,5.50005248757292,0,0.25,0.98806954215117,"MED LOW NA","R1"
3,24,2,157.062510649804,6,4,4.50121261250621,0,0.25,0.95,"MED LOW NA","R1"
3,25,3,161.810624242647,6,4,4.50066868841152,0,0.25,0.95,"MED LOW NA","R1"
3,26,4,171.782512887464,6,4,4.50032426740418,0,0.25,0.95,"MED LOW NA","R1"
3,30,8,172.077915736489,6,4,4.5010454565964,0,0.25,0.95,"MED LOW NA","R1"
4,35,2,140.175657341586,6,3,3.5002361385478,0,0.25,0.813394503136629,"MED LOW NA","R1"
4,36,3,147.322664858388,6,3,3.50006196796395,0,0.25,0.813394503136629,"MED LOW NA","R1"
4,37,4,139.420556965679,6,3,3.49952446357652,0,0.25,0.813394503136629,"MED LOW NA","R1"
4,39,6,139.029147492709,6,3,3.49921737760531,0,0.25,0.813394503136629,"MED LOW NA","R1"
4,42,9,151.429108345133,6,3,3.49992530656923,0,0.25,0.813394503136629,"MED LOW NA","R1"
4,43,10,156.458792950552,6,3,3.50133755870299,0,0.25,0.813394503136629,"MED LOW NA","R1"
5,45,2,122.26411847048,6,2,2.50049832390092,0,0.25,0.5,"MED LOW NA","R1"
5,46,3,119.259464664208,6,2,2.50071918978507,0,0.25,0.5,"MED LOW NA","R1"
5,47,4,117.096431515104,6,2,2.50003443720678,0,0.25,0.5,"MED LOW NA","R1"
5,48,5,135.160463923773,6,2,2.49908573495266,0,0.25,0.5,"MED LOW NA","R1"
5,52,9,128.007627868251,6,2,2.50001799553258,0,0.25,0.5,"MED LOW NA","R1"
5,55,12,129.325172863452,6,2,2.50117154191152,0,0.25,0.5,"MED LOW NA","R1"
5,56,13,130.609743048838,6,2,2.50148866273847,0,0.25,0.5,"MED LOW NA","R1"
6,60,3,104.606866724505,6,1,1.50095822484228,0,0.25,0.186605496863371,"MED LOW NA","R1"
6,61,4,98.5360979694949,6,1,1.49868195516772,0,0.25,0.186605496863371,"MED LOW NA","R1"
6,62,5,100.485938229421,6,1,1.50012642298319,0,0.25,0.186605496863371,"MED LOW NA","R1"
6,63,6,93.7773567033673,6,1,1.50097994019574,0,0.25,0.186605496863371,"MED LOW NA","R1"
6,64,7,97.4109222837471,6,1,1.49999216368965,0,0.25,0.186605496863371,"MED LOW NA","R1"
6,65,8,100.408476471657,6,1,1.49941918639172,0,0.25,0.186605496863371,"MED LOW NA","R1"
6,66,9,97.838622091506,6,1,1.49954279963035,0,0.25,0.186605496863371,"MED LOW NA","R1"
6,67,10,106.421704520382,6,1,1.50196680506221,0,0.25,0.186605496863371,"MED LOW NA","R1"
6,68,11,96.7147839633656,6,1,1.49982835316274,0,0.25,0.186605496863371,"MED LOW NA","R1"
6,69,12,107.746615681947,6,1,1.50021916951276,0,0.25,0.186605496863371,"MED LOW NA","R1"
7,70,1,63.4500019181276,6,0,0.500211629977908,0,0.25,0.05,"MED LOW NA","R1"
7,71,2,60.8103434370811,6,0,0.500906646511874,0,0.25,0.05,"MED LOW NA","R1"
7,72,3,65.2325495449861,6,0,0.501680102239271,0,0.25,0.05,"MED LOW NA","R1"
7,73,4,60.1893587010057,6,0,0.498473143278056,0,0.25,0.05,"MED LOW NA","R1"
7,74,5,60.2069362737041,6,0,0.501607349951328,0,0.25,0.05,"MED LOW NA","R1"
7,75,6,61.1117505144286,6,0,0.499897315539734,0,0.25,0.05,"MED LOW NA","R1"
7,76,7,60.7466296787686,6,0,0.500448785147631,0,0.25,0.05,"MED LOW NA","R1"
7,77,8,61.2989210526417,6,0,0.499991889957109,0,0.25,0.05,"MED LOW NA","R1"
7,78,9,63.769828297954,6,0,0.498466183713853,0,0.25,0.05,"MED LOW NA","R1"
7,79,10,64.4342671438248,6,0,0.500232487427788,0,0.25,0.05,"MED LOW NA","R1"
7,80,11,63.3008671577551,6,0,0.499818863428284,0,0.25,0.05,"MED LOW NA","R1"
7,81,12,63.3238714533376,6,0,0.499637050880814,0,0.25,0.05,"MED LOW NA","R1"
2,13,1,188.563662774519,7,6,6.50009331534449,0,0.25,0.997237569060774,"MED LOW NA","R1"
2,17,5,186.186122996225,7,6,6.49937665287762,0,0.25,0.997237569060774,"MED LOW NA","R1"
