"Year","Age","AgeE","Length_cm","FSIM","FMORT","block","Flev","REG"
93,0,0.499754414716955,6.30853265439816,"MED LOW NA",0.159627966606058,"late","low","R1"
3,3,3.50232995332136,15.7500919470971,"MED LOW NA",0,"early","med","R1"
47,1,1.50006667797551,9.85504599612452,"MED LOW NA",0,"early","med","R1"
7,3,3.49802623796428,14.097245636039,"MED LOW NA",0,"early","med","R1"
49,12,12.5005650270716,24.1127583449478,"MED LOW NA",0,"early","med","R1"
31,4,4.5001176610605,16.773657558883,"MED LOW NA",0,"early","med","R1"
18,2,2.50061991484337,12.43102301764,"MED LOW NA",0,"early","med","R1"
93,4,4.49974123292131,16.4862890232994,"MED LOW NA",0.122616578312591,"late","low","R1"
37,6,6.50009852420678,18.3437176018435,"MED LOW NA",0,"early","med","R1"
22,3,3.49919796679329,14.0769668259356,"MED LOW NA",0,"early","med","R1"
60,2,2.50079345451978,12.0739617850289,"MED LOW NA",0.244973212946206,"early","med","R1"
26,0,0.499138686459068,6.12259214253886,"MED LOW NA",0,"early","med","R1"
10,1,1.50111761295075,9.57942067678953,"MED LOW NA",0,"early","med","R1"
84,1,1.50021437593717,9.91551574236103,"MED LOW NA",0.167836226499639,"late","low","R1"
18,5,5.50036100622043,18.6375683341555,"MED LOW NA",0,"early","med","R1"
27,0,0.499476696148291,6.33675976444404,"MED LOW NA",0,"early","med","R1"
23,0,0.500154490120273,6.27972097395581,"MED LOW NA",0,"early","med","R1"
44,1,1.50102337816188,9.57228564058979,"MED LOW NA",0,"early","med","R1"
48,11,11.5007762144587,23.7982831802571,"MED LOW NA",0,"early","med","R1"
26,5,5.4994812843999,20.2113935304189,"MED LOW NA",0,"early","med","R1"
51,0,0.498018969530985,6.25368924244031,"MED LOW NA",0.2242257862119,"early","med","R1"
28,6,6.49979693794585,19.4841190108576,"MED LOW NA",0,"early","med","R1"
75,1,1.49830943407667,10.1545251183701,"MED LOW NA",0.196550036384724,"late","low","R1"
27,5,5.49880496524436,18.1390440293979,"MED LOW NA",0,"early","med","R1"
36,3,3.49888027650629,14.7886126741619,"MED LOW NA",0,"early","med","R1"
38,2,2.50039272661498,12.4670155255475,"MED LOW NA",0,"early","med","R1"
57,1,1.4986550917599,9.4801123642366,"MED LOW NA",0.219121987163089,"early","med","R1"
46,0,0.497763806973445,6.222481255696,"MED LOW NA",0,"early","med","R1"
77,0,0.50133176391133,6.23395709710261,"MED LOW NA",0.129034702060744,"late","low","R1"
42,3,3.50104966837731,14.687221763202,"MED LOW NA",0,"early","med","R1"
26,6,6.499812911582,19.1485480261535,"MED LOW NA",0,"early","med","R1"
7,7,7.50086661674062,19.7624220422291,"MED LOW NA",0,"early","med","R1"
52,8,8.50061089631138,19.0599840506551,"MED LOW NA",0.218989655375481,"early","med","R1"
37,0,0.500407553591832,6.23875133340587,"MED LOW NA",0,"early","med","R1"
8,8,8.50053796401447,18.0732017642126,"MED LOW NA",0,"early","med","R1"
36,8,8.50242866809551,20.0917105674438,"MED LOW NA",0,"early","med","R1"
35,0,0.499242072953057,6.20878243515658,"MED LOW NA",0,"early","med","R1"
39,0,0.500132395928327,6.08938945507936,"MED LOW NA",0,"early","med","R1"
2,2,2.50037834845713,12.0903974710455,"MED LOW NA",0,"early","med","R1"
33,1,1.49940850509212,9.66732809117768,"MED LOW NA",0,"early","med","R1"
66,3,3.50027258546354,14.564354331384,"MED LOW NA",0.265727913426235,"early","med","R1"
56,0,0.502214515803349,6.5532862047581,"MED LOW NA",0.292818296141922,"early","med","R1"
31,9,9.49919754102721,20.6231957136588,"MED LOW NA",0,"early","med","R1"
13,2,2.50015987148415,12.1352997226976,"MED LOW NA",0,"early","med","R1"
9,3,3.49972180196499,16.0875204878291,"MED LOW NA",0,"early","med","R1"
29,4,4.50024747115973,16.8864662715971,"MED LOW NA",0,"early","med","R1"
55,0,0.499256319069482,6.39481143942783,"MED LOW NA",0.296733428863808,"early","med","R1"
83,0,0.501780439032499,6.48061305571405,"MED LOW NA",0.140231097233482,"late","low","R1"
7,3,3.50063924975473,14.6081318227359,"MED LOW NA",0,"early","med","R1"
9,8,8.50076320812562,20.4254624228443,"MED LOW NA",0,"early","med","R1"
63,1,1.49917683252996,10.432174150468,"MED LOW NA",0.221112435311079,"early","med","R1"
84,0,0.498260710272504,6.20074733781056,"MED LOW NA",0.189638042147271,"late","low","R1"
87,1,1.50134753078495,10.0784717305005,"MED LOW NA",0.189829332963564,"late","low","R1"
58,2,2.49965865386536,12.8453826921766,"MED LOW NA",0.273366531543434,"early","med","R1"
68,2,2.50127672652762,12.6318506047844,"MED LOW NA",0.272064665984362,"early","med","R1"
87,0,0.49855016557934,6.04201895542522,"MED LOW NA",0.189829332963564,"late","low","R1"
42,1,1.50035642040351,9.60926072407529,"MED LOW NA",0,"early","med","R1"
36,2,2.5009509613623,12.6521606045231,"MED LOW NA",0,"early","med","R1"
17,0,0.500822931392629,6.36039543725368,"MED LOW NA",0,"early","med","R1"
61,1,1.50076758670231,9.97537298623285,"MED LOW NA",0.249223633459769,"early","med","R1"
26,7,7.49981849334104,17.9730597963537,"MED LOW NA",0,"early","med","R1"
80,5,5.49921255893432,16.9829817784731,"MED LOW NA",0.121460058353841,"late","low","R1"
67,1,1.50115346153011,9.80249780165397,"MED LOW NA",0.211113872472197,"early","med","R1"
44,0,0.499679311462261,6.42520214512726,"MED LOW NA",0,"early","med","R1"
84,0,0.500838496393492,6.19187550078906,"MED LOW NA",0.189638042147271,"late","low","R1"
28,5,5.49918592623814,18.3218493446746,"MED LOW NA",0,"early","med","R1"
21,0,0.499917306221228,6.02698349418178,"MED LOW NA",0,"early","med","R1"
85,1,1.50041977172782,9.72871058988545,"MED LOW NA",0.122880196361803,"late","low","R1"
15,4,4.50015937232012,16.8078472621736,"MED LOW NA",0,"early","med","R1"
13,1,1.49908514418644,9.73757078946105,"MED LOW NA",0,"early","med","R1"
91,5,5.50090614446203,16.4911179657164,"MED LOW NA",0.101253738487139,"late","low","R1"
58,1,1.4991769916771,9.91123132642044,"MED LOW NA",0.278115508146584,"early","med","R1"
93,3,3.49951119623136,14.2078556898095,"MED LOW NA",0.159627966606058,"late","low","R1"
48,6,6.49954564323284,19.3779955555429,"MED LOW NA",0,"early","med","R1"
39,0,0.49890395157262,6.44202569632791,"MED LOW NA",0,"early","med","R1"
74,5,5.50076182685018,18.6452793760433,"MED LOW NA",0.213537386059761,"early","med","R1"
40,2,2.50059554648141,11.7040618582643,"MED LOW NA",0,"early","med","R1"
83,1,1.49899748590332,10.1800300553812,"MED LOW NA",0.123954483913258,"late","low","R1"
23,0,0.500562203974108,6.07273522421851,"MED LOW NA",0,"early","med","R1"
43,2,2.50003632175842,12.2901131830394,"MED LOW NA",0,"early","med","R1"
68,2,2.50048051387175,12.5626772783666,"MED LOW NA",0.221028632484376,"early","med","R1"
27,4,4.49930194559136,17.4361041413227,"MED LOW NA",0,"early","med","R1"
5,0,0.50126902612194,6.20268025940118,"MED LOW NA",0,"early","med","R1"
84,1,1.50063070472306,9.48747337516464,"MED LOW NA",0.100775675592013,"late","low","R1"
16,2,2.50104737149861,12.6441498285717,"MED LOW NA",0,"early","med","R1"
5,3,3.50041375383913,15.732989986215,"MED LOW NA",0,"early","med","R1"
7,0,0.499508010608554,6.31131882224337,"MED LOW NA",0,"early","med","R1"
37,4,4.50099341214439,15.6880836894038,"MED LOW NA",0,"early","med","R1"
20,0,0.501270339709435,6.29319832622723,"MED LOW NA",0,"early","med","R1"
82,2,2.49880701637676,13.4551545978121,"MED LOW NA",0.191560803633183,"late","low","R1"
5,2,2.50013230608444,12.1078930645776,"MED LOW NA",0,"early","med","R1"
22,0,0.499754538609471,6.52008652459111,"MED LOW NA",0,"early","med","R1"
17,4,4.50009965859612,17.7675620608133,"MED LOW NA",0,"early","med","R1"
29,3,3.49867343392457,16.1922358837374,"MED LOW NA",0,"early","med","R1"
23,4,4.5007452256051,16.309086276256,"MED LOW NA",0,"early","med","R1"
97,1,1.49961757798241,9.74118867374838,"MED LOW NA",0.128234971431084,"late","low","R1"
89,1,1.5001016140254,9.81104917454143,"MED LOW NA",0.112273520906456,"late","low","R1"
84,4,4.50063869002372,17.2576636785473,"MED LOW NA",0.167836226499639,"late","low","R1"
7,0,0.500169002520262,6.44312232424254,"MED LOW NA",0,"early","med","R1"
96,0,0.500902995254074,6.35545156876895,"MED LOW NA",0.134125124686398,"late","low","R1"
13,0,0.50002823450551,6.32860777815262,"MED LOW NA",0,"early","med","R1"
22,8,8.50014657146935,16.1440700279009,"MED LOW NA",0,"early","med","R1"
45,8,8.49904012076542,21.7002514702923,"MED LOW NA",0,"early","med","R1"
86,2,2.5001872408206,12.7977553589322,"MED LOW NA",0.102810778236017,"late","low","R1"
49,7,7.50130302320287,18.7499325576053,"MED LOW NA",0,"early","med","R1"
73,6,6.49942349811642,16.5196938149058,"MED LOW NA",0.269138627825305,"early","med","R1"
29,5,5.49850559018776,17.5862025923099,"MED LOW NA",0,"early","med","R1"
16,9,9.49907686772349,20.8551793323053,"MED LOW NA",0,"early","med","R1"
45,0,0.501735708640333,6.15507699809441,"MED LOW NA",0,"early","med","R1"
43,0,0.503265833687744,6.31662195613939,"MED LOW NA",0,"early","med","R1"
94,4,4.5003939053101,15.6007211931409,"MED LOW NA",0.123828479461372,"late","low","R1"
65,0,0.500897136283721,6.10453992587664,"MED LOW NA",0.234114666841924,"early","med","R1"
47,1,1.4983724268991,9.45847627954773,"MED LOW NA",0,"early","med","R1"
83,1,1.49960230518574,10.1588824012464,"MED LOW NA",0.134249811642803,"late","low","R1"
25,0,0.500000642125235,6.36505700246715,"MED LOW NA",0,"early","med","R1"
15,0,0.500645746830955,6.36640576021857,"MED LOW NA",0,"early","med","R1"
71,0,0.499816197986988,6.29487204006186,"MED LOW NA",0.278840147284791,"early","med","R1"
38,10,10.4994961221055,19.4078405992511,"MED LOW NA",0,"early","med","R1"
19,0,0.499446582742615,6.25492753261871,"MED LOW NA",0,"early","med","R1"
11,4,4.50180543985024,16.0478598563894,"MED LOW NA",0,"early","med","R1"
