"Year","season","fleet","CPUE","sd"
0,1,2,0.000125793223608251,0.1
1,1,2,0.000216851346158814,0.1
2,1,2,0.000280200961212575,0.1
3,1,2,0.00041391402494604,0.1
4,1,2,0.000404025351313313,0.1
5,1,2,0.000391579682831976,0.1
6,1,2,0.000359565965468591,0.1
7,1,2,0.000403231805376108,0.1
8,1,2,0.000397471037776812,0.1
9,1,2,0.000462394565036261,0.1
10,1,2,0.000464775031353937,0.1
11,1,2,0.00048325493806873,0.1
12,1,2,0.000484881933444846,0.1
13,1,2,0.00047494607168434,0.1
14,1,2,0.000539751532503434,0.1
15,1,2,0.000519247890767239,0.1
16,1,2,0.00047944739306993,0.1
17,1,2,0.000414031225411316,0.1
18,1,2,0.000423169173473867,0.1
19,1,2,0.000516477133582861,0.1
20,1,2,0.000352727700385647,0.1
21,1,2,0.000363438212368699,0.1
22,1,2,0.000501036485346717,0.1
23,1,2,0.000360537281769721,0.1
24,1,2,0.000447333518236303,0.1
25,1,2,0.000523790597042716,0.1
26,1,2,0.000440831297128179,0.1
27,1,2,0.000467597196414592,0.1
28,1,2,0.000448348810577351,0.1
29,1,2,0.000488642493770532,0.1
30,1,2,0.000450540654758208,0.1
31,1,2,0.000497462634556416,0.1
32,1,2,0.000544446090659224,0.1
33,1,2,0.000478284060747066,0.1
34,1,2,0.000547384028560489,0.1
35,1,2,0.000500480174778558,0.1
36,1,2,0.000415954329889048,0.1
37,1,2,0.000442021948536345,0.1
38,1,2,0.000501440012876907,0.1
39,1,2,0.000516415302470981,0.1
40,1,2,0.000505265773312107,0.1
41,1,2,0.000474326463788537,0.1
42,1,2,0.000565877936628878,0.1
43,1,2,0.000526787592269725,0.1
44,1,2,0.000444149918552469,0.1
45,1,2,0.000498718786785482,0.1
46,1,2,0.000493441765505703,0.1
47,1,2,0.000504164101496927,0.1
48,1,2,0.000535554546012418,0.1
49,1,2,0.000685020343388493,0.1
50,1,2,0.000516311098831404,0.1
51,1,2,0.000551359054963398,0.1
52,1,2,0.000363373212057352,0.1
53,1,2,0.000284471825128465,0.1
54,1,2,0.000230827158616733,0.1
55,1,2,0.00027981751834202,0.1
56,1,2,0.000195418613715378,0.1
57,1,2,0.000263347501119578,0.1
58,1,2,0.000215415634616782,0.1
59,1,2,0.00022622317119552,0.1
60,1,2,0.000219234845028582,0.1
61,1,2,0.000192758051114413,0.1
62,1,2,0.000200229067454137,0.1
63,1,2,0.000205663476806681,0.1
64,1,2,0.00019067789047847,0.1
65,1,2,0.000239912394190383,0.1
66,1,2,0.000181304185067241,0.1
67,1,2,0.000182208651961739,0.1
68,1,2,0.000182751368902667,0.1
69,1,2,0.000193069161030973,0.1
70,1,2,0.000198238284977837,0.1
71,1,2,0.000179157563178514,0.1
72,1,2,0.000217033561350802,0.1
73,1,2,0.000291459413275005,0.1
74,1,2,0.000296090631733174,0.1
75,1,2,0.000298040774574124,0.1
76,1,2,0.000321671054701938,0.1
77,1,2,0.000368281958998943,0.1
78,1,2,0.00032383812293896,0.1
79,1,2,0.000249423260396579,0.1
80,1,2,0.000223677627492294,0.1
81,1,2,0.000240798436094192,0.1
82,1,2,0.000246389591852723,0.1
83,1,2,0.000269103737502532,0.1
84,1,2,0.000278869045105412,0.1
85,1,2,0.000321025720751686,0.1
86,1,2,0.000258709796997219,0.1
87,1,2,0.00029202079024581,0.1
88,1,2,0.000281147608840608,0.1
89,1,2,0.000304851253024287,0.1
90,1,2,0.000234500643681211,0.1
91,1,2,0.000205685582327297,0.1
92,1,2,0.00023363909398199,0.1
93,1,2,0.000234267258092284,0.1
94,1,2,0.000215788788537032,0.1
95,1,2,0.000270161301351505,0.1
96,1,2,0.000216619269314095,0.1
97,1,2,0.000291038346838382,0.1
98,1,2,0.000199576394189451,0.1
99,1,2,0.00014261919433567,0.1
