"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM","REG"
1,1,1,49.3291103573196,0,0,0.500049352488523,0,0.25,0.05,"LOW MED NA","R2"
1,1,1,156.285684896431,1,1,1.49779100867696,0,0.25,0.186605496863371,"LOW MED NA","R2"
1,1,1,223.569134170042,2,2,2.4988292779635,0,0.25,0.5,"LOW MED NA","R2"
1,1,1,265.895307812591,3,3,3.49952954777291,0,0.25,0.813394503136629,"LOW MED NA","R2"
1,1,1,292.521543455385,4,4,4.50045693443523,0,0.25,0.95,"LOW MED NA","R2"
1,1,1,309.271378450934,5,5,5.49851046400524,0,0.25,0.98806954215117,"LOW MED NA","R2"
1,2,2,48.3415241021038,0,0,0.499453533626815,0,0.25,0.05,"LOW MED NA","R2"
1,2,2,152.547964620533,1,1,1.50091101207331,0,0.25,0.186605496863371,"LOW MED NA","R2"
1,2,2,216.78897737963,2,2,2.50052419460795,0,0.25,0.5,"LOW MED NA","R2"
1,2,2,256.392169848186,3,3,3.50240604634792,0,0.25,0.813394503136629,"LOW MED NA","R2"
1,2,2,280.806679930445,4,4,4.50196051837562,0,0.25,0.95,"LOW MED NA","R2"
1,2,2,295.857696411755,5,5,5.49874149228244,0,0.25,0.98806954215117,"LOW MED NA","R2"
1,2,2,305.13632196506,6,6,6.49896400784396,0,0.25,0.997237569060774,"LOW MED NA","R2"
1,3,3,47.180429764159,0,0,0.499652593419316,0,0.25,0.05,"LOW MED NA","R2"
1,3,3,148.185383211802,1,1,1.49995881334819,0,0.25,0.186605496863371,"LOW MED NA","R2"
1,4,4,49.9757048809137,0,0,0.501008778315132,0,0.25,0.05,"LOW MED NA","R2"
1,5,5,50.9583458834762,0,0,0.500489828931862,0,0.25,0.05,"LOW MED NA","R2"
1,5,5,162.506226361264,1,1,1.49947371499794,0,0.25,0.186605496863371,"LOW MED NA","R2"
1,5,5,234.995562713379,2,2,2.49931601470978,0,0.25,0.5,"LOW MED NA","R2"
1,5,5,282.102722995247,3,3,3.49995547700926,0,0.25,0.813394503136629,"LOW MED NA","R2"
1,5,5,312.71528839442,4,4,4.50048830015243,0,0.25,0.95,"LOW MED NA","R2"
1,5,5,332.608849260989,5,5,5.49966332825868,0,0.25,0.98806954215117,"LOW MED NA","R2"
1,5,5,345.536670199596,6,6,6.49838152654698,0,0.25,0.997237569060774,"LOW MED NA","R2"
1,6,6,50.5647899582871,0,0,0.497502819610369,0,0.25,0.05,"LOW MED NA","R2"
1,6,6,160.99739911073,1,1,1.50165463189045,0,0.25,0.186605496863371,"LOW MED NA","R2"
1,6,6,232.207732588993,2,2,2.4990993412455,0,0.25,0.5,"LOW MED NA","R2"
1,7,7,51.8081861771171,0,0,0.501090964431248,0,0.25,0.05,"LOW MED NA","R2"
1,7,7,165.777846650549,1,1,1.49998675188213,0,0.25,0.186605496863371,"LOW MED NA","R2"
1,7,7,241.076137934373,2,2,2.50292431992591,0,0.25,0.5,"LOW MED NA","R2"
1,7,7,290.824752141969,3,3,3.49903288247113,0,0.25,0.813394503136629,"LOW MED NA","R2"
1,7,7,323.693022767758,4,4,4.49943742597754,0,0.25,0.95,"LOW MED NA","R2"
1,7,7,345.408667135701,5,5,5.49837580637593,0,0.25,0.98806954215117,"LOW MED NA","R2"
1,7,7,359.755914536814,6,6,6.49978032685712,0,0.25,0.997237569060774,"LOW MED NA","R2"
1,7,7,369.234956673489,7,7,7.49950596726331,0,0.25,0.999364902956742,"LOW MED NA","R2"
1,7,7,375.497638100581,8,8,8.49929877530196,0,0.25,0.999854227405248,"LOW MED NA","R2"
1,7,7,379.635311305503,9,9,9.50053755945367,0,0.25,0.999966553716173,"LOW MED NA","R2"
1,7,7,382.369018863525,10,10,10.4977161673017,0,0.25,0.999992326698485,"LOW MED NA","R2"
1,7,7,384.175144345813,11,11,11.4997566666162,0,0.25,0.999998239613493,"LOW MED NA","R2"
1,7,7,385.368428260984,12,12,12.4988428808042,0,0.25,0.99999959613909,"LOW MED NA","R2"
1,8,8,50.9025778913957,0,0,0.50158687122885,0,0.25,0.05,"LOW MED NA","R2"
1,8,8,162.292181025974,1,1,1.5017111968811,0,0.25,0.186605496863371,"LOW MED NA","R2"
1,8,8,234.59944232647,2,2,2.50030006915653,0,0.25,0.5,"LOW MED NA","R2"
1,8,8,281.536857396183,3,3,3.49974409427339,0,0.25,0.813394503136629,"LOW MED NA","R2"
1,8,8,312.005732773314,4,4,4.50123975415814,0,0.25,0.95,"LOW MED NA","R2"
1,8,8,331.784247746249,5,5,5.49948560691709,0,0.25,0.98806954215117,"LOW MED NA","R2"
1,8,8,344.623239986448,6,6,6.49980326481016,0,0.25,0.997237569060774,"LOW MED NA","R2"
1,9,9,49.0391519222048,0,0,0.500556192909485,0,0.25,0.05,"LOW MED NA","R2"
1,9,9,155.18569882318,1,1,1.49927501438498,0,0.25,0.186605496863371,"LOW MED NA","R2"
1,9,9,221.567082423378,2,2,2.50090798240623,0,0.25,0.5,"LOW MED NA","R2"
1,10,10,48.831349867667,0,0,0.499719224167974,0,0.25,0.05,"LOW MED NA","R2"
1,10,10,154.398700195206,1,1,1.50139183142883,0,0.25,0.186605496863371,"LOW MED NA","R2"
1,10,10,220.138114402913,2,2,2.50109142205597,0,0.25,0.5,"LOW MED NA","R2"
1,10,10,261.075682381685,3,3,3.50027798258661,0,0.25,0.813394503136629,"LOW MED NA","R2"
1,10,10,286.56852396256,4,4,4.49946932059573,0,0.25,0.95,"LOW MED NA","R2"
1,11,11,50.1164061521133,0,0,0.500901769082311,0,0.25,0.05,"LOW MED NA","R2"
1,12,12,49.3979622677855,0,0,0.499334501764103,0,0.25,0.05,"LOW MED NA","R2"
1,12,12,156.547196494749,1,1,1.50021723331605,0,0.25,0.186605496863371,"LOW MED NA","R2"
1,12,12,224.045923831504,2,2,2.4991707171423,0,0.25,0.5,"LOW MED NA","R2"
1,13,13,49.8651341307601,0,0,0.499901425173278,0,0.25,0.05,"LOW MED NA","R2"
1,13,13,158.324790375772,1,1,1.49919831168046,0,0.25,0.186605496863371,"LOW MED NA","R2"
1,13,13,227.295182322874,2,2,2.49962332886731,0,0.25,0.5,"LOW MED NA","R2"
1,13,13,271.154024679805,3,3,3.49872195273846,0,0.25,0.813394503136629,"LOW MED NA","R2"
1,13,13,299.044225077179,4,4,4.49912297762729,0,0.25,0.95,"LOW MED NA","R2"
1,13,13,316.779834053706,5,5,5.49989858166771,0,0.25,0.98806954215117,"LOW MED NA","R2"
1,13,13,328.058054406612,6,6,6.50102044244084,0,0.25,0.997237569060774,"LOW MED NA","R2"
1,13,13,335.229967956185,7,7,7.49922462289715,0,0.25,0.999364902956742,"LOW MED NA","R2"
1,14,14,49.5546479940473,0,0,0.499935037331803,0,0.25,0.05,"LOW MED NA","R2"
2,15,1,49.4486711946283,1,0,0.502541148862638,0,0.25,0.05,"LOW MED NA","R2"
2,16,2,52.1503246103968,1,0,0.499504084400743,0,0.25,0.05,"LOW MED NA","R2"
2,16,2,167.100173768231,2,1,1.49930932135902,0,0.25,0.186605496863371,"LOW MED NA","R2"
2,17,3,47.7525255545537,1,0,0.499296096850083,0,0.25,0.05,"LOW MED NA","R2"
2,17,3,150.330622389991,2,1,1.50057470329526,0,0.25,0.186605496863371,"LOW MED NA","R2"
2,17,3,212.797307732244,3,2,2.50042233879881,0,0.25,0.5,"LOW MED NA","R2"
2,17,3,250.837463457768,4,3,3.4996555743746,0,0.25,0.813394503136629,"LOW MED NA","R2"
2,18,4,48.5882431485714,1,0,0.499796574902765,0,0.25,0.05,"LOW MED NA","R2"
2,19,5,48.4745716568722,1,0,0.500266101129213,0,0.25,0.05,"LOW MED NA","R2"
2,19,5,153.050060154544,2,1,1.49912488908545,0,0.25,0.186605496863371,"LOW MED NA","R2"
2,19,5,217.696015948714,3,2,2.50071494822117,0,0.25,0.5,"LOW MED NA","R2"
2,19,5,257.658531645065,4,3,3.50025063714565,0,0.25,0.813394503136629,"LOW MED NA","R2"
2,19,5,282.362361005496,5,4,4.50061219119966,0,0.25,0.95,"LOW MED NA","R2"
2,19,5,297.633651474454,6,5,5.49829492439425,0,0.25,0.98806954215117,"LOW MED NA","R2"
2,19,5,307.073981926252,7,6,6.49971540495763,0,0.25,0.997237569060774,"LOW MED NA","R2"
2,19,5,312.909758491454,8,7,7.49934906866535,0,0.25,0.999364902956742,"LOW MED NA","R2"
2,19,5,316.517289847783,9,8,8.499432292359,0,0.25,0.999854227405248,"LOW MED NA","R2"
2,19,5,318.747375654099,10,9,9.49999418185821,0,0.25,0.999966553716173,"LOW MED NA","R2"
2,19,5,320.125959015491,11,10,10.5002191827795,0,0.25,0.999992326698485,"LOW MED NA","R2"
2,19,5,320.978164827001,12,11,11.4990622023024,0,0.25,0.999998239613493,"LOW MED NA","R2"
2,19,5,321.504977180544,13,12,12.4967517030475,0,0.25,0.99999959613909,"LOW MED NA","R2"
2,19,5,321.830639423276,14,13,13.4996935273313,0,0.25,0.999999907347924,"LOW MED NA","R2"
2,19,5,322.031955690118,15,14,14.500425662355,0,0.25,0.999999978744154,"LOW MED NA","R2"
2,20,6,49.2347934667126,1,0,0.501013864474685,0,0.25,0.05,"LOW MED NA","R2"
2,20,6,155.927649106161,2,1,1.49862754358806,0,0.25,0.186605496863371,"LOW MED NA","R2"
2,20,6,222.91687179259,3,2,2.5001849298573,0,0.25,0.5,"LOW MED NA","R2"
2,20,6,264.977382116702,4,3,3.50057374541798,0,0.25,0.813394503136629,"LOW MED NA","R2"
2,20,6,291.385906619301,5,4,4.49896866407609,0,0.25,0.95,"LOW MED NA","R2"
2,20,6,307.967021803836,6,5,5.49947258453025,0,0.25,0.98806954215117,"LOW MED NA","R2"
2,20,6,318.377803395809,7,6,6.5002316974434,0,0.25,0.997237569060774,"LOW MED NA","R2"
2,21,7,49.948954504692,1,0,0.500087555911584,0,0.25,0.05,"LOW MED NA","R2"
2,22,8,51.3018547723465,1,0,0.500356776959517,0,0.25,0.05,"LOW MED NA","R2"
2,22,8,163.826410488667,2,1,1.49957381835246,0,0.25,0.186605496863371,"LOW MED NA","R2"
2,22,8,237.443365953146,3,2,2.49945888321765,0,0.25,0.5,"LOW MED NA","R2"
2,22,8,285.605796787548,4,3,3.50134334256419,0,0.25,0.813394503136629,"LOW MED NA","R2"
2,22,8,317.115110494468,5,4,4.49764981727172,0,0.25,0.95,"LOW MED NA","R2"
2,23,9,49.7113212717068,1,0,0.501353903213678,0,0.25,0.05,"LOW MED NA","R2"
2,23,9,157.738916163575,2,1,1.50224038408074,0,0.25,0.186605496863371,"LOW MED NA","R2"
2,23,9,226.222659713664,3,2,2.50020556887299,0,0.25,0.5,"LOW MED NA","R2"
2,24,10,52.2712742000628,1,0,0.497859995388706,0,0.25,0.05,"LOW MED NA","R2"
2,24,10,167.568344799673,2,1,1.4997876133539,0,0.25,0.186605496863371,"LOW MED NA","R2"
2,25,11,48.8663375162104,1,0,0.500328244695113,0,0.25,0.05,"LOW MED NA","R2"
3,26,1,47.8126826211388,2,0,0.499530226332639,0,0.25,0.05,"LOW MED NA","R2"
3,26,1,150.556683804739,3,1,1.50029592080658,0,0.25,0.186605496863371,"LOW MED NA","R2"
3,26,1,213.203220192927,4,2,2.49763668282421,0,0.25,0.5,"LOW MED NA","R2"
3,26,1,251.400959002256,5,3,3.49974728722137,0,0.25,0.813394503136629,"LOW MED NA","R2"
