"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
41,11,339.102439360521,50,10,10.5005539273922,"FISHED",0.121531357453205,0.25,1,"LOW MED NA","R2"
43,5,343.643867424071,52,10,10.5000197994412,"FISHED",0.122351084579714,0.25,1,"LOW MED NA","R2"
44,6,307.914424344872,50,7,7.49847148769568,"FISHED",0.121531357453205,0.25,1,"LOW MED NA","R2"
45,6,335.778468610019,54,10,10.501223201127,"FISHED",0.144685655389912,0.25,1,"LOW MED NA","R2"
46,2,362.561193118744,53,8,8.50106812607476,"FISHED",0.185774297616445,0.25,1,"LOW MED NA","R2"
47,2,336.201188189832,51,5,5.49978785227882,"FISHED",0.104231020552106,0.25,1,"LOW MED NA","R2"
47,11,367.443358006134,51,5,5.50048671500494,"FISHED",0.104231020552106,0.25,1,"LOW MED NA","R2"
48,12,343.784204707317,57,10,10.4995092709863,"FISHED",0.113879705569707,0.25,1,"LOW MED NA","R2"
49,4,308.018115747131,52,4,4.4991086466029,"FISHED",0.122351084579714,0.25,1,"LOW MED NA","R2"
49,11,214.486799040739,50,2,2.49949606960066,"FISHED",0.121531357453205,0.25,1,"LOW MED NA","R2"
50,2,290.072359192575,53,4,4.50095728176745,"FISHED",0.185774297616445,0.25,1,"LOW MED NA","R2"
50,4,270.88201743641,52,3,3.50074641165099,"FISHED",0.122351084579714,0.25,1,"LOW MED NA","R2"
50,5,293.734336964319,52,3,3.50111221975386,"FISHED",0.122351084579714,0.25,1,"LOW MED NA","R2"
50,6,163.701246383786,50,1,1.5004354026866,"FISHED",0.121531357453205,0.25,1,"LOW MED NA","R2"
50,11,387.390032922586,61,12,12.5006243407311,"FISHED",0.174796363944188,0.25,1,"LOW MED NA","R2"
51,1,156.906929195693,51,1,1.50047106876619,"FISHED",0.104231020552106,0.25,1,"LOW MED NA","R2"
51,4,294.494011512079,54,4,4.50055833960401,"FISHED",0.144685655389912,0.25,1,"LOW MED NA","R2"
51,5,332.148985372532,54,4,4.50033996307813,"FISHED",0.144685655389912,0.25,1,"LOW MED NA","R2"
51,6,261.81298999061,53,3,3.50040097216644,"FISHED",0.185774297616445,0.25,1,"LOW MED NA","R2"
51,11,50.4674517088238,50,0,0.500183773663783,"FISHED",0.121531357453205,0.25,1,"LOW MED NA","R2"
52,3,292.29748729945,56,5,5.49950353121544,"FISHED",0.120901445113122,0.25,1,"LOW MED NA","R2"
52,4,156.879845358841,52,1,1.49898572513154,"FISHED",0.122351084579714,0.25,1,"LOW MED NA","R2"
52,5,293.362169626541,54,3,3.49945730525694,"FISHED",0.144685655389912,0.25,1,"LOW MED NA","R2"
52,6,156.814521552129,52,1,1.49922074907106,"FISHED",0.122351084579714,0.25,1,"LOW MED NA","R2"
52,10,225.323605115529,53,2,2.50017411560095,"FISHED",0.185774297616445,0.25,1,"LOW MED NA","R2"
52,13,221.673115990167,53,2,2.49971852067198,"FISHED",0.185774297616445,0.25,1,"LOW MED NA","R2"
54,1,224.526160263711,55,2,2.50075211519879,"FISHED",0.165774842747487,0.25,1,"LOW MED NA","R2"
54,4,240.510404642998,55,2,2.49943182940587,"FISHED",0.165774842747487,0.25,1,"LOW MED NA","R2"
54,6,347.184837179746,59,6,6.49893325497937,"FISHED",0.157938452297822,0.25,1,"LOW MED NA","R2"
54,10,242.475222938984,55,2,2.49892391144501,"FISHED",0.165774842747487,0.25,1,"LOW MED NA","R2"
55,1,260.683086278107,57,3,3.50040014006563,"FISHED",0.113879705569707,0.25,1,"LOW MED NA","R2"
55,4,48.331698261062,54,0,0.500414142747497,"FISHED",0.144685655389912,0.25,1,"LOW MED NA","R2"
55,5,148.889542126309,55,1,1.49680931667432,"FISHED",0.165774842747487,0.25,1,"LOW MED NA","R2"
55,6,50.9688141716057,54,0,0.498633137993346,"FISHED",0.144685655389912,0.25,1,"LOW MED NA","R2"
