"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
1,1,316.876873400721,5,5,5.50002388479625,"M",0,0.25,1,"LOW MED NA","R2"
1,2,48.3295959232786,0,0,0.499265163033266,"M",0,0.25,1,"LOW MED NA","R2"
1,3,234.690993132407,2,2,2.49922817542366,"M",0,0.25,1,"LOW MED NA","R2"
1,4,151.731828678795,1,1,1.49824636711465,"M",0,0.25,1,"LOW MED NA","R2"
1,5,159.615905761574,1,1,1.50029920006316,"M",0,0.25,1,"LOW MED NA","R2"
1,6,50.0293823887402,0,0,0.498394208417635,"M",0,0.25,1,"LOW MED NA","R2"
1,7,50.5334975534916,0,0,0.499017137210963,"M",0,0.25,1,"LOW MED NA","R2"
1,8,47.7607560469591,0,0,0.50097797183255,"M",0,0.25,1,"LOW MED NA","R2"
1,9,342.52565195266,6,6,6.49936236094501,"M",0,0.25,1,"LOW MED NA","R2"
1,10,298.008068327296,7,7,7.50050582432305,"M",0,0.25,1,"LOW MED NA","R2"
1,11,319.830810776333,4,4,4.49804163197721,"M",0,0.25,1,"LOW MED NA","R2"
1,12,331.15315735438,6,6,6.49978703903383,"M",0,0.25,1,"LOW MED NA","R2"
1,13,337.95953360316,8,8,8.50016965560359,"M",0,0.25,1,"LOW MED NA","R2"
1,14,304.575712941957,3,3,3.49815659586756,"M",0,0.25,1,"LOW MED NA","R2"
2,1,237.141197649184,3,2,2.49983391773607,"M",0,0.25,1,"LOW MED NA","R2"
2,2,344.75692374842,6,5,5.49862405123734,"M",0,0.25,1,"LOW MED NA","R2"
2,3,306.184756989019,10,9,9.50135582113379,"M",0,0.25,1,"LOW MED NA","R2"
2,4,323.328311075998,7,6,6.50193663854017,"M",0,0.25,1,"LOW MED NA","R2"
2,5,321.553165834152,5,4,4.50044135307751,"M",0,0.25,1,"LOW MED NA","R2"
2,6,336.042678011444,13,12,12.4997381456249,"M",0,0.25,1,"LOW MED NA","R2"
2,7,235.428647208936,3,2,2.50058761184758,"M",0,0.25,1,"LOW MED NA","R2"
2,8,323.800234241668,5,4,4.49873587391527,"M",0,0.25,1,"LOW MED NA","R2"
2,9,340.406782007414,14,13,13.5018283739432,"M",0,0.25,1,"LOW MED NA","R2"
2,10,162.618771370257,2,1,1.49998551892948,"M",0,0.25,1,"LOW MED NA","R2"
2,11,335.102437782752,12,11,11.4999956910512,"M",0,0.25,1,"LOW MED NA","R2"
2,12,216.569113152387,3,2,2.49969823978222,"M",0,0.25,1,"LOW MED NA","R2"
2,13,150.973226054587,2,1,1.49826588325306,"M",0,0.25,1,"LOW MED NA","R2"
